Time,286_College_Test_1,286_College_Test_2,286_College_Test_3,489_N_Forest_Test_1,489_N_Forest_Test_2,302_College_Test_1,302_College_Test_2,302_College_Test_3,305_Manning_Test_1,305_Manning_Test_2,305_Manning_Test_3,289_Manning_Test_1,289_Manning_Test_2
0,,,,,,,,,,,,,
75,,,,,,,,,Ignition,,,,
127,,,,,,Ignition,,,,,,,
241,,,,,Ignition,,,,,,,,
270,,,,,,,,,,Ignition,,,
290,,,,,,,,,,,,,Ignition
292,,,,,,,Ignition,,,,,,
316,Ignition,,,,,,,,,,,,
415,Sprinkler On,,,,,,,,,,,,
492,,,,Ignition,,,,,,,,,
513,,Ignition,Ignition,,,,,,,,,,
520,,,,,,Side Window Broken,,,,,,,
523,,,,,SS Top Right Window,,,,,,,,
533,,,,,,,,,,,,Ignition,
537,,,,,SS Off,,,,,,,,
547,,,,,Fog Top Right Window,,,,,,,,
575,,,,,Fog Off,,,,,,,,
599,,,,,SS Top Left Window,,,,,,,,
603,,,,,SS Off,,,,,,,,
606,,,,,SS Top Left Window,,,,,,,,
624,,,,,SS Off,,,,,,,,
637,,,,Side Window Opened,,,,,,,,,
643,,,,,,,Front Door Opened,,,,,,
678,,,,,,,Front Door Closed,,,,,,
682,,,,Closed Front Door,,,,,,,,,
709,,,Door Closed,,,,,,,,,,
732,,SS Garage,,,,,,,,,,,
734,,,,,,,Front Window Broken,,,,,,
762,,,,,,PPV On,,,,,,,
766,,,,,Right Window Broken,FFs Enter Front Door,,,,,,,
767,,,,SS Side Window,,,,,,,,,
780,,,,,SS Right Side,,,,,,,,
782,,,,SS Off,,,,,,,,,
790,,,,,SS Roof,,,,,,,,
795,,,,,SS Top Left Window,,,,,,,,
802,,SS Off,,,,,,,,,,,
803,,,,Door Opened,,,,,,,,,
804,,,,SS Front Door,,,,,,,,,
807,,,,,SS Top Right Window,,,,,,,,
811,,,,,SS Left Side,,,,,,,,
829,,,,,,,Front Door Opened,,,,,,
850,,,,,SS Top Left Window Off,,,,,,,,
858,,,,,SS Roof Off,,,,,,,,
875,,,,,SS Top Right Window Off,,,,,,,,
876,,,,SS Off,,,,,,,,,
878,,,,,SS Left Side Off,,,,,,,,
885,,,,,SS Right Side Off,,,,,,,,
890,,,,Mop Up,,,,,,,,,
909,,,,,,,,Ignition,,,,,
913,Sprinkler Off,,Door Opened,,,,,,,,,,
915,,,,,SS Left Side,,,,,,,,
926,,Kitchen Door Opened,,,,,,,,,,,
937,,,,,SS Left Side Off,,,,,,,,
947,,,Nozzle Into Front Door,,,,,,,,,,
968,,,Water Off,,SS Top Left Window,,,,,,,,
974,,,,,SS Rear Roof,,,,,,,,
996,Mop Up,,,,,,,,,,,,
1001,,,,,SS Top Left Window Off; SS Rear Roof Off,,,,,,,,
1037,,,,,SS Rear Roof,,,,,,,,
1043,,,,,SS Rear Roof Off,,,,,,,,
1045,,,,,SS Both Top Windows,,,,,,,,
1049,,,,,SS Rear Roof,,,,,,,,
1056,,,Water On,,,,,,,,,,
1069,,,,,SS Both Top Windows Off; SS Rear Roof Off,,,,,,,,
1116,,,Water Off,,,,,,,,,,
1131,,,Mop Up,,,,,,,,,,
1311,,,,,,PPV Off,,,,,,,
1339,,,,,,,SS Front Window,,,,,,
1353,,,,,,,SS Front Window Off,,,,,,
1422,,,,,,,SS Front Door,,,,,,
1489,,,,,,,Second Front Window Broken,,,,,,
1542,,,,,,,SS Front Door Off; FFs Enter,,,,,,
1652,,,,,,,Nozzle Roof,,,,,,
1666,,,,,,,Nozzle Roof Off,,,,,,
1680,,,,,,,SS Front Door,,,,,,
1690,,,,,,,SS Front Door Off,,,,,,
1693,,,,,,,SS Front Left Window,,,,,,
1698,,,,,,,SS Front Left Window Off,,,,,,
1760,,,,,,,FFs Enter,,,,,,
