Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
405,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,
420,,Fixed straight stream at Room C ceiling,,Hose rotated left,Hose fixed,,Wide fog rotated right at Room B ceiling,,,,,,Center burner ignited,Center burnger ignited,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A side window opened,,,
450,,Rear door opened,Narrow fog at Room C ceiling,,Hose rotated left,Fixed straight stream at Door AB,Fixed wide fog at Room A,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,
455,,,,Hose fixed, Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,,Roof vent opened,,,
480,Electric PPV fan, 2200 rpm,Rear door closed,Rear door opened,,Hose fixed,Fixed narrow fog at Door AB,Wide fog rotated right at Room A,,Ignition,,,,,,,Fan off,,,,,,BC door opened,,,,,,,,,Ignition,Gas on,,,1st floor BC door opened,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,,
495,,,,,,,,,,,,,,,,Right burner off,,,,,,,,,,,,,,,,,,,,,,,,
499,,Water flow stopped,,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,,,Rear door closed,,,Fixed wide fog at Door AB,Water flow stopped,,,,,,,,,Center burner off,,,,,,Roof vent opened,,Fan off,,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,,Left burner off,,,,,All burners off,,,,,,,,,,,,,,,,,,,
540,,Fixed straight stream at Door BC,Water flow stopped,Fixed straight stream at Door BC,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st floor BC door opened,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire (1),,,
560,,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,
565,,,,,,,,,,,,,,,,,,,,All burners off,,,,,,,,,,,,,,,,,,,,
570,,Rear door opened,Narrow fog at Door BC,Hose rotated right,Fixed narrow fog stream at Door BC,Rear door opened, Fixed straight stream at Door AB,,,,,,,,,CD door opened,,,,,,,,,,,,,,,,,,,,,,,,
600,Electric PPV fan turned off, rear door closed,Rear door closed,Rear door opened,Hose fixed,Hose rotated right,Fixed narrow fog at Door AB,,,,,,Right burner ignited,Right burner ignited,,,,,,,,,Roof vent opened,,,,,,,,,,,Basement CD door opened,,1st floor A door opened,,,,
612,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on fire (2),,,
630,,,Rear door closed,Hose rotated left,Hose fixed,Fixed wide fog at Door AB,,"Door to Room A failing open, flames showing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,All burners off,,,,,,,,,,,,,,,,,,,,,
660,,,Water flow stopped,Hose fixed,Hose rotated left,Water flow stopped,,,,,,,BC door opened,BC door opened,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,1st floor A door opened,,,,,
673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC door opened,,,,,,,,
675,,,,Rear door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,,,,Hose rotated right,Hose fixed,,,"Monitor on, straight stream, 95 gpm",,,,,,,,,,,,,,,,,,,,,,,,,1st floor BC door opened,,,,,,,
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,,Roof vent closed,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,Hose fixed,Rear door opened,,,,,"Monitor on, straight stream, 95 gpm, mid ceiling",,,,,,,,,,,,,,,,,,,,,,,,,,Fan on,,,,
722,,,,,,,,,,,,,,,,CD door closed,,,,,,,,,,,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st flood CD door opened,,,,,,
738,,,,,,,,,,,,,,,,BC door closed,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,Hose rotated left,Hose rotated right,,,Monitor off,,,,,,,,,,,,,,CD door opened,,,,,,,,,,Roof vent opened,,,,,,,,
765,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
780,,,,Hose fixed,Hose fixed,,Fixed straight stream at Room B ceiling,,,Monitor off,,,CD door opened,CD door opened,,Center burner ignited,,,,,,,,,,,,,,,,,,,Fan on,,,,,
795,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
810,,,,Rear door closed,Hose rotated left,,Straight stream rotated left at Room B ceiling,,,,,,,,,,,,,,,Water on fire,,,,,,,,,,,Basement BC door opened,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD door opened,,,,,,,,
835,Gas-powered PPV fan, medium throttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,,,,,,,,,,,Fan off,,,,,,,,,,,,,,,
840,,,,Water flow stopped,Hose fixed,,Fixed straight stream at Room A,,,,,,A door opened,A door opened,Left burner ignited,,,,,,,,,,,,,,,,,,,Fan on,,All burners off,,,,
