Rotation,CB_F_S,CB_R_S,RA_F_S,RA_R_S,CB_F_NF,CB_R_NF,RA_F_NF,RA_R_NF,CB_F_WF,CB_R_WF,RA_F_WF,RA_R_WF,Stop
R,150,180,210,240,270,300,330,360,390,420,450,480,510
L,780,810,840,870,900,930,960,990,1020,1050,1080,1110,1140
