Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod8,4,TC_A14_5,1,0,TC 14 1.15 m BS West,TC A14,Temperature
SC1Mod8,5,TC_A14_6,1,0,TC 14 1.42 m BS West,TC A14,Temperature
SC1Mod8,6,TC_A14_7,1,0,TC 14 1.68 m BS West,TC A14,Temperature
SC1Mod8,7,TC_A14_8,1,0,TC 14 1.95 m BS West,TC A14,Temperature
SC1Mod8,8,TC_A16_1,1,0,TC 16 0.03 m BC West,TC A16,Temperature
SC1Mod8,9,TC_A16_2,1,0,TC 16 0.30 m BC West,TC A16,Temperature
SC1Mod8,10,TC_A16_3,1,0,TC 16 0.61 m BC West,TC A16,Temperature
SC1Mod8,11,TC_A16_4,1,0,TC 16 0.91 m BC West,TC A16,Temperature
SC1Mod8,12,TC_A16_5,1,0,TC 16 1.22 m BC West,TC A16,Temperature
SC1Mod8,13,TC_A16_6,1,0,TC 16 1.52 m BC West,TC A16,Temperature
SC1Mod8,14,TC_A16_7,1,0,TC 16 1.83 m BC West,TC A16,Temperature
SC1Mod8,15,TC_A16_8,1,0,TC 16 2.13 m BC West,TC A16,Temperature
SC1Mod8,16,TC_A17_1,1,0,TC 17 0.03 m BC West,TC A17,Temperature
SC1Mod8,17,TC_A17_2,1,0,TC 17 0.30 m BC West,TC A17,Temperature
SC1Mod8,18,TC_A17_3,1,0,TC 17 0.61 m BC West,TC A17,Temperature
SC1Mod8,19,TC_A17_4,1,0,TC 17 0.91 m BC West,TC A17,Temperature
SC1Mod8,20,TC_A17_5,1,0,TC 17 1.22 m BC West,TC A17,Temperature
SC1Mod8,21,TC_A17_6,1,0,TC 17 1.52 m BC West,TC A17,Temperature
SC1Mod8,22,TC_A17_7,1,0,TC 17 1.83 m BC West,TC A17,Temperature
SC1Mod8,23,TC_A17_8,1,0,TC 17 2.13 m BC West,TC A17,Temperature
SC1Mod8,24,TC_A18_1,1,0,TC 18 0.03 m BC West,TC A18,Temperature
SC1Mod8,25,TC_A18_2,1,0,TC 18 0.30 m BC West,TC A18,Temperature
SC1Mod8,26,TC_A18_3,1,0,TC 18 0.61 m BC West,TC A18,Temperature
SC1Mod8,27,TC_A18_4,1,0,TC 18 0.91 m BC West,TC A18,Temperature
SC1Mod8,28,TC_A18_5,1,0,TC 18 1.22 m BC West,TC A18,Temperature
SC1Mod8,29,TC_A18_6,1,0,TC 18 1.52 m BC West,TC A18,Temperature
SC1Mod8,30,TC_A18_7,1,0,TC 18 1.83 m BC West,TC A18,Temperature
SC1Mod8,31,TC_A18_8,1,0,TC 18 2.13 m BC West,TC A18,Temperature
SC1Mod9,0,TC_A19_1,1,0,TC 19 0.03 m BC West,TC A19,Temperature
SC1Mod9,1,TC_A19_2,1,0,TC 19 0.30 m BC West,TC A19,Temperature
SC1Mod9,2,TC_A19_3,1,0,TC 19 0.61 m BC West,TC A19,Temperature
SC1Mod9,3,TC_A19_4,1,0,TC 19 0.91 m BC West,TC A19,Temperature
SC1Mod9,4,TC_A19_5,1,0,TC 19 1.22 m BC West,TC A19,Temperature
SC1Mod9,5,TC_A19_6,1,0,TC 19 1.52 m BC West,TC A19,Temperature
SC1Mod9,6,TC_A19_7,1,0,TC 19 1.83 m BC West,TC A19,Temperature
SC1Mod9,7,TC_A19_8,1,0,TC 19 2.13 m BC West,TC A19,Temperature
SC1Mod9,8,TC_A3_1,1,0,TC 3 0.03 m BC West,TC A3,Temperature
SC1Mod9,9,TC_A3_2,1,0,TC 3 0.30 m BC West,TC A3,Temperature
