Fri Mar 28 17:34:54 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:34:56 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:34:57 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:34:59 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:00 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:02 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:03 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:05 2014,arduinoHose1,56.81,0.37,1.12,0.47,nan
Fri Mar 28 17:35:06 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:08 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:09 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:11 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:12 2014,arduinoHose1,56.81,0.37,1.12,0.47,nan
Fri Mar 28 17:35:14 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:15 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:17 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:18 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:20 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:21 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:23 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:24 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:26 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:27 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:29 2014,arduinoHose1,56.81,0.37,1.12,0.47,nan
Fri Mar 28 17:35:30 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:32 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:33 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:35 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:36 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:38 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:39 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:41 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:42 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:44 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:45 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:47 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:48 2014,arduinoHose1,56.81,0.37,0.94,0.02,33.56
Fri Mar 28 17:35:50 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:51 2014,arduinoHose1,57.00,0.85,0.94,0.02,51.15
Fri Mar 28 17:35:53 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:54 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:56 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:57 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:35:59 2014,arduinoHose1,57.00,0.85,1.12,0.47,34.71
Fri Mar 28 17:36:00 2014,arduinoHose1,58.31,4.12,11.06,25.32,nan
Fri Mar 28 17:36:02 2014,arduinoHose1,113.62,142.40,53.44,131.27,186.86
Fri Mar 28 17:36:03 2014,arduinoHose1,103.31,116.62,48.94,120.02,nan
Fri Mar 28 17:36:05 2014,arduinoHose1,110.44,134.45,52.88,129.87,119.90
Fri Mar 28 17:36:06 2014,arduinoHose1,111.19,136.32,55.13,135.49,51.15
Fri Mar 28 17:36:08 2014,arduinoHose1,106.69,125.07,49.13,120.49,119.90
Fri Mar 28 17:36:09 2014,arduinoHose1,109.69,132.57,51.56,126.57,137.28
Fri Mar 28 17:36:11 2014,arduinoHose1,106.87,125.52,48.94,120.02,131.44
Fri Mar 28 17:36:12 2014,arduinoHose1,111.75,137.72,54.00,132.67,125.96
Fri Mar 28 17:36:14 2014,arduinoHose1,112.31,139.12,55.13,135.49,106.76
Fri Mar 28 17:36:15 2014,arduinoHose1,114.19,143.82,57.00,140.17,107.12
Fri Mar 28 17:36:17 2014,arduinoHose1,114.94,145.70,56.44,138.77,147.46
Fri Mar 28 17:36:18 2014,arduinoHose1,114.37,144.27,56.63,139.24,125.65
Fri Mar 28 17:36:20 2014,arduinoHose1,116.25,148.97,56.81,139.69,170.63
Fri Mar 28 17:36:21 2014,arduinoHose1,114.56,144.75,57.38,141.12,106.76
Fri Mar 28 17:36:23 2014,arduinoHose1,115.87,148.02,57.75,142.04,136.99
Fri Mar 28 17:36:24 2014,arduinoHose1,115.31,146.62,56.81,139.69,147.46
Fri Mar 28 17:36:26 2014,arduinoHose1,115.50,147.10,58.13,142.99,113.52
Fri Mar 28 17:36:27 2014,arduinoHose1,114.19,143.82,55.13,135.49,161.67
