Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
10,33.0158197,25.0856131,23.3804081,22.2005586,21.3093174,20.7011397,20.4708463,20.0950965,19.9260686,19.7286545,19.6569573,19.5964122,19.8141455,19.3106411,19.2994721,19.32167,19.295807,19.0889515,19.1942522,18.8559574,18.8178425,19.1347587,19.0645357,19.0111181,20.5945492,21.0791967,20.7239028,20.3115024,19.8634883,19.8156007,19.2511235,20.0313486,19.3326386,19.2378864,19.87841,19.286715,20.8229377,20.6418956,20.2788527,20.236917,20.2233864,20.6162318,20.7044356,20.7802719,20.3382923,20.3785704,20.4157003,20.1882997,21.2370751,27.3930183,22.7313456,20.1935304,19.8353505,19.9814648,19.9173041,19.9540149,19.6096011,19.596737,19.296812,19.5450544,0.030997284,-0.002666671,0.1872267,-0.0006231
11,34.4975359,25.0854025,23.1807703,22.0223194,21.1562972,20.5875257,20.3723891,20.0095031,19.8750371,19.6711469,19.603636,19.5374207,19.8607295,19.3298832,19.3084509,19.2975971,19.2652831,19.0819701,19.1967734,18.8573413,18.8359535,19.1505851,19.0757972,18.9912235,20.6434054,21.1025752,20.7165531,20.2912577,19.8424826,19.7866009,19.2205878,20.0042449,19.3117645,19.1995142,19.8529834,19.2475939,22.0145613,22.2461932,21.981525,20.7197593,20.1528138,20.5195017,20.601999,20.6907483,20.2343316,20.2848057,20.310559,20.099878,21.2526411,26.7143256,22.464338,20.1206486,19.8224538,19.9681864,19.9078289,19.9494769,19.6043005,19.6016948,19.3067062,19.5412762,0.026280306,-0.005647068,0.1870536,-0.00045
12,36.1881037,25.4851078,23.0230011,21.9038122,21.0471451,20.5181859,20.3030329,19.9837949,19.8584437,19.6587279,19.5729834,19.5060219,19.9102244,19.3292426,19.3135061,19.2809977,19.2418499,19.0779084,19.2067761,18.8688622,18.8429136,19.1875608,19.1051712,19.0278142,20.7798575,22.2042939,21.1193196,20.292888,19.7959184,19.7495004,19.1880249,19.9891698,19.30889,19.2027189,19.8379585,19.2412984,21.8650422,22.2752071,22.0953973,20.7586338,20.0983256,20.7396789,20.5600407,20.6476582,20.1665645,20.1942212,20.2397268,20.0241253,21.2270224,26.1670653,22.3084247,20.1006874,19.8256572,19.9793661,19.9212836,19.9682487,19.6173736,19.6178083,19.3114303,19.5611836,0.011792445,-0.01411767,0.1870536,-0.00045
13,37.3384118,26.0526623,22.8882678,21.7943453,20.9952372,20.4605661,20.2541304,19.9481643,19.841426,19.6481645,19.5669794,19.4992612,19.959295,19.3441354,19.3299091,19.2711934,19.2419286,19.0719058,19.199631,18.8461331,18.8361479,19.1663578,19.096888,19.0328293,20.9659925,22.4738882,21.3345808,20.280436,19.7849888,19.7336236,19.1641571,19.9900015,19.3059756,19.1960011,19.8361833,19.2269831,21.7237991,21.8595082,21.7199923,20.8323627,20.0464518,20.8354166,20.5502976,20.5984549,20.131393,20.141183,20.2022628,20.0276657,21.233212,25.781439,22.264978,20.079171,19.7881769,19.9396103,19.9050802,19.9566017,19.6231918,19.6179316,19.3294078,19.5875036,0.024258744,-0.024784354,0.1865805,2.31E-05
14,39.1129165,26.8192781,22.7991245,21.7024647,20.9453828,20.4296732,20.2224719,19.9130715,19.7991172,19.6240804,19.5812706,19.510508,20.0172557,19.3614667,19.3498878,19.2794066,19.2668542,19.1116748,19.21279,18.8608117,18.8158559,19.1631742,19.0910439,19.0254648,21.0482379,22.1823755,21.2266804,20.2772587,19.7666257,19.7274034,19.1708514,19.9776997,19.2948671,19.1924874,19.8273554,19.2375289,21.6437304,23.603444,22.7218592,21.1589426,20.2816464,20.7219052,20.5016298,20.5888753,20.119913,20.1437479,20.2021699,20.0503476,21.2410807,25.4819412,22.2288915,20.1238805,19.8253094,19.9277429,19.8677776,19.9284118,19.6189256,19.6083461,19.3445076,19.5931043,0.027964941,-0.029647107,0.1864074,0.0001962
15,39.3064702,26.6689666,22.7463373,21.6484912,20.9164004,20.4044756,20.2006859,19.8954553,19.7769415,19.6087389,19.56821,19.5077059,20.1223058,19.407675,19.3907524,19.2868632,19.2659519,19.1115327,19.2232928,18.8705527,18.8141937,19.1466911,19.0806445,19.0302625,21.1642689,22.0359519,21.1688664,20.2850869,19.7600343,19.7181464,19.1691886,19.9783186,19.2866908,19.1698618,19.8062692,19.2217501,22.6342666,25.5684422,24.0065813,22.0889324,20.9915991,20.8643297,20.5037063,20.579568,20.1102249,20.0968393,20.183365,20.0121882,21.2867595,25.2453256,22.1896643,20.17038,19.8501746,19.9526117,19.8975705,19.9392215,19.5997423,19.6149805,19.3264553,19.5872106,0.026617233,-0.03607849,0.1868113,-0.0002077
16,47.5769838,28.8058305,22.754284,21.6147513,20.8928726,20.3843573,20.1714493,19.8920368,19.7780813,19.600379,19.5385759,19.496314,20.2445758,19.4593421,19.4404924,19.3035814,19.2750691,19.1141938,19.236216,18.8880374,18.8286387,19.1432746,19.0798851,19.0196266,21.2834632,21.9684936,21.150653,20.3097539,19.7554821,19.7196675,19.1722322,19.9707245,19.2930417,19.1746976,19.7837582,19.2148044,23.1309579,26.6992446,24.5613993,22.3942834,21.2887912,20.9533445,20.5366158,20.5741503,20.1215049,20.0819234,20.1544026,19.9874079,21.3821925,25.0586201,22.1672006,20.1740708,19.8595638,19.97605,19.909996,19.9463269,19.6136806,19.5989248,19.3141916,19.5939357,0.017520204,-0.035921627,0.1868805,-0.0002769
17,64.4572654,37.8965632,24.6376867,21.82387,20.9709383,20.3732479,20.1599576,19.886618,19.7726632,19.611678,19.5479741,19.491657,20.3971063,19.5348411,19.5201229,19.3300786,19.3004196,19.1399426,19.2304165,18.9145462,18.8479284,19.1484953,19.078647,19.0096498,21.4074774,21.9619485,21.1501769,20.3601247,19.783846,19.726785,19.1861944,19.9767018,19.2886513,19.1923477,19.8040525,19.2161113,23.0633638,26.052821,25.5460922,23.6238351,22.2378719,21.5048055,20.8828055,20.6319916,20.1247084,20.0809512,20.1500129,19.9807423,21.513908,24.9095607,22.1165909,20.1879029,19.8730225,19.9655794,19.9109176,19.9491506,19.5925848,19.5990891,19.3196764,19.5967594,0.018530985,-0.041725558,0.1868228,-0.0002192
18,84.2190038,48.4325783,28.8827505,23.6301144,22.0063668,20.7637934,20.3934481,19.937529,19.7719161,19.6006723,19.5384885,19.472302,20.5368238,19.613486,19.5850554,19.3661865,19.3285412,19.1559197,19.2463952,18.9137984,18.8597268,19.164846,19.0820802,19.0134621,21.5266615,21.9839456,21.1592949,20.3802479,19.7823399,19.7419897,19.1903888,19.961522,19.3041143,19.1964204,19.8081212,19.2220822,22.9493012,25.2203687,24.8216874,24.0412061,23.6424292,22.7940025,22.1308748,21.2907392,20.6671329,20.1958984,20.1943271,19.9696244,21.6707326,24.7598237,22.0876838,20.2079154,19.8911459,19.9795231,19.9142269,19.9520801,19.6038639,19.6050546,19.3176674,19.5822215,0.023921817,-0.035137312,0.1870998,-0.0004962
19,78.0403797,45.2364511,28.1611041,23.2044744,21.8545399,20.8129444,20.551176,20.0246872,19.764112,19.5894453,19.5436003,19.4789307,20.6455596,19.6808918,19.637238,19.411952,19.3625186,19.1773782,19.254548,18.9284145,18.8648425,19.1680601,19.0993518,19.0261722,21.5959003,22.0129228,21.1921036,20.421022,19.8109748,19.7672291,19.1977818,19.9567586,19.315749,19.1867778,19.814816,19.2344811,23.0082226,24.7087153,24.3214224,23.9415383,23.9771151,22.90486,22.3952922,21.8138406,21.3595506,20.6190706,20.5331958,20.1304272,21.8263693,24.7396591,22.6902508,20.2806704,19.9821539,19.9801424,19.9330709,19.9690254,19.6113196,19.6166851,19.3247402,19.5904364,0.042789729,-0.031686326,0.1838227,0.0027809
