Time (s),Mass_Loss_2,Mass_Loss_3,Mass_Loss_4,Mass_Loss_5
119,0.0920802,0.0868761,0.0450144,0.076854
120,0.0948264,0.08938,0.0454646,0.0793235
121,0.0943418,0.0914801,0.0496209,0.0818276
122,0.0989343,0.093661,0.0499672,0.0841125
123,0.1003997,0.0954956,0.0530267,0.0842971
124,0.1035729,0.100215,0.0535,0.0841817
125,0.1045998,0.1001227,0.0575062,0.0863858
126,0.1072307,0.1033536,0.059261,0.0898246
127,0.1117078,0.1064691,0.0593303,0.0943597
128,0.1145348,0.1095154,0.0595496,0.0956406
129,0.1145117,0.1121924,0.0609004,0.0958252
130,0.1174195,0.1146386,0.0643986,0.0971407
131,0.1190696,0.1166118,0.065657,0.1009834
132,0.1208696,0.1188503,0.0666499,0.1016989
133,0.1247698,0.1214466,0.0682893,0.105657
134,0.1278853,0.1250467,0.0690397,0.1072725
135,0.1306084,0.1287276,0.072053,0.1092574
136,0.1329162,0.1314046,0.0770751,0.1106998
137,0.1336085,0.1332854,0.0789223,0.1130077
138,0.1348663,0.133897,0.0790147,0.1155234
139,0.1361356,0.1348893,0.0790493,0.1178082
140,0.1362048,0.1379241,0.0803886,0.1216279
141,0.1363433,0.1420434,0.0820511,0.1229549
142,0.1374971,0.1431742,0.0829631,0.1248243
143,0.1394818,0.1455859,0.0848796,0.1285978
144,0.1410973,0.1497283,0.0879275,0.1296825
145,0.1445589,0.1494745,0.091114,0.1334444
146,0.1454243,0.1518169,0.0920838,0.1373564
147,0.1460013,0.1559362,0.0927187,0.1391912
148,0.146209,0.1557862,0.0949816,0.1402874
149,0.1461859,0.1561901,0.0979602,0.1425377
150,0.1465321,0.157194,0.0987799,0.1470035
151,0.1469706,0.158971,0.1004309,0.1493114
152,0.1478706,0.1616134,0.102509,0.1493691
153,0.1514707,0.1605864,0.105707,0.1501077
154,0.1520477,0.1607133,0.1059725,0.1501423
155,0.1548401,0.1634827,0.1064921,0.1543427
156,0.1550478,0.1636096,0.1109831,0.1520348
157,0.1549785,0.1636211,0.1118836,0.1544004
158,0.1548978,0.163425,0.1137539,0.1556236
159,0.156294,0.1633442,0.1163747,0.1588663
160,0.1593979,0.1629634,0.1177947,0.1591201
161,0.1594325,0.1627442,0.1204386,0.1593394
162,0.1596633,0.1615095,0.122736,0.161555
163,0.1592825,0.1637596,0.1243985,0.1629167
164,0.1601364,0.1634596,0.126442,0.1624551
165,0.1605518,0.1649365,0.1285894,0.1635052
166,0.1604826,0.1643481,0.1316027,0.1647861
167,0.1607249,0.1679713,0.1323762,0.164313
168,0.158671,0.1676943,0.1344312,0.1653862
169,0.1598364,0.1678674,0.1359667,0.1687211
170,0.1599287,0.1635173,0.1369019,0.1682711
171,0.1602056,0.1628942,0.1395573,0.1681326
172,0.1600326,0.1632403,0.1411274,0.1680518
173,0.1605056,0.1633788,0.1421664,0.1692981
174,0.1607826,0.1633788,0.1461611,0.1705213
175,0.1635519,0.1633557,0.1459532,0.1705905
176,0.1623288,0.1659058,0.146288,0.1703021
177,0.1643827,0.1642096,0.1468768,0.170279
178,0.1657674,0.1685598,0.1476273,0.1705444
179,0.1652366,0.1638634,0.150248,0.1702444
180,0.1643366,0.165952,0.1506752,0.1706136
181,0.1643481,0.1679482,0.1508715,0.1704059
182,0.1641058,0.1684444,0.1505366,0.1703713
183,0.1650981,0.1670482,0.152026,0.173937
184,0.1663674,0.1639211,0.1508945,0.1754834
185,0.1656404,0.1676713,0.1516103,0.1752756
186,0.1661482,0.1638404,0.1535615,0.1756218
187,0.1660443,0.1649019,0.1533652,0.1757718
188,0.166102,0.167579,0.1535499,0.1763257
189,0.1663212,0.1673482,0.1536885,0.1770066
190,0.1664712,0.167002,0.1535268,0.1769027
191,0.1661712,0.1676136,0.1534922,0.177122
192,0.1658943,0.1773607,0.1535615,0.1775489
193,0.1665174,0.1814225,0.1530997,0.1770181
194,0.1665289,0.182847,0.1530997,0.177572
195,0.1662635,0.1828334,0.1529727,0.1775259
196,0.1661712,0.1827758,0.1532959,0.1776874
197,0.1663789,0.1827853,0.1535037,0.1776643
198,0.1661828,0.1828104,0.1531228,0.1772489
199,0.1658828,0.1830532,0.1531228,0.1773182
200,0.1663559,0.1828623,0.1531458,0.1804916
201,0.1659866,0.1828122,0.1531343,0.1815417
202,0.1667597,0.1829565,0.153192,0.1797415
203,0.1635288,0.1825274,0.1571635,0.1814724
204,0.1714906,0.1828085,0.1553163,0.1815532
205,0.1831184,0.1835157,0.1559513,0.1809878
206,0.183226,0.1835448,0.158295,0.1811839
207,0.1834242,0.1835428,0.1579832,0.1813916
208,0.1836878,0.1835217,0.1584912,0.1811839
209,0.1836529,0.1835332,0.1584681,0.1812763
210,0.1836839,0.1835794,0.1580179,0.1813801
211,0.1834683,0.1834908,0.1578332,0.1813224
212,0.1834877,0.183518,0.1582257,0.1812301
213,0.1836088,0.182884,0.1586644,0.181207
214,0.1838147,0.1830069,0.1583758,0.1818417
215,0.1838261,0.1829123,0.1582257,0.181357
216,0.1831221,0.182851,0.1580756,0.1815532
217,0.1836319,0.1831652,0.1580294,0.1809762
218,0.1833415,0.1835141,0.1585836,0.1812763
219,0.1832953,0.1834429,0.1593225,0.1812993
220,0.1837916,0.1835563,0.1598766,0.1811147
221,0.1857647,0.1834409,0.1601537,0.1813339
222,0.1858954,0.1829643,0.1598189,0.181057
223,0.1852949,0.1828818,0.1598536,0.1810801
224,0.1831413,0.1828067,0.1596919,0.1814032
225,0.1835874,0.1830184,0.1600267,0.1813224
226,0.1836319,0.1835544,0.1595187,0.1811032
227,0.1831008,0.1834967,0.1600729,0.1812532
228,0.1833356,0.1835275,0.1596111,0.1811724
229,0.1838819,0.1835581,0.1599113,0.1823264
230,0.1835126,0.1835295,0.1598766,0.1825802
231,0.1835012,0.1832733,0.1599921,0.1822917
232,0.1855973,0.1827315,0.1609272,0.184415
233,0.1859974,0.183028,0.1647025,0.1843227
234,0.1860843,0.1826563,0.1650142,0.181934
235,0.1859859,0.1826083,0.1650258,0.1852459
236,0.1858937,0.1828007,0.1652913,0.1832495
237,0.1859706,0.1828431,0.1642984,0.1837111
238,0.1859996,0.1828702,0.1646679,0.1834111
239,0.1858494,0.1826143,0.1648179,0.1835726
240,0.1859438,0.18309,0.1651066,0.1865845
241,0.1859881,0.1836762,0.1647718,0.187323
242,0.1853123,0.1836819,0.164691,0.1835034
243,0.1842417,0.1837051,0.1647487,0.1836765
244,0.1847381,0.1836703,0.164841,0.1855344
245,0.1846459,0.1836528,0.1648872,0.1876923
246,0.1859554,0.1836646,0.1649796,0.1880616
247,0.1852183,0.1836762,0.1649449,0.1878077
248,0.1836127,0.1836819,0.16431,0.1878192
249,0.184007,0.1836357,0.1648064,0.1877615
250,0.1837281,0.1836589,0.1646101,0.1876692
251,0.1837666,0.1836588,0.1648641,0.1876692
252,0.1838838,0.1836742,0.1651297,0.18745
253,0.183576,0.1836801,0.1650835,0.1873923
254,0.1838261,0.183684,0.1648526,0.1877154
255,0.1836012,0.1836531,0.1646679,0.1879692
256,0.1837011,0.1830269,0.1646794,0.1879923
257,0.1840091,0.1828644,0.1650373,0.1873692
258,0.1837301,0.182878,0.164841,0.1875307
259,0.1838456,0.1829338,0.1649219,0.1881308
260,,0.1828797,0.165095,0.1845074
261,,0.1827953,0.165095,0.1834111
262,,0.182866,0.1646679,0.1854074
263,,0.1827085,0.1648179,0.1855228
264,,0.1835758,0.1652105,0.183688
265,,0.1836452,0.1664366,0.1832726
266,,0.1836685,0.1665844,0.1838034
267,,0.183624,0.1663996,0.1838265
268,,0.183653,0.1667113,0.1840458
269,,0.1836588,0.1665728,0.1838727
270,,0.1836859,0.1663188,0.1839881
271,,0.1836455,0.1662611,0.1837688
272,,0.1836242,0.1667575,0.1836765
273,,0.1836416,0.1669677,0.1839419
274,,0.1836357,0.1668614,0.1838381
275,,0.1836588,0.166552,0.1841727
276,,0.1836473,0.1659147,0.1889501
277,,0.1836242,0.1667691,0.1839188
278,,0.1836762,0.1667691,0.1855228
279,,0.1836493,0.1667367,0.1885693
280,,0.1836955,0.166552,0.1881654
281,,0.1836261,0.1666883,0.1876692
282,,0.1836453,0.1668291,0.1883501
283,,0.1835854,0.1668037,0.1880846
284,,0.1836838,0.1667829,0.1879923
285,,0.1836666,0.1665035,0.1882116
286,,0.1836877,0.1667829,0.1883616
287,,0.1836724,0.1663188,0.1856036
288,,0.1836781,0.1666883,0.1848535
289,,0.183682,0.1666328,0.1842535
290,,0.183678,0.1664458,0.1837342
291,,0.1836801,0.166492,0.1866999
292,,0.1831191,0.166365,0.1882
293,,0.1829648,0.1662726,0.1864922
294,,0.1830682,0.1665382,0.1846804
295,,0.1829528,0.166492,0.1844843
296,,0.182874,0.1667229,0.1846689
297,,0.1829392,0.1660879,0.1846112
298,,0.1829624,0.166238,0.1843112
299,,0.1828722,0.1663881,0.1845189
300,,0.1829568,0.1665151,0.1839534
301,,0.182745,0.166619,0.1842535
302,,0.1829066,0.1661687,0.1882693
303,,0.1829933,0.1659147,0.1892501
304,,0.1829436,0.1662495,0.1862152
305,,0.1830341,0.1662726,0.1850036
306,,0.1828876,0.1670369,0.1853036
307,,0.1831377,0.1663765,0.1885231
308,,0.1834218,0.1668614,0.1882577
309,,0.1829492,0.1665959,0.1882577
310,,0.1830915,0.1663304,0.1881077
311,,0.1818733,0.166365,0.1868268
312,,0.1831458,0.1662842,0.1842996
313,,0.1832535,0.1668614,0.1842535
314,,0.1830629,0.1669653,0.184565
315,,0.182955,0.1664574,0.1840342
316,,0.1832574,0.1665728,0.1842881
317,,0.1832189,0.166619,0.1842535
318,,0.1830801,0.166933,0.1842189
319,,0.1831864,0.166746,0.1842881
320,,0.1833966,0.1667344,0.1841035
321,,0.1831513,0.1668845,0.1841842
322,,0.1830587,0.1668383,0.1841381
323,,0.1829414,0.166873,0.1847151
324,,0.1829991,0.1669076,0.1842304
325,,0.1829624,0.1668268,0.1843112
326,,0.1835121,0.167,0.1845881
327,,0.1829857,0.1670231,0.1841842
328,,0.18292,0.1667344,0.1844035
329,,0.1829508,0.1666883,0.1843227
330,,0.1827201,0.1668868,0.1843227
331,,0.1821445,0.1670369,0.1837457
332,,0.1807184,0.1659494,0.1867691
333,,0.1812242,0.1645293,0.1878769
334,,0.1811435,0.1653144,0.1876577
335,,0.1830106,0.1671039,0.1876
336,,0.1829762,0.1669192,0.1882231
337,,0.1830162,0.166873,0.1875654
338,,0.1830009,0.1671039,0.1879808
339,,0.1829839,0.1671293,0.1879462
340,,0.1829547,0.1671154,0.1881077
341,,0.1829395,0.1668268,0.1881077
342,,0.1830015,0.1668499,0.1883154
343,,0.1836801,0.1672216,0.1882116
344,,0.1837033,0.1666883,0.1876115
345,,0.1836955,0.1675334,0.1847612
346,,0.1837129,0.1670831,0.1839419
347,,0.1836762,0.1668868,0.184392
348,,0.183707,0.1668961,0.1848651
349,,0.1836838,0.1601075,0.1844381
350,,0.183684,0.1652705,0.184565
351,,0.1836916,0.1647949,0.1875769
352,,0.1836936,0.1625205,0.1879462
353,,0.1836801,0.1663304,0.1885231
354,,0.1837109,0.1666536,0.1886385
355,,0.1836879,0.1668961,0.1865268
356,,0.183682,0.1675657,0.1875884
357,,0.1837012,0.1671408,0.1881077
358,,0.1836609,0.1668961,0.1879115
359,,0.1836646,0.1669215,0.1875654
360,,0.183684,0.1674156,0.1841496
361,,0.1836877,0.1671501,0.1840688
362,,0.1836703,0.1672078,0.1842189
363,,0.1837033,0.1672309,0.1841958
364,,0.1836936,0.1672193,0.1844612
365,,0.183684,0.1668499,0.1840804
366,,0.1836318,0.1671039,0.1843343
367,,0.1836762,0.1668522,0.1876808
368,,0.1836762,0.1670254,0.1895963
369,,0.1836452,0.1669769,0.1872076
370,,0.1836742,0.1668383,0.1839881
371,,0.1836762,0.1673509,0.184415
372,,0.1836936,0.1673025,0.1838496
373,,0.1836705,0.1669561,0.1837919
374,,0.1836877,0.1669215,0.1840688
375,,0.1837091,0.1668753,0.1840458
376,,0.1836703,0.1669307,0.1841612
377,,0.1836357,0.166933,0.1841496
378,,0.1836549,0.1666421,0.1838727
379,,0.1836801,0.1670115,0.183538
380,,0.183684,0.1668383,0.1837919
381,,0.1836435,0.1670923,0.1841265
382,,0.183682,0.1668499,0.1839534
383,,0.1836646,0.167381,0.1840227
384,,0.1836762,0.1668499,0.1835611
385,,0.1831285,0.1669677,0.1839073
386,,0.1829971,0.1669422,0.1840342
387,,0.1829297,0.1666536,0.184115
388,,0.1829974,0.1669884,0.1838727
389,,0.1830569,0.1668614,0.183388
390,,0.1829452,0.1672771,0.1835842
391,,0.1832015,0.167,0.1839419
392,,0.183184,0.1666675,0.1840573
393,,0.1831919,0.1664943,0.184392
394,,0.1828876,0.1670138,0.1838034
395,,0.1830745,0.166806,0.1837227
396,,0.1830879,0.1668522,0.1839188
397,,0.1829991,0.1664804,0.1842766
398,,0.1829894,0.1668268,0.1836765
399,,0.1829703,0.1671385,0.1838727
400,,0.1826702,0.1667945,0.1839534
401,,0.183009,0.166746,0.1842073
402,,0.1829261,0.1667344,0.1842073
403,,0.183632,0.1671732,0.1839881
404,,0.1836781,0.1670808,0.1839304
405,,0.1836955,0.1669099,0.1842419
406,,0.1836338,0.1670808,0.1842419
407,,0.1837012,0.1668153,0.1838496
408,,0.1836646,0.1666536,0.1839765
409,,0.183682,0.1669076,0.1840804
410,,0.1836607,0.1664227,0.1838496
411,,0.1837013,0.1667229,0.1840919
412,,0.183655,0.1667575,0.1839996
413,,0.1836879,0.1668268,0.1840804
414,,0.1837051,0.1668961,0.1837919
415,,0.183684,0.1669076,0.1835957
416,,0.1836646,0.1671039,0.1836996
417,,0.1837109,0.1671154,0.1839765
418,,0.1837129,0.1664689,0.1836303
419,,0.1836974,0.1669192,0.1838034
420,,0.1836994,0.1668637,0.1838381
421,,0.1836513,0.1667137,0.1838842
422,,0.1837111,0.1671154,0.1841265
423,,0.1836974,0.1670716,0.1840573
424,,0.1836973,0.1667229,0.1841496
425,,0.1836993,0.1666074,0.1837804
426,,0.1836956,0.1671847,0.1851997
427,,0.1836744,0.1673463,0.1886155
428,,0.1837148,0.1672655,0.1885347
429,,0.1830903,0.1669677,0.1888578
430,,0.177984,0.1670115,0.189204
431,,0.1837304,0.166746,0.1876461
432,,0.1837304,0.1665728,0.1841381
433,,0.1837304,0.1667575,0.1841727
434,,0.1837304,0.167127,0.1842881
435,,0.1775724,0.1673717,0.1837227
436,,-0.3052377,0.1670231,0.1838957
437,,-0.7510418,0.1672101,0.1840919
438,,-0.7547688,0.1668961,0.1839188
439,,-0.7520111,0.1669769,0.1836765
440,,-0.4406693,0.1671616,0.1838496
441,,,0.1668291,0.1838957
442,,,0.166716,0.1862152
443,,,0.1669884,0.1897463
444,,,0.1663073,0.1884077
445,,,0.1665751,0.1838842
446,,,0.1673001,0.1839304
447,,,0.1669653,0.183815
448,,,0.1655684,0.1838265
449,,,0.1659378,0.1838496
450,,,0.1650835,0.1841381
451,,,0.1666421,0.1850613
452,,,0.1672909,0.1888693
453,,,0.1667344,0.1889501
454,,,0.1670138,0.189077
455,,,0.1662726,0.1884885
456,,,0.1661456,0.1890655
457,,,0.1652913,0.1853151
458,,,0.167127,0.1888116
459,,,0.1668499,0.1886501
460,,,0.167,0.1889386
461,,,0.1669561,0.188177
462,,,0.1672193,0.1882
463,,,0.1670254,0.1886962
464,,,0.1672655,0.1893425
465,,,0.1674733,0.1886616
466,,,0.1674641,0.1886847
467,,,0.1673117,0.1887424
468,,,0.1674849,0.1886962
469,,,0.1671062,0.1879462
470,,,0.1670831,0.1843227
471,,,0.1672447,0.184565
472,,,0.1670462,0.1848189
473,,,0.1670577,0.186873
474,,,0.1674179,0.1846689
475,,,0.1673232,0.1865614
476,,,0.1672332,0.1880385
477,,,0.1673232,0.1879115
478,,,0.167658,0.1882577
479,,,0.1669792,0.1848305
480,,,0.1651551,0.1841842
481,,,0.1655222,0.1842881
482,,,0.1677181,0.1844035
483,,,0.1669422,0.1841381
484,,,0.1665382,0.1840804
485,,,0.1667021,0.1841727
486,,,0.1671547,0.1836996
487,,,0.1672216,0.1842073
488,,,0.1675541,0.1840573
489,,,0.1670115,0.1840111
490,,,0.1670485,0.1838034
491,,,0.1668314,0.1840804
492,,,0.1666906,0.1839881
493,,,0.1651643,0.1840804
494,,,0.1641368,0.1846227
495,,,0.1643446,0.1845997
496,,,0.1643331,0.1897694
497,,,0.1641368,0.189931
498,,,0.1644947,0.1895271
499,,,0.16431,0.1898964
500,,,0.1642869,0.189504
501,,,0.1643792,0.1901387
502,,,0.1646794,0.1899194
503,,,0.164587,0.1862152
504,,,0.1642984,0.1872769
,,,0.1639405,0.1888347
,,,0.16573,0.1841496
,,,0.1657646,0.1839996
,,,0.1674525,0.1841727
,,,0.1674433,0.1838842
,,,0.1676396,0.183965
,,,0.1650743,0.1842304
,,,0.1653721,0.1841727
,,,0.1656838,0.1842881
,,,0.1658224,0.1843804
,,,0.1655222,0.1843573
,,,0.1656838,0.1846112
,,,0.1654067,0.1875654
,,,0.1653952,0.1878885
,,,0.1654414,0.1877615
,,,0.1655915,0.1859613
,,,0.1655337,0.1878538
,,,0.1654529,0.188904
,,,0.1655568,0.1887539
,,,0.1649449,0.1886732
,,,0.1655568,0.1885347
,,,0.1655107,0.186446
,,,0.1656146,0.1838842
,,,0.1655568,0.1838496
,,,0.1655222,0.1853959
,,,0.1656146,0.189504
,,,0.1657877,
,,,0.1659517,
,,,0.1646332,
,,,0.1646794,
,,,0.1644485,
,,,0.1643215,
,,,0.1643446,
,,,0.164183,
,,,0.1639636,
,,,0.1645293,
,,,0.1643446,
,,,0.164691,
,,,0.1645293,
