Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,20.4668854,19.3165559,19.537306,19.8183116,19.9672962,20.0050539,20.2223004,20.1289694,20.1145406,20.1199843,20.1306926,20.1474836,19.2116731,19.0645456,19.3738097,19.4384421,19.5550523,19.5663672,19.7746053,19.4937409,19.4952103,19.8171884,19.7841524,19.7906988,20.2940479,20.5573329,20.3632872,20.3113778,19.9962654,19.9965153,19.519111,20.2759991,19.7936129,19.7291065,20.3730336,19.8283418,20.1191246,20.5830442,20.4101858,20.3340173,19.9816151,20.282317,20.3161634,20.6076023,20.2809844,20.3522831,20.4152443,20.2907498,20.288345,20.3038618,20.1546512,20.0024633,20.1990815,20.3455338,20.4012714,20.491496,20.1470622,20.2386832,19.9366679,20.2426803,0.035040408,-0.003294123,NaN,#VALUE!
1,38.6045549,22.0824852,21.2906913,20.69601,20.5754231,20.4145985,20.3380244,20.1816928,20.1243476,20.1278935,20.1435363,20.1553872,19.34271,19.1283219,19.4143708,19.4463538,19.5846081,19.5792197,19.8167113,19.5206479,19.5141401,19.8380124,19.7950956,19.7894909,20.3775575,20.6479599,20.3829675,20.3348385,20.0015119,20.0218851,19.535379,20.2778322,19.8299645,19.760924,20.3733194,19.842299,20.2366823,21.0933153,21.1706493,21.3364594,20.6485649,20.9054478,20.6780413,20.7182931,20.356402,20.5120115,20.4967623,20.3210149,20.4764625,20.4422295,20.2118696,20.0657838,20.2430295,20.3830279,20.4239477,20.5134115,20.1431715,20.257945,19.960871,20.2615608,0.0336927,0.007372561,NaN,#VALUE!
2,39.3720784,24.8164582,22.1861431,21.1424411,20.9077458,20.8114396,20.8491041,20.334909,20.1689567,20.1466832,20.1589046,20.1885844,19.3995066,19.1273613,19.4240412,19.4754061,19.5920046,19.58358,19.8233513,19.5439995,19.5264769,19.8469229,19.8005911,19.8067564,20.4183825,20.6936708,20.3687152,20.3558848,20.0066202,20.0099167,19.5640495,20.2966162,19.8683408,19.7955282,20.3782871,19.8537262,20.2841528,21.1168831,21.5232469,21.9367926,22.2203516,22.406539,22.0990317,21.5307256,21.1647556,21.0403428,20.7093399,20.444758,20.5303727,20.4718464,20.2206333,20.1053045,20.4101185,20.4779669,20.4501688,20.5312828,20.1682506,20.2667049,19.9677409,20.2703195,0.024595671,0.007058835,NaN,#VALUE!
3,40.3349703,24.6426398,22.1277811,21.1640301,20.8553512,20.5966119,21.1177219,20.5581366,20.40092,20.3862768,20.2724041,20.2211944,19.4264561,19.1577338,19.4513509,19.4996927,19.6417207,19.6147075,19.8335797,19.5515699,19.532526,19.8510729,19.8028409,19.8139423,20.449502,20.7380349,20.3888138,20.3619288,19.9982475,20.0246958,19.5647815,20.2943102,19.903206,19.88094,20.487148,19.8642988,20.3706114,21.3823503,22.5996245,22.7461669,23.5617525,24.0049811,22.6695703,21.8441815,21.4630887,21.333182,21.0955568,20.7626422,20.5860856,20.5313386,20.262321,20.1268859,20.4495467,20.6305186,20.4698454,20.5471605,20.1784363,20.2575372,19.9600845,20.2664647,0.024595671,0.004549027,NaN,#VALUE!
4,46.5681594,23.8323777,21.8611349,20.8895699,20.6873794,20.6339626,21.1322893,20.4990668,20.4162694,20.4806135,20.5360455,20.3776972,19.4543497,19.1966495,19.4659349,19.4907316,19.6418785,19.6407026,19.8595694,19.5786975,19.5433232,19.8580663,19.8052756,19.8239685,20.5096741,20.8087618,20.4318775,20.3673973,19.9965042,20.0256097,19.5770939,20.3001635,19.9029759,19.870833,20.7112055,20.0539414,20.5380897,21.5038618,24.1165594,23.7931958,24.6473133,24.6427003,23.2578134,22.4036275,22.0570963,21.8332067,21.5865446,21.0753404,20.6097571,20.5735858,20.2932122,20.1486761,20.4223591,20.599541,20.4806193,20.5617325,20.1812419,20.2667942,19.9701071,20.2567502,0.024932598,0.007058835,NaN,#VALUE!
5,52.2856943,23.1577673,21.4646406,20.7253501,20.5746988,20.5531716,21.1027516,20.4603893,20.4003739,20.4487694,20.4962359,20.4953746,19.5072124,19.2403977,19.5119253,19.5090169,19.6442058,19.6491126,19.8729169,19.5977415,19.5764268,19.8664705,19.8239326,19.8251593,20.62177,20.9082116,20.4949547,20.4027354,20.0098357,20.0366721,19.5889227,20.3135048,19.9150296,19.8828947,20.6454646,20.0595439,20.8206206,22.5658738,25.8849989,25.6392359,25.149913,24.0973539,22.8465056,22.4372762,22.1839544,22.0207986,21.7176575,21.2773709,20.7811262,20.7365673,20.3504251,20.1709856,20.4089763,20.5755316,20.5154401,20.5825099,20.1906329,20.285298,19.9810193,20.2615881,0.034366554,0.015843163,NaN,#VALUE!
6,47.7429035,22.469575,21.1246101,20.5881364,20.4670312,20.4527229,20.9260771,20.4104102,20.3739357,20.4056203,20.4424675,20.4515001,19.4955736,19.220398,19.4934609,19.5045968,19.6063707,19.6104943,19.8472209,19.5845847,19.5750465,19.8814207,19.8373643,19.8347888,20.5926644,20.9003848,20.504588,20.3911104,20.0130104,20.0360524,19.5704456,20.3011115,19.9257935,19.8773308,20.5920914,20.0729681,21.2580057,24.1513084,26.4733309,26.0897699,24.8269072,23.547038,22.3132795,22.1081532,21.9537254,21.9193247,21.5661075,21.2422424,20.7763355,20.7192612,20.3456238,20.1551717,20.3616529,20.5403605,20.5326509,20.5761959,20.2097406,20.2839147,19.9796385,20.2632418,0.033355773,0.005647068,NaN,#VALUE!
7,44.5642471,21.9680369,20.8722699,20.4764848,20.3670989,20.3573554,20.77875,20.3799458,20.3279069,20.3436365,20.3858114,20.3967715,19.4350732,19.1994102,19.4914733,19.488933,19.600206,19.58647,19.8190205,19.5510677,19.5445632,19.8722174,19.8152494,19.7971129,20.5827011,20.8733603,20.5022198,20.3758453,20.000402,20.0097645,19.5395894,20.3040612,19.8931117,19.8583038,20.5503119,20.0368611,21.4104061,25.2721213,27.5108952,25.4736005,23.8747959,22.9258708,22.0070476,21.8606385,21.6804494,21.8013665,21.423471,21.1219947,20.6932215,20.660822,20.3186437,20.1399509,20.3441577,20.493635,20.5003617,20.5693294,20.1854205,20.2846389,19.9864382,20.2503047,0.029312649,0.000313726,NaN,#VALUE!
8,41.5256641,21.6083432,20.7217904,20.3984475,20.3201611,20.3096613,20.6972937,20.3269255,20.2908361,20.2982057,20.3434289,20.3506167,19.4196345,19.19613,19.4878166,19.4814744,19.5783219,19.5619109,19.8016828,19.5310722,19.5211476,19.8526108,19.8055181,19.7945969,20.5676488,20.9000567,20.4913502,20.3960985,19.9857407,20.0140804,19.5423866,20.2833166,19.8697147,19.823494,20.5250233,20.0126976,21.8107738,26.6712469,27.6411091,25.1615429,23.1972392,22.4795444,21.7293441,21.6701098,21.4455727,21.5830695,21.2635416,21.000391,20.6356981,20.6211427,20.2956347,20.1256606,20.3401179,20.5036433,20.5058159,20.5652907,20.2022594,20.2965434,19.9930291,20.2660023,0.036388116,0.001098041,NaN,#VALUE!
9,38.3835957,21.3889142,20.6111636,20.3375126,20.2755274,20.2540224,20.6143409,20.2951959,20.2351867,20.237231,20.302971,20.3268774,19.456658,19.1913581,19.4784918,19.4649261,19.5632969,19.5567572,19.7744959,19.4997104,19.5068758,19.8463218,19.7969505,19.7943829,20.5776942,20.8873243,20.4858216,20.3894354,20.0090565,20.0093136,19.5471159,20.2717114,19.8452794,19.7937252,20.4918669,19.958257,21.7871893,27.596751,26.9758167,24.4671763,22.7280326,22.1737028,21.5529117,21.5695073,21.2858235,21.3819028,21.1427686,20.8883595,20.6461829,20.6130375,20.307262,20.1251416,20.331249,20.5008496,20.5068143,20.5579447,20.1911123,20.2891909,19.9822599,20.2643445,0.033018846,0.016784341,NaN,#VALUE!
