Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,North TC 01,North TC 02,North TC 03,North TC 04,North TC 05,North TC 06,North TC 07,North TC 08,North TC 09,North TC 10,North TC 11,North TC 12,East TC 01,East TC 02,East TC 03,East TC 04,East TC 05,East TC 06,East TC 07,East TC 08,East TC 09,East TC 10,East TC 11,East TC 12,South TC 01,South TC 02,South TC 03,South TC 04,South TC 05,South TC 06,South TC 07,South TC 08,South TC 09,South TC 10,South TC 11,South TC 12,West TC 01,West TC 02,West TC 03,West TC 04,West TC 05,West TC 06,West TC 07,West TC 08,West TC 09,West TC 10,West TC 11,West TC 12,North Heat Flux,South Heat Flux,Lcell (kg),Mass Loss
0,19.5815957,18.0738999,18.0219685,18.0660304,18.0828389,18.0106551,17.9947737,17.9481741,17.9283369,17.8650116,17.8592825,17.8294493,17.5395928,17.4069718,17.7049567,17.6885714,17.7666139,17.7438707,17.9513352,17.6575838,17.5990486,17.8072433,17.7614779,17.6633563,18.3341474,18.1709781,18.1848334,18.0468674,18.0783704,18.1552637,17.5692372,18.120956,17.7820205,17.6306794,17.9982804,17.7132,18.2707465,18.4931643,18.200438,18.2422049,18.1307213,18.2832904,18.1705807,18.3777334,18.0203978,18.0471763,18.0946283,17.9655821,18.1551511,18.0831147,18.0334372,17.8826804,18.040148,18.1275412,18.1349434,18.1941701,17.9808384,17.9928976,17.7063367,18.0215078,0.0239854,0.0131842,0.1835077,0.0118051
1,39.654827,30.1488458,19.8315603,18.3153,18.1804479,18.0192647,18.0007209,17.9499378,17.9183073,17.8652536,17.8580027,17.8198038,17.670734,17.5069087,17.7660314,17.7215324,17.7744641,17.7418319,17.9584282,17.658588,17.5893978,17.7983574,17.7343377,17.6662617,18.3990739,18.2476452,18.2056182,18.06992,18.068351,18.1619719,17.5683365,18.1230999,17.7853552,17.6233603,18.0088412,17.7074053,18.3611235,18.5630327,18.2972798,18.4573323,18.3214462,18.4017871,18.2393089,18.381067,18.0298145,18.0543161,18.0933993,17.9666343,18.2405951,18.1844946,18.0709901,17.8993288,18.0507097,18.1457082,18.1751613,18.1910348,18.0225585,17.9935753,17.7024425,18.0141987,0.0265556,0.0067908,0.1978515,-0.0025387
2,111.9187852,39.9317247,20.6615499,18.3306126,18.2163048,18.0151835,17.9795235,17.9469979,17.9100408,17.9049288,17.861911,17.8214278,17.7499787,17.5682716,17.7927481,17.7315272,17.7681024,17.7297585,17.9372253,17.6480405,17.5879801,17.7908543,17.7287341,17.6378402,18.4379906,18.2945128,18.2487072,18.0821875,18.0517335,18.1331732,17.5555031,18.1365196,17.7676249,17.6101841,18.0040403,17.6980374,18.4258804,18.6008129,18.5908043,18.6403431,18.6704639,18.775864,18.5838727,18.5336373,18.1827786,18.0955391,18.1311948,17.9724803,18.2734249,18.2123814,18.0867232,17.9074593,18.0512313,18.1348216,18.2121865,18.1896586,18.2051557,18.1131026,17.9102371,18.1131693,0.027121,-0.001566,0.2300586,-0.0347458
3,114.557051,38.6755266,20.3874872,18.30925,18.2033012,17.9968543,17.9840156,17.91801,17.914914,17.9033352,17.8378698,17.8521553,17.8145861,17.607388,17.8238496,17.7550421,17.7843824,17.7254995,17.9523713,17.6483471,17.580677,17.7896399,17.7282831,17.6564034,18.5045012,18.3704759,18.290856,18.0859175,18.0702796,18.1448881,17.56266,18.1295997,17.768701,17.6196324,18.0073971,17.7082437,18.6010123,19.399531,19.7567328,19.4915174,19.2550452,19.1879928,18.8635358,18.6829416,18.2431544,18.1384555,18.2049113,18.0530225,18.3189729,18.2723538,18.1277179,17.9397243,18.0690455,18.1362755,18.1851235,18.1873114,18.156059,18.1195002,17.9402153,18.2666594,0.0275837,-0.002021,0.2067485,-0.0114357
4,95.9642662,34.6030951,20.0491308,18.3014953,18.2050499,18.0134369,17.9869056,17.9372613,17.9094347,17.8879617,17.8327712,17.8409765,17.8292709,17.6163664,17.8362439,17.7621181,17.7918374,17.7329568,17.9575455,17.6436283,17.5797648,17.7898673,17.7334548,17.6657601,18.537828,18.4018788,18.3123827,18.1009717,18.0693693,18.1314244,17.5678357,18.1359135,17.7660111,17.6142769,18.0142151,17.6968028,18.7545045,20.5281664,20.2859062,19.8132432,19.5732646,19.2157001,18.99043,18.7178783,18.1982724,18.1125629,18.172557,18.0058482,18.3520142,18.309186,18.1539224,17.957574,18.0732009,18.1461394,18.1885185,18.2070568,18.127522,18.0913376,17.8842863,18.2217832,0.0279435,-0.0054212,0.1835423,0.0117705
5,86.4447948,32.1404775,19.8145885,18.2688937,18.188028,18.0123897,17.9835755,17.9461058,17.909148,17.8914802,17.8522677,17.8342248,17.8251791,17.6263529,17.8279733,17.7473742,17.7843222,17.7360962,17.9553569,17.6642676,17.5988841,17.8051764,17.7449594,17.678024,18.5474333,18.4148965,18.2995449,18.1041056,18.0573032,18.1478694,17.5664069,18.1455182,17.7909983,17.6297689,18.0198091,17.6959307,18.7904907,20.7819689,20.429608,19.6338596,19.3570832,19.0522531,18.8132368,18.6676009,18.1441818,18.0907714,18.1370768,17.9764599,18.3534226,18.300336,18.1595147,17.9597453,18.0597773,18.1509722,18.19031,18.2023814,18.1080282,18.0821026,17.8461455,18.1722628,0.0297427,-0.0129639,0.1824345,0.0128783
6,77.4751728,30.0373666,19.6214285,18.2431679,18.1794078,18.0167006,17.9760946,17.9416667,17.9088943,17.8847579,17.8565793,17.833211,17.8040004,17.6268597,17.8379846,17.7421751,17.7795089,17.7415516,17.9710848,17.661732,17.601675,17.8083463,17.7397605,17.6606567,18.5433753,18.3891731,18.279512,18.0825643,18.0578089,18.1518014,17.5749025,18.1342319,17.7903271,17.627955,18.025222,17.7043898,18.7636023,20.5482737,20.276395,19.4861765,19.139925,18.9186184,18.6993093,18.6114403,18.1473127,18.081731,18.1265164,17.9818724,18.3364087,18.2943448,18.1569406,17.9609773,18.05378,18.1377477,18.1691055,18.2051337,18.0875924,18.0593783,17.8215142,18.1415645,0.0262472,-0.0146161,0.1816152,0.0136976
7,75.1809507,29.2151794,19.4923778,18.2242368,18.1581864,18.0160172,17.9856823,17.9459295,17.9226676,17.8920657,17.8657879,17.8568642,17.8337533,17.6394921,17.8247569,17.7441552,17.7860508,17.7541884,17.9719241,17.6751251,17.6108853,17.8107067,17.7508711,17.6607352,18.5533437,18.3953344,18.289098,18.0925248,18.0643462,18.1545405,17.5947661,18.1525685,17.8105355,17.6375241,18.0439116,17.7215642,18.765557,20.6420717,20.0855601,19.329325,18.9982929,18.8381281,18.6134667,18.5814692,18.1314008,18.0802639,18.1307549,17.9807863,18.3246787,18.2799583,18.1471131,17.947719,18.0507905,18.1237301,18.1547074,18.1850346,18.0538148,18.0377589,17.7782128,18.1184332,0.0248592,-0.0079115,0.1817883,0.0135245
8,88.5113894,32.0452061,19.604189,18.2289584,18.1610086,18.0268269,17.9942102,17.9628299,17.9388057,17.8918438,17.8762193,17.8577838,17.8738601,17.6442182,17.8348004,17.7538253,17.8120725,17.7764176,17.9857815,17.6943085,17.6350189,17.8359739,17.7548344,17.6768675,18.566818,18.4072779,18.2827931,18.0945848,18.0724864,18.1573625,17.5934024,18.1550097,17.8217065,17.6528898,18.048237,17.7331206,18.790017,20.6258979,20.0857012,19.3271882,18.9072595,18.770639,18.5748388,18.5656483,18.1201392,18.0967632,18.1407862,17.990815,18.3320398,18.3032814,18.1328056,17.9486212,18.0532154,18.1177838,18.1548526,18.195823,18.046357,18.0223172,17.7585786,18.090448,0.0262986,-0.0004406,0.1815921,0.0137207
9,81.911147,31.0829891,19.6791795,18.2853954,18.1600381,18.0266174,18.0004668,17.9630003,17.9450636,17.9247382,17.8976946,17.861757,17.9120743,17.6634116,17.8547399,17.767692,17.8171872,17.797517,18.0095418,17.7184489,17.634429,17.8334801,17.788853,17.682362,18.563946,18.3964241,18.2879069,18.100457,18.0726547,18.1567706,17.6087906,18.1707751,17.8343112,17.6708308,18.0574196,17.7491538,18.8010913,20.3587337,19.8785098,19.3344631,18.9563232,18.720158,18.5361226,18.5622827,18.1251366,18.0918741,18.1469268,17.9920114,18.3438816,18.3101757,18.1282993,17.926613,18.0300657,18.1307714,18.1632736,18.2004429,18.0566741,18.0429039,17.7605347,18.0806234,0.0270182,0.0058809,0.181419,0.0138938
