Time (s),,,Front,,,Back
1166,467.2,514.4,490.8,226.9,201,213.95
1168,461.9,514.3,488.1,227.3,201.2,214.25
1170,463.7,514.6,489.15,227.7,201.3,214.5
1172,465.3,513.9,489.6,228,201.4,214.7
1174,465.5,513.9,489.7,228.4,201.5,214.95
1176,468.2,514.3,491.25,228.5,201.5,215
1178,472.6,514.1,493.35,229,201.6,215.3
1180,476.3,514.5,495.4,229.3,201.9,215.6
1182,475.6,514.6,495.1,229.5,202,215.75
1184,466.5,514.6,490.55,229.9,202.2,216.05
1186,467.1,514.8,490.95,230.1,202.6,216.35
1188,465.9,515.4,490.65,230.4,203.1,216.75
1190,466.5,515.7,491.1,230.8,203.1,216.95
1192,464.9,515.8,490.35,231,203.4,217.2
1194,464.3,515.5,489.9,231.1,203.8,217.45
1196,465.8,515,490.4,231.5,203.9,217.7
1198,459.2,514.6,486.9,231.6,204.1,217.85
1200,462.3,514.5,488.4,231.8,204.3,218.05
1202,461.7,514.8,488.25,232.1,204.5,218.3
1204,440.3,515.5,477.9,232.5,204.5,218.5
1206,399.2,515.7,457.45,232.6,204.8,218.7
1208,367.6,515.9,441.75,232.9,204.8,218.85
1210,346,515.6,430.8,233.1,204.8,218.95
1212,304.1,515.2,409.65,233.3,204.8,219.05
1214,273.3,516.4,394.85,233.5,204.9,219.2
1216,266.2,509.5,387.85,233.7,204.9,219.3
1218,262.1,468.3,365.2,234,204.8,219.4
1220,252.3,433.8,343.05,234.1,204.6,219.35
1222,254.7,409.8,332.25,234.5,204.6,219.55
1224,242.2,391.6,316.9,234.8,204.7,219.75
1226,236.1,376,306.05,234.7,204.8,219.75
1228,225.2,363.5,294.35,235,204.8,219.9
1230,219,351.1,285.05,235.4,204.7,220.05
1232,214.1,341.1,277.6,235.4,204.9,220.15
1234,217.9,330.7,274.3,235.6,205.1,220.35
1236,,321.9,,235.7,,
1238,,315.2,,235.8,,
1240,,309.4,,236,,
1242,,303.4,,236.3,,
1244,,297.2,,236.3,,
1246,,291.3,,236.1,,
1248,,286.2,,236,,
1250,,281.7,,235.9,,
1252,,277.9,,235.9,,
1254,,273.7,,235.6,,
1256,,,,,,
1258,,,,,,
1260,,,,,,
1262,,,,,,
1264,,,,,,
1266,,,,,,
1268,,,,,,
1270,,,,,,
1272,,,,,,
1274,,,,,,
1276,,,,,,
