Time (s),sample 9,sample b5,sample c5,Front,,sample 9,sample b5,sample c5,Back
,front tc C,front tc C,front tc,,,back tc C,back tc C,back tc C,
1142,283.1,361.4,,322.25,,118.4,129.8,,124.1
1144,286.5,360.4,,323.45,,118.3,130,,124.15
1146,293.2,361.4,,327.3,,118.3,130.1,,124.2
1148,295.8,361.5,,328.65,,118.3,130.2,,124.25
1150,302.1,362.1,,332.1,,118.2,130.3,,124.25
1152,312,362.2,,337.1,,118.2,130.6,,124.4
1154,318.8,360.7,,339.75,,118.5,130.4,,124.45
1156,308.7,361.5,,335.1,,118.6,130.4,,124.5
1158,306.3,361.5,,333.9,,118.7,130.5,,124.6
1160,289.1,360.3,,324.7,,118.8,130.8,,124.8
1162,292.8,359.6,,326.2,,118.9,130.8,,124.85
1164,289.6,361.8,,325.7,,118.9,131.1,,125
1166,303.8,362.1,,332.95,,118.9,131.4,,125.15
1168,298.7,362.1,,330.4,,118.9,131.3,,125.1
1170,281.1,363.1,,322.1,,119,131.6,,125.3
1172,296,363.1,,329.55,,119.1,131.6,,125.35
1174,309.1,363,,336.05,,119.2,131.7,,125.45
1176,296,363,,329.5,,119.4,131.6,,125.5
1178,288.9,361.2,,325.05,,119.5,131.9,,125.7
1180,296.8,361.9,,329.35,,119.5,132.2,,125.85
1182,289.1,362,,325.55,,119.6,132.3,,125.95
1184,292.5,362.1,,327.3,,119.6,132.5,,126.05
1186,301.4,362.5,,331.95,,119.5,132.7,,126.1
1188,303.7,363.1,,333.4,,119.6,132.9,,126.25
1190,283.1,362.8,,322.95,,119.7,133,,126.35
1192,245.8,362.9,,304.35,,119.8,133.1,,126.45
1194,229.9,362.7,,296.3,,119.9,132.9,,126.4
1196,222,362.4,,292.2,,120.2,133,,126.6
1198,205.6,362.1,,283.85,,120.3,133.4,,126.85
1200,197.5,348.2,,272.85,,120.4,133.7,,127.05
1202,193,329.5,,261.25,,120.4,133.9,,127.15
1204,193.1,312.9,,253,,120.5,133.9,,127.2
1206,186.8,299.6,,243.2,,120.5,134.5,,127.5
1208,179.1,288.1,,233.6,,120.5,134.5,,127.5
1210,174.2,278.3,,226.25,,120.5,134.6,,127.55
1212,160,269.9,,214.95,,120.5,134.9,,127.7
1214,159.2,262.4,,210.8,,120.5,135,,127.75
1216,157.9,255.6,,206.75,,120.6,135.2,,127.9
1218,155.6,249.5,,202.55,,120.5,135.4,,127.95
1220,150.8,244.3,,197.55,,120.5,135.5,,128
1222,146.2,239.2,,192.7,,120.5,135.5,,128
1224,150.6,234.6,,192.6,,120.6,135.6,,128.1
1226,151.2,230.1,,190.65,,120.6,135.9,,128.25
1228,146,225.6,,185.8,,120.5,136,,128.25
1230,143.9,222.1,,183,,120.4,136.1,,128.25
1232,144.4,218.5,,181.45,,120.4,136.2,,128.3
1234,140.4,215,,177.7,,120.1,136.2,,128.15
1236,137.3,212,,174.65,,,136.2,,136.2
1238,134.7,,,67.35,,,136.2,,136.2
1240,,,,,,,,,
1242,,,,,,,,,
1244,,,,,,,,,
1246,,,,,,,,,
1248,,,,,,,,,
1250,,,,,,,,,
1252,,,,,,,,,
1254,,,,,,,,,
1256,,,,,,,,,
1258,,,,,,,,,
1260,,,,,,,,,
1262,,,,,,,,,
1264,,,,,,,,,
1266,,,,,,,,,
1268,,,,,,,,,
1270,,,,,,,,,
1272,,,,,,,,,
1274,,,,,,,,,
1276,,,,,,,,,
1278,,,,,,,,,
1280,,,,,,,,,
1282,,,,,,,,,
1284,,,,,,,,,
1286,,,,,,,,,
1288,,,,,,,,,
