Fri Aug  9 02:09:53 2013,ArduinoHelmet1,75,13,0.0
Fri Aug  9 02:09:54 2013,ArduinoHelmet1,76,13,0.0
Fri Aug  9 02:09:55 2013,ArduinoHelmet1,77,13,0.0
Fri Aug  9 02:09:56 2013,ArduinoHelmet1,78,13,0.0
Fri Aug  9 02:09:57 2013,ArduinoHelmet1,79,13,0.0
Fri Aug  9 02:09:58 2013,ArduinoHelmet1,80,13,0.0
Fri Aug  9 02:09:59 2013,ArduinoHelmet1,81,13,0.0
Fri Aug  9 02:10:00 2013,ArduinoHelmet1,82,13,0.0
Fri Aug  9 02:10:01 2013,ArduinoHelmet1,83,13,0.0
Fri Aug  9 02:10:02 2013,ArduinoHelmet1,84,13,0.0
Fri Aug  9 02:10:03 2013,ArduinoHelmet1,85,13,-0.0
Fri Aug  9 02:10:04 2013,ArduinoHelmet1,86,13,0.0
Fri Aug  9 02:10:05 2013,ArduinoHelmet1,87,13,0.0
Fri Aug  9 02:10:06 2013,ArduinoHelmet1,88,13,0.0
Fri Aug  9 02:10:07 2013,ArduinoHelmet1,89,14,0.0
Fri Aug  9 02:10:08 2013,ArduinoHelmet1,90,14,0.0
Fri Aug  9 02:10:09 2013,ArduinoHelmet1,91,13,0.0
Fri Aug  9 02:10:10 2013,ArduinoHelmet1,92,13,0.0
Fri Aug  9 02:10:11 2013,ArduinoHelmet1,93,13,0.0
Fri Aug  9 02:10:12 2013,ArduinoHelmet1,94,13,-0.0
Fri Aug  9 02:10:13 2013,ArduinoHelmet1,95,13,0.0
Fri Aug  9 02:10:14 2013,ArduinoHelmet1,96,13,0.0
Fri Aug  9 02:10:15 2013,ArduinoHelmet1,97,13,0.0
Fri Aug  9 02:10:16 2013,ArduinoHelmet1,98,13,0.0
Fri Aug  9 02:13:14 2013,ArduinoHelmet1,99,16,0.0
Fri Aug  9 02:13:15 2013,ArduinoHelmet1,100,16,0.0
Fri Aug  9 02:13:17 2013,ArduinoHelmet1,101,16,0.0
Fri Aug  9 02:13:18 2013,ArduinoHelmet1,102,16,0.0
Fri Aug  9 02:13:19 2013,ArduinoHelmet1,103,16,0.0
Fri Aug  9 02:13:20 2013,ArduinoHelmet1,104,15,0.0
Fri Aug  9 02:13:21 2013,ArduinoHelmet1,105,14,0.0
Fri Aug  9 02:13:22 2013,ArduinoHelmet1,106,14,0.0
Fri Aug  9 02:13:23 2013,ArduinoHelmet1,107,14,0.0
Fri Aug  9 02:13:24 2013,ArduinoHelmet1,108,13,0.0
Fri Aug  9 02:13:25 2013,ArduinoHelmet1,109,13,0.0
