s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.0900554E+002, 9.6586218E+003,-3.6395500E+003,-5.8376937E+003,-1.4342366E+002,-8.3547870E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5720903E+001, 3.7118943E+001, 7.5457317E-001
 2.1000073E+002, 9.5495621E+003,-3.5173915E+003,-5.9280233E+003,-1.3898823E+002,-7.7858696E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5890916E+001,-3.5619378E+001, 7.5457317E-001
 2.1100366E+002, 9.7423165E+003,-3.5911381E+003,-5.9740527E+003,-1.4035807E+002,-9.2532314E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0255990E+000, 3.5842291E+001, 7.5457317E-001
 2.1200226E+002, 9.6521749E+003,-3.5536193E+003,-5.9158729E+003,-1.4088317E+002,-8.3828431E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3636837E+001, 4.0961172E+001, 7.5457317E-001
 2.1300015E+002, 9.5117131E+003,-3.5678765E+003,-5.8199873E+003,-1.3960296E+002,-8.9440215E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1407853E+001,-1.6647990E+001, 7.5457317E-001
 2.1400342E+002, 9.7681583E+003,-3.6288126E+003,-5.9839535E+003,-1.4026259E+002,-7.5945537E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1236652E+000, 1.4370216E+001, 7.5457317E-001
 2.1500293E+002, 9.9966816E+003,-3.7059772E+003,-6.0890844E+003,-1.4609325E+002,-7.9955443E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1229264E+001, 5.4727281E+001, 7.5457317E-001
 2.1600464E+002, 9.3825427E+003,-3.5032930E+003,-5.7544171E+003,-1.3766143E+002,-7.9146686E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2141953E+001,-1.3620286E+001, 7.5457317E-001
 2.1700493E+002, 9.7603329E+003,-3.6261427E+003,-5.9651561E+003,-1.3367708E+002,-7.3288506E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9603948E+001, 3.4624151E+001, 7.5457317E-001
 2.1800148E+002, 9.5120497E+003,-3.5409417E+003,-5.8203988E+003,-1.3447680E+002,-8.1608213E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9107283E+000, 1.5416236E+001, 7.5457317E-001
