Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,36.7,32.856
2,11.8,7.948
3,10.1,6.272
4,9.1,5.241
5,9.1,5.261
6,8.8,4.951
7,4.6,0.751
8,8.3,4.419
9,4.5,0.636
10,4.2,0.357
11,4.2,0.342
12,4.4,0.553
13,4.5,0.652
14,4.1,0.244
15,6.1,2.21
16,4.3,0.443
17,4.2,0.352
18,4.2,0.33
19,4.2,0.375
20,4.3,0.47
21,4.2,0.328
22,5.6,1.701
23,4.3,0.439
24,4.1,0.251
25,4.2,0.35
26,4.1,0.328
27,4.2,0.367
28,4.2,0.327
29,4.7,0.843
30,4.2,0.331
31,4.1,0.24
32,4.1,0.212
33,4.2,0.307
34,4.2,0.338
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
