Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
19,19.902661,19.746876,19.769868,20.138658,19.860732,19.544133,20.287667,19.93816,20.040406,19.936291,19.957483,20.098597,20.364422,20.093928,19.791825,19.480346,19.829878,19.422352,19.791718,19.873216,19.419751,19.645572,19.435232,19.307608,0.000128,
20,19.891496,19.697715,19.834666,20.089539,19.849566,19.570936,20.352423,19.926995,19.991276,19.925126,19.946319,20.04949,20.353262,20.044812,19.818622,19.545129,19.818712,19.411182,19.818532,19.86205,19.446568,19.520497,19.386082,19.334428,0.000433,
21,19.897078,19.741292,19.840249,20.133076,19.855149,19.57652,20.358003,19.970552,20.034824,19.930708,19.951901,20.055072,20.358842,20.050394,19.786242,19.512738,19.824295,19.378771,19.824114,19.867633,19.490138,19.564051,19.429647,19.340013,0.00028,
22,19.859139,19.665303,19.878229,20.095121,19.893107,19.538548,20.320045,19.970552,19.996858,20.006593,19.989849,20.055072,20.320893,20.012441,19.748278,19.512738,19.786348,19.416767,19.862093,19.829671,19.414166,19.60202,19.429647,19.302023,0.000433,
23,19.902661,19.708882,19.845832,20.100702,19.89869,19.50616,20.40154,20.014108,20.07837,20.012175,19.995431,20.098597,20.326473,20.018023,19.753861,19.518322,19.791932,19.460346,19.867676,19.911176,19.457737,19.531666,19.473211,19.307608,0.000128,
24,19.78884,19.746876,19.807851,20.024788,19.860732,19.544133,20.40154,19.93816,20.07837,19.974234,19.881584,20.060654,20.326473,19.980068,19.753861,19.518322,19.791932,19.49834,19.829697,19.911176,19.419751,19.531666,19.435232,19.345598,0.000433,
25,19.832365,19.828443,19.851415,20.03037,19.94223,19.511744,20.369164,20.01969,20.083952,19.979816,19.963066,20.066236,20.332054,20.023605,19.759444,19.523907,19.835461,19.465931,19.759321,19.878798,19.463322,19.57522,19.402837,19.351183,0.00028,
26,19.826781,19.746876,19.807851,19.986829,19.822772,19.544133,20.40154,19.976135,20.040406,20.012175,19.995431,20.098597,20.326473,20.093928,19.753861,19.556297,19.791932,19.460346,19.829697,19.873216,19.457737,19.607604,19.397252,19.269617,0.000585,
27,19.864722,19.746876,19.845832,20.024788,19.89869,19.50616,20.363583,19.976135,20.040406,19.936291,19.957483,20.174478,20.326473,20.055976,19.791825,19.518322,19.829878,19.460346,19.791718,19.873216,19.495722,19.569636,19.397252,19.345598,0.000433,
28,19.794423,19.790452,19.889395,20.03037,19.866315,19.511744,20.331207,20.01969,20.083952,19.979816,19.925117,20.104178,20.294104,20.061558,19.759444,19.447954,19.835461,19.427937,19.835281,19.878798,19.501307,19.613188,19.364856,19.351183,0.00028,
