Time,FSW1_0-03mBC,FSW1_0-3mBC,FSW1_0-61mBC,FSW1_0-91mBC,FSW1_1-22mBC,FSW1_1-52mBC,FSW1_1-83mBC,FSW1_2-13mBC,FSW2_0-03mBC,FSW2_0-3mBC,FSW2_0-61mBC,FSW2_0-91mBC,FSW2_1-22mBC,FSW2_1-52mBC,FSW2_1-83mBC,FSW2_2-13mBC,FSW3_0-3mBC,FSW3_0-61mBC,FSW3_0-91mBC,FSW3_1-22mBC,FSW3_1-52mBC,FSW3_1-83mBC,FSW3_2-13mBC,FSW4_0-3mBS,FSW4_0-61mBS,FSW4_0-91mBS,FSW4_1-22mBS,FSW4_1-52mBS,FSW4_1-83mBS,FSW4_2-13mBS,FSW3_bdp_0-3mBC,FSW3_bdp_0-61mBC,FSW3_bdp_0-91mBC,FSW3_bdp_1-22mBC,FSW3_bdp_1-52mBC,FSW3_bdp_1-83mBC,FSW3_bdp_2-13mBC,FSW4_bdp_0-3mBS,FSW4_bdp_0-61mBS,FSW4_bdp_0-91mBS,FSW4_bdp_1-22mBS,FSW4_bdp_1-52mBS,FSW4_bdp_1-83mBS,FSW4_bdp_2-13mBS,FSW1_HF_0-15mAF,FSW1_RAD_0-15mAF,FSW2_HF_0-15mAF,FSW2_RAD_0-15mAF,FSW3_HF_1-52mBC,FSW3_HF2_1-52mBC,FSW5_HF_1-52mBC,FSW5_HF2_1-52mBC,FSW6_bdp_0-3mBS,FSW6_bdp_0-6mBS,FSW6_bdp_0-9mBS,FSW6_bdp_1-2mBS,FSW6_TC_0-3mBS,FSW6_TC_0-6mBS,FSW6_TC_0-9mBS,FSW6_TC_1-2mBS,Untitled,Comment
312,1034.838461,894.697029,595.791386,323.840999,176.644556,111.345897,75.18125,-62.913922,317.160112,214.188015,110.631886,86.895629,60.675389,50.600725,43.752502,44.34574,161.253094,130.081042,108.729404,91.653608,79.075896,46.607628,34.273346,121.467303,105.796241,69.506379,48.900224,34.03341,30.090289,30.44493,2.501971,2.525423,2.521739,2.509684,2.531288,2.520285,2.522807,2.542019,2.535442,2.534453,2.554911,2.556681,2.503121,2.529922,-0.000188,-0.000294,-0.000821,9.37E-05,0.000622,0.000797,0.000881,0.000691,2.556842,2.556069,2.22337,2.477586,199.525295,266.14264,128.704446,42.533413,0,
313,1031.98737,894.082438,596.970252,324.421074,211.898529,148.833628,96.418097,-33.146853,317.411192,212.469668,116.462976,87.147352,62.1411,48.782138,45.565888,39.35223,159.802221,128.874752,107.389794,90.54478,77.970281,46.565126,34.267872,120.901882,105.235521,69.280876,48.85779,34.065419,30.084794,30.364208,2.50014,2.52466,2.521281,2.508615,2.528541,2.51998,2.521433,2.540646,2.533763,2.532469,2.556285,2.557139,2.502816,2.530228,-0.000341,1.10E-05,-0.000516,9.37E-05,0.00047,0.000797,0.000728,0.000539,2.560505,2.563393,2.24458,2.484759,197.534552,263.228556,126.338319,42.006982,0,
314,1036.064257,897.62926,597.513764,326.328548,149.466936,75.240385,59.902502,-98.077906,298.136922,202.374588,98.055273,85.206612,60.932888,52.633343,45.905094,42.78456,158.287086,127.905174,106.506275,89.483861,77.168835,46.607628,34.273346,120.384865,104.574762,68.699146,48.93725,34.03341,30.090289,30.369702,2.50014,2.52527,2.521129,2.508615,2.529609,2.519827,2.522196,2.536677,2.531016,2.532317,2.555674,2.55485,2.500069,2.528244,-0.000188,-0.000294,-0.000668,9.37E-05,0.000317,0.000797,0.000575,0.000386,2.545396,2.587807,2.265942,2.480333,195.363509,260.284397,124.061123,41.565666,0,
315,1050.490678,914.579069,603.005638,331.701909,178.782631,102.491641,77.015711,-73.541484,298.468323,211.409102,105.073316,82.931131,60.233901,52.891854,46.201719,43.230815,157.755018,127.043074,106.09899,88.711944,76.582089,46.755958,34.273346,119.787951,103.132189,68.185393,48.863198,33.958436,30.090289,30.332086,2.499529,2.525118,2.520823,2.508463,2.527167,2.518606,2.520365,2.531793,2.527048,2.528502,2.555522,2.555002,2.500069,2.529159,-0.000188,0.000316,-0.000668,-5.88E-05,0.00047,0.000339,0.000575,0.000233,2.551043,2.55912,2.296002,2.499564,192.684242,256.689554,121.888065,41.187807,0,
316,1052.125322,924.965727,608.433846,333.351076,168.370842,89.818345,66.965778,-85.561708,288.553015,204.058724,97.433861,83.156654,58.141078,51.3086,43.906503,43.310605,157.38058,126.748786,105.919297,88.166052,76.184065,46.613045,34.166359,118.488373,101.585218,67.346622,48.683458,34.001399,30.058149,30.337581,2.497698,2.524965,2.520823,2.508158,2.528083,2.517691,2.520212,2.527519,2.524301,2.525449,2.551706,2.550425,2.495186,2.522139,-0.000188,-0.000294,-0.000668,-0.000211,0.00047,0.000492,0.000575,0.000539,2.563863,2.559273,2.315228,2.508875,190.550472,253.249967,119.989787,40.820705,0,
317,1049.106635,917.454927,606.565997,329.989828,70.03335,-34.168405,9.590395,-323.642257,282.339753,191.268664,84.708782,83.707102,56.556879,49.60731,42.97763,41.003318,156.126954,126.748786,105.882279,87.872083,76.734131,46.130858,34.091378,116.998126,100.403251,66.061778,48.498286,33.926423,30.058149,30.375197,2.497393,2.524965,2.521281,2.508463,2.52732,2.518454,2.519602,2.527977,2.519111,2.524992,2.552011,2.549509,2.49656,2.520918,-3.59E-05,1.10E-05,-0.000668,-0.000211,0.00047,0.000339,0.000118,0.000386,2.561726,2.56324,2.359021,2.524137,188.51994,250.357182,118.455423,40.62895,0,
318,1039.936466,906.35685,600.128478,325.44539,-57.472076,-622.70835,-63.581346,-57846.84774,287.544602,203.818719,97.275634,88.102408,57.946174,51.963015,43.561331,39.762502,154.672967,127.037601,105.020253,87.383702,76.320035,45.674766,33.930448,115.758769,98.768349,64.765794,48.376353,33.840489,30.009519,30.326592,2.49724,2.524965,2.521281,2.50831,2.52732,2.519369,2.516092,2.527672,2.519875,2.526365,2.552469,2.551798,2.49656,2.519545,-3.59E-05,-0.000142,-0.000516,-5.88E-05,1.20E-05,0.000339,0.000575,0.000539,2.55669,2.564614,2.409375,2.520169,186.729702,247.697159,117.007794,40.559856,0,
319,1032.275437,902.895346,595.617227,322.49229,-144.51513,-26458.89903,-108.586507,-649239.0705,292.244852,222.365107,111.788209,89.435969,58.693424,52.564869,43.869361,38.990028,153.241927,126.486537,104.476127,86.880114,75.707346,45.462923,33.866403,114.467664,97.008725,63.454058,48.239005,33.851442,30.058149,30.337581,2.497393,2.524507,2.520823,2.508005,2.526862,2.519827,2.51716,2.524925,2.519569,2.526975,2.555522,2.550577,2.490456,2.518476,-0.000188,-0.000447,-0.000821,-5.88E-05,0.000317,0.000492,0.000575,0.000233,2.558216,2.56263,2.404187,2.525358,184.966491,245.023123,115.885444,40.591683,0,
320,1030.452908,905.369935,597.083145,318.752103,52.631395,-93.306716,11.267402,-4206.121043,331.863933,265.56802,153.334634,91.195224,60.969671,53.44567,43.306675,39.917101,152.363894,125.84434,104.803665,86.397229,75.261944,45.234778,33.673411,113.718682,95.123779,62.272695,47.751942,33.658488,29.902093,30.21923,2.498308,2.525118,2.520823,2.508158,2.525793,2.518606,2.513193,2.525535,2.520638,2.527128,2.551095,2.550883,2.50129,2.528854,-0.000494,-0.000599,-0.000516,0.000246,0.000317,3.39E-05,0.000575,0.000539,2.558521,2.561714,2.397168,2.531311,183.094271,242.916222,114.992436,40.554415,0,
321,1018.554823,895.692461,589.698521,312.305495,73.701014,-59.309279,28.516394,-1609.440726,343.61801,278.740706,161.588279,91.31092,62.593007,53.414146,41.862043,38.01939,152.028108,125.138451,104.624094,86.182219,74.973937,45.01744,33.566364,113.426782,93.766457,61.469287,47.127248,33.663965,29.90759,30.187104,2.500903,2.525575,2.521281,2.508158,2.526709,2.517691,2.512277,2.529198,2.523995,2.529875,2.553995,2.552408,2.49778,2.521834,-0.000341,-0.000142,-0.000668,-5.88E-05,0.000317,0.000339,0.000575,0.000539,2.554095,2.555763,2.395489,2.515438,181.298577,240.694437,114.062709,40.591683,0,
322,1010.962769,888.648883,585.964086,312.630312,150.30086,54.588678,65.38105,-150.871883,355.339826,274.391196,167.029166,92.004362,66.812458,52.781068,42.637629,33.672887,151.491701,124.496754,104.28578,85.809591,74.345178,44.826352,33.523375,113.755852,92.435897,60.470987,46.899372,33.433472,29.864449,30.25685,2.502276,2.529848,2.522349,2.50831,2.528693,2.519827,2.520365,2.541409,2.531627,2.526975,2.558117,2.55485,2.503426,2.523818,-0.000646,-0.000142,-0.000363,-0.000211,0.000165,0.000339,0.000575,0.000539,2.547838,2.539589,2.391675,2.527037,179.617659,238.960778,113.319285,40.778004,0,
323,1016.829611,896.535797,594.259118,317.956845,200.253388,117.756003,85.983409,-72.2552,350.946062,266.026435,158.056175,91.978326,64.839993,51.794453,41.86748,33.871315,150.7825,123.834283,103.926752,85.085888,74.062524,44.354348,33.384275,113.87823,90.570386,59.819563,46.798959,33.444429,29.837799,30.079728,2.502276,2.530153,2.52296,2.508463,2.527777,2.519522,2.519144,2.541256,2.528574,2.528807,2.558574,2.556833,2.504037,2.529159,-0.000494,1.10E-05,-0.000516,-0.000364,1.20E-05,0.000339,0.000728,0.000691,2.549669,2.548134,2.375348,2.510554,178.133503,236.363503,112.210165,40.746183,0,
324,1001.870568,886.564407,587.260086,309.846656,199.980741,125.483649,85.059675,-60.925407,336.761316,238.337357,132.673776,86.754095,57.0728,50.199282,42.234021,36.487041,149.981104,122.819212,103.403699,84.419642,73.653781,44.051689,33.416313,113.947145,90.417909,59.188635,46.793543,33.401443,29.794656,30.111857,2.501818,2.528475,2.523418,2.508768,2.52732,2.517538,2.519449,2.530725,2.523843,2.527281,2.55659,2.558207,2.502969,2.527175,-0.000341,-0.000142,-0.000668,-0.000364,0.00047,0.000187,0.000575,0.000539,2.557147,2.555306,2.375042,2.505822,176.758544,233.380177,110.65098,40.746183,0,
325,988.729089,872.829327,579.619427,306.241904,181.455751,113.092188,75.107872,-67.671504,323.968904,219.055406,112.265641,83.187988,54.412613,48.009767,41.298416,34.010318,148.839086,121.543242,102.769907,83.643369,73.208358,43.674619,33.260761,113.867366,91.295283,57.821154,46.713959,33.283434,29.826805,30.031109,2.50136,2.526338,2.522197,2.508615,2.52732,2.517538,2.520975,2.541256,2.5359,2.521634,2.552927,2.555002,2.491982,2.525344,-0.000341,-0.000142,-0.000516,-0.000364,0.00047,0.000187,0.000728,0.000539,2.557605,2.559426,2.377179,2.501548,175.585863,231.009628,108.955691,40.570739,0,
326,982.807892,872.26695,579.230442,309.809945,191.582537,126.195194,80.617173,-56.211601,327.009419,212.061987,107.744749,83.303435,54.565591,47.162826,40.745404,32.81556,147.670829,120.839116,102.07322,83.281672,72.553597,43.345474,33.228719,113.686944,92.036484,57.49508,46.237183,33.288914,29.794656,30.074232,2.499834,2.525728,2.521586,2.508005,2.527167,2.518148,2.52006,2.531183,2.5272,2.527586,2.545295,2.551035,2.493813,2.520766,-0.000341,-0.000294,-0.000516,-0.000211,0.000165,0.000339,0.000728,0.000539,2.562947,2.564919,2.377331,2.517574,174.194587,228.722865,107.309009,40.330782,0,
327,997.447574,877.608425,587.726224,316.119212,156.645514,80.527705,54.195291,-99.965374,315.076802,200.052261,93.124501,79.341571,53.458368,46.495393,40.000382,33.153262,146.876019,119.980541,101.371376,83.098152,72.296876,43.196746,33.26624,113.575442,92.25727,57.384584,45.866145,33.213887,29.68171,29.961348,2.498156,2.52466,2.520976,2.507852,2.526556,2.517538,2.52067,2.534083,2.527658,2.508815,2.548043,2.542338,2.489388,2.50932,-0.000188,-0.000142,-0.000516,-0.000211,0.000317,3.39E-05,0.000575,0.000386,2.560658,2.558205,2.384045,2.518795,172.673184,226.645721,105.759426,40.11255,0,
328,1012.887285,887.660735,599.37997,323.292104,43.147439,-86.66307,-9.727255,-1700.831949,317.5997,200.81003,95.107114,78.712766,54.191206,45.07983,37.943599,32.059238,146.227277,119.825816,101.07054,83.019385,71.704707,43.042567,33.148192,112.975451,91.663173,56.200198,45.675166,33.095858,29.713862,29.842955,2.497545,2.524965,2.521739,2.508005,2.527472,2.516775,2.519144,2.53103,2.522927,2.523923,2.531863,2.512889,2.459632,2.507946,-0.000188,-0.000142,-0.000516,-0.000211,0.000622,0.000339,0.000423,0.000691,2.558674,2.557442,2.415783,2.526274,170.770552,225.059806,104.322049,39.856985,0,
329,1002.223075,884.93113,596.227197,327.760013,27.842461,-137.408571,-11.651542,-9381.767712,333.330023,215.449103,117.591358,83.193349,56.335728,45.753405,40.149425,31.576395,145.211615,119.980541,100.522096,82.988043,71.343292,42.750451,33.003562,112.05228,91.337443,55.210236,45.272264,33.026299,29.644059,29.848452,2.497545,2.52527,2.521739,2.50831,2.527777,2.518301,2.511819,2.541409,2.541089,2.529265,2.553385,2.554239,2.487557,2.500468,-0.000188,-0.000294,-0.000668,-5.88E-05,1.20E-05,0.000339,0.000575,0.000539,2.561421,2.563698,2.449048,2.531158,169.053724,223.770843,103.065114,39.595917,0,
330,991.004599,880.306288,593.362263,325.717463,110.900934,3.594128,30.743662,-272.817475,341.982795,222.180853,132.9048,84.703424,57.593969,45.239183,41.495387,32.070209,144.007455,119.314362,99.89998,82.66309,71.311972,42.421056,32.858913,111.50078,91.747504,56.358378,45.277686,32.956735,29.536596,29.778679,2.498003,2.52588,2.522197,2.508615,2.527625,2.519369,2.517008,2.527519,2.527964,2.528502,2.557811,2.556681,2.495644,2.518171,-0.000188,1.10E-05,-0.000821,-0.000211,0.000317,-0.000119,0.000728,0.000386,2.561421,2.564308,2.453473,2.522916,167.446313,222.741311,101.951319,39.36665,0,
331,977.396211,864.891221,587.546938,321.467343,38.458874,-100.617741,-10.863082,-3389.735587,326.643833,208.519473,122.367567,82.422812,57.109646,45.679183,41.452732,32.29003,143.321786,118.525679,99.267266,82.180643,70.573023,42.19235,32.740819,109.046952,91.26387,57.200411,45.457881,32.91373,29.493441,29.697905,2.498003,2.525728,2.521892,2.50831,2.527472,2.517233,2.515024,2.541714,2.532084,2.532164,2.560253,2.549204,2.507241,2.524123,-0.000341,-0.000142,-0.000516,-0.000211,0.000165,3.39E-05,0.000423,0.000539,2.5602,2.555763,2.427533,2.517422,165.997508,221.37544,101.065039,39.254723,0,
332,967.987477,849.797042,575.462623,319.960769,39.647361,-104.367618,-10.238746,-4760.729116,326.382566,211.751817,132.968999,84.215545,61.52136,47.713356,41.075067,35.957843,142.825185,117.849176,98.782283,81.881711,69.87069,42.075263,32.735337,106.966698,89.530049,56.200198,45.341092,33.095858,29.450284,29.654767,2.498156,2.525423,2.522044,2.508921,2.526556,2.519675,2.514413,2.571782,2.548415,2.530638,2.559796,2.551951,2.491066,2.512982,-0.000341,-0.000142,-0.000516,-0.000364,0.00047,0.000187,0.000423,0.000386,2.558979,2.556679,2.416546,2.514217,164.696064,220.193241,100.136843,39.025388,0,
333,960.82068,838.409113,564.291301,313.589355,51.159066,-87.799961,-1.758812,-3459.581313,341.284668,218.110847,144.436914,84.991719,60.460027,46.940385,40.261195,37.683203,142.679627,117.183825,98.345063,81.410044,69.582566,41.931814,32.590651,103.346647,88.689929,56.095013,45.08662,32.91373,29.493441,29.622623,2.502276,2.527254,2.52357,2.509684,2.52793,2.519827,2.517618,2.538814,2.533763,2.532317,2.559338,2.564463,2.490608,2.532822,-0.000188,-0.000294,-0.000668,-0.000211,0.000317,0.000339,0.000118,0.000539,2.55379,2.565071,2.402203,2.511317,163.520455,218.717854,99.367388,38.993517,0,
334,939.884591,827.158816,550.539744,308.047401,16.131054,-152.618813,-26.131354,-11793.05053,328.142568,209.510159,131.997349,81.248851,56.999105,44.230992,39.888588,33.378338,142.528559,116.327078,97.607578,81.043124,69.692623,41.931814,32.590651,102.977083,88.395896,56.94254,44.975221,32.951254,29.455783,29.509691,2.503955,2.528322,2.524486,2.510905,2.528083,2.518301,2.52006,2.538967,2.53239,2.533538,2.557964,2.557596,2.505715,2.532669,-0.000188,-0.000142,-0.000516,-0.000211,0.000165,3.39E-05,0.000575,0.000691,2.553637,2.560036,2.386181,2.520932,162.290448,216.123007,98.655805,38.721351,0,
335,944.934358,836.607048,556.734848,315.459397,48.865761,-111.346477,-0.986363,-5703.773689,342.34207,234.107727,148.448691,82.276055,57.183337,44.491046,39.702239,31.163017,142.415266,115.396314,96.833476,80.712911,69.729309,41.708452,32.553106,103.346647,88.469402,57.605571,44.938085,32.876204,29.418123,29.584981,2.501666,2.528169,2.52357,2.511362,2.528998,2.520743,2.519907,2.540798,2.530711,2.528807,2.548653,2.555308,2.502511,2.529007,-0.000188,-0.000142,-0.000668,-0.000211,1.20E-05,0.000187,0.000881,0.000539,2.554095,2.564461,2.368634,2.483386,161.317082,213.63006,97.750183,38.513711,0,
336,940.655123,834.35555,559.922042,315.825974,40.286577,-127.387453,-15.131815,-7640.974242,338.622134,231.574129,144.399102,83.11996,56.704298,44.453899,39.739511,32.365122,141.811138,114.614859,96.170166,80.27265,69.582566,41.41057,32.665738,103.71628,88.24889,57.863358,44.789533,32.838677,29.418123,29.472044,2.502123,2.529848,2.523723,2.511057,2.528388,2.51998,2.522654,2.542783,2.536358,2.530943,2.556438,2.55546,2.504037,2.53328,-0.000341,1.10E-05,-0.000668,-5.88E-05,0.000317,0.000492,0.000423,0.000539,2.551195,2.560494,2.375805,2.492238,160.664342,211.417679,96.528625,38.321566,0,
337,943.160407,833.942906,564.613641,316.59568,16.16914,-203.795769,-29.006667,-27186.65461,342.560821,232.444151,146.479752,83.486916,55.561501,45.233761,38.471566,34.540472,141.546889,113.759383,95.728062,79.795727,69.582566,41.373329,32.853431,104.085982,88.616418,58.26839,44.752392,32.801149,29.380463,29.434396,2.503344,2.530458,2.524638,2.511362,2.527014,2.51998,2.52067,2.552551,2.543379,2.534606,2.559643,2.552256,2.503579,2.527328,-0.000341,1.10E-05,-0.000668,-0.000211,0.00047,0.000644,0.000575,0.000386,2.551348,2.555763,2.3755,2.509485,160.12035,209.731585,95.486457,38.086586,0,
338,937.260304,834.162497,559.200575,318.67884,13.91476,-205.571158,-29.459562,-31294.67202,345.762985,237.350606,147.269166,83.70174,51.901633,47.416881,39.398568,35.171767,141.390388,112.7874,95.170167,79.203422,69.79732,41.36789,32.84795,104.339413,89.45652,59.293664,44.709826,32.720606,29.337301,29.428897,2.501513,2.528017,2.52357,2.509836,2.528846,2.519827,2.521738,2.547667,2.539563,2.53659,2.557964,2.555155,2.504037,2.531296,-0.000341,1.10E-05,-0.000821,-0.000211,0.000622,0.000339,0.000423,0.000386,2.549669,2.554543,2.356732,2.50979,159.452011,208.339249,94.692509,37.953539,0,
339,926.424888,819.263971,555.195009,315.496056,93.673895,-38.251664,19.583269,-859.357219,358.32836,247.263401,162.539896,84.47783,56.593735,49.866327,40.22394,37.272169,141.056229,111.603954,94.254964,78.365099,69.289069,41.336087,32.890966,104.751625,90.086945,59.961353,44.678108,32.613487,29.380463,29.472044,2.500597,2.527712,2.523875,2.511362,2.529304,2.520132,2.520365,2.55194,2.546736,2.544526,2.560864,2.555308,2.495491,2.531449,-0.000188,1.10E-05,-0.000668,-5.88E-05,0.000317,0.000492,0.000423,0.000539,2.546464,2.553475,2.365735,2.509943,158.984313,207.261534,94.055961,37.830562,0,
340,934.923952,814.076541,553.911084,316.087912,86.179553,-44.046301,15.782862,-850.484827,351.74707,241.661056,154.294773,83.82256,57.778147,50.833396,38.588954,37.800733,141.061745,110.866735,93.266484,77.673544,68.780778,41.490486,32.858913,105.015953,90.79106,60.518514,44.794957,32.61897,29.310638,29.364596,2.500597,2.527101,2.52357,2.510905,2.528388,2.520132,2.522044,2.546598,2.540784,2.541473,2.561627,2.546458,2.504495,2.528701,-0.000341,-0.000142,-0.000821,-0.000211,0.000317,0.000644,0.000423,0.000539,2.553179,2.556679,2.377026,2.500785,158.533343,206.314577,93.325304,37.686573,0,
341,933.072034,814.929903,554.084903,319.343513,115.504612,-1.978486,34.043348,-303.215688,366.798174,256.717307,152.543242,81.138803,58.251558,51.271636,42.122439,38.094084,141.320416,110.378761,92.52516,76.897948,68.518575,41.55952,32.928499,105.195514,91.26387,60.991259,44.752392,32.500874,29.267473,29.472044,2.501666,2.526186,2.522655,2.509989,2.528083,2.51998,2.52067,2.540798,2.534221,2.532317,2.555369,2.554697,2.491677,2.52687,-0.000188,-0.000142,-0.000668,-0.000211,0.000317,0.000644,0.00027,0.000386,2.558368,2.558663,2.379162,2.488117,157.92475,205.361866,92.626263,37.836016,0,
342,943.661659,825.099504,557.415249,328.63743,-44.415614,-1437.079492,-82.875425,-133199.9721,329.275469,227.068162,110.266208,78.828141,59.135201,52.823391,40.521948,37.421654,141.924399,109.933445,91.936545,76.457823,68.078245,41.522284,32.928499,105.306502,91.521385,61.064807,44.752392,32.500874,29.229807,29.434396,2.50136,2.525728,2.521586,2.509226,2.528083,2.520132,2.521128,2.538814,2.536968,2.535522,2.548653,2.557749,2.498543,2.522292,-3.59E-05,1.10E-05,-0.000821,9.37E-05,0.000317,0.000492,0.000423,0.000233,2.554858,2.55851,2.382672,2.513453,157.207754,204.300181,91.85922,37.729391,0,
343,933.187402,816.9843,550.253266,330.903415,62.874776,-115.003227,-2.300607,-7027.364746,369.377075,253.607777,146.025625,80.882031,53.79061,50.014316,40.559194,37.944691,142.264217,109.599531,91.752628,75.944351,68.188331,41.55952,33.003562,105.454497,91.889303,60.476359,44.529525,32.463334,29.154471,29.321444,2.501513,2.526186,2.522197,2.509531,2.528083,2.520438,2.521738,2.535609,2.531169,2.533538,2.559338,2.558054,2.499612,2.525344,-0.000188,-0.000142,-0.000668,-0.000211,0.000165,0.000492,0.000423,0.000386,2.553637,2.560188,2.38847,2.516964,156.740398,203.221574,91.186576,37.718481,0,
344,921.97413,813.772404,550.217456,328.125621,116.323633,-23.492401,27.007448,-508.030475,383.815386,265.797239,155.086682,76.957959,53.827521,46.792071,39.776782,38.01939,143.057343,109.636629,91.531944,75.17415,68.151636,41.447809,32.928499,105.232509,91.889303,60.108509,44.418076,32.388249,29.154471,29.359096,2.50075,2.528627,2.521739,2.508615,2.528693,2.520438,2.522807,2.528893,2.526285,2.53369,2.559185,2.558207,2.503884,2.524734,-0.000188,-0.000294,-0.000668,-0.000364,0.00047,0.000339,0.00027,0.000386,2.550738,2.554238,2.393506,2.522764,156.36579,202.045059,90.714001,37.873373,0,
345,913.896767,807.920481,546.963954,326.266086,168.300161,52.052201,57.924875,-153.934872,388.602226,267.443032,161.213264,79.456953,60.833278,50.463598,39.297612,38.09954,143.365087,109.567852,91.059225,74.519333,68.340469,41.378768,32.93398,105.459903,91.931472,60.187457,44.572098,32.468817,29.122302,29.364596,2.503039,2.529695,2.521892,2.508768,2.529151,2.520743,2.523417,2.541867,2.534832,2.538574,2.555674,2.556223,2.505258,2.52977,-0.000188,-0.000294,-0.000668,-5.88E-05,0.000317,0.000339,0.000423,0.000233,2.548906,2.54493,2.387707,2.492391,155.920762,200.988308,90.467417,38.369811,0,
346,908.084134,805.274222,546.355168,324.473691,239.199486,159.064285,99.6073,-28.320174,378.564116,261.883602,148.870948,79.383603,60.53898,50.833396,38.887391,39.032794,143.516215,109.34528,90.948908,74.079213,68.120302,41.416009,32.896447,105.866949,92.299445,59.966727,44.646389,32.393733,29.159972,29.28929,2.505176,2.530153,2.52296,2.509073,2.528846,2.520285,2.521891,2.546751,2.53941,2.539642,2.556896,2.556528,2.504342,2.531906,-0.000341,-0.000294,-0.000516,9.37E-05,0.000165,0.000339,0.00027,0.000386,2.549364,2.541115,2.403424,2.507959,155.149621,199.603895,90.236132,38.881553,0,
347,888.713015,787.754891,534.530624,318.281222,200.057049,124.061436,74.416138,-47.040901,344.675026,235.241363,120.462949,78.461419,59.429672,50.901944,39.85132,37.122664,143.586261,109.488239,90.649375,73.193595,67.858067,41.41057,32.853431,106.416743,92.919735,59.998143,44.752392,32.388249,29.116801,29.396747,2.50365,2.530306,2.523418,2.509378,2.528083,2.520285,2.522501,2.543393,2.5388,2.538116,2.559185,2.557901,2.501748,2.529617,-0.000188,-0.000142,-0.000668,-5.88E-05,0.000165,0.000339,0.000118,0.000233,2.546464,2.549202,2.413647,2.495596,154.427771,197.696123,89.795089,38.993517,0,
348,884.689394,782.271502,533.031232,321.033358,181.810627,94.938797,64.436498,-71.665838,338.955784,230.217304,111.310906,78.503449,62.671897,43.67898,40.005828,36.90383,143.894082,108.974388,90.140035,72.722127,67.34964,41.229795,32.746301,107.199714,94.066411,60.702416,44.794957,32.431276,29.159972,29.402246,2.505023,2.529543,2.52357,2.509226,2.528693,2.520132,2.522196,2.540646,2.535137,2.535064,2.556285,2.557444,2.50129,2.53389,-0.000188,1.10E-05,-0.000668,9.37E-05,0.000317,0.000187,0.00027,0.000386,2.54448,2.547524,2.423413,2.508875,154.07482,195.24236,89.086162,39.094574,0,
349,889.816033,792.433225,537.217214,330.06292,116.435347,-11.7144,21.937045,-213.292351,327.009419,213.774964,96.880946,80.111766,63.842629,42.409079,40.037645,37.608481,143.888559,108.968971,89.399513,72.203249,66.68361,41.000858,32.665738,108.194501,95.129159,61.35898,44.826673,32.463334,29.116801,29.396747,2.502581,2.527254,2.523723,2.509989,2.528388,2.520132,2.521891,2.537288,2.533,2.534911,2.560406,2.557291,2.50541,2.532212,-0.000188,-0.000142,-0.000668,-0.000211,0.000165,0.000492,0.00027,0.000386,2.554248,2.553169,2.436535,2.501396,153.47826,192.695752,88.472324,39.068154,0,
350,887.463777,799.056314,535.717991,332.62588,130.875642,3.747346,32.322411,-208.53004,340.268886,219.446468,114.060515,76.889979,64.3624,43.567462,40.154871,36.791665,143.70514,108.455267,88.743389,71.878475,66.211762,40.857279,32.746301,109.163588,95.908301,61.401121,44.720675,32.468817,29.084631,29.28929,2.500903,2.52527,2.523112,2.508921,2.527167,2.520132,2.520212,2.534083,2.530253,2.533538,2.559643,2.557139,2.500832,2.524123,-0.000188,-0.000294,-0.000516,-5.88E-05,0.000165,0.000187,0.000423,0.000233,2.561421,2.553169,2.430432,2.504143,152.990189,190.524936,87.632862,38.998966,0,
351,876.225896,784.718368,531.275702,335.364886,115.323962,-22.563308,22.700837,-305.681084,351.856292,222.446566,121.289745,82.281415,66.419279,43.864821,40.639124,36.567302,144.08304,108.455267,88.192245,71.511651,65.881353,40.7455,32.78384,109.608533,96.792906,60.739194,44.609244,32.506357,29.19764,29.402246,2.501055,2.525118,2.520823,2.509073,2.527472,2.519675,2.521586,2.534693,2.530558,2.530791,2.555522,2.556376,2.500985,2.521223,-3.59E-05,-0.000294,-0.000668,-5.88E-05,0.000165,0.000339,0.000423,0.000386,2.556995,2.551033,2.432263,2.509638,152.041195,188.653806,86.751515,38.737701,0,
352,860.931716,766.209747,518.868864,330.245648,121.806226,-12.108884,26.592112,-258.342688,358.837564,236.789842,129.444249,81.028756,67.66223,43.376146,39.329449,37.571118,144.531085,108.709393,88.260358,71.396243,65.472118,40.665533,32.815895,110.122354,97.082464,60.034932,44.566672,32.538413,29.079129,29.321444,2.499834,2.526033,2.521739,2.508768,2.528693,2.520285,2.521891,2.540188,2.534984,2.535522,2.556896,2.556223,2.501748,2.522597,-0.000341,-0.000142,-0.000516,-5.88E-05,1.20E-05,0.000339,0.000423,0.000539,2.545701,2.552101,2.417767,2.503075,150.853857,187.229683,85.859646,38.502808,0,
