Time,FSW1_0-03mBC,FSW1_0-3mBC,FSW1_0-61mBC,FSW1_0-91mBC,FSW1_1-22mBC,FSW1_1-52mBC,FSW1_1-83mBC,FSW1_2-13mBC,FSW2_0-03mBC,FSW2_0-3mBC,FSW2_0-61mBC,FSW2_0-91mBC,FSW2_1-22mBC,FSW2_1-52mBC,FSW2_1-83mBC,FSW2_2-13mBC,FSW3_0-3mBC,FSW3_0-61mBC,FSW3_0-91mBC,FSW3_1-22mBC,FSW3_1-52mBC,FSW3_1-83mBC,FSW3_2-13mBC,FSW4_0-3mBS,FSW4_0-61mBS,FSW4_0-91mBS,FSW4_1-22mBS,FSW4_1-52mBS,FSW4_1-83mBS,FSW4_2-13mBS,FSW3_bdp_0-3mBC,FSW3_bdp_0-61mBC,FSW3_bdp_0-91mBC,FSW3_bdp_1-22mBC,FSW3_bdp_1-52mBC,FSW3_bdp_1-83mBC,FSW3_bdp_2-13mBC,FSW4_bdp_0-3mBS,FSW4_bdp_0-61mBS,FSW4_bdp_0-91mBS,FSW4_bdp_1-22mBS,FSW4_bdp_1-52mBS,FSW4_bdp_1-83mBS,FSW4_bdp_2-13mBS,FSW1_HF_0-15mAF,FSW1_RAD_0-15mAF,FSW2_HF_0-15mAF,FSW2_RAD_0-15mAF,FSW3_HF_1-52mBC,FSW3_HF2_1-52mBC,FSW5_HF_1-52mBC,FSW5_HF2_1-52mBC,FSW6_bdp_0-3mBS,FSW6_bdp_0-6mBS,FSW6_bdp_0-9mBS,FSW6_bdp_1-2mBS,FSW6_TC_0-3mBS,FSW6_TC_0-6mBS,FSW6_TC_0-9mBS,FSW6_TC_1-2mBS,Untitled,Comment
10,76.909995,50.252282,32.089671,27.840564,33.369326,31.677988,31.714948,29.925982,64.033956,61.490942,46.796024,32.466125,27.16407,25.38499,23.213805,22.216525,27.266947,26.742612,25.875496,25.953497,24.73468,23.955038,23.616306,26.78062,26.374588,26.886333,28.404731,26.476556,25.644588,24.187451,2.498003,2.525423,2.521739,2.509226,2.528388,2.521201,2.522654,2.525077,2.523385,2.531401,2.561475,2.562021,2.506478,2.53618,-0.000494,-0.000294,-0.000668,-0.000364,-0.000293,3.39E-05,-0.000187,-7.18E-05,2.542649,2.55439,2.527325,2.550847,27.099958,28.702286,28.970766,28.078029,0,
11,111.944233,57.879795,32.234408,28.551269,34.151175,32.123262,32.235492,30.635376,92.617941,68.46607,50.344893,33.436079,28.176999,25.568434,23.813666,22.514158,27.261437,26.774844,25.907748,25.985755,24.729157,23.949511,23.648639,26.73738,26.369074,26.918561,28.286147,26.320016,25.56348,24.21976,2.498614,2.525423,2.521892,2.509531,2.528998,2.521811,2.52357,2.524619,2.523232,2.531401,2.561932,2.562937,2.509683,2.538621,-0.000188,-0.000142,-0.000363,-0.000211,1.20E-05,3.39E-05,-3.49E-05,8.08E-05,2.543565,2.553475,2.526562,2.551763,27.02447,28.702286,28.895458,28.078029,0,
12,151.069023,60.748177,35.683655,29.643501,35.462102,32.57383,32.798807,31.124232,121.067182,75.69448,57.613465,33.023504,28.2524,25.795146,24.305301,22.817244,27.223729,26.7371,25.83221,25.947981,24.653531,23.987355,23.610778,26.73738,26.369074,26.843082,28.286147,26.320016,25.56348,24.181926,2.498461,2.525575,2.522655,2.509836,2.528998,2.521201,2.523264,2.524925,2.523385,2.531706,2.561475,2.562326,2.511056,2.536485,-0.000494,1.10E-05,-0.000516,-0.000364,-0.000141,3.39E-05,-0.000187,-7.18E-05,2.544328,2.554085,2.527783,2.552068,27.062215,28.739951,28.933113,28.040328,0,
13,171.314699,90.171564,41.438613,31.529496,36.253357,33.06721,33.517387,31.618348,148.724697,92.264078,70.476827,33.104008,29.049286,25.914001,24.57546,23.050035,27.266947,26.780356,25.913265,25.991271,24.73468,23.992881,23.578444,26.705162,26.45011,26.924072,28.291651,26.32553,25.568998,24.149617,2.499987,2.526949,2.523265,2.509378,2.528541,2.520743,2.522959,2.524467,2.523232,2.531401,2.561475,2.562174,2.510598,2.536332,-0.000188,-0.000142,-0.000516,-0.000211,-0.000293,0.000187,0.00027,8.08E-05,2.54448,2.555458,2.529309,2.552984,27.02447,28.739951,28.970766,28.040328,0,
14,182.569232,117.522557,51.818015,35.948833,36.883596,33.624413,34.187042,32.326607,176.72756,114.529339,82.867579,34.597932,30.022777,26.097355,24.532135,23.271719,27.638443,27.076748,26.05881,26.0613,24.804777,24.100878,23.572916,26.586452,26.406836,26.918561,28.286147,26.244494,25.525683,24.144092,2.504413,2.52878,2.522655,2.508158,2.527777,2.519827,2.521433,2.523551,2.522774,2.53018,2.559948,2.560343,2.50892,2.534501,-0.000646,1.10E-05,-0.000516,-0.000211,-0.000141,3.39E-05,-3.49E-05,8.08E-05,2.543565,2.553627,2.529004,2.553442,27.02447,28.66462,28.970766,28.078029,0,
15,188.870522,127.494482,62.061998,43.965762,39.236249,34.411671,35.348771,32.88975,194.29253,139.038926,92.897502,37.889303,30.888051,26.286192,24.418724,23.347446,28.618031,27.680299,26.474119,26.174606,24.766968,24.100878,23.610778,26.73738,26.482355,26.843082,28.248451,26.244494,25.487884,24.068418,2.506396,2.528627,2.522807,2.508005,2.526862,2.51998,2.521433,2.524314,2.522774,2.530638,2.559032,2.559427,2.506021,2.53328,-0.000188,-0.000447,-0.000516,-0.000364,1.20E-05,-0.000119,0.00027,-7.18E-05,2.548448,2.552864,2.529004,2.55161,27.137699,28.702286,29.008417,28.078029,0,
16,189.263562,129.979288,76.533849,54.711064,42.711225,36.369519,36.894257,33.651096,199.990055,158.034874,111.198688,43.116627,32.289494,26.448265,24.543182,23.585656,30.209517,28.784365,27.164388,26.336692,24.891436,24.149768,23.77327,26.672944,26.417864,26.891845,28.297155,26.255524,25.423321,24.07947,2.507159,2.531832,2.523723,2.507852,2.528083,2.519675,2.523875,2.52523,2.523385,2.530333,2.55949,2.559275,2.505868,2.532212,-0.000188,0.000164,-0.000668,-0.000517,1.20E-05,-0.000119,-3.49E-05,8.08E-05,2.543717,2.555458,2.528546,2.553747,27.143208,28.707786,28.976265,28.083532,0,
17,188.335877,132.107599,91.209944,58.974435,49.488691,38.077977,38.527804,34.614866,200.207803,171.666135,125.91471,48.262985,33.592164,26.701517,24.796716,23.726008,32.752423,30.655302,27.907581,26.476698,24.956002,24.21439,23.800071,26.624186,26.520113,26.880822,28.361536,26.244494,25.450084,24.106256,2.509448,2.53351,2.52357,2.507547,2.526709,2.519675,2.519907,2.529656,2.525369,2.531706,2.559338,2.55958,2.505258,2.532364,-0.000341,1.10E-05,-0.000516,-0.000364,1.20E-05,3.39E-05,0.000118,8.08E-05,2.54448,2.552254,2.529156,2.551,27.137699,28.702286,28.970766,28.115729,0,
18,186.655525,142.68979,102.750281,63.718154,56.392925,39.197881,40.020681,35.888169,203.487665,179.646963,118.032278,52.589121,34.379569,26.96573,25.023448,23.91524,36.609191,33.171854,28.924919,26.589961,24.956002,24.176554,23.762215,26.963732,27.010842,26.994035,28.248451,26.244494,25.412283,24.068418,2.508685,2.530153,2.522655,2.507547,2.526862,2.519675,2.520365,2.539425,2.534221,2.530028,2.559338,2.558817,2.505563,2.530533,-0.000188,-0.000142,-0.000668,-0.000211,-0.000141,-0.000119,-3.49E-05,8.08E-05,2.541275,2.547066,2.536328,2.553442,27.180948,28.707786,29.051566,28.121232,0,
19,192.803582,149.497265,110.269386,71.390068,66.06394,41.583337,40.505446,36.823469,206.232092,178.118984,115.388019,54.212971,35.091484,27.078944,25.552305,24.104439,40.489675,35.832171,29.527324,26.627713,24.993805,24.290058,23.800071,28.433847,29.272813,28.200888,28.776076,26.168967,25.336677,24.068418,2.508533,2.531221,2.521434,2.5077,2.526556,2.519827,2.520365,2.542783,2.535442,2.531706,2.559948,2.561258,2.503884,2.530991,-0.000341,1.10E-05,-0.000516,-5.88E-05,-0.000141,3.39E-05,-0.000187,-7.18E-05,2.542344,2.550423,2.531292,2.553289,27.099958,28.66462,28.970766,28.040328,0,
