Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A8_2,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
10,289.213973,346.207613,333.051508,326.879432,315.853036,301.699623,271.664452,218.741438,90.020441,62.149587,58.978851,308.641905,369.250118,356.618991,338.648526,331.041847,324.604914,304.184765,254.111686,90.980593,64.508846,56.402586,271.861122,332.476561,327.277308,324.175833,319.222973,305.480791,281.048753,90.691196,210.120157,67.437348,71.913947,1259.830887,167.503446,722.139582,709.579979,686.978526,646.936298,615.605515,580.643412,519.242008,1260.753528,1260.40165,255.324621,156.815683,65.619228,36.641286,32.66883,275.631497,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.518301,2.491874,2.522656,2.474127,2.494282,2.596011,0.000247,-0.000822,-0.000235,0,
11,289.250877,346.535715,333.270661,327.062191,315.999575,301.809953,271.552891,218.665456,89.763136,62.259768,58.94207,308.751981,369.322742,356.509875,338.648526,331.370558,325.116599,304.478904,254.673661,90.833549,64.508846,56.476253,271.935473,332.695695,327.131043,324.285576,319.149715,305.664529,281.085793,90.691196,210.424626,67.400654,72.055246,1259.824569,167.574064,722.280628,709.830277,687.554861,648.014163,615.492356,580.53068,521.710303,1260.747207,1260.39533,255.618712,156.392163,66.09086,36.598402,32.738337,275.700296,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.565611,2.502862,2.522656,2.473059,2.491841,2.597537,-0.00021,-0.000975,0.000222,0,
12,289.103256,346.57217,333.526328,327.062191,316.036208,301.809953,271.478514,218.627465,89.469098,62.33322,59.05241,309.045502,369.540608,356.691734,338.830887,331.443603,325.445512,304.736256,254.748581,90.76003,64.508846,56.476253,272.084169,332.622651,327.16761,324.578213,319.332857,305.591035,281.048753,90.58093,210.196277,67.437348,72.181485,1259.843525,167.705273,722.845998,710.357815,688.298138,649.113494,615.328478,580.940514,524.593467,1260.766171,1260.414291,255.71016,157.282866,66.437316,36.540183,32.754927,275.716709,1259.580079,1259.975218,1260.634113,1259.316691,1259.316732,1259.536174,1259.05355,2.549587,2.505457,2.523419,2.471838,2.493825,2.583801,0.000247,-0.000822,-0.000235,0,
13,289.24545,346.821994,333.703576,327.056819,316.140723,301.988424,271.73336,218.659875,89.390193,62.364546,59.083782,309.296921,369.680512,356.831871,339.080824,331.803443,325.549771,304.804381,254.330989,90.68111,64.576902,56.544503,272.153051,332.471195,327.198805,324.682573,319.547237,305.401894,280.821061,90.538774,209.924259,67.46865,72.537422,1259.830887,167.694038,723.823904,711.516155,689.487527,650.222523,615.13812,581.646324,525.908842,1260.753528,1260.40165,256.335642,158.14582,66.720009,36.529161,32.706349,275.780035,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.52761,2.486532,2.517467,2.468329,2.493061,2.576017,-5.79E-05,-0.000822,0.000222,0,
14,289.324685,347.374124,333.745463,326.989088,316.256004,302.177694,272.333712,219.121322,88.954598,62.296494,59.199522,309.559109,369.722158,356.909958,339.013243,331.991404,325.664775,305.030349,254.786039,90.649754,64.655748,56.623577,271.972648,332.403514,327.131043,324.505055,319.406112,305.223542,280.530145,90.654441,209.73954,67.363961,73.454248,1259.830887,167.808397,723.933772,711.735393,690.251373,651.667553,615.317884,582.111982,527.162999,1260.753528,1260.40165,256.747412,158.259859,66.793384,36.529161,32.743867,275.891433,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.547145,2.508052,2.531354,2.473517,2.485431,2.58319,-5.79E-05,-0.000822,-0.000235,0,
15,289.319258,347.95195,333.886183,327.203022,316.616922,302.503222,273.257475,219.305667,88.471521,62.180914,59.194116,309.5904,369.571582,356.868242,339.044354,332.24166,325.659402,305.171987,255.155093,90.68111,64.613627,56.581334,272.004359,332.105951,326.979403,324.170458,319.510611,305.401894,280.524701,90.72255,209.657818,67.321874,73.55886,1259.824569,167.840899,724.367871,711.766551,690.646166,652.999175,615.744037,582.03506,527.301045,1260.747207,1260.39533,256.854186,158.976599,66.787975,36.411514,32.775853,275.885963,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.543177,2.492026,2.522808,2.47016,2.488483,2.597384,9.47E-05,-0.000822,-8.28E-05,0,
16,289.250877,348.248872,334.110667,327.464238,316.951949,302.949819,273.59737,219.311247,88.072783,62.112859,59.199522,309.192254,369.649538,356.800847,338.940302,332.027922,325.628232,305.030349,254.973325,90.686512,64.619023,56.513085,271.898297,332.184368,327.021342,324.248995,319.515991,305.995234,280.863548,90.433915,209.130481,67.400654,73.710951,1259.830887,167.999001,724.556402,711.845015,691.306389,654.197153,616.468466,581.789602,527.521311,1260.753528,1260.40165,257.084261,159.096273,66.793384,36.454405,32.856412,275.742901,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.539056,2.482258,2.527234,2.469549,2.489399,2.581054,9.47E-05,-0.000975,6.98E-05,0,
17,289.514621,348.837327,334.335144,327.6158,317.067208,303.175797,273.565672,219.506741,87.894498,62.044801,59.168152,308.940829,369.945347,357.315363,339.091544,332.069807,325.670148,305.146028,255.166097,90.544885,64.771316,56.518499,271.940936,332.299309,326.917011,324.437271,319.521371,306.037375,281.054197,90.32906,208.336555,67.406047,74.328958,1259.824569,168.031505,724.294619,711.583852,691.737649,655.384709,617.541979,581.820141,527.731015,1260.747207,1260.39533,257.415548,158.634416,66.787975,36.448894,32.738337,275.663161,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.572021,2.505762,2.509379,2.45963,2.471848,2.618904,9.47E-05,-0.000975,-8.28E-05,0,
18,289.546096,348.75909,334.402814,327.646976,317.171698,303.243916,273.374419,219.691064,87.815629,62.07613,59.015631,308.825364,370.085243,357.564589,339.232063,332.100958,325.774403,304.993589,254.898413,90.539483,64.802643,56.476253,271.74959,332.36699,326.838502,324.505055,319.589243,305.995234,281.308019,90.286907,208.064418,67.400654,74.669803,1259.837206,168.157108,723.8293,711.30231,691.966695,656.299215,619.135083,582.296366,528.529823,1260.75985,1260.40797,258.025207,158.835722,66.798793,36.385155,32.786913,275.674103,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.555844,2.4876,2.519451,2.461004,2.474747,2.589295,-5.79E-05,-0.000822,-0.000235,0,
19,289.387637,348.711943,334.209495,327.672781,317.160932,303.233111,273.252016,219.565964,87.7681,62.138787,58.968037,308.924647,370.074572,357.517532,339.440156,332.309327,325.873283,305.05631,254.587732,90.491922,64.828575,56.53909,271.701485,332.392782,326.827758,324.347988,319.322097,306.131408,281.445274,90.239353,207.900908,67.426564,74.706474,1259.837206,168.118986,723.8293,711.192699,691.930307,656.660793,620.250212,582.905331,529.103071,1260.75985,1260.40797,258.735882,158.037388,66.872167,36.385155,32.749397,275.934035,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.531578,2.50622,2.509379,2.452458,2.478868,2.575712,0.000247,-0.000822,6.98E-05,0,
