Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,4.9,1.056
2,6.6,2.748
3,7.1,3.272
4,6.8,2.941
5,7.6,3.761
6,10.1,6.251
7,10.9,7.051
8,9.3,5.419
9,10.4,6.536
10,11.1,7.257
11,9.8,5.942
12,4.2,0.353
13,5.3,1.452
14,4.7,0.844
15,4.7,0.81
16,4.9,1.043
17,5,1.152
18,5.1,1.23
19,5.2,1.375
20,5.2,1.37
21,5.1,1.228
22,5.1,1.201
23,4,0.139
24,4.7,0.851
25,5.4,1.55
26,4.8,1.028
27,4.8,0.967
28,4.8,0.927
29,4.8,0.943
30,5,1.131
31,5.2,1.34
32,5,1.112
33,4.9,1.007
34,3.9,0.038
35,4.3,0.462
36,5.7,1.812
37,5.1,1.27
38,4.6,0.721
39,4.6,0.712
40,4.5,0.58
41,4.7,0.79
42,4.9,1.03
43,4.8,0.922
44,4.6,0.716
45,3.9,0.038
46,4,0.17
47,5.5,1.696
48,7.8,3.862
49,5.6,1.746
50,4.6,0.728
51,4.5,0.628
52,4.4,0.5
53,4.7,0.852
54,4.6,0.771
55,4.4,0.5
56,3.9,0
57,4.2,0.26
58,4.4,0.5
59,5.7,1.8
60,6.1,2.22
61,6.3,2.44
62,4.7,0.8
63,4.6,0.5
64,4.7,0.784
65,4.4,0.5
66,4.2,0.36
67,4.1,0.2
68,4.1,0.22
69,4.2,0.28
70,4.3,0.4
71,3.9,0.062
72,4.1,0.264
73,4.2,0.368
74,4.1,0.252
75,4.4,0.418
76,4.3,0.432
77,4,0.116
78,4.2,0.084
79,3.9,0.028
80,4,0.136
81,4,0.16
82,4.3,0.4
83,4,0.1
84,3.9,0.06
85,3.9,0.02
86,4.2,0.3
87,4,0.12
88,0,0
