Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.9,11.056
2,14,10.148
3,13.7,9.872
4,11.1,7.241
5,9.2,5.361
6,8,4.151
7,7.5,3.651
8,13.8,9.919
9,9.3,5.436
10,4.5,0.657
11,4.1,0.242
12,4,0.153
13,4,0.152
14,3.9,0.044
15,8.6,4.71
16,4.2,0.343
17,4.2,0.352
18,4.2,0.33
19,4.1,0.275
20,4,0.17
21,4,0.128
22,5.1,1.201
23,4.2,0.339
24,4.3,0.451
25,4.2,0.35
26,4.1,0.328
27,4,0.167
28,4.8,0.927
29,4.3,0.443
30,4.1,0.231
31,4.2,0.34
32,4.3,0.412
33,4.2,0.307
34,4.1,0.238
35,4,0.162
36,4.1,0.212
37,4,0.17
38,4.2,0.321
39,4.3,0.412
40,4.3,0.38
41,4.2,0.29
42,4.1,0.23
43,0,0
44,0,0
45,4.1,0.238
46,4.3,0.47
47,4.3,0.496
48,4.3,0.362
49,4.1,0.246
50,0,0
51,0,0
52,4,0.1
53,4.2,0.352
54,0,0
55,0,0
56,0,0
57,0,0
58,4.4,0.5
59,4.3,0.4
60,4.2,0.32
61,4,0.14
62,4.1,0.2
63,4.3,0.2
64,4.3,0.384
65,4.4,0.5
66,3.9,0.06
67,4.1,0.2
68,4.2,0.32
69,4.4,0.48
70,4.3,0.4
