Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.4,10.556
2,13.4,9.548
3,10.6,6.772
4,7.8,3.941
5,8.8,4.961
6,10.7,6.851
7,5.2,1.351
8,14.7,10.819
9,10,6.136
10,4.4,0.557
11,4.3,0.442
12,4.4,0.553
13,4.5,0.652
14,4.2,0.344
15,13.4,9.51
16,4.5,0.643
17,4.3,0.452
18,4.3,0.43
19,4.2,0.375
20,4.1,0.27
21,4.1,0.228
22,9.7,5.801
23,4.3,0.439
24,4.2,0.351
25,4.2,0.35
26,4.1,0.328
27,4.1,0.267
28,4.2,0.327
29,6.9,3.043
30,4.2,0.331
31,4.2,0.34
32,4.2,0.312
33,4.2,0.307
34,4.2,0.338
35,4.2,0.362
36,5.6,1.712
37,4.3,0.47
38,4.3,0.421
39,4.2,0.312
40,4.3,0.38
41,4.3,0.39
42,4.3,0.43
43,5.4,1.522
44,4.9,1.016
45,4.9,1.038
46,4.3,0.47
47,4.2,0.396
48,4.4,0.462
49,,0
50,4.3,0.428
51,4.7,0.828
52,4.9,1
53,4.5,0.652
54,4.3,0.471
55,4.3,0.4
56,4.3,0.4
57,,0
58,,0
59,4.3,0.4
60,,0
61,4.7,0.84
62,4.5,0.6
63,4.4,0.3
64,4.3,0.384
65,4.6,0.7
66,4.2,0.36
67,4.6,0.7
68,4.4,0.52
69,4.3,0.38
70,4.3,0.4
