Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,18.6,14.756
2,9.7,5.848
3,9.8,5.972
4,11.2,7.341
5,11.9,8.061
6,10.3,6.451
7,5.4,1.551
8,6.3,2.419
9,15.1,11.236
10,5.5,1.657
11,4.9,1.042
12,4.9,1.053
13,5,1.152
14,4.9,1.044
15,8.6,4.71
16,5.4,1.543
17,4.8,0.952
18,4.6,0.73
19,4.7,0.875
20,4.8,0.97
21,4.8,0.928
22,7.4,3.501
23,5.1,1.239
24,4.8,0.951
25,4.7,0.85
26,4.7,0.928
27,4.8,0.967
28,4.9,1.027
29,5.5,1.643
30,5.1,1.231
31,5.1,1.24
32,4.8,0.912
33,4.9,1.007
34,4.8,0.938
35,4.9,1.062
36,4.9,1.012
37,5,1.17
38,5.1,1.221
39,5,1.112
40,5,1.08
41,5,1.09
42,5.2,1.33
43,4.3,0.422
44,4.7,0.816
45,5.3,1.438
46,5.1,1.27
47,4.9,1.096
48,5.2,1.262
49,5.4,1.546
50,4.1,0.228
51,4.2,0.328
52,4.9,1
53,5.5,1.652
54,5.1,1.271
55,5.2,1.3
56,5.4,1.5
57,4.1,0.16
58,4,0.1
59,4.3,0.4
60,5.1,1.22
61,5.4,1.54
62,5.2,1.3
63,5.5,1.4
64,4,0.084
65,4,0.1
66,4,0.16
67,4.5,0.6
68,5.2,1.32
69,5.2,1.28
70,4.8,0.9
