Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A8_2,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
0,273.114914,306.583112,301.203363,296.176224,285.206585,271.351349,243.120726,157.23667,77.102667,63.877641,59.900363,294.378162,318.107924,309.3707,304.064994,297.461399,293.862501,277.486715,123.698046,77.58722,61.865041,52.865079,258.666125,298.163795,295.862987,293.664091,289.364141,276.165675,246.056739,77.886043,143.638434,65.310355,62.93311,1260.95957,229.08841,556.511635,551.762679,541.051111,519.578319,483.935605,417.863275,317.429202,1261.88267,1261.530617,220.213162,99.134829,47.284097,39.676655,36.53849,259.696644,1260.695995,1261.091328,1261.750547,1260.432478,1260.432519,1260.652068,1260.169208,2.538904,2.476001,2.517009,2.462377,2.49413,2.571286,-0.000363,-0.000822,-8.28E-05,0,
1,273.066785,306.645745,301.008471,295.981107,285.010751,271.080066,242.99666,157.377482,77.091816,63.903478,59.926244,294.256702,318.097085,309.213056,303.90711,297.229527,293.814737,277.327303,124.210671,77.576369,61.817406,52.964872,258.65506,298.042413,295.778359,293.690059,289.168489,276.08045,245.820083,77.838533,143.929534,65.336202,62.975307,1260.965934,229.131878,556.302085,551.624716,540.805726,519.476072,483.438772,417.976688,317.104886,1261.889037,1261.536983,220.142841,99.324745,47.363676,39.719458,36.581422,259.814338,1260.702359,1261.097693,1261.756914,1260.438841,1260.438882,1260.658432,1260.17557,2.537683,2.4905,2.515941,2.467871,2.489551,2.56457,-0.000363,-0.000669,-8.28E-05,0,
2,272.918251,306.608993,300.971668,295.907418,284.936792,271.005695,242.883728,157.225423,77.091816,64.013596,60.036537,294.293553,317.987218,309.139663,303.796851,297.119034,293.925289,277.17886,124.697097,77.503049,61.890922,53.001777,258.692444,297.821433,295.741496,293.579415,289.094597,275.783465,245.857673,77.765216,143.967322,65.336202,63.017503,1260.972299,229.099642,556.092535,551.486754,540.667782,519.481391,482.870167,417.837947,316.377451,1261.895405,1261.543349,220.300381,99.62536,47.406213,39.68772,36.699113,259.857264,1260.708723,1261.104058,1261.763281,1260.445204,1260.445245,1260.664796,1260.181933,2.548366,2.490042,2.515635,2.459783,2.48421,2.567012,-0.000363,-0.00128,-0.000235,0,
3,272.881116,306.461983,300.934866,295.72319,284.788868,271.005695,242.695494,157.111384,77.128485,64.013596,60.110063,294.256702,318.023841,309.102966,303.723343,297.045371,293.777886,277.253083,124.435158,77.319749,61.780647,52.854154,258.617676,297.563603,295.557177,293.468768,289.020703,275.634959,245.895263,77.838533,144.005112,65.336202,63.012052,1260.965934,229.094026,555.908172,551.230711,540.519212,519.368506,482.470251,417.688509,315.639017,1261.889037,1261.536983,220.674481,99.546096,47.326636,39.719458,36.693566,259.776956,1260.702359,1261.097693,1261.756914,1260.438841,1260.438882,1260.658432,1260.17557,2.547297,2.483479,2.51884,2.471533,2.484668,2.569607,-0.000363,-0.000975,-0.000235,0,
4,272.84948,306.724682,300.866703,295.544404,284.64641,271.011198,242.738712,157.34509,77.097241,64.092439,60.189029,294.114752,317.772896,308.888207,303.618518,296.977156,293.599077,277.295682,123.879528,77.288515,61.675806,52.933429,258.511051,297.458548,295.525766,293.326688,288.878374,275.640452,245.863236,77.733983,143.632841,65.378346,63.043345,1260.95957,229.08841,555.508949,550.974669,540.334827,519.363187,481.962694,417.611115,316.329931,1261.88267,1261.530617,221.200399,99.688201,47.395217,39.713926,36.762775,259.696644,1260.695995,1261.091328,1261.750547,1260.432478,1260.432519,1260.652068,1260.169208,2.536157,2.480427,2.514262,2.477485,2.498708,2.569607,-0.00021,-0.000975,-8.28E-05,0,
5,272.663795,306.65118,300.829899,295.323303,284.535456,270.713694,242.550468,157.040983,77.097241,64.129144,60.26255,294.004193,317.47989,308.704706,303.324462,296.75615,293.414802,277.369901,123.318545,77.215196,61.712566,52.896523,258.623208,297.34804,295.525766,293.216031,288.767523,275.491938,246.051176,77.697325,143.972916,65.304922,63.08554,1260.965934,228.980467,555.2994,550.693431,540.089437,519.33265,481.465755,417.328266,317.214806,1261.889037,1261.536983,221.737487,100.505551,47.363676,39.831262,36.843073,259.739573,1260.702359,1261.097693,1261.756914,1260.438841,1260.438882,1260.658432,1260.17557,2.550807,2.483632,2.496559,2.464514,2.498098,2.572812,-5.79E-05,-0.000975,-8.28E-05,0,
6,272.626656,306.39391,300.793095,295.323303,284.38751,270.676504,242.512817,156.6989,77.207247,64.275956,60.189029,294.004193,317.296752,308.484492,303.177425,296.682478,293.156797,277.221461,122.645607,77.141877,61.565522,52.822709,258.585823,297.090172,295.452034,293.252917,288.619716,275.26915,246.013589,77.58735,144.161869,65.341635,63.090991,1260.972299,228.910376,555.054042,550.483831,539.87986,519.194546,481.004671,416.97335,317.366797,1261.895405,1261.543349,222.23653,100.584851,47.258052,39.911324,36.923365,259.745118,1260.708723,1261.104058,1261.763281,1260.445204,1260.445245,1260.664796,1260.181933,2.544092,2.488211,2.508921,2.473517,2.486804,2.573728,-0.00021,-0.000822,-0.000388,0,
7,272.626656,306.39391,300.535453,295.175893,284.276545,270.490542,242.475166,156.660893,77.243916,64.275956,60.152267,293.783063,316.967082,308.264265,302.883331,296.49829,292.825043,277.110125,122.60823,77.215196,61.455233,52.822709,258.660592,297.016492,295.304566,293.179144,288.545809,275.306282,245.750464,77.440719,143.821765,65.304922,63.090991,1260.972299,228.872521,554.910803,550.233099,539.629154,518.979407,480.789401,416.685125,316.157566,1261.895405,1261.543349,222.691915,100.547939,47.109874,39.836794,36.960736,259.67035,1260.708723,1261.104058,1261.763281,1260.445204,1260.445245,1260.664796,1260.181933,2.543177,2.474627,2.513041,2.469244,2.487872,2.571591,-0.000363,-0.000975,-0.000235,0,
8,272.557876,306.142058,300.283237,294.997076,284.13406,270.384464,242.330126,156.74253,77.212673,64.207985,60.231232,293.456794,316.972503,308.122873,302.704951,296.282702,292.609312,276.930045,123.174512,77.073983,61.497436,52.791263,258.703508,296.764047,295.125675,293.037051,288.366501,275.497431,245.868799,77.37283,143.562869,65.273643,63.017503,1260.972299,228.872521,554.660133,550.018187,539.306814,518.620834,480.717643,416.324824,314.618044,1261.895405,1261.543349,223.26105,100.437208,47.072827,39.87406,36.998105,259.632966,1260.708723,1261.104058,1261.763281,1260.445204,1260.445245,1260.664796,1260.181933,2.529747,2.482106,2.51533,2.474738,2.489704,2.57327,-0.00021,-0.000669,6.98E-05,0,
9,272.372169,305.995028,300.172805,295.033931,284.023085,270.161281,242.254817,156.818546,77.28601,64.171282,60.231232,293.235624,316.825976,308.15958,302.521121,296.209018,292.424975,276.670224,123.36147,76.927347,61.423908,52.680533,258.666125,296.653515,294.94132,292.741928,288.070836,275.23751,245.680843,77.189543,143.487307,65.23693,62.944013,1260.972299,228.796809,554.337845,549.58836,538.984471,518.369826,480.466488,415.928469,313.884737,1261.895405,1261.543349,223.905936,100.511028,46.887578,39.87406,37.035474,259.446033,1260.708723,1261.104058,1261.763281,1260.445204,1260.445245,1260.664796,1260.181933,2.549129,2.489432,2.518688,2.469702,2.478105,2.567623,-0.00021,-0.000669,6.98E-05,0,
