Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.8,10.956
2,10.3,6.448
3,10.1,6.272
4,9.6,5.741
5,9.7,5.861
6,9.4,5.551
7,6.1,2.251
8,9.3,5.419
9,5.5,1.636
10,5.4,1.557
11,5.2,1.342
12,5.1,1.253
13,5.1,1.252
14,4.7,0.844
15,4.5,0.61
16,4.6,0.743
17,4.7,0.852
18,4.8,0.93
19,4.8,0.975
20,5.1,1.27
21,8.4,4.528
22,4.5,0.601
23,4.5,0.639
24,4.6,0.751
25,4.6,0.75
26,4.6,0.828
27,4.9,1.067
28,8.8,4.927
29,4.4,0.543
30,4.5,0.631
31,4.5,0.64
32,4.5,0.612
33,4.5,0.607
34,4.8,0.938
35,8.2,4.362
36,4.4,0.512
37,4.5,0.67
38,4.4,0.521
39,4.3,0.412
40,4.3,0.38
41,4.7,0.79
42,6.6,2.73
43,4.4,0.522
44,4.4,0.516
45,4.2,0.338
46,4.2,0.37
47,4.3,0.496
48,4.9,0.962
49,5.2,1.346
50,4.4,0.528
51,4.3,0.428
52,4.3,0.4
53,4.2,0.352
54,4.4,0.571
55,5.1,1.2
56,5.4,1.5
57,4.6,0.66
58,4.2,0.3
59,4.1,0.2
60,4.1,0.22
61,4.2,0.34
62,4.6,0.7
63,5.9,1.8
64,5.7,1.784
65,4.3,0.4
66,4.1,0.26
67,4.1,0.2
68,4.1,0.22
69,4,0.08
70,4,0.1
