X_Value,GC1_0mBC,GC1_0-3mBC,GC1_0-61mBC,GC1_0-91mBC,GC1_1-22mBC,GC1_1-52mBC,GC1_1-83mBC,GC1_2-13mBC,GC1_2-44mBC,GC1_2-74mBC,GC1_3-05mBC,GC2_0mBC,GC2_0-3mBC,GC2_0-61mBC,GC2_0-91mBC,GC2_1-22mBC,GC2_1-52mBC,GC2_1-83mBC,GC2_2-13mBC,GC2_2-44mBC,GC2_2-74mBC,GC2_3-05mBC,GC3_0mBC,GC3_0-3mBC,GC3_0-61mBC,GC3_0-91mBC,GC3_1-22mBC,GC3_1-52mBC,GC3_1-83mBC,GC3_2-13mBC,GC3_2-44mBC,GC3_2-74mBC,GC3_3-05mBC,GC4_0mBC,GC4_0-3mBC,GC4_0-61mBC,GC4_0-91mBC,GC4_1-22mBC,GC4_1-52mBC,GC4_1-83mBC,GC4_2-13mBC,GC4_2-44mBC,GC4_2-74mBC,GC4_3-05mBC,GC5_0-3mBS,GC5_0-61mBS,GC5_0-91mBS,GC5_1-22mBS,GC5_1-52mBS,GC5_1-83mBS,GC6_0-3mBS,GC6_0-61mBS,GC6_0-91mBS,GC6_1-22mBS,GC6_1-52mBS,GC6_1-83mBS,GC8_0-15mAF,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,BDP5_SED_1-83mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
1272,262.40012,310.848189,303.341101,295.848191,282.472389,266.963616,229.801183,175.760948,42.184036,39.387122,36.051026,273.372321,323.601403,311.465136,295.6788,290.127556,286.855501,266.519878,210.38449,40.898081,39.863428,46.766688,239.902218,292.638619,288.448749,285.098938,281.339933,265.977652,240.641765,66.633266,178.426628,55.494522,61.587497,1259.818251,158.354602,570.207135,562.952883,548.191604,513.746494,490.330806,447.679032,361.265842,1260.740887,1260.38901,226.26034,119.880769,46.40872,33.261424,30.855275,250.421633,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.515249,2.485158,2.524639,2.476569,2.491841,2.57037,-0.000363,-0.000822,6.98E-05,0,
1273,262.411091,310.675417,303.13124,295.601095,282.335212,266.751065,229.623087,175.275898,41.860069,39.137155,35.949846,273.048987,323.282944,311.035797,295.321161,289.806135,286.238311,265.859804,209.176977,40.685582,39.687958,46.814642,239.57411,292.132909,288.127003,284.850856,281.202608,265.839499,240.502146,66.497283,176.758737,55.542213,62.023201,1259.811933,158.387022,569.234671,562.087859,547.54176,513.382459,489.716454,446.489176,360.71501,1260.734566,1260.382691,223.97989,119.166625,46.180841,33.330876,30.774564,249.214705,1259.548491,1259.943624,1260.60251,1259.285106,1259.285147,1259.504586,1259.021969,2.520132,2.491568,2.512736,2.460088,2.493977,2.550987,9.47E-05,-0.000975,6.98E-05,0,
1274,262.59209,310.48646,302.978717,295.411432,281.959585,266.484812,229.314752,175.613856,41.668502,39.019828,35.869559,272.746372,322.838583,310.553551,294.836666,289.431472,285.678592,265.071221,207.914228,40.605616,39.645189,46.735074,239.267033,291.573936,287.751968,284.512443,280.863658,265.461213,239.705319,66.345114,175.341382,55.573654,63.094372,1259.818251,158.354602,568.093698,561.161759,546.615985,512.275536,488.933391,445.309806,360.102113,1260.740887,1260.38901,221.708844,118.314675,46.075085,33.336402,30.780104,248.055793,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.532036,2.47829,2.515941,2.477637,2.482073,2.553429,0.000247,-0.000822,-8.28E-05,0,
1275,262.474716,310.407639,302.715839,295.000634,281.398767,265.920429,228.892819,174.844787,41.514132,38.977061,36.051026,272.146492,322.321006,310.071245,294.204647,289.019828,285.007866,264.170444,206.193761,40.302125,39.676999,46.655502,238.771414,290.977943,287.302945,284.210993,280.524665,265.194734,238.983629,66.229635,174.610917,55.494522,64.012824,1259.818251,158.392625,567.054948,560.230401,545.684922,511.199082,488.252441,443.730093,359.338312,1260.740887,1260.38901,219.620433,116.898965,45.852614,33.298914,30.81769,246.7404,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.527152,2.493552,2.519451,2.469549,2.491077,2.57617,-0.000363,-0.000822,6.98E-05,0,
1276,262.176318,310.150629,302.458345,294.632057,280.769198,265.025903,228.173482,173.279937,41.476904,38.902488,36.013635,271.663422,321.772159,309.630964,293.614786,288.391924,284.416359,263.08817,204.592662,40.115826,39.751575,46.692565,238.545191,290.608776,286.78533,283.803921,280.265208,264.78453,238.38039,66.08285,174.572769,55.494522,64.306674,1259.818251,158.354602,565.837148,559.084135,544.538981,510.15839,487.750628,442.688808,358.319782,1260.740887,1260.38901,217.416623,116.042654,45.630106,33.298914,30.780104,245.311425,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.536767,2.493247,2.524029,2.4784,2.49474,2.568539,-0.000363,-0.000975,6.98E-05,0,
1277,261.9898,309.856881,302.016882,294.374027,280.361748,264.16833,227.681195,172.135154,41.588585,38.716035,35.751867,271.55193,321.333034,309.190633,293.061686,288.059447,284.009623,262.714856,203.334305,39.929496,39.751575,46.729627,238.432071,290.202638,286.304602,283.396787,280.005726,264.672644,237.852435,66.046153,174.610917,55.457663,64.605909,1259.824569,158.398228,564.373959,557.871525,543.505726,509.48178,486.752141,441.760458,357.160928,1260.747207,1260.39533,215.521219,115.936479,45.524305,33.304441,30.748057,244.451641,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.528221,2.485158,2.523724,2.482063,2.497029,2.572049,-0.00021,-0.000975,-8.28E-05,0,
1278,261.95798,309.605227,301.76474,294.047661,280.033779,263.539753,227.421646,171.873673,41.817383,38.758812,35.64516,271.445898,321.082237,308.902444,292.772078,287.880151,283.608264,262.458986,202.805971,39.860434,39.645189,46.735074,238.324488,289.875726,285.977175,283.03205,279.862884,264.71542,237.254464,65.978152,173.624731,55.38936,64.789536,1259.824569,158.436252,562.798108,556.474561,542.431361,508.835723,485.497189,440.790823,356.178472,1260.747207,1260.39533,214.151854,115.415486,45.709747,33.341929,30.748057,244.037678,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.53753,2.487753,2.523876,2.478553,2.485888,2.577085,-0.00021,-0.000822,-8.28E-05,0,
1279,261.51027,309.201261,301.507173,293.789581,279.737375,262.942836,227.308018,171.988137,41.8546,38.609633,35.682563,271.483064,320.935845,308.718943,292.661435,287.695413,283.608264,262.309627,201.814242,39.823162,39.682478,46.772135,237.947368,289.580283,285.607283,282.698849,279.603361,264.678124,236.5376,65.868057,172.061041,55.46308,64.558359,1259.811933,158.387022,561.283389,555.067065,541.418043,508.466205,484.733536,439.774594,354.96678,1260.734566,1260.382691,213.075221,114.734905,45.661726,33.405849,30.774564,243.687836,1259.548491,1259.943624,1260.60251,1259.285106,1259.285147,1259.504586,1259.021969,2.53112,2.482564,2.520672,2.469549,2.492909,2.576475,-5.79E-05,-0.000669,-8.28E-05,0,
1280,261.137112,308.87071,301.175987,293.605225,279.477994,262.569685,227.042868,171.759211,42.077879,38.535036,35.719965,271.483064,320.826048,308.572136,292.513905,287.584565,283.423336,262.421647,199.982931,39.785889,39.831623,46.772135,237.909653,289.247874,285.274337,282.513719,279.603361,264.752715,236.273441,65.831358,171.22215,55.42622,64.165165,1259.824569,158.398228,560.004691,553.859777,540.282546,507.687058,484.206135,438.959049,353.92194,1260.747207,1260.39533,211.373522,113.33308,45.709747,33.454386,30.860815,243.209535,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.565153,2.487753,2.522808,2.469397,2.488025,2.612647,-5.79E-05,-0.000975,6.98E-05,0,
1281,260.939533,308.308938,300.760346,293.410019,279.096508,262.185504,226.539246,171.061277,42.178568,38.561366,35.746369,271.211961,320.44928,308.157596,292.171091,287.315039,283.375471,262.597365,198.17807,39.737658,39.85795,46.798301,237.936283,288.830686,285.00448,282.206602,279.407078,264.704461,236.262348,65.820569,170.829668,55.378527,63.939358,1259.818251,158.430649,558.531139,552.493393,539.023734,506.748362,483.375896,438.37901,353.115694,1260.740887,1260.38901,208.778112,113.847969,45.555928,33.411375,30.780104,241.848222,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.545313,2.492637,2.514567,2.466955,2.487262,2.574338,-5.79E-05,-0.000822,6.98E-05,0,
