Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_0-15mAF,RAD_0-15mAF,EVENT,Untitled,Comment
10,20.164857,20.540128,20.790819,20.969549,20.843529,20.982417,21.042605,20.996891,21.136918,21.032676,20.978073,20.24682,20.740007,20.924842,20.660892,20.615265,20.926351,20.519533,20.471059,20.780155,20.402998,20.590618,20.076841,20.746371,20.828769,20.704783,20.853839,20.962966,21.018276,21.054991,20.359765,20.629564,22.713674,26.570808,27.06489,26.157411,25.848114,25.428677,24.829278,24.346567,24.264342,24.231466,23.78422,23.752471,29.067179,28.187734,27.969391,28.793704,28.953325,29.62623,1259.813353,2.49009,2.474043,2.456007,2.510905,2.45139,2.482226,-0.000516,-0.000822,-8.28E-05,0,
11,20.229499,20.528916,20.741658,21.07212,20.794391,20.933282,21.031397,20.985683,21.163641,21.059376,20.928948,20.273542,20.652921,20.875708,20.763483,20.604054,20.915143,20.50832,20.611671,20.806877,20.391785,20.579406,20.027665,20.735161,20.81756,20.693572,20.804679,20.989696,21.007069,21.005863,20.348551,20.770114,22.637911,27.43869,27.743783,26.799285,26.452568,25.919874,24.829278,24.497893,24.453375,24.307123,23.78422,23.86599,29.029512,28.187734,28.007079,28.793704,28.990968,29.62623,1259.813353,2.48719,2.476027,2.439524,2.510142,2.450932,2.464217,-0.000516,-0.000975,-8.28E-05,0,
12,20.153641,20.528916,20.741658,20.958341,20.832319,20.857424,20.993461,21.023624,21.163641,21.021469,20.928948,20.159728,20.69086,20.837781,20.72555,20.52817,20.953053,20.54628,20.459847,20.768945,20.391785,20.655278,20.065625,20.697215,20.855508,20.693572,20.728775,20.913818,21.007069,20.96794,20.348551,20.732176,22.681401,28.4245,28.804554,27.446357,26.798009,26.416436,24.948306,24.503492,24.458974,24.388374,23.827678,23.833753,29.11042,28.23101,28.012659,28.836928,28.996543,29.631801,1259.819701,2.491921,2.473585,2.448071,2.508158,2.457189,2.476884,-0.000668,-0.000975,0.000375,0,
13,20.191571,20.528916,20.77961,20.958341,20.870246,20.933282,21.069332,21.023624,21.201569,20.98356,20.966865,20.083846,20.728797,20.799853,20.72555,20.52817,20.915143,20.54628,20.573717,20.731013,20.42974,20.579406,20.027665,20.697215,20.893456,20.769462,20.804679,20.913818,20.96914,21.005863,20.272667,20.694236,22.637911,29.586476,29.627321,28.194972,27.018933,26.788366,24.94271,24.611374,24.491178,24.420599,23.935638,23.86599,29.104845,28.225431,27.969391,28.793704,28.915681,29.663857,1259.813353,2.493142,2.454661,2.431435,2.495338,2.447727,2.472611,-0.000668,-0.000975,-0.000388,0,
14,20.202786,20.50216,20.752869,20.969549,20.729741,20.94449,21.080539,21.034831,21.212774,21.032676,20.978073,20.208883,20.740007,20.811062,20.736761,20.577324,20.926351,20.557492,20.546973,20.818086,20.440953,20.628554,20.000921,20.746371,20.866717,20.704783,20.853839,20.887086,21.094129,20.941225,20.321823,20.705447,22.637911,30.414279,30.567832,28.760269,27.584998,27.128019,24.980518,24.611374,24.566779,24.496243,23.973489,23.979497,29.029512,28.187734,28.007079,28.793704,28.915681,29.588601,1259.813353,2.48719,2.475111,2.446086,2.495186,2.440555,2.471085,-0.000668,-0.000822,-0.000235,0,
15,20.240714,20.50216,20.790819,20.969549,20.919381,20.906562,21.042605,21.034831,21.212774,21.146394,21.053902,20.170944,20.664132,20.84899,20.736761,20.577324,20.926351,20.557492,20.509017,20.780155,20.402998,20.590618,20.038882,20.670479,20.866717,20.742728,20.815889,20.962966,21.056203,21.017071,20.245938,20.743386,22.637911,31.279016,31.582643,29.325263,27.99992,27.505284,24.94271,24.611374,24.680171,24.647516,24.011339,24.092993,29.104845,28.187734,27.969391,28.831353,28.915681,29.550971,1259.813353,2.469638,2.4423,2.426245,2.484503,2.419954,2.456891,-0.000516,-0.000975,-8.28E-05,0,
16,20.197178,20.496553,20.785214,20.963945,20.837924,20.938886,21.150801,21.105105,21.320947,21.06498,21.086211,20.165336,20.696465,20.805458,20.655287,20.457887,20.844923,20.551886,20.579323,20.812481,20.4733,20.585012,19.995312,20.626926,20.823164,20.775067,20.848234,20.957361,21.012672,20.973544,20.316216,20.699841,22.643518,32.035945,32.189111,30.008427,28.646422,28.03881,24.948306,24.730441,24.83694,24.653113,24.092636,24.098594,28.922078,28.193314,27.861902,28.76163,28.883611,29.556543,1259.819701,2.473301,2.43299,2.430824,2.478704,2.440555,2.472611,-0.000363,-0.000975,-0.000235,0,
17,20.202786,20.540128,20.752869,20.893691,20.881455,21.058267,21.156404,21.072771,21.32655,21.184298,21.015988,20.133004,20.664132,20.84899,20.736761,20.539382,20.850528,20.633408,20.546973,20.780155,20.440953,20.628554,20.000921,20.632532,20.828769,20.704783,20.815889,21.000904,21.056203,20.979148,20.321823,20.667506,22.605635,33.086962,33.202368,30.422296,28.910218,28.528808,25.061726,24.654796,24.83694,24.690928,24.168326,24.136423,28.997418,28.080218,27.861902,28.76163,28.883611,29.48128,1259.819701,2.491921,2.471754,2.452497,2.495033,2.430178,2.475205,-0.000516,-0.000822,0.000222,0,
18,20.246322,20.507766,20.796425,20.937225,20.88706,20.950094,21.124076,21.154249,21.332152,21.151998,21.13533,20.176552,20.707676,20.854595,20.704433,20.58293,20.856133,20.601057,20.590535,20.78576,20.44656,20.558287,19.968568,20.714031,20.796425,20.710388,20.783543,20.930631,21.061807,20.984753,20.365372,20.748991,22.616851,34.522775,33.888436,31.072721,29.335768,29.368666,25.072918,24.817274,25.037065,24.777748,24.330891,24.261102,28.933229,28.091378,27.835372,28.697481,28.857116,29.530057,1259.832396,2.490243,2.482589,2.461196,2.511973,2.453526,2.474595,-0.000516,-0.000975,-0.000388,0,
19,20.197178,20.496553,20.823164,21.001872,20.875851,20.976813,21.150801,21.105105,21.35887,21.216598,21.124123,20.051512,20.696465,20.805458,20.731155,20.533776,20.920747,20.551886,20.503411,20.77455,20.321477,20.509136,19.919387,20.70282,20.823164,20.661231,20.772332,20.881481,21.050599,20.935621,20.24033,20.737781,22.724889,35.378635,34.482497,31.593343,29.85738,30.153524,25.105126,24.925125,25.107033,24.885578,24.325291,24.331148,28.889981,28.048097,27.867483,28.691904,28.70094,29.449219,1259.826048,2.503368,2.489152,2.455091,2.512889,2.46253,2.473221,-0.000363,-0.000822,-0.000235,0,
