Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.4,10.556
2,8.5,4.648
3,8.7,4.872
4,10.1,6.241
5,11.5,7.661
6,10.8,6.951
7,5.3,1.451
8,6.1,2.219
9,15.4,11.536
10,5.3,1.457
11,5.1,1.242
12,4.9,1.053
13,5,1.152
14,4.9,1.044
15,10.2,6.31
16,5.2,1.343
17,5,1.152
18,4.9,1.03
19,4.7,0.875
20,4.8,0.97
21,4.8,0.928
22,8.6,4.701
23,4.9,1.039
24,4.8,0.951
25,4.7,0.85
26,4.7,0.928
27,4.8,0.967
28,4.9,1.027
29,6.2,2.343
30,5,1.131
31,4.8,0.94
32,4.8,0.912
33,4.8,0.907
34,4.8,0.938
35,5.1,1.262
36,5.4,1.512
37,5.4,1.57
38,4.9,1.021
39,4.9,1.012
40,4.9,0.98
41,5,1.09
42,5.3,1.43
43,4.9,1.022
44,5.2,1.316
45,5.6,1.738
46,5.1,1.27
47,5.2,1.396
48,5.5,1.562
49,5.7,1.846
50,4.3,0.428
51,4.5,0.628
52,5.4,1.5
53,5.4,1.552
54,5.3,1.471
55,5.6,1.7
56,5.8,1.9
57,4.1,0.16
58,4.1,0.2
59,4.6,0.7
60,5.4,1.52
61,5.3,1.44
62,6,2.1
63,5.7,1.6
64,4,0.084
65,4,0.1
66,4.1,0.26
67,4.9,1
68,5.2,1.32
69,5.2,1.28
70,4.9,1
