Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,16.4,12.556
2,10.5,6.648
3,10.6,6.772
4,11.1,7.241
5,10.6,6.761
6,9.9,6.051
7,6.2,2.351
8,9.6,5.719
9,5.6,1.736
10,5.2,1.357
11,5.2,1.342
12,5.1,1.253
13,5,1.152
14,4.6,0.744
15,8.9,5.01
16,5.1,1.243
17,4.8,0.952
18,4.9,1.03
19,4.7,0.875
20,4.6,0.77
21,4.5,0.628
22,9.2,5.301
23,4.9,1.039
24,4.6,0.751
25,4.6,0.75
26,4.6,0.828
27,4.5,0.667
28,4.5,0.627
29,8.9,5.043
30,4.9,1.031
31,4.5,0.64
32,4.5,0.612
33,4.6,0.707
34,4.6,0.738
35,4.5,0.662
36,7.8,3.912
37,4.8,0.97
38,4.3,0.421
39,4.3,0.412
40,4.5,0.58
41,4.8,0.89
42,4.4,0.53
43,6.3,2.422
44,5,1.116
45,4.2,0.338
46,4.1,0.27
47,4.7,0.896
48,4.6,0.662
49,4.3,0.446
50,5.9,2.028
51,5,1.128
52,4.1,0.2
53,4,0.152
54,4.1,0.271
55,4.3,0.4
56,4.2,0.3
57,6.5,2.56
58,4.7,0.8
59,4,0.1
60,4,0.12
61,4.1,0.24
62,4.2,0.3
63,4.5,0.4
64,7.1,3.184
65,4.5,0.6
66,4.2,0.36
67,4.1,0.2
68,4.1,0.22
69,4.1,0.18
70,4.3,0.4
