Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,20.8,16.956
2,22,18.148
3,16.8,12.972
4,9.2,5.341
5,9,5.161
6,12.7,8.851
7,11.5,7.651
8,7.4,3.519
9,7.4,3.536
10,7.8,3.957
11,5.4,1.542
12,18.2,14.353
13,4.5,0.652
14,4.4,0.544
15,4.1,0.21
16,4,0.143
17,4,0.152
18,4.1,0
19,,0
20,,0
21,,0
22,,0
23,18.4,14.539
24,4.5,0.651
25,4.2,0.35
26,4,0.228
27,3.9,0.067
28,4,0.127
29,4.1,0.243
30,,0
31,,0
32,,0
33,,0
34,8.5,4.638
35,5.1,1.262
36,5.1,1.212
37,4.7,0.87
38,4,0.121
39,4.1,0.212
40,,0
41,,0
42,,0
43,,0
44,,0
45,4.4,0.538
46,4.1,0.27
47,4.3,0.496
48,4.4,0.462
49,4.2,0.346
50,4,0.128
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
