Time,FSE_Test_1_092812,FSW_Test_2_092812,FSW_Test_3_092812,FSE_Test_4_092912,FSE_Test_5_093912,FSW_Test_6_093012,FSW_Test_7_093012,FSE_Test_8_093912
1980,,,,,,,,
1997,,,,,,,,
2010,,,,,,,,
2025,,,,,,,,
2038,,,,,,,,
2040,,,,,,,,
2070,,,,,,,,
2085,,,,,,,,
2088,,,,,,,,
2100,,,,,,,,
2130,,,,,,,,
2160,,,,,,,,
2190,,,,,,,,
2220,,,,,,,,
2245,,,,,,,,
2250,,,,,,,,
2280,,,,,,,,
2310,,,,,,,,
2340,,,,,,,,
2348,,,,,,,,
2370,,,,,,,,
2400,,,,,,,,
2418,,,,,,,,
2430,,,,,,,,
2440,,,,,,,,
2460,,,,,,,,
2490,,,,,,,,
2520,,,,,,,,
2550,,,,,,,,
2565,,,,,,,,
2580,,,,,,,,
2600,,,,,,,,
2610,,,,,,,,
2615,,,,,,,,
2635,,,,,,,,
2640,,,,,,,,
2653,,,,,,,,
2655,,,,,,,,
2670,,,,,,,,
2685,,,,,,,,
2700,,,,,,,,
2730,,,,,,,,
2750,,,,,,,,
2760,,,,,,,,
2790,,,,,,,,
2820,,,,,,,,
2850,,,,,,,,
2880,,,,,,,,
2910,,,,,,,,
2940,,,,,,,,
2970,,,,,,,,
3000,,,,,,,,
3020,,,,,,,,
3030,,,,,,,,
3060,,,,,,,,
3090,,,,,,,,
3120,,,,,,,,
3150,,,,,,,,
3158,,,,,,,,
3175,,,,,,,,
3180,,,,,,,,
3210,,,,,,,,
3234,,,,,,,,
3240,,,,,,,,
3255,,,,,,,,
3270,,,,,,,,
3285,,,,,,,,
3300,,,,,,,,
3330,,,,,,,,
3360,,,,,,,,
3390,,,,,,,,
3420,,,,,,,,
3450,,,,,,,,
3480,,,,,,,,
3510,,,,,,,,
3540,,,,,,,,
3570,,,,,,,,
3600,,,,,,,,
3625,,,,,,,,
3630,,,,,,,,
3660,,,,,,,,
3690,,,,,,,,
3703,,,,,,,,
3720,,,,,,,,
3750,,,,,,,,
3780,,,,,,,,
3810,,,,,,,,
3825,,,,,,,,
3840,,,,,,,,
3870,,,,,,,,
3900,,,,,,,,
3930,,,,,,,,
3960,,,,,,,,
3990,,,,,,,,
4020,,,,,,,,
4050,,,,,,,,
4080,,,,,,,,
4110,,,,,,,,
4140,,,,,,,,
