Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
10,299.314511,322.390715,312.409494,300.080337,286.945663,262.562089,218.118436,132.504251,77.396759,66.192212,61.81377,303.910256,329.082717,315.459013,304.397268,299.781924,289.772168,256.691979,146.543779,75.865782,66.824004,61.777195,264.380041,300.925213,301.240116,297.976664,292.170308,275.943398,236.227748,88.67399,142.658283,77.011477,80.303672,640.073316,344.610729,629.22993,618.427208,587.992947,533.749705,497.953471,453.066527,363.667586,190.658976,1265.243317,108.399066,85.079302,63.054999,51.223332,40.440275,35.920572,1263.879675,2.513136,2.477858,2.469438,2.509226,2.439029,2.454602,-0.00021,-0.000822,6.98E-05,0,
11,299.215357,321.962488,312.090454,299.576341,286.365595,261.82696,217.332038,131.388362,77.187896,66.093323,61.641251,303.480518,328.472647,314.993829,303.893948,299.351477,288.713038,255.018346,145.26859,75.730299,66.835164,61.788371,263.981128,300.274006,300.699266,297.324864,291.517121,275.286385,234.124919,88.538235,141.574855,76.875967,79.956749,639.912553,344.44824,628.817308,617.727285,586.900868,532.300371,496.507563,451.901773,363.650944,188.731227,1265.22364,108.345017,85.209374,62.92797,51.095584,40.385966,35.828626,1263.860009,2.508557,2.488694,2.462265,2.516704,2.462682,2.461012,-5.79E-05,-0.001127,5.000926,0,
12,299.025839,321.737231,311.791349,299.165896,285.879442,261.186587,216.604142,130.33113,76.925642,65.941002,61.598921,302.960453,327.955472,314.438579,303.373785,298.720122,287.895155,252.726558,143.787857,75.724724,66.792879,61.746036,263.677045,299.679503,300.067917,296.766659,291.031567,274.463684,232.759047,88.532649,140.663421,76.943722,79.259849,639.624056,344.302436,628.565232,617.043879,586.147951,530.867333,495.148653,451.184042,364.632358,188.19633,1265.22364,108.15964,85.172653,62.781021,50.98475,40.348717,35.604148,1263.860009,2.516341,2.492509,2.466996,2.502358,2.457494,2.459944,-0.00021,-0.001127,0.037459,0,
13,298.83631,321.438727,311.528917,298.7554,285.393203,260.695435,216.066177,129.387091,76.773394,65.788676,61.630074,302.587333,327.292046,313.956558,302.853543,298.051823,287.040096,250.545096,142.648206,75.682492,66.824004,61.740448,263.149059,299.195341,299.583722,296.134652,290.545931,274.123709,231.694926,88.490332,139.865537,76.791488,78.622061,639.465763,344.215334,628.299133,616.382474,585.703761,529.635206,494.06137,450.452314,365.41777,188.754543,1265.249877,108.033977,84.974748,62.399308,50.748673,40.296967,35.514742,1263.886231,2.513136,2.489457,2.469438,2.497475,2.466803,2.460707,-0.00021,-0.001127,0.00068,0,
14,298.762734,321.438727,311.455527,298.608152,284.87552,260.135148,214.887473,128.186752,76.700058,65.788676,61.666814,301.999202,326.560981,313.29677,302.302045,297.646771,286.485973,249.080935,141.779296,75.499202,66.7873,61.630204,262.96249,298.569416,298.99458,295.692408,289.991959,273.64071,230.33353,88.380142,139.111406,76.864817,78.904274,639.346576,344.094851,628.180117,616.155717,585.406013,528.334353,493.227271,450.190133,365.624727,188.284401,1265.236757,107.651995,84.779953,62.68202,50.478701,40.099318,35.465895,1263.873119,2.498637,2.476332,2.454176,2.509989,2.452916,2.459638,-0.00021,-0.001127,0.000375,0,
15,298.80512,321.371053,311.351017,298.356048,284.252399,259.505674,213.67612,127.180299,76.778969,65.86763,61.78262,301.56363,325.981612,312.64245,301.829599,297.136776,286.269914,248.034885,140.425742,75.431461,66.792879,61.635793,262.594982,297.985798,298.410929,295.218843,289.591259,273.31192,229.015037,88.202086,138.363295,76.760398,78.898677,639.196835,343.979929,627.994583,615.71868,584.862797,527.218043,492.398407,450.184653,365.946243,187.552631,1265.230198,107.535154,85.104816,62.639672,50.288253,40.019111,35.460183,1263.866564,2.51802,2.496019,2.463943,2.498238,2.46726,2.460859,-0.00021,-0.000975,6.98E-05,0,
16,298.578788,321.072526,311.272045,298.313634,283.950842,258.864662,212.605012,126.16304,76.66339,65.862049,61.740293,301.227125,325.756687,312.196883,301.345901,296.615495,285.968691,247.277627,139.099352,75.315913,66.860708,61.630204,262.253393,297.538215,297.815973,294.807729,289.142327,273.04612,227.949417,88.012868,137.754699,76.718159,79.747865,639.094161,343.839678,627.820041,615.616281,584.258844,526.399288,491.830946,450.620797,365.80643,186.641468,1265.236757,107.318456,85.036979,62.38809,49.998162,39.98754,35.465895,1263.873119,2.501537,2.497393,2.467606,2.492439,2.454594,2.452771,-5.79E-05,-0.001127,6.98E-05,0,
17,298.29005,320.894979,311.094133,298.282416,283.80849,258.421773,212.192195,125.419804,76.742301,65.86763,61.745881,300.901774,325.396616,311.909105,301.020459,296.326385,285.937361,247.508828,137.74762,75.321488,66.792879,61.488794,261.923106,297.06493,297.379483,294.297154,288.815409,272.903101,227.008522,87.761385,137.157751,76.687069,79.821224,638.913871,343.76677,627.459982,615.076879,583.792831,525.21663,491.257927,450.584908,364.788834,185.380595,1265.236757,107.022028,84.669803,62.241114,49.850273,39.913015,35.428473,1263.873119,2.516189,2.490525,2.450207,2.478399,2.450932,2.460096,-5.79E-05,-0.000975,-8.28E-05,0,
18,298.142872,320.528735,310.947335,298.098326,283.54951,257.973115,211.887729,124.558937,76.742301,65.941002,61.819358,300.644351,324.994391,311.615729,300.79975,296.068489,285.900408,248.185165,136.993883,75.248172,66.71947,61.562295,261.661768,296.51228,296.937332,293.817765,288.445882,272.754422,226.137318,87.614496,136.630563,76.61374,79.742267,638.655969,343.688297,626.950435,614.388199,583.142136,524.243461,490.500239,450.435875,364.165389,183.61721,1265.230198,106.794085,84.443909,62.382481,49.733701,39.944589,35.460183,1263.866564,2.498637,2.501971,2.464554,2.484961,2.444217,2.443003,-5.79E-05,-0.000822,-8.28E-05,0,
19,297.885294,320.125832,310.653721,297.656469,283.105485,257.187753,210.898049,123.810705,76.668965,65.75757,61.819358,300.497242,324.738412,311.102269,300.505449,295.773725,285.826501,248.034885,136.165116,75.138198,66.71947,61.562295,261.363061,296.143792,296.347701,293.375185,288.002386,272.642907,225.190052,87.504334,135.915328,76.687069,80.120265,638.594862,343.517148,626.3854,613.823888,582.54372,523.143254,489.758806,450.482723,363.994738,182.788323,1265.243317,106.657211,84.234832,62.87132,49.781969,40.142264,35.583866,1263.879675,2.500621,2.497545,2.468522,2.510599,2.458409,2.456586,-0.000516,-0.001127,-0.000235,0,
