Time,FSE1_0-03mBC,FSE1_0-3mBC,FSE1_0-61mBC,FSE1_0-91mBC,FSE1_1-22mBC,FSE1_1-52mBC,FSE1_1-83mBC,FSE1_2-13mBC,FSE2_0-03mBC,FSE2_0-3mBC,FSE2_0-61mBC,FSE2_0-91mBC,FSE2_1-22mBC,FSE2_1-52mBC,FSE2_1-83mBC,FSE2_2-13mBC,FSE3_0-3mBC,FSE3_0-61mBC,FSE3_0-91mBC,FSE3_1-22mBC,FSE3_1-52mBC,FSE3_1-83mBC,FSE3_2-13mBC,FSE4_0-3mBS,FSE4_0-61mBS,FSE4_0-91mBS,FSE4_1-22mBS,FSE4_1-52mBS,FSE4_1-83mBS,FSE4_2-13mBS,FSE3_bdp_0-3mBC,FSE3_bdp_0-61mBC,FSE3_bdp_0-91mBC,FSE3_bdp_1-22mBC,FSE3_bdp_1-52mBC,FSE3_bdp_1-83mBC,FSE3_bdp_2-13mBC,FSE4_bdp_0-3mBC,FSE4_bdp_0-61mBC,FSE4_bdp_0-91mBC,FSE4_bdp_1-22mBC,FSE4_bdp_1-52mBC,FSE4_bdp_1-83mBC,FSE4_bdp_2-13mBS,FSE1_HF_0-15mAF,FSE1_RAD_0-15mAF,FSE2_HF_0-15mAF,FSE2_RAD_0-15mAF,FSE3_HF_1-52mBC,FSE3_HF2_1-52mBC,FSE5_HF_1-52mBC,FSE5_HF2_1-52mBC,FSE_bdp_0-3mBS_RW,FSE_bdp_0-6mBS_RW,FSE_bdp_0-9mBS_RW,FSE_bdp_1-2mBS_RW,FSE_TC_0-3mBS_RW,FSE_TC_0-6mBS_RW,FSE_TC_0-9mBS_RW,FSE_TC_1-2mBS_RW,Untitled,Comment
10,101.267431,25.581932,23.8245,24.074277,22.698549,23.405809,22.597372,21.036121,83.991123,24.964149,22.71776,22.820159,22.331329,22.893313,21.721087,20.652291,21.773437,21.572619,21.347476,21.124423,21.044053,21.783041,22.415214,24.089409,23.888294,23.849797,23.313438,23.631358,23.553078,22.480175,2.529585,2.543599,2.506973,2.508323,2.527955,2.511106,2.531673,2.532474,2.462249,2.444133,2.592947,2.517034,2.537437,2.526083,-0.000328,2.49E-05,-1.00E-05,-0.000268,-0.000188,-0.000256,-0.000516,0.000575,2.49513,2.53388,2.504801,2.5025,27.245963,28.196042,28.045315,28.041937,0,
11,114.406666,25.954384,24.046106,24.409175,22.768809,23.627392,22.857055,21.144459,97.334028,31.323698,27.660518,22.852542,22.439504,22.963561,21.715613,20.760625,21.767963,21.529221,21.342,21.043079,21.114418,21.891272,22.371853,24.083946,23.920669,23.920029,23.232248,23.625894,23.509775,22.436834,2.529891,2.544057,2.506973,2.508781,2.527192,2.511106,2.531673,2.53278,2.462402,2.444286,2.5931,2.51734,2.53759,2.526388,-0.000328,0.000178,-1.00E-05,-0.000268,0.000118,-0.000409,-0.000211,0.000117,2.494519,2.53388,2.505106,2.50311,27.370003,28.244609,27.980829,28.052822,0,
12,123.423475,26.483231,24.348792,24.90062,22.995966,24.043528,23.16001,21.334125,107.829348,47.612528,31.009269,23.003936,22.591016,23.114977,21.905102,20.836494,21.805882,21.567144,21.417824,21.043079,21.114418,21.853372,22.447632,24.083946,23.882831,23.882182,23.345831,23.701571,23.623284,22.474705,2.529738,2.543904,2.506668,2.508628,2.527955,2.510953,2.531826,2.53278,2.462249,2.444438,2.5931,2.517187,2.537285,2.526388,-0.000176,-0.000128,0.000143,-0.000116,-0.000188,-0.000256,-5.79E-05,0.000575,2.494977,2.533575,2.504953,2.50311,27.278234,28.1906,28.039873,28.036495,0,
13,126.040497,26.823065,24.462278,25.354064,23.109527,24.346073,23.538588,21.485836,109.349242,61.363396,33.860501,23.268825,22.818244,23.266373,22.05667,20.912359,21.767963,21.567144,21.379913,21.005143,21.152337,21.81547,22.371853,24.046106,23.882831,23.99572,23.27011,23.701571,23.585449,22.512575,2.529891,2.544209,2.506973,2.508476,2.527955,2.511411,2.531673,2.532322,2.462555,2.444438,2.593405,2.517187,2.537132,2.526388,-2.30E-05,0.000178,0.000143,-0.000268,-3.49E-05,-0.000256,-0.000516,0.000727,2.494519,2.533269,2.505259,2.503415,27.477694,28.201483,28.013073,28.04738,0,
14,126.307825,34.951982,24.619034,25.661709,23.304236,24.805193,23.9225,21.79467,120.92645,75.964579,35.02672,24.597783,23.050894,23.423214,22.251574,21.069549,21.773437,21.572619,21.309562,21.01062,21.119895,21.896745,22.415214,24.089409,23.888294,23.925492,23.313438,23.669197,23.590914,22.404431,2.529738,2.543904,2.506821,2.508628,2.52826,2.511259,2.531826,2.532169,2.462249,2.444286,2.593558,2.517187,2.537132,2.525625,-2.30E-05,-0.000128,-1.00E-05,3.69E-05,-0.00034,-0.000256,-5.79E-05,0.000727,2.494977,2.53388,2.505106,2.503263,27.434538,28.309093,28.082999,28.041937,0,
15,131.624108,47.317464,29.820281,25.845081,23.601491,25.290987,24.295356,22.016664,133.811539,83.326638,36.479917,26.744295,23.386113,23.644773,22.473379,21.139922,21.767963,21.529221,21.342,21.005143,21.114418,21.777567,22.371853,24.046106,23.882831,23.882182,23.27011,23.625894,23.547613,22.436834,2.529585,2.543904,2.506973,2.508476,2.52826,2.511106,2.531979,2.532169,2.461944,2.444438,2.59371,2.517034,2.537132,2.526541,-2.30E-05,-0.000128,-0.000163,-0.000421,-0.000188,4.88E-05,-0.000211,0.000422,2.494977,2.533727,2.504801,2.502805,27.364557,28.276852,27.975387,27.934275,0,
16,134.892395,64.358427,32.639317,26.449102,24.16887,25.970816,24.711355,22.319884,138.669316,88.426941,41.514163,28.214208,23.802366,23.833925,22.662741,21.253686,21.767963,21.529221,21.304087,21.081013,21.152337,21.853372,22.447632,24.083946,23.958507,23.882182,23.307971,23.701571,23.547613,22.474705,2.530043,2.544209,2.507126,2.508628,2.528108,2.511106,2.531826,2.532322,2.462249,2.444133,2.593405,2.517492,2.537285,2.526541,-2.30E-05,-0.000128,0.000143,3.69E-05,-0.000188,-0.000256,-5.79E-05,0.000575,2.494824,2.533727,2.504648,2.502957,27.375043,28.211962,28.023546,27.907061,0,
17,142.157453,83.29064,37.390552,27.160487,24.806086,26.607032,24.932739,22.541775,139.003246,96.473755,51.774194,29.375713,24.213,24.168854,22.770874,21.39988,21.72457,21.523746,21.374438,21.037602,21.14686,21.809997,22.442162,24.154161,23.915206,23.83887,23.302505,23.696107,23.542148,22.469235,2.531722,2.544972,2.506973,2.508628,2.528108,2.510953,2.531979,2.532932,2.462555,2.444286,2.5931,2.51734,2.537132,2.52593,-0.000176,2.49E-05,-1.00E-05,-0.000116,0.000118,-0.000256,-0.000211,0.000422,2.494672,2.533422,2.505106,2.503263,27.509959,28.158355,28.120681,28.041937,0,
18,146.923474,91.859377,44.400343,28.146081,25.302747,27.102907,25.127196,22.850322,135.57998,102.637406,59.038438,29.794914,24.294098,24.438991,22.965654,21.594913,21.767963,21.491297,21.342,21.043079,21.152337,21.81547,22.48552,24.121785,23.958507,23.844333,23.307971,23.701571,23.585449,22.361087,2.537064,2.546956,2.506363,2.508628,2.527955,2.510801,2.531826,2.532322,2.462249,2.44398,2.592947,2.517187,2.537437,2.526693,-0.000328,2.49E-05,-0.000163,-0.000116,0.00027,-0.000104,-0.000211,0.000727,2.495435,2.533575,2.504801,2.502652,27.542222,28.26597,28.039873,28.036495,0,
19,158.893503,100.40109,50.689861,30.017568,25.669534,27.582218,25.380827,23.104513,143.112551,109.693403,64.905813,30.009672,24.736891,24.541483,23.106146,21.621873,21.946599,21.632038,21.255219,21.107992,21.103464,21.76662,22.47458,24.148699,23.947581,23.871255,23.259178,23.652804,23.498845,22.350145,2.534775,2.544515,2.50621,2.508323,2.52765,2.510953,2.531521,2.532627,2.462402,2.444133,2.592489,2.517797,2.537285,2.526541,-2.30E-05,0.000178,-0.000163,-0.000268,-3.49E-05,-0.000256,-0.000211,0.000422,2.495893,2.533422,2.504801,2.50311,27.806145,28.228285,28.115239,28.074194,0,
20,165.174203,99.852498,55.753195,31.977102,26.580922,28.002273,25.877408,23.450764,143.420333,111.887165,70.596141,30.879547,25.195875,24.660345,23.263019,21.816868,22.33114,21.86501,21.298611,21.075536,21.14686,21.885799,22.48005,24.116323,23.990881,23.876719,23.264644,23.658269,23.579984,22.317741,2.536912,2.543904,2.506363,2.508171,2.527497,2.510953,2.531216,2.533085,2.462402,2.44398,2.592947,2.517492,2.537285,2.526541,0.00013,0.000178,0.000143,-0.000268,-3.49E-05,-0.000256,-5.79E-05,0.000575,2.494977,2.533575,2.505411,2.503263,27.956928,28.26597,28.115239,28.149588,0,
