Time,FSE1_0-03mBC,FSE1_0-3mBC,FSE1_0-61mBC,FSE1_0-91mBC,FSE1_1-22mBC,FSE1_1-52mBC,FSE1_1-83mBC,FSE1_2-13mBC,FSE2_0-03mBC,FSE2_0-3mBC,FSE2_0-61mBC,FSE2_0-91mBC,FSE2_1-22mBC,FSE2_1-52mBC,FSE2_1-83mBC,FSE2_2-13mBC,FSE3_0-3mBC,FSE3_0-61mBC,FSE3_0-91mBC,FSE3_1-22mBC,FSE3_1-52mBC,FSE3_1-83mBC,FSE3_2-13mBC,FSE4_0-3mBS,FSE4_0-61mBS,FSE4_0-91mBS,FSE4_1-22mBS,FSE4_1-52mBS,FSE4_1-83mBS,FSE4_2-13mBS,FSE3_bdp_0-3mBC,FSE3_bdp_0-61mBC,FSE3_bdp_0-91mBC,FSE3_bdp_1-22mBC,FSE3_bdp_1-52mBC,FSE3_bdp_1-83mBC,FSE3_bdp_2-13mBC,FSE4_bdp_0-3mBC,FSE4_bdp_0-61mBC,FSE4_bdp_0-91mBC,FSE4_bdp_1-22mBC,FSE4_bdp_1-52mBC,FSE4_bdp_1-83mBC,FSE4_bdp_2-13mBS,FSE1_HF_0-15mAF,FSE1_RAD_0-15mAF,FSE2_HF_0-15mAF,FSE2_RAD_0-15mAF,FSE3_HF_1-52mBC,FSE3_HF2_1-52mBC,FSE5_HF_1-52mBC,FSE5_HF2_1-52mBC,FSE_bdp_0-3mBS_RW,FSE_bdp_0-6mBS_RW,FSE_bdp_0-9mBS_RW,FSE_bdp_1-2mBS_RW,FSE_TC_0-3mBS_RW,FSE_TC_0-6mBS_RW,FSE_TC_0-9mBS_RW,FSE_TC_1-2mBS_RW,Untitled,Comment
150,770.955287,644.587694,550.488817,479.387199,433.380345,409.171392,139.315105,81.529209,593.060187,527.664081,445.822203,441.837214,366.056515,318.716648,123.839806,58.053869,304.961835,262.979548,215.703051,138.603989,115.487648,49.525473,32.306717,277.932968,241.281479,176.738794,50.914479,25.795786,25.943852,22.868495,2.54027,2.551992,2.510331,2.510307,2.525971,2.508512,2.530758,2.586964,2.510166,2.473282,2.598289,2.509403,2.531638,2.515859,0.001198,0.000788,0.001058,0.0008,0.005307,0.00478,0.004216,0.006374,2.495435,2.532964,2.505259,2.502652,344.192577,38.183827,33.543346,32.303871,0,
151,764.724349,650.015431,547.527008,491.68935,436.984452,408.712763,149.30791,85.430452,561.077533,509.4379,455.987691,439.441766,373.147464,317.95833,131.269212,60.051261,305.48706,263.997923,217.120048,139.633212,116.540457,49.906036,32.617846,277.090249,241.706692,178.735551,51.479545,25.844457,25.992511,22.879431,2.545154,2.550619,2.514299,2.511223,2.52765,2.507138,2.526484,2.616727,2.522985,2.466414,2.59661,2.51093,2.533622,2.517842,0.001198,0.000788,0.001058,0.000495,0.005612,0.005543,0.004368,0.006984,2.492993,2.533575,2.504343,2.502347,342.989663,38.295829,33.543346,32.303871,0,
152,768.405887,687.227394,558.29516,489.566615,442.900768,409.207472,160.575998,83.547571,538.583799,489.839976,452.604819,413.13574,364.7849,322.742057,129.944728,60.408374,305.733728,264.770543,218.400578,140.905402,117.721398,50.154216,32.757123,276.597032,242.110083,180.290439,52.170827,25.871313,26.094857,22.944208,2.541491,2.551229,2.510484,2.508323,2.527192,2.508054,2.529689,2.612148,2.509861,2.475113,2.598747,2.511845,2.529044,2.517537,0.001198,0.001093,0.001058,0.000342,0.005154,0.005543,0.004063,0.006984,2.501539,2.53388,2.504801,2.502194,341.744794,38.477085,33.650393,32.373544,0,
153,719.43711,652.72059,545.015135,474.94473,441.82862,410.294958,157.995155,83.002336,576.471133,553.46978,463.981892,436.922421,374.194593,319.746922,140.108287,62.949625,306.033043,265.670912,219.659091,142.15698,118.956584,50.49231,32.837589,275.63711,242.303799,181.900226,53.025478,25.952287,26.100309,23.025382,2.550954,2.550619,2.515978,2.507865,2.526734,2.508206,2.526179,2.6065,2.507572,2.47435,2.597679,2.512608,2.530875,2.515859,0.000893,0.000788,0.001211,0.000495,0.005612,0.004932,0.004674,0.006526,2.49513,2.533117,2.505564,2.503568,341.270763,38.439759,33.687877,32.561254,0,
154,701.633552,637.520939,544.979324,472.577096,444.593585,410.439247,160.429297,85.60875,562.28967,496.174722,448.69867,425.851266,361.773687,317.147387,166.471106,67.208334,306.767963,266.677365,221.139305,143.139308,120.411129,50.82499,33.025188,274.931477,242.529714,183.848431,53.763662,26.065559,26.175803,22.987529,2.545306,2.553519,2.508652,2.508934,2.527345,2.507748,2.525569,2.611842,2.509251,2.471145,2.592337,2.511845,2.530112,2.516011,0.001198,0.000788,0.001058,0.0008,0.005612,0.00539,0.005437,0.006526,2.499403,2.533727,2.505411,2.502652,341.046702,38.546346,33.719947,32.630911,0,
155,699.448957,629.195293,531.762697,467.805545,440.284258,406.578321,163.169825,89.760472,542.849799,503.334365,451.390039,434.802818,387.172188,297.761335,151.986203,69.776209,307.686405,267.608885,222.163653,143.895258,121.792226,51.046737,33.100218,276.08267,242.567364,185.529314,54.464642,26.065559,26.213547,22.987529,2.554006,2.564964,2.510942,2.509086,2.527803,2.507596,2.529232,2.625885,2.520238,2.476029,2.601952,2.513371,2.530722,2.518148,0.001045,0.000788,0.001058,0.000495,0.005765,0.005696,0.005284,0.005305,2.504286,2.534185,2.505106,2.503721,341.203097,38.781043,33.880691,32.79188,0,
156,722.617903,632.473949,534.843567,478.316433,436.260634,408.130209,154.879264,92.592587,575.862162,534.470443,460.394904,443.350264,400.556693,291.237625,139.881962,68.895927,308.384267,268.353839,223.073893,144.878393,122.987586,51.19455,33.28777,276.973554,242.755607,186.751787,55.017851,26.103314,26.364514,23.101084,2.544085,2.553824,2.512926,2.508323,2.526887,2.508664,2.528926,2.627258,2.508335,2.461073,2.599052,2.511998,2.53057,2.517995,0.001045,0.000941,0.001211,0.000342,0.005765,0.006001,0.004826,0.006221,2.493909,2.53388,2.50419,2.504026,341.447822,38.919522,33.982293,32.781045,0,
157,716.592416,621.603778,537.284484,474.662934,440.181691,413.870289,159.179451,92.5979,586.760383,535.942946,455.162544,437.358655,371.586755,286.664047,138.228476,64.607616,309.197456,269.29008,224.216775,145.791762,124.114393,51.458525,33.480704,277.609762,243.47623,187.826955,55.686801,26.222021,26.369965,23.106551,2.548512,2.557639,2.512926,2.507713,2.526887,2.506833,2.527095,2.6239,2.509251,2.44749,2.593253,2.512608,2.529501,2.516011,0.001045,0.000788,0.001058,0.000342,0.005307,0.006001,0.004521,0.006679,2.492841,2.533269,2.504648,2.503873,341.609472,38.972994,34.185875,32.872356,0,
158,712.50305,634.677757,531.839522,467.703092,433.139111,411.995338,168.05221,94.107091,571.282702,519.688273,458.355383,441.560354,366.793539,286.922732,135.215877,64.534181,310.00517,270.33222,225.505297,146.775749,125.049459,51.71712,33.630694,278.870996,243.814928,188.438176,56.16594,26.146519,26.483175,23.1444,2.547596,2.552603,2.509263,2.508476,2.525818,2.506222,2.531521,2.627563,2.510777,2.452527,2.593558,2.512456,2.528738,2.516774,0.000893,0.000635,0.001364,0.000495,0.005001,0.005848,0.004063,0.005458,2.491467,2.533422,2.505564,2.50311,342.187594,39.042225,34.330319,32.866939,0,
159,695.560664,628.408066,519.187788,469.209947,437.056312,411.851087,167.975966,93.113136,551.447191,501.86806,449.02684,440.01634,354.25033,291.353643,156.24266,62.771245,310.629196,271.039131,226.490245,147.570822,126.13477,52.160328,33.780664,279.686758,243.852558,188.896586,56.350193,26.184271,26.407703,23.1444,2.54668,2.548635,2.510636,2.508323,2.525818,2.507138,2.526179,2.629242,2.50864,2.451611,2.589132,2.51444,2.53057,2.516316,0.001045,0.000788,0.001364,0.000342,0.005765,0.005238,0.004368,0.006221,2.504744,2.533727,2.505259,2.503263,343.124955,39.180672,34.282037,32.818575,0,
160,701.003965,638.412158,528.241001,479.884101,440.884471,413.5302,170.704951,95.711748,558.054678,487.113678,461.424792,447.324093,367.831143,311.16279,158.962326,67.821478,310.98033,271.618158,227.269123,148.311884,127.092155,52.36589,34.026826,279.856069,243.798629,188.956444,56.371081,26.243417,26.542292,23.128,2.550038,2.558249,2.518726,2.508628,2.526887,2.508817,2.52679,2.628937,2.510319,2.466872,2.595542,2.513829,2.532401,2.519674,0.001045,0.000483,0.001058,0.000495,0.005459,0.005848,0.004368,0.006679,2.49635,2.533575,2.504648,2.503568,343.651089,39.271432,34.37319,32.834828,0,
161,711.079872,649.039978,536.997938,475.129269,440.792285,410.949438,173.124908,96.280433,574.112166,498.393402,450.677563,426.431986,366.248647,318.727224,149.414127,64.717765,311.179723,272.340797,228.269848,149.16179,128.007588,52.603413,34.155496,279.983335,243.852558,189.202188,56.423889,26.222021,26.634103,23.182248,2.550649,2.549093,2.511247,2.509086,2.527497,2.507138,2.530758,2.62909,2.507725,2.475113,2.590353,2.514592,2.530112,2.516774,0.001503,0.000941,0.000906,0.000495,0.005612,0.006459,0.004063,0.006679,2.501386,2.533422,2.505106,2.502652,344.010332,39.415237,34.292858,32.754349,0,
162,712.82626,634.276035,536.706218,474.729498,443.372769,410.655673,169.800635,94.433178,567.3025,478.021897,438.682275,420.417356,368.277451,313.88659,137.24342,59.604596,311.431312,273.041759,229.399698,149.952204,128.864342,52.856493,34.299982,280.45985,244.18577,189.655071,56.529108,26.329814,26.590924,23.176781,2.553396,2.553519,2.510484,2.509239,2.526581,2.50607,2.525874,2.638858,2.522375,2.468704,2.590811,2.515203,2.53118,2.519369,0.001045,0.000788,0.000906,0.000647,0.005459,0.00539,0.004368,0.006679,2.499403,2.533422,2.504953,2.50311,344.416528,39.383326,34.410649,32.834828,0,
163,728.070364,631.176724,534.413704,464.504699,441.146254,412.2065,181.28898,91.525621,548.076834,464.933781,438.825942,421.53329,360.064998,300.668658,150.810811,61.406294,311.908342,273.487757,230.080658,150.710432,129.914505,53.225582,34.749546,280.941626,244.674838,190.189857,56.381721,26.405304,26.666383,23.290317,2.542864,2.552145,2.510178,2.509086,2.527497,2.508206,2.528163,2.651069,2.514897,2.466872,2.595542,2.51505,2.531485,2.519216,0.001351,0.000635,0.000906,0.000189,0.005917,0.005543,0.004216,0.006832,2.506422,2.533269,2.504495,2.502194,344.963214,39.569792,34.485563,32.872356,0,
164,721.447712,618.324519,514.771296,452.698727,436.296567,404.159451,203.850978,94.285883,546.501607,457.760789,444.606919,431.388791,380.57786,300.558301,184.669464,66.254213,312.678808,274.156604,230.912707,151.430964,130.815139,53.557693,34.861908,281.830827,245.126197,190.304452,56.529108,26.405304,26.628654,23.366001,2.544238,2.551382,2.511705,2.509239,2.527345,2.509427,2.528774,2.6471,2.51215,2.464125,2.588521,2.512761,2.530722,2.518148,0.001198,0.000788,0.000906,0.000495,0.005612,0.00539,0.004368,0.006679,2.49925,2.532811,2.503732,2.502652,346.821605,39.756226,34.597924,33.097498,0,
165,703.886691,610.193574,505.291148,448.816905,441.57204,408.269339,199.039343,97.854999,556.37722,463.063716,454.470516,441.40636,371.975557,305.442055,191.307334,70.137663,313.077031,274.708476,231.776837,152.411812,131.710802,53.699949,35.118634,282.603286,245.195985,190.566325,57.150061,26.475338,26.774113,23.360535,2.538896,2.552145,2.509263,2.509544,2.527955,2.507443,2.527248,2.628327,2.507725,2.467177,2.592489,2.513371,2.530417,2.518606,0.001198,0.000635,0.000753,0.000342,0.00668,0.006764,0.004063,0.006984,2.500929,2.532964,2.504648,2.502652,348.668957,39.894587,34.699457,33.386784,0,
166,699.771326,637.155116,510.029891,451.544991,445.342374,410.686534,210.703647,95.790756,551.973847,506.020199,460.425594,447.221612,377.345484,309.884161,184.587587,73.181107,313.223755,275.302722,232.532768,153.43647,132.499621,53.921301,35.305832,282.788445,245.045546,191.368461,57.997065,26.550817,26.811837,23.436214,2.543475,2.561149,2.510789,2.508171,2.527803,2.507443,2.5303,2.629853,2.514134,2.47084,2.592337,2.512456,2.528738,2.519369,0.001198,0.000788,0.000753,0.000342,0.005612,0.005848,0.00391,0.006221,2.497266,2.533269,2.504343,2.502347,350.646074,40.017184,34.710273,33.397613,0,
167,700.463057,628.57776,522.61925,461.557313,446.311709,418.004369,205.141669,94.427862,568.013509,518.567347,463.438677,449.661863,400.948938,328.481549,180.578774,71.127801,313.443831,276.156704,233.590702,154.651392,133.138439,54.290159,35.455568,282.97359,244.895098,192.667074,58.438844,26.550817,26.811837,23.436214,2.538743,2.554892,2.512773,2.511375,2.526887,2.509122,2.529842,2.628785,2.506504,2.454816,2.593405,2.514135,2.529654,2.517232,0.000893,0.000635,0.000906,0.000495,0.005307,0.004932,0.003758,0.006221,2.494367,2.53388,2.503885,2.502347,353.381777,40.134386,34.940344,33.515549,0,
168,696.963695,618.09831,516.697837,454.159858,444.439594,417.710943,200.178487,93.538905,573.23703,543.441869,459.84647,442.980894,375.635393,324.345969,162.461903,69.875644,313.585248,277.190585,234.680506,156.165312,133.847246,54.506111,35.899249,283.005273,244.889667,193.654536,58.470341,26.545367,26.881833,23.39291,2.541643,2.553976,2.51201,2.509544,2.527955,2.509275,2.528011,2.654426,2.516271,2.468093,2.606378,2.513066,2.531943,2.520742,0.001198,0.000635,0.001058,0.000647,0.005307,0.006459,0.00391,0.006832,2.505964,2.533117,2.505411,2.501736,356.152783,40.251577,35.170365,33.483457,0,
169,707.640791,633.081407,521.221127,444.544363,441.715694,416.022568,189.456694,92.697674,546.854447,503.185633,441.011417,412.162496,357.62324,312.084919,163.875824,72.007832,313.957295,278.160567,235.818486,157.386902,134.642419,54.880171,36.203936,283.121697,244.895098,194.118316,58.512465,26.550817,26.962719,23.474052,2.554159,2.550619,2.511552,2.509849,2.528108,2.509427,2.524348,2.649695,2.51917,2.474503,2.592489,2.514592,2.530722,2.517385,0.000893,0.000788,0.000753,0.000495,0.00668,0.007527,0.004216,0.007289,2.49986,2.533727,2.505106,2.502652,359.519951,40.384497,35.266439,34.104637,0,
170,685.779796,590.774677,525.81447,454.816218,439.817314,411.629495,194.502737,97.417828,565.118252,521.545766,436.275542,410.364987,344.084796,304.381915,158.479101,69.40944,314.512656,279.16726,237.106847,158.608991,135.550827,55.254153,36.583325,283.423231,244.938141,194.734823,58.738628,26.669475,26.968166,23.593021,2.544543,2.554129,2.510178,2.508628,2.526581,2.507291,2.529537,2.654426,2.516576,2.474808,2.596305,2.511082,2.531028,2.517079,0.001045,0.000788,0.000906,0.000189,0.005765,0.007527,0.004063,0.007289,2.493604,2.533422,2.505411,2.502194,360.434313,40.576179,35.45897,34.559763,0,
171,690.865206,609.300346,540.789285,470.029931,443.911379,413.324291,187.476195,101.440446,566.228262,522.727701,431.496052,402.71539,352.86213,313.959894,158.821235,70.546363,315.282628,280.168209,238.313687,159.711946,136.416587,55.622737,36.882424,284.089537,245.351843,195.651247,58.775434,26.707208,27.043599,23.517353,2.557822,2.556113,2.512773,2.509544,2.527345,2.506833,2.529232,2.64649,2.510472,2.464736,2.595389,2.513982,2.530875,2.517995,0.000893,0.000941,0.001058,0.000495,0.005612,0.006306,0.00391,0.007289,2.502607,2.535253,2.504953,2.50311,360.507037,40.725199,35.795714,34.896925,0,
172,706.442982,658.144875,552.893159,475.913251,448.255367,412.819508,192.059056,104.952807,570.238952,535.150438,428.907471,393.537311,357.664864,327.756046,159.771802,71.206435,316.272383,280.872349,239.180737,160.472824,137.245075,55.9544,37.181441,285.014688,245.915866,196.643938,59.106659,26.782671,27.119026,23.593021,2.545764,2.549398,2.511552,2.509239,2.527039,2.507138,2.528316,2.641758,2.517797,2.470382,2.603478,2.511693,2.529654,2.518758,0.001198,0.001093,0.000906,0.000495,0.005612,0.006916,0.004063,0.007289,2.494977,2.532506,2.505564,2.50311,359.281132,40.922202,35.956148,34.870282,0,
173,709.104724,668.138345,550.10009,480.504103,454.53599,421.755277,188.201866,102.696788,583.171164,573.579516,481.948202,402.498748,371.617813,337.102619,166.928293,68.822564,317.042033,281.428115,240.160511,161.348048,138.300031,56.249164,37.480377,285.865549,246.329396,197.483819,59.364245,26.782671,27.119026,23.630854,2.545459,2.552755,2.508805,2.51046,2.526734,2.510496,2.528926,2.644811,2.519323,2.463515,2.590811,2.514135,2.530722,2.516774,0.001198,0.000788,0.000906,0.0008,0.006222,0.005848,0.004063,0.007289,2.49864,2.534032,2.505411,2.502347,357.171468,41.182897,35.993552,34.720442,0,
174,700.603435,670.266388,560.008892,485.405419,450.075564,418.467501,187.121424,103.75832,574.168288,524.185672,458.483328,417.670288,374.764662,333.406433,177.481398,67.638033,317.654405,281.861949,240.752372,162.326706,139.306961,56.422728,38.104566,286.187746,246.393722,198.541611,59.500801,26.847232,27.108133,23.657756,2.548054,2.552145,2.511857,2.510154,2.527803,2.509275,2.529842,2.651374,2.51917,2.468093,2.591574,2.512914,2.530112,2.519063,0.001045,0.000941,0.001058,0.000647,0.007138,0.006459,0.004826,0.008052,2.497113,2.533117,2.505106,2.502652,354.76479,41.251994,36.137754,34.827416,0,
175,696.028299,674.338602,562.955813,485.272406,449.40398,415.991734,187.170646,104.804791,581.737781,538.049154,462.331907,440.370245,382.172713,312.89685,180.813342,67.538559,318.031381,282.428198,241.742385,163.632266,140.260748,56.801724,38.488692,286.605214,246.404576,199.850263,59.548218,26.858128,27.194448,23.706514,2.550801,2.553366,2.516283,2.510918,2.528413,2.507443,2.530605,2.632448,2.514134,2.472672,2.599052,2.512456,2.53057,2.519063,0.00074,0.000788,0.001058,0.000495,0.006375,0.006916,0.004674,0.006832,2.496656,2.534032,2.505106,2.501279,352.060785,41.576317,36.500876,34.966429,0,
176,703.116372,674.509527,552.238268,477.194191,445.875716,413.710463,184.142311,109.165458,553.830257,508.310639,456.97664,434.828367,363.834875,312.88626,190.920057,69.472202,318.313902,283.046996,242.634976,164.7639,140.853535,57.085723,38.627217,286.742449,245.942606,201.136631,59.464006,26.96041,27.258973,23.657756,2.54027,2.559318,2.508805,2.50756,2.528108,2.506985,2.527248,2.636569,2.511235,2.445201,2.591268,2.511693,2.527975,2.516469,0.001045,0.000483,0.000906,0.000342,0.005612,0.006916,0.004216,0.007442,2.498029,2.534032,2.506022,2.50311,349.407912,41.65614,36.581044,35.046741,0,
177,697.473103,653.46927,561.978531,481.963934,445.157675,415.188421,207.95612,112.023608,548.9973,477.15112,437.342881,421.666868,364.343617,315.744863,202.328694,73.212476,318.680247,283.824397,243.613345,165.94496,141.381905,57.453959,38.925765,286.964299,245.641815,201.937823,59.390417,26.922685,27.258973,23.695586,2.540117,2.548635,2.517352,2.509239,2.52826,2.505917,2.530452,2.635958,2.514287,2.466414,2.591726,2.512914,2.529807,2.515706,0.001045,0.000635,0.000906,0.000647,0.005459,0.007527,0.004826,0.007137,2.496961,2.532506,2.506022,2.5025,347.045466,41.661515,36.661206,34.939788,0,
178,685.992396,648.523821,568.143913,493.933212,441.859346,417.536001,200.222147,110.766363,569.087812,539.868949,454.470516,428.938968,363.65842,319.192564,208.507048,76.957281,319.161737,284.717921,244.671954,166.865059,141.878111,57.974695,39.341525,287.302377,245.459229,202.248517,58.917338,27.00358,27.302125,23.663221,2.539812,2.557486,2.510789,2.509849,2.528413,2.509122,2.523585,2.644658,2.515202,2.463057,2.595084,2.512761,2.531028,2.516927,0.000893,0.000635,0.000753,0.000189,0.005765,0.007679,0.004368,0.006984,2.496808,2.533269,2.503732,2.501584,345.114251,41.698737,36.586443,34.939788,0,
179,687.361799,650.102966,567.059036,492.348681,444.434408,412.04663,185.702737,112.687046,567.788313,536.101201,444.734953,428.964535,376.428225,325.985907,189.043795,77.203331,319.517438,285.373186,245.337889,167.692599,142.433603,58.442557,39.44265,287.735298,245.373161,202.237504,58.869907,26.954962,27.328939,23.690122,2.546527,2.550772,2.50911,2.512138,2.528413,2.506375,2.528468,2.634432,2.521154,2.458021,2.592947,2.513066,2.529349,2.517842,0.00074,0.000483,0.000753,0.000647,0.005917,0.008443,0.004216,0.006374,2.497571,2.533727,2.50709,2.501736,343.00019,41.773178,36.698586,34.902332,0,
180,689.224827,666.285217,557.937061,497.186032,444.229348,409.568252,178.419555,112.734939,569.123623,525.229321,456.336079,441.837214,396.213793,328.591158,189.016643,75.307504,319.967502,285.975681,246.100514,168.88545,142.973291,58.85798,39.82632,287.413281,245.308808,202.248517,58.84373,27.116741,27.377534,23.776706,2.539049,2.552603,2.514452,2.509544,2.529482,2.50668,2.526484,2.630463,2.507725,2.461989,2.597831,2.511845,2.530417,2.51769,0.000893,0.000635,0.000906,0.000647,0.006222,0.008137,0.003758,0.006679,2.495893,2.53388,2.504953,2.500668,340.26545,41.773178,36.773342,34.864875,0,
181,703.043515,678.211299,568.461111,493.069494,452.659582,408.300213,182.843764,110.946624,553.042665,498.520662,457.622372,446.032048,411.953683,325.186927,185.154799,67.12435,320.218565,286.672958,247.560341,170.329038,143.761252,59.294178,40.268259,287.334009,245.340984,201.861523,58.801612,27.073575,27.409791,23.733415,2.545917,2.556418,2.513231,2.510002,2.528413,2.506985,2.527248,2.64939,2.523138,2.460615,2.58959,2.515508,2.529807,2.517842,0.001045,0.000483,0.000906,0.000495,0.005765,0.007222,0.003605,0.006984,2.492078,2.532964,2.502359,2.500668,337.852609,41.991099,36.767944,34.784549,0,
182,689.037928,630.806025,544.252766,472.638483,454.95623,410.032025,187.61794,109.907396,573.559384,498.270883,466.231221,442.550082,394.436446,319.809553,187.254805,67.711412,320.804454,287.634144,249.400003,171.931115,144.40376,59.809167,41.125142,287.260071,245.717016,201.251093,58.912024,27.149012,27.485193,23.733415,2.542712,2.562217,2.510331,2.512902,2.528566,2.505917,2.528316,2.627563,2.510319,2.46321,2.602868,2.511693,2.529196,2.516316,0.001045,0.000635,0.0006,0.000189,0.005459,0.007679,0.002537,0.006832,2.494519,2.534185,2.50129,2.500973,335.235601,41.927419,36.85349,34.757904,0,
183,682.513161,619.259834,541.326493,463.213018,445.598875,414.081386,186.90329,112.33155,546.573209,486.336067,452.143554,410.256807,370.928088,315.792082,194.671927,68.015512,321.217778,288.457865,250.761499,173.506476,145.095193,60.224344,41.433791,287.677378,246.17903,200.842403,59.327449,27.159905,27.609173,23.819996,2.546527,2.552603,2.510484,2.509239,2.529634,2.508512,2.530605,2.628632,2.510472,2.46733,2.591116,2.513066,2.529959,2.517537,0.001045,0.000483,0.001058,0.000647,0.004544,0.007069,0.003147,0.006679,2.494824,2.532811,2.50419,2.502805,332.716417,42.150684,36.85349,34.682978,0,
184,672.393749,609.582643,530.682693,453.267797,439.740287,414.400621,196.558652,119.101594,565.43534,530.957594,453.107137,409.313951,371.68517,327.129522,221.318081,74.390968,321.505384,289.191465,251.806053,174.531343,145.694811,60.697058,41.76346,288.448181,246.812594,201.332908,59.506113,27.192175,27.603729,23.814532,2.544238,2.550772,2.509721,2.51046,2.529329,2.507443,2.529689,2.641758,2.514134,2.454663,2.589895,2.515508,2.53118,2.518911,0.000893,0.000483,0.000906,0.000495,0.005154,0.007985,0.004521,0.005916,2.494977,2.532964,2.504648,2.50311,330.378763,42.187891,37.040344,34.682978,0,
185,676.886652,647.693064,532.868123,459.906737,438.087838,414.761091,200.67995,121.191716,558.81167,520.036149,454.147618,422.571857,369.470566,327.641142,213.378307,76.883956,321.578603,289.67167,252.743124,175.829055,146.375723,61.101468,41.98677,288.522088,247.676836,202.057777,59.506113,27.22989,27.679116,23.928002,2.545459,2.552298,2.510178,2.510765,2.527497,2.508359,2.529384,2.640842,2.513371,2.458936,2.593405,2.511845,2.532401,2.519521,0.000893,0.000788,0.000295,0.000342,0.004849,0.007069,0.004979,0.006984,2.496503,2.532659,2.503732,2.504026,328.155018,42.379279,37.04574,34.72585,0,
186,683.197375,670.634158,540.605044,472.679538,449.757721,411.804607,190.946108,121.266411,566.652782,514.482346,442.339963,427.140933,375.713187,319.33899,199.51218,73.767714,321.688431,290.225652,253.792195,177.279674,147.094688,61.432303,42.321657,288.411227,248.202739,202.401104,59.248542,27.267603,27.641423,23.89018,2.544085,2.559775,2.511247,2.508628,2.528413,2.508206,2.528011,2.631227,2.50452,2.466109,2.595237,2.511082,2.53118,2.518911,0.00074,0.000635,0.000906,0.000189,0.005612,0.005696,0.004826,0.006832,2.495282,2.531438,2.506022,2.501126,325.919759,42.485503,37.077711,34.945194,0,
187,689.370151,660.781215,537.703958,477.737387,451.62402,416.743296,189.456694,121.117025,577.576487,560.298038,459.779909,446.037233,395.635198,317.544943,197.757354,74.904229,321.908077,290.779528,254.541239,178.157787,147.586743,61.799849,42.805216,288.411227,248.352976,202.248517,58.917338,27.192175,27.641423,23.928002,2.538133,2.551077,2.512468,2.509697,2.528413,2.508359,2.530147,2.648627,2.519323,2.47023,2.592032,2.513066,2.532401,2.517842,0.000893,0.00033,0.000906,0.000647,0.005459,0.005696,0.004368,0.006526,2.495435,2.531896,2.50358,2.500515,323.725364,42.559895,37.152441,34.832824,0,
188,692.568297,668.604243,548.698375,482.004968,455.714956,420.633797,198.848549,116.827751,563.143796,505.410316,457.30469,439.43139,402.971971,314.3944,194.971738,72.924461,322.054503,291.259468,255.252607,178.730507,148.30609,62.204092,43.028332,288.632945,248.42809,202.477397,58.622892,27.380736,27.754499,23.89018,2.54317,2.552755,2.510331,2.510918,2.528108,2.507901,2.524043,2.633516,2.512761,2.465346,2.591574,2.514287,2.528433,2.516469,0.000893,0.000635,0.001058,0.000647,0.005307,0.006764,0.005131,0.006526,2.493909,2.532811,2.505411,2.501431,321.43074,42.682214,37.312676,34.80618,0,
189,682.865536,646.893315,553.240907,488.80931,458.903158,420.052376,205.479222,117.232187,573.165397,504.149341,465.693206,439.031162,369.065892,308.961506,202.061801,79.408563,322.415263,291.660181,256.033197,179.794145,148.868682,62.456001,43.24604,288.701513,248.535336,203.158476,58.212651,27.29987,27.824432,23.884717,2.541338,2.554739,2.519183,2.510918,2.528413,2.51019,2.526179,2.647863,2.515813,2.467788,2.595847,2.512608,2.531791,2.519063,0.000893,0.000635,0.0006,0.000189,0.006222,0.007374,0.004063,0.006984,2.49574,2.533269,2.502511,2.502194,318.930738,42.82023,37.339243,34.795364,0,
190,686.210251,655.426917,556.218206,492.609511,461.850327,421.390008,210.741718,117.386613,567.941891,512.475086,454.793411,423.867339,354.09426,315.237218,212.69365,78.863837,322.93296,292.182208,256.936554,181.174399,149.556008,62.828717,43.585943,289.076328,248.690972,203.812345,58.25478,27.380736,27.792188,24.003643,2.545154,2.563133,2.511857,2.509544,2.529329,2.506985,2.523585,2.638553,2.510319,2.472366,2.593558,2.513219,2.530722,2.520132,0.000893,0.000635,0.000753,0.000342,0.005459,0.00829,0.004216,0.007137,2.496808,2.532201,2.504953,2.503415,316.623106,42.931784,37.45131,35.095004,0,
191,690.060496,658.971802,560.551228,497.186032,467.303352,421.245974,207.580645,117.088531,563.752474,495.848059,453.143016,426.529499,367.945345,318.496977,225.526786,77.360573,323.26234,292.809507,258.021115,182.434671,150.20016,63.159347,43.734597,289.187163,249.141558,204.460629,58.549275,27.343026,27.905247,24.003643,2.547596,2.554434,2.513536,2.510002,2.528566,2.510496,2.526027,2.63199,2.505741,2.466262,2.588369,2.515966,2.532859,2.520742,0.000893,0.000483,0.000906,0.000342,0.005307,0.008443,0.004368,0.007137,2.49513,2.534032,2.506632,2.50311,315.089288,43.123054,37.494057,35.662006,0,
192,697.07285,665.845276,547.045977,483.326359,458.759641,419.223968,209.136933,117.679367,578.896866,523.362,454.285946,423.610261,363.471465,315.818135,235.052635,79.701919,323.586414,293.431348,259.062398,183.574916,150.876915,63.411175,44.063638,289.18183,249.39894,204.988946,58.728,27.412999,27.937488,24.111631,2.544085,2.551535,2.512315,2.509544,2.52765,2.507138,2.527248,2.648474,2.515965,2.472519,2.621183,2.51154,2.53118,2.519979,0.00074,0.000941,0.000753,0.000189,0.005917,0.007985,0.004674,0.006984,2.482006,2.532964,2.506174,2.503263,313.03096,43.489405,37.563365,36.554556,0,
