Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,11.2,7.356
2,7.2,3.348
3,7.6,3.772
4,6.3,2.441
5,6.1,2.261
6,6,2.151
7,4.4,0.551
8,7,3.119
9,4.6,0.736
10,4.5,0.657
11,4.4,0.542
12,4.4,0.553
13,4.4,0.552
14,4.3,0.444
15,6.6,2.71
16,4.4,0.543
17,4.4,0.552
18,4.3,0.43
19,4.3,0.475
20,4.3,0.47
21,4.3,0.428
22,7.7,3.801
23,4.3,0.439
24,4.3,0.451
25,4.3,0.45
26,4.2,0.428
27,4.3,0.467
28,4.3,0.427
29,7.7,3.843
30,4.4,0.531
31,4.3,0.44
32,4.3,0.412
33,4.4,0.507
34,4.3,0.438
35,4.3,0.462
36,6.8,2.912
37,4.3,0.47
38,4.3,0.421
39,4.3,0.412
40,4.4,0.48
41,4.4,0.49
42,4.4,0.53
43,8.2,4.322
44,4.3,0.416
45,4.2,0.338
46,4.2,0.37
47,4.3,0.496
48,4.4,0.462
49,4.3,0.446
50,7.8,3.928
51,4.2,0.328
52,4.1,0.2
53,4.2,0.352
54,4.2,0.371
55,4.3,0.4
56,4.3,0.4
57,6.9,2.96
58,4.5,0.6
59,4.1,0.2
60,4.2,0.32
61,4.1,0.24
62,4.1,0.2
63,4.4,0.3
64,6.5,2.584
65,4.1,0.2
66,3.9,0.06
67,4.1,0.2
68,4,0.12
69,4.2,0.28
70,4.2,0.3
