Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.3,10.456
2,10.4,6.548
3,9.8,5.972
4,9.1,5.241
5,9.7,5.861
6,9.5,5.651
7,4.3,0.451
8,9.5,5.619
9,4.2,0.336
10,4.1,0.257
11,4.2,0.342
12,4.4,0.553
13,4.5,0.652
14,4.3,0.444
15,5.5,1.61
16,4.2,0.343
17,4.2,0.352
18,4.2,0.33
19,4.3,0.475
20,4.5,0.67
21,4.5,0.628
22,4.8,0.901
23,4.2,0.339
24,4.2,0.351
25,4.2,0.35
26,4.3,0.528
27,4.6,0.767
28,4.5,0.627
29,4.3,0.443
30,4.2,0.331
31,4.3,0.44
32,4.3,0.412
33,4.5,0.607
34,4.7,0.838
35,4.5,0.662
36,4.2,0.312
37,4.2,0.37
38,4.3,0.421
39,4.4,0.512
40,4.6,0.68
41,4.8,0.89
42,4.6,0.73
43,0,0
44,0,0
45,0,0
46,4.2,0.37
47,4.5,0.696
48,4.9,0.962
49,4.8,0.946
50,0,0
51,0,0
52,0,0
53,4.3,0.452
54,4.5,0.671
55,4.8,0.9
56,4.8,0.9
57,0,0
58,0,0
59,0,0
60,4.4,0.52
61,4.5,0.64
62,4.7,0.8
63,5,0.9
64,0,0
65,0,0
66,0,0
67,4.3,0.4
68,4.6,0.72
69,4.6,0.68
70,4,0.1
