Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,5.4,1.556
2,5,1.148
3,4.7,0.872
4,4.8,0.941
5,5.2,1.361
6,5.5,1.651
7,4.8,0.951
8,5.8,1.919
9,4.9,1.036
10,4.6,0.757
11,4.5,0.642
12,4.5,0.653
13,4.6,0.752
14,5.1,1.244
15,7.2,3.31
16,5.6,1.743
17,4.8,0.952
18,4.6,0.73
19,4.7,0.875
20,4.7,0.87
21,4.9,1.028
22,8.2,4.301
23,6.7,2.839
24,5.6,1.751
25,5.3,1.45
26,5.1,1.328
27,4.7,0.867
28,4.7,0.827
29,6.9,3.043
30,7.1,3.231
31,6.7,2.84
32,6.6,2.712
33,6,2.107
34,4.8,0.938
35,4.8,0.962
36,6,2.112
37,6.9,3.07
38,6.1,2.221
39,6.1,2.212
40,5.6,1.68
41,5,1.09
42,5.5,1.63
43,5.1,1.222
44,6.3,2.416
45,5.9,2.038
46,5.1,1.27
47,5,1.196
48,5.4,1.462
49,6.2,2.346
50,4.7,0.828
51,6,2.128
52,6.2,2.3
53,5.4,1.552
54,5.2,1.371
55,6,2.1
56,6.1,2.2
57,4.4,0.46
58,5.3,1.4
59,6.4,2.5
60,5.8,1.92
61,5.5,1.64
62,6,2.1
63,5.5,1.4
64,4.1,0.184
65,4.6,0.7
66,5.6,1.76
67,6,2.1
68,5.7,1.82
69,5.6,1.68
70,4.8,0.9
