s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.7300327E+002, 9.7197648E+003,-3.5709364E+003,-5.9098673E+003,-2.2211916E+002, 4.3945993E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9488716E+000, 2.1236568E+001, 7.5457317E-001
 2.7400336E+002, 9.3948577E+003,-3.4570422E+003,-5.7114090E+003,-2.2375016E+002, 4.4304167E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2761997E+001, 7.0867788E+000, 7.5457317E-001
 2.7500388E+002, 9.6303681E+003,-3.5708487E+003,-5.7860608E+003,-2.2581542E+002, 4.1629556E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4524525E+001, 5.1806229E+001, 7.5457317E-001
 2.7600140E+002, 9.1581412E+003,-3.4348407E+003,-5.5380247E+003,-2.2300694E+002, 4.3523966E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3372057E+001,-3.3378687E+001, 7.5457317E-001
 2.7700311E+002, 9.7732177E+003,-3.6150355E+003,-5.8877675E+003,-2.2502762E+002, 4.4184751E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8528816E+001, 4.9805514E+001, 7.5457317E-001
 2.7800156E+002, 9.4002863E+003,-3.5304235E+003,-5.6226348E+003,-2.2714782E+002, 4.1655617E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4662550E+000, 2.4245772E+001, 7.5457317E-001
 2.7900516E+002, 9.4899035E+003,-3.5373443E+003,-5.7217064E+003,-2.2968245E+002, 4.3326543E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6395384E+000, 5.5030895E+000, 7.5457317E-001
 2.8000363E+002, 8.5310483E+003,-3.2856525E+003,-5.0425642E+003,-2.2175306E+002, 4.2748213E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2444818E+001,-1.4646732E+001, 7.5457317E-001
 2.8100336E+002, 9.7732131E+003,-3.6002440E+003,-5.8685804E+003,-2.2751246E+002, 4.3381158E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7544419E+001, 8.1214372E+001, 7.5457317E-001
 2.8200525E+002, 9.8806101E+003,-3.6953430E+003,-5.9688259E+003,-2.2908430E+002, 4.1425551E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6406159E+000,-8.5005461E+000, 7.5457317E-001
 2.8300159E+002, 9.2886758E+003,-3.4674639E+003,-5.6364719E+003,-2.2072507E+002, 4.4274315E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5957404E+001,-3.1557675E+001, 7.5457317E-001
 2.8400107E+002, 1.0513768E+004,-3.8002369E+003,-6.4062483E+003,-2.2915624E+002, 4.3642196E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4200009E+001, 8.2490632E+001, 7.5457317E-001
 2.8500558E+002, 9.1752786E+003,-3.4364679E+003,-5.5531063E+003,-2.1932164E+002, 4.1486736E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9499976E+001,-2.9468560E+001, 7.5457317E-001
 2.8600491E+002, 9.5032041E+003,-3.5154423E+003,-5.7414113E+003,-2.1711465E+002, 4.4616784E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3379457E+001, 3.3697574E+001, 7.5457317E-001
 2.8700238E+002, 9.9828370E+003,-3.6634363E+003,-6.0420141E+003,-2.2115660E+002, 3.9952016E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5657702E+001, 6.0225287E+001, 7.5457317E-001
 2.8800494E+002, 9.9141046E+003,-3.6767371E+003,-6.0358485E+003,-2.2167630E+002, 3.9612970E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3573791E+001,-1.6195948E+001, 7.5457317E-001
 2.8900323E+002, 8.8107062E+003,-3.3295428E+003,-5.2552895E+003,-2.1958033E+002, 4.2151616E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3276571E+001, 1.0508683E+001, 7.5457317E-001
 2.9000369E+002, 9.2925725E+003,-3.4870132E+003,-5.5578927E+003,-2.1962823E+002, 4.2275489E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5579225E+001, 3.2265872E+001, 7.5457317E-001
 2.9100278E+002, 9.8955714E+003,-3.6827625E+003,-5.8735172E+003,-2.2289788E+002, 4.2334492E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0336689E+002, 1.2062735E+002, 7.5457317E-001
 2.9200464E+002, 1.0128127E+004,-3.7649085E+003,-6.1949185E+003,-2.2640792E+002, 4.0547201E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4470044E+001,-5.4052824E+001, 7.5457317E-001
 2.9300226E+002, 9.1822330E+003,-3.4411579E+003,-5.5730715E+003,-2.2202758E+002, 4.3202833E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9872411E+001,-4.9703765E+001, 7.5457317E-001
 2.9400027E+002, 9.0328885E+003,-3.3297347E+003,-5.4474840E+003,-2.1291091E+002, 4.3780001E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5089567E+001, 4.7136864E+001, 7.5457317E-001
 2.9500452E+002, 9.6627859E+003,-3.5681717E+003,-5.8660261E+003,-2.1322325E+002, 4.2711669E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1396299E+000, 1.9635964E+001, 7.5457317E-001
 2.9600534E+002, 9.0996428E+003,-3.3240776E+003,-5.5704643E+003,-2.0803536E+002, 4.2681720E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5206894E+001, 1.3337820E+000, 7.5457317E-001
 2.9700015E+002, 1.0084370E+004,-3.6313181E+003,-6.2013221E+003,-2.0795229E+002, 4.1921627E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2558743E+001, 4.7969612E+001, 7.5457317E-001
 2.9800482E+002, 8.8127642E+003,-3.3271291E+003,-5.2977140E+003,-2.1411711E+002, 4.1307778E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7670229E+001,-2.2065277E+001, 7.5457317E-001
 2.9900180E+002, 9.5954511E+003,-3.5118250E+003,-5.8179203E+003,-2.0508482E+002, 4.2774382E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0720644E+001, 6.4898434E+001, 7.5457317E-001
 3.0000229E+002, 1.0226630E+004,-3.7131259E+003,-6.2623738E+003,-2.1207005E+002, 4.0827663E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7288761E+001, 4.3142815E+001, 7.5457317E-001
