s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.6600439E+002, 9.7621388E+003,-3.5395910E+003,-6.0292934E+003,-2.1863566E+002, 3.2101581E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5770035E+001,-2.2171160E+001, 7.5457317E-001
 2.6700131E+002, 1.0013370E+004,-3.6344960E+003,-6.1012416E+003,-2.1939770E+002, 3.1592641E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5522526E+001, 6.1393992E+001, 7.5457317E-001
 2.6800262E+002, 1.0018764E+004,-3.6231793E+003,-6.1193528E+003,-2.2394143E+002, 3.2318204E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1087987E+001, 5.5522790E+001, 7.5457317E-001
 2.6900540E+002, 1.0163642E+004,-3.7116660E+003,-6.2787816E+003,-2.2800318E+002, 3.1878119E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2232352E+001,-5.1620974E+001, 7.5457317E-001
 2.7000235E+002, 1.0869070E+004,-3.8646928E+003,-6.7007290E+003,-2.1948333E+002, 3.2926954E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5932899E+001, 8.7457331E+001, 7.5457317E-001
 2.7100131E+002, 9.2845403E+003,-3.4127841E+003,-5.7068267E+003,-2.2011566E+002, 3.3856424E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1295940E+001,-5.1800527E+001, 7.5457317E-001
 2.7200339E+002, 9.5895227E+003,-3.4542295E+003,-5.9114482E+003,-2.1736123E+002, 3.2358875E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4427419E+001, 9.7197590E+000, 7.5457317E-001
 2.7300247E+002, 9.8753515E+003,-3.5696988E+003,-6.0674642E+003,-2.1777274E+002, 3.1456363E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2163991E+001, 2.3561374E+001, 7.5457317E-001
 2.7400104E+002, 9.5948101E+003,-3.5074737E+003,-5.8820984E+003,-2.1974837E+002, 3.2640254E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5296760E+001,-1.1246391E+001, 7.5457317E-001
 2.7500110E+002, 9.3598480E+003,-3.4139208E+003,-5.6830281E+003,-2.1074890E+002, 3.2976982E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7832931E+001, 5.5447955E+001, 7.5457317E-001
 2.7600085E+002, 9.3616849E+003,-3.4002174E+003,-5.7891728E+003,-2.0683955E+002, 3.3443624E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4205659E+001,-3.1200544E+001, 7.5457317E-001
