s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 2.7600452E+002, 9.4719309E+003,-3.7535327E+003,-5.4700142E+003,-2.3750242E+002, 3.9597733E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7022060E+000, 1.4841420E+001, 7.5457317E-001
 2.7700275E+002, 9.7054750E+003,-3.8696603E+003,-5.6056641E+003,-2.4457589E+002, 3.7962805E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9334046E+000,-1.0629001E+001, 7.5457317E-001
 2.7800549E+002, 1.0096482E+004,-4.0247003E+003,-5.8208782E+003,-2.3840785E+002, 3.6952206E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2529027E+001, 1.6190871E+001, 7.5457317E-001
 2.7900186E+002, 9.9173578E+003,-3.9337253E+003,-5.7344071E+003,-2.3974239E+002, 3.7152476E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5602644E+001, 1.3198323E+001, 7.5457317E-001
 2.8000192E+002, 1.0293342E+004,-4.0479691E+003,-5.9892505E+003,-2.3653229E+002, 3.7843935E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1965877E+001, 2.3374355E+001, 7.5457317E-001
 2.8100436E+002, 9.5477529E+003,-3.7737906E+003,-5.5739499E+003,-2.3166507E+002, 3.6804423E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4578982E+001,-2.7972301E+001, 7.5457317E-001
 2.8200049E+002, 1.0882082E+004,-4.2033027E+003,-6.3907589E+003,-2.4114378E+002, 3.4043166E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4248266E+001, 5.0281216E+001, 7.5457317E-001
 2.8300137E+002, 1.0368047E+004,-4.0211792E+003,-6.1361705E+003,-2.3357169E+002, 3.9043119E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5842016E+001,-1.8970395E+001, 7.5457317E-001
 2.8400119E+002, 1.0402410E+004,-4.0179829E+003,-6.1160805E+003,-2.3505041E+002, 3.8095529E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5991326E+001, 3.7105312E+001, 7.5457317E-001
 2.8500491E+002, 9.8787438E+003,-3.8589590E+003,-5.8120025E+003,-2.3848532E+002, 3.8179043E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0471904E+001,-2.6885103E+001, 7.5457317E-001
 2.8600137E+002, 1.0162165E+004,-4.0208479E+003,-5.8549586E+003,-2.4079431E+002, 3.8352577E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9476624E+001, 4.9399338E+001, 7.5457317E-001
 2.8700488E+002, 1.0076659E+004,-3.9841264E+003,-5.8526703E+003,-2.4410057E+002, 3.7447686E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4936549E+001,-4.9354801E-001, 7.5457317E-001
 2.8800302E+002, 9.1267508E+003,-3.6630012E+003,-5.2487757E+003,-2.3461517E+002, 3.7110313E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3459877E+001,-1.5930282E+001, 7.5457317E-001
 2.8900073E+002, 9.1804026E+003,-3.6503462E+003,-5.3628806E+003,-2.2838378E+002, 3.5701948E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6581307E+001,-5.7637832E+001, 7.5457317E-001
 2.9000360E+002, 9.7128771E+003,-3.7738836E+003,-5.7149186E+003,-2.2222625E+002, 3.8381325E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.8658980E+000, 5.6867489E+000, 7.5457317E-001
 2.9100140E+002, 1.0216943E+004,-3.9869412E+003,-5.9566062E+003,-2.2018896E+002, 3.9998475E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0963720E+001, 5.7206770E+001, 7.5457317E-001
 2.9200232E+002, 9.5027118E+003,-3.8274774E+003,-5.4434164E+003,-2.4766973E+002, 3.4172865E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2290950E+001,-1.2434443E+001, 7.5457317E-001
 2.9300089E+002, 1.0064822E+004,-3.9554976E+003,-5.7981054E+003,-2.3581727E+002, 3.9196946E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3076901E+001, 7.9321772E+001, 7.5457317E-001
 2.9400018E+002, 1.0345182E+004,-4.0763904E+003,-6.0584353E+003,-2.4224857E+002, 3.4320154E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1216374E+001,-2.8459750E+001, 7.5457317E-001
 2.9500433E+002, 1.0500707E+004,-4.0998340E+003,-6.1018975E+003,-2.3716303E+002, 3.7255744E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6761628E+001, 6.5538297E+001, 7.5457317E-001
 2.9600058E+002, 1.0084379E+004,-4.0110182E+003,-5.8548375E+003,-2.3213104E+002, 3.7378209E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0806663E+001,-9.8703539E+000, 7.5457317E-001
 2.9700479E+002, 1.0498046E+004,-4.0912431E+003,-6.1547815E+003,-2.3777027E+002, 3.7260974E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0058824E+001, 1.7976915E+001, 7.5457317E-001
 2.9800281E+002, 1.0344753E+004,-4.1275258E+003,-5.9579629E+003,-2.4124548E+002, 3.5750815E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6674115E+001, 2.1594229E+001, 7.5457317E-001
 2.9900491E+002, 9.9234219E+003,-3.9314846E+003,-5.8066586E+003,-2.4088943E+002, 3.3039140E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9971742E+001,-5.2306898E+001, 7.5457317E-001
 3.0000519E+002, 9.8270145E+003,-3.8290213E+003,-5.7704334E+003,-2.1907059E+002, 3.7662947E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7182078E-001, 1.2255508E+001, 7.5457317E-001
