Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod3,26,TC_Helmet_1,1,0,TC Helmet 1 West,TC Helmet,Temperature
SC1Mod3,27,TC_Helmet_2,1,0,TC Helmet 2 West,TC Helmet,Temperature
SC1Mod3,28,TC_Helmet_3,1,0,TC Helmet 3 West,TC Helmet,Temperature
SC1Mod3,29,TC_Helmet_4,1,0,TC Helmet 4 West,TC Helmet,Temperature
SC1Mod3,30,TC_Helmet_5,1,0,TC Helmet 5 West,TC Helmet,Temperature
SC1Mod3,31,TC_Helmet_6,1,0,TC Helmet 6 East,TC Helmet,Temperature
SC1Mod5,28,TC_Ignition,1,0,TC Ignition West,Ignition,Temperature
SC1Mod5,29,TC_A15_1,1,0,TC 15 1 West,TC A15,Temperature
SC1Mod5,30,TC_A15_2,1,0,TC 15 2 West,TC A15,Temperature
SC1Mod5,31,TC_A15_3,1,0,TC 15 3 West,TC A15,Temperature
SC1Mod6,0,TC_A1_1,1,0,TC 1 0.03 m BC West,TC A1,Temperature
SC1Mod6,1,TC_A1_2,1,0,TC 1 0.30 m BC West,TC A1,Temperature
SC1Mod6,2,TC_A1_3,1,0,TC 1 0.61 m BC West,TC A1,Temperature
SC1Mod6,3,TC_A1_4,1,0,TC 1 0.91 m BC West,TC A1,Temperature
SC1Mod6,4,TC_A1_5,1,0,TC 1 1.22 m BC West,TC A1,Temperature
SC1Mod6,5,TC_A1_6,1,0,TC 1 1.52 m BC West,TC A1,Temperature
SC1Mod6,6,TC_A1_7,1,0,TC 1 1.83 m BC West,TC A1,Temperature
SC1Mod6,7,TC_A1_8,1,0,TC 1 2.13 m BC West,TC A1,Temperature
SC1Mod6,8,TC_A2_1,1,0,TC 2 0.03 m BC West,TC A2,Temperature
SC1Mod6,9,TC_A2_2,1,0,TC 2 0.30 m BC West,TC A2,Temperature
SC1Mod6,10,TC_A2_3,1,0,TC 2 0.61 m BC West,TC A2,Temperature
SC1Mod6,11,TC_A2_4,1,0,TC 2 0.91 m BC West,TC A2,Temperature
SC1Mod6,12,TC_A2_5,1,0,TC 2 1.22 m BC West,TC A2,Temperature
SC1Mod6,13,TC_A2_6,1,0,TC 2 1.52 m BC West,TC A2,Temperature
SC1Mod6,14,TC_A2_7,1,0,TC 2 1.83 m BC West,TC A2,Temperature
SC1Mod6,15,TC_A2_8,1,0,TC 2 2.13 m BC West,TC A2,Temperature
SC1Mod6,16,TC_A3_1,1,0,TC 3 0.03 m BC West,TC A3,Temperature
SC1Mod6,17,TC_A3_2,1,0,TC 3 0.30 m BC West,TC A3,Temperature
SC1Mod6,18,TC_A3_3,1,0,TC 3 0.61 m BC West,TC A3,Temperature
SC1Mod6,19,TC_A3_4,1,0,TC 3 0.91 m BC West,TC A3,Temperature
SC1Mod6,20,TC_A3_5,1,0,TC 3 1.22 m BC West,TC A3,Temperature
SC1Mod6,21,TC_A3_6,1,0,TC 3 1.52 m BC West,TC A3,Temperature
SC1Mod6,22,TC_A3_7,1,0,TC 3 1.83 m BC West,TC A3,Temperature
SC1Mod6,23,TC_A3_8,1,0,TC 3 2.13 m BC West,TC A3,Temperature
SC1Mod6,24,TC_A8_1,1,0,TC 8 0.03 m BC West,TC A8,Temperature
SC1Mod6,25,TC_A8_2,1,0,TC 8 0.30 m BC West,TC A8,Temperature
SC1Mod6,26,TC_A8_3,1,0,TC 8 0.61 m BC West,TC A8,Temperature
SC1Mod6,27,TC_A8_4,1,0,TC 8 0.91 m BC West,TC A8,Temperature
SC1Mod6,28,TC_A8_5,1,0,TC 8 1.22 m BC West,TC A8,Temperature
SC1Mod6,29,TC_A8_6,1,0,TC 8 1.52 m BC West,TC A8,Temperature
SC1Mod6,30,TC_A8_7,1,0,TC 8 1.83 m BC West,TC A8,Temperature
SC1Mod6,31,TC_A8_8,1,0,TC 8 2.13 m BC West,TC A8,Temperature
SC1Mod7,0,TC_A5_1,1,0,TC 5 0.08 m BS West,TC A5,Temperature
SC1Mod7,1,TC_A5_2,1,0,TC 5 0.34 m BS West,TC A5,Temperature
SC1Mod7,2,TC_A5_3,1,0,TC 5 0.61 m BS West,TC A5,Temperature
SC1Mod7,3,TC_A5_4,1,0,TC 5 0.88 m BS West,TC A5,Temperature
SC1Mod7,4,TC_A5_5,1,0,TC 5 1.15 m BS West,TC A5,Temperature
SC1Mod7,5,TC_A5_6,1,0,TC 5 1.42 m BS West,TC A5,Temperature
SC1Mod7,6,TC_A5_7,1,0,TC 5 1.68 m BS West,TC A5,Temperature
SC1Mod7,7,TC_A5_8,1,0,TC 5 1.95 m BS West,TC A5,Temperature
SC1Mod7,8,TC_A6_1,1,0,TC 6 0.08 m BS West,TC A6,Temperature
SC1Mod7,9,TC_A6_2,1,0,TC 6 0.34 m BS West,TC A6,Temperature
SC1Mod7,10,TC_A6_3,1,0,TC 6 0.61 m BS West,TC A6,Temperature
SC1Mod7,11,TC_A6_4,1,0,TC 6 0.88 m BS West,TC A6,Temperature
SC1Mod7,12,TC_A6_5,1,0,TC 6 1.15 m BS West,TC A6,Temperature
SC1Mod7,13,TC_A6_6,1,0,TC 6 1.42 m BS West,TC A6,Temperature
SC1Mod7,14,TC_A6_7,1,0,TC 6 1.68 m BS West,TC A6,Temperature
SC1Mod7,15,TC_A6_8,1,0,TC 6 1.95 m BS West,TC A6,Temperature
SC1Mod7,16,TC_A9_1,1,0,TC 9 0.03 m BC West,TC A9,Temperature
SC1Mod7,17,TC_A9_2,1,0,TC 9 0.30 m BC West,TC A9,Temperature
SC1Mod7,18,TC_A9_3,1,0,TC 9 0.61 m BC West,TC A9,Temperature
SC1Mod7,19,TC_A9_4,1,0,TC 9 0.91 m BC West,TC A9,Temperature
SC1Mod7,20,TC_A9_5,1,0,TC 9 1.22 m BC West,TC A9,Temperature
SC1Mod7,21,TC_A9_6,1,0,TC 9 1.52 m BC West,TC A9,Temperature
SC1Mod7,22,TC_A9_7,1,0,TC 9 1.83 m BC West,TC A9,Temperature
SC1Mod7,23,TC_A9_8,1,0,TC 9 2.13 m BC West,TC A9,Temperature
SC1Mod7,24,TC_A10_1,1,0,TC 10 0.08 m BS West,TC A10,Temperature
SC1Mod7,25,TC_A10_2,1,0,TC 10 0.34 m BS West,TC A10,Temperature
SC1Mod7,26,TC_A10_3,1,0,TC 10 0.61 m BS West,TC A10,Temperature
SC1Mod7,27,TC_A10_4,1,0,TC 10 0.88 m BS West,TC A10,Temperature
SC1Mod7,28,TC_A10_5,1,0,TC 10 1.15 m BS West,TC A10,Temperature
SC1Mod7,29,TC_A10_6,1,0,TC 10 1.42 m BS West,TC A10,Temperature
SC1Mod7,30,TC_A10_7,1,0,TC 10 1.68 m BS West,TC A10,Temperature
SC1Mod7,31,TC_A10_8,1,0,TC 10 1.95 m BS West,TC A10,Temperature
SC1Mod8,0,TC_A7_1,1,0,TC 7 0.03 m BC West,TC A7,Temperature
SC1Mod8,1,TC_A7_2,1,0,TC 7 0.30 m BC West,TC A7,Temperature
SC1Mod8,2,TC_A7_3,1,0,TC 7 0.61 m BC West,TC A7,Temperature
SC1Mod8,3,TC_A7_4,1,0,TC 7 0.91 m BC West,TC A7,Temperature
SC1Mod8,4,TC_A7_5,1,0,TC 7 1.22 m BC West,TC A7,Temperature
SC1Mod8,5,TC_A7_6,1,0,TC 7 1.52 m BC West,TC A7,Temperature
SC1Mod8,6,TC_A7_7,1,0,TC 7 1.83 m BC West,TC A7,Temperature
SC1Mod8,7,TC_A7_8,1,0,TC 7 2.13 m BC West,TC A7,Temperature
SC1Mod8,8,TC_A11_1,1,0,TC 11 0.08 m BS West,TC A11,Temperature
SC1Mod8,9,TC_A11_2,1,0,TC 11 0.34 m BS West,TC A11,Temperature
SC1Mod8,10,TC_A11_3,1,0,TC 11 0.61 m BS West,TC A11,Temperature
SC1Mod8,11,TC_A11_4,1,0,TC 11 0.88 m BS West,TC A11,Temperature
SC1Mod8,12,TC_A11_5,1,0,TC 11 1.15 m BS West,TC A11,Temperature
SC1Mod8,13,TC_A11_6,1,0,TC 11 1.42 m BS West,TC A11,Temperature
SC1Mod8,14,TC_A11_7,1,0,TC 11 1.68 m BS West,TC A11,Temperature
SC1Mod8,15,TC_A11_8,1,0,TC 11 1.95 m BS West,TC A11,Temperature
SC1Mod8,16,TC_A12_1,1,0,TC 12 1 West,TC A12,Temperature
SC1Mod8,17,TC_A12_2,1,0,TC 12 2 West,TC A12,Temperature
SC1Mod8,18,TC_A12_3,1,0,TC 12 3 West,TC A12,Temperature
SC1Mod8,19,TC_A12_4,1,0,TC 12 4 West,TC A12,Temperature
SC1Mod8,20,TC_A12_5,1,0,TC 12 5 West,TC A12,Temperature
SC1Mod8,21,TC_A12_6,1,0,TC 12 6 West,TC A12,Temperature
SC1Mod8,22,TC_A12_7,1,0,TC 12 7 West,TC A12,Temperature
SC1Mod8,23,TC_A12_8,1,0,TC 12 8 West,TC A12,Temperature
SC1Mod8,24,TC_A4_1,1,0,TC 4 0.08 m BS West,TC A4,Temperature
SC1Mod8,25,TC_A4_2,1,0,TC 4 0.34 m BS West,TC A4,Temperature
SC1Mod8,26,TC_A4_3,1,0,TC 4 0.61 m BS West,TC A4,Temperature
SC1Mod8,27,TC_A4_4,1,0,TC 4 0.88 m BS West,TC A4,Temperature
SC1Mod8,28,TC_A4_5,1,0,TC 4 1.15 m BS West,TC A4,Temperature
SC1Mod8,29,TC_A4_6,1,0,TC 4 1.42 m BS West,TC A4,Temperature
SC1Mod8,30,TC_A4_7,1,0,TC 4 1.68 m BS West,TC A4,Temperature
SC1Mod8,31,TC_A4_8,1,0,TC 4 1.95 m BS West,TC A4,Temperature
SC1Mod9,0,TC_A13_1,1,0,TC 13 0.08 m BS West,TC A13,Temperature
SC1Mod9,1,TC_A13_2,1,0,TC 13 0.34 m BS West,TC A13,Temperature
SC1Mod9,2,TC_A13_3,1,0,TC 13 0.61 m BS West,TC A13,Temperature
SC1Mod9,3,TC_A13_4,1,0,TC 13 0.88 m BS West,TC A13,Temperature
SC1Mod9,4,TC_A13_5,1,0,TC 13 1.15 m BS West,TC A13,Temperature
SC1Mod9,5,TC_A13_6,1,0,TC 13 1.42 m BS West,TC A13,Temperature
SC1Mod9,6,TC_A13_7,1,0,TC 13 1.68 m BS West,TC A13,Temperature
SC1Mod9,7,TC_A13_8,1,0,TC 13 1.95 m BS West,TC A13,Temperature
SC1Mod9,8,TC_A14_1,1,0,TC 14 0.08 m BS West,TC A14,Temperature
SC1Mod9,9,TC_A14_2,1,0,TC 14 0.34 m BS West,TC A14,Temperature
SC1Mod9,10,TC_A14_3,1,0,TC 14 0.61 m BS West,TC A14,Temperature
SC1Mod9,11,TC_A14_4,1,0,TC 14 0.88 m BS West,TC A14,Temperature
SC1Mod9,12,TC_A14_5,1,0,TC 14 1.15 m BS West,TC A14,Temperature
SC1Mod9,13,TC_A14_6,1,0,TC 14 1.42 m BS West,TC A14,Temperature
SC1Mod9,14,TC_A14_7,1,0,TC 14 1.68 m BS West,TC A14,Temperature
SC1Mod9,15,TC_A14_8,1,0,TC 14 1.95 m BS West,TC A14,Temperature
SC1Mod9,17,CO_A,1,0,CO Gas Analyzer A,Gas,Gas
SC1Mod9,18,CO2_A,2,0,CO2 Gas Analyzer A,Gas,Gas
SC1Mod9,19,O2_A,20,0,O2 Gas Analyzer A,Gas,Gas
SC1Mod9,20,CO_B,1,0,CO Gas Analyzer B,Gas,Gas
SC1Mod9,21,CO2_B,2,0,CO2 Gas Analyzer B,Gas,Gas
SC1Mod9,22,O2_B,20,0,O2 Gas Analyzer B,Gas,Gas
SC1Mod9,23,HF_1_V,1563.72,0,Heat Flux 1 V West,Heat Flux,Heat Flux
SC1Mod9,24,HF_1_H,1568.63,0,Heat Flux 1 H West,Heat Flux,Heat Flux
SC1Mod9,25,HF_2_V,1859,0,Heat Flux 2 V West,Heat Flux,Heat Flux
SC1Mod9,26,HF_2_H,1842,0,Heat Flux 2 H West,Heat Flux,Heat Flux
SC1Mod9,27,HF_3_V,1,0,Heat Flux 3 V West,Heat Flux,Heat Flux
SC1Mod9,28,HF_3_H,1,0,Heat Flux 3 H West,Heat Flux,Heat Flux
SC1Mod9,29,BDP_A15_1,99.52,-248.8,BDP 15 1 West,BDP A15,Velocity
SC1Mod9,30,BDP_A15_2,99.52,-248.8,BDP 15 2 West,BDP A15,Velocity
SC1Mod9,31,BDP_A15_3,99.52,-248.8,BDP 15 3 West,BDP A15,Velocity
SC1Mod10,0,BDP_A4_1,99.52,-248.8,BDP 4 0.08 m BS West,BDP A4,Velocity
SC1Mod10,1,BDP_A4_2,99.52,-248.8,BDP 4 0.34 m BS West,BDP A4,Velocity
SC1Mod10,2,BDP_A4_3,99.52,-248.8,BDP 4 0.61 m BS West,BDP A4,Velocity
SC1Mod10,3,BDP_A4_4,99.52,-248.8,BDP 4 0.88 m BS West,BDP A4,Velocity
SC1Mod10,4,BDP_A4_5,99.52,-248.8,BDP 4 1.15 m BS West,BDP A4,Velocity
SC1Mod10,5,BDP_A4_6,99.52,-248.8,BDP 4 1.42 m BS West,BDP A4,Velocity
SC1Mod10,6,BDP_A4_7,99.52,-248.8,BDP 4 1.68 m BS West,BDP A4,Velocity
SC1Mod10,7,BDP_A4_8,99.52,-248.8,BDP 4 1.95 m BS West,BDP A4,Velocity
SC1Mod10,8,BDP_A5_1,99.52,-248.8,BDP 5 0.08 m BS West,BDP A5,Velocity
SC1Mod10,9,BDP_A5_2,99.52,-248.8,BDP 5 0.34 m BS West,BDP A5,Velocity
SC1Mod10,10,BDP_A5_3,99.52,-248.8,BDP 5 0.61 m BS West,BDP A5,Velocity
SC1Mod10,11,BDP_A5_4,99.52,-248.8,BDP 5 0.88 m BS West,BDP A5,Velocity
SC1Mod10,12,BDP_A5_5,99.52,-248.8,BDP 5 1.15 m BS West,BDP A5,Velocity
SC1Mod10,13,BDP_A5_6,99.52,-248.8,BDP 5 1.42 m BS West,BDP A5,Velocity
SC1Mod10,14,BDP_A5_7,99.52,-248.8,BDP 5 1.68 m BS West,BDP A5,Velocity
