Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod4,2,TC_A9_0p61_BS,1,0,TC 9 0.61 m BS,TC A9,Temperature
SC1Mod4,3,TC_A9_0p88_BS,1,0,TC 9 0.88 m BS,TC A9,Temperature
SC1Mod4,4,TC_A9_1p15_BS,1,0,TC 9 1.15 m BS,TC A9,Temperature
SC1Mod4,5,TC_A9_1p42_BS,1,0,TC 9 1.42 m BS,TC A9,Temperature
SC1Mod4,6,TC_A9_1p68_BS,1,0,TC 9 1.68 m BS,TC A9,Temperature
SC1Mod4,7,TC_A9_1p95_BS,1,0,TC 9 1.95 m BS,TC A9,Temperature
SC1Mod4,8,TC_A10_NXNY,1,0,TC Vertical Vent Quad 3,TC Vertical,Temperature
SC1Mod4,9,TC_A10_NXPY,1,0,TC Vertical Vent Quad 1,TC Vertical,Temperature
SC1Mod4,10,TC_A10_CEN,1,0,TC Vertical Vent Center,TC Vertical,Temperature
SC1Mod4,11,TC_A10_PXNY,1,0,TC Vertical Vent Quad 4,TC Vertical,Temperature
SC1Mod4,12,TC_A10_PXPY,1,0,TC Vertical Vent Quad 2,TC Vertical,Temperature
SC1Mod4,13,TC_Ignition,1,0,Ignition,TC Ignition ,Temperature
SC2Mod2,0,BDP_A6_0p30_BS,99.52,-248.8,BDP 6 0.30 m BS,BDP A6,Velocity
SC2Mod2,1,BDP_A6_0p60_BS,99.52,-248.8,BDP 6 0.60 m BS,BDP A6,Velocity
SC2Mod2,2,BDP_A6_0p90_BS,99.52,-248.8,BDP 6 0.90 m BS,BDP A6,Velocity
SC2Mod2,3,BDP_A6_1p20_BS,99.52,-248.8,BDP 6 1.20 m BS,BDP A6,Velocity
SC2Mod2,4,BDP_A6_1p50_BS,99.52,-248.8,BDP 6 1.50 m BS,BDP A6,Velocity
SC2Mod2,5,BDP_A6_1p80_BS,99.52,-248.8,BDP 6 1.80 m BS,BDP A6,Velocity
SC2Mod2,8,BDP_A7_0p08_BS,99.52,-248.8,BDP 7 0.08 m BS,BDP A7,Velocity
SC2Mod2,9,BDP_A7_0p34_BS,99.52,-248.8,BDP 7 0.34 m BS,BDP A7,Velocity
SC2Mod2,10,BDP_A7_0p61_BS,99.52,-248.8,BDP 7 0.61 m BS,BDP A7,Velocity
SC2Mod2,11,BDP_A7_0p88_BS,99.52,-248.8,BDP 7 0.88 m BS,BDP A7,Velocity
SC2Mod2,12,BDP_A7_1p15_BS,99.52,-248.8,BDP 7 1.15 m BS,BDP A7,Velocity
SC2Mod2,13,BDP_A7_1p42_BS,99.52,-248.8,BDP 7 1.42 m BS,BDP A7,Velocity
SC2Mod2,14,BDP_A7_1p68_BS,99.52,-248.8,BDP 7 1.68 m BS,BDP A7,Velocity
SC2Mod2,15,BDP_A7_1p95_BS,99.52,-248.8,BDP 7 1.95 m BS,BDP A7,Velocity
SC2Mod2,16,BDP_A8_0p08_BS,99.52,-248.8,BDP 8 0.08 m BS,BDP A8,Velocity
SC2Mod2,17,BDP_A8_0p34_BS,99.52,-248.8,BDP 8 0.34 m BS,BDP A8,Velocity
SC2Mod2,18,BDP_A8_0p61_BS,99.52,-248.8,BDP 8 0.61 m BS,BDP A8,Velocity
SC2Mod2,19,BDP_A8_0p88_BS,99.52,-248.8,BDP 8 0.88 m BS,BDP A8,Velocity
SC2Mod2,20,BDP_A8_1p15_BS,99.52,-248.8,BDP 8 1.15 m BS,BDP A8,Velocity
SC2Mod2,21,BDP_A8_1p42_BS,99.52,-248.8,BDP 8 1.42 m BS,BDP A8,Velocity
SC2Mod2,22,BDP_A8_1p68_BS,99.52,-248.8,BDP 8 1.68 m BS,BDP A8,Velocity
SC2Mod2,23,BDP_A8_1p95_BS,99.52,-248.8,BDP 8 1.95 m BS,BDP A8,Velocity
SC2Mod2,24,BDP_A9_0p08_BS,99.52,-248.8,BDP 9 0.08 m BS,BDP A9,Velocity
SC2Mod2,25,BDP_A9_0p34_BS,99.52,-248.8,BDP 9 0.34 m BS,BDP A9,Velocity
SC2Mod2,26,BDP_A9_0p61_BS,99.52,-248.8,BDP 9 0.61 m BS,BDP A9,Velocity
SC2Mod2,27,BDP_A9_0p88_BS,99.52,-248.8,BDP 9 0.88 m BS,BDP A9,Velocity
SC2Mod2,28,BDP_A9_1p15_BS,99.52,-248.8,BDP 9 1.15 m BS,BDP A9,Velocity
SC2Mod2,29,BDP_A9_1p42_BS,99.52,-248.8,BDP 9 1.42 m BS,BDP A9,Velocity
SC2Mod2,30,BDP_A9_1p68_BS,99.52,-248.8,BDP 9 1.68 m BS,BDP A9,Velocity
SC2Mod2,31,BDP_A9_1p95_BS,99.52,-248.8,BDP 9 1.95 m BS,BDP A9,Velocity
SC2Mod3,0,BDP_A10_NXNY,99.52,-248.8,BDP Vertical Vent Quad 3,BDP Vertical,Velocity
SC2Mod3,1,BDP_A10_NXPY,99.52,-248.8,BDP Vertical Vent Quad 1,BDP Vertical,Velocity
SC2Mod3,2,BDP_A10_CEN,99.52,-248.8,BDP Vertical Vent Center,BDP Vertical,Velocity
SC2Mod3,3,BDP_A10_PXNY,99.52,-248.8,BDP Vertical Vent Quad 4,BDP Vertical,Velocity
SC2Mod3,4,BDP_A10_PXPY,99.52,-248.8,BDP Vertical Vent Quad 2,BDP Vertical,Velocity
SC2Mod3,22,HF_A1_0p15_AF,10964.91,0,Heat Flux 1 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,23,RAD_A1_0p15_AF,12220.91,0,Radiometer 1 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,24,HF_A2_0p15_AF,11210.76,0,Heat Flux 2 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,25,RAD_A2_0p15_AF,11350.74,0,Radiometer 2 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,26,HF_A3_0p15_AF,5537.1,0,Heat Flux 3 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,27,RAD_A3_0p15_AF,11350.74,0,Radiometer 3 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,28,HF_A4_0p15_AF,6613.76,0,Heat Flux 4 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,29,RAD_A4_0p15_AF,5274.26,0,Radiometer 4 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,30,HF_A5_0p15_AF,2976.19,0,Heat Flux 4 0.15 m AF,Heat Flux,Heat Flux
SC2Mod3,31,RAD_A5_0p15_AF,6242.2,0,Radiometer 4 0.15 m AF,Heat Flux,Heat Flux
SC2Mod4,0,CO_1,1,0,CO Gas Analyzer 1,Gas,Gas
SC2Mod4,1,CO2_1,2,0,CO2 Gas Analyzer 1,Gas,Gas
SC2Mod4,2,O2_1,20,0,O2 Gas Analyzer 1,Gas,Gas
SC2Mod4,3,CO_2,1,0,CO Gas Analyzer 2,Gas,Gas
SC2Mod4,4,CO2_2,2,0,CO2 Gas Analyzer 2,Gas,Gas
SC2Mod4,5,O2_2,20,0,O2 Gas Analyzer 2,Gas,Gas
SC2Mod4,6,HOSE_P1_1p5_in,2500,0,"Water Pressure Sensor 1, 1.5 inch",Hose,Hose
SC2Mod4,7,HOSE_P2_1p5_in,2500,0,"Water Pressure Sensor 1, 1.5 inch",Hose,Hose
SC2Mod4,8,HOSE_P1_2p5_in,2500,0,"Water Pressure Sensor 2, 2.5 inch",Hose,Hose
SC2Mod4,9,HOSE_P2_2p5_in,2500,0,"Water Pressure Sensor 2, 2.5 inch",Hose,Hose
SC2Mod4,31,Marker_Button,1,0,Event Marker,,
