Unit,Min,Sec,skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1508,44.3,,0,32.11,34.04,33.76,31.03,29.63,29.1,28.38,27.37,26.49,26.07,25.74,30.39,32.45,33.01,30.83,30.53,29.53,29.32,27.88,27.31,26.67,26.51,33.86,34.34,34.98,32.49,29.97,28.92,27.9,26.73,26.19,25.99,25.66,22.9,22.98,23.04,23.04,23.1,23.14,23.26,23.36,23.73,23.95,24.03,23.63,-0.267,-0.352,-0.175,-0.187,-0.056,-0.055,-0.304,-0.175,-0.253,-0.183,-0.067,-0.069
116,1508,48.3,,4,37.64,36.74,35.32,31.69,30.07,29.21,28.68,27.5,26.63,26.15,25.83,38.31,41.46,36.82,32.42,30.83,29.93,29.53,28.16,27.36,26.79,26.55,33.78,34.24,34.9,32.48,29.91,28.82,27.68,26.71,26.19,25.99,25.66,22.98,23.06,23.51,24.92,26.07,30.51,35.98,38.25,43.29,70.7,68.36,147,51.78,26.34,12.65,6.167,4.087,2.36,14.8,11.93,8.93,3.815,2.776,1.833
116,1508,52.3,,8,237,169.5,112.7,64.07,58.55,36.28,55.35,43.28,38.44,34.32,37.6,107.7,108.9,67.97,62.31,41.78,47.67,38.02,40.53,31.29,34.46,30.19,33.66,34.16,34.84,32.5,29.95,28.85,27.56,26.63,26.11,25.87,25.59,36,36.64,37.92,43.22,47.94,52.82,59.26,64.17,86.9,134.7,138.7,285.6,69.71,35.43,17.63,10.44,7.13,4.65,20.19,10.18,6.793,9.8,8.69,6.385
116,1508,56.3,,12,323.3,253.4,166.4,84.1,75.3,42.4,62.33,48.24,43.71,38.65,46.33,144.8,146.7,112.7,91,51.61,55.03,42.7,45.82,34.24,42.3,33.88,33.78,34.06,34.78,32.45,29.83,28.76,27.43,26.59,26.03,25.82,25.46,43.47,47.92,54.81,58.68,65.91,76.9,84.4,90.9,123.7,184.8,197.8,377.9,73.1,55.17,32.67,17.17,9.11,6.328,18.07,14.51,7.48,4.974,4.723,2.878
116,1509,0.3,,16,366.5,298.4,212.6,107.1,88,47.25,69.32,52.2,45.1,39.49,46.45,170.9,175.4,122.8,106.3,58.01,55.05,42.5,44.65,34.86,41.82,34.44,34.14,34,34.72,32.34,29.73,28.68,27.58,26.55,25.95,25.79,25.38,49.17,52.74,59.37,61.39,69.75,83,102.4,119.4,148.9,233.2,261.7,484,76.2,59.23,37.16,20.33,11.7,6.764,15.09,13.53,8.4,5.972,6.667,4.418
116,1509,4.3,,20,389.4,336.3,235.7,119.3,92.6,49.79,64.93,48.87,43,39.03,45.16,184.8,190.4,140,117.1,68.63,64.18,48.64,51.29,37.95,46.97,37.04,34.22,33.92,34.62,32.28,29.69,28.66,27.68,26.51,25.95,25.77,25.26,51.31,55.94,63.34,67.04,76.9,95.2,126.1,150.1,186.7,295.5,332.5,550.4,71.2,46.04,26.52,13.25,7.62,5.248,14.1,13,9.63,7.44,6.141,4.515
116,1509,8.3,,24,418.4,329.6,229,120.7,96.7,51.59,75.2,55.01,49.19,43.53,51.75,183.6,190.8,152.2,135.1,75.3,72.2,52.91,54.65,39.53,50.48,39.11,33.74,33.5,34.54,32.27,29.69,28.6,27.88,26.57,26.03,25.83,25.4,56.61,62.21,70.6,73.8,81.1,94.4,119.7,148.7,202.9,314.7,378,622.9,70.3,60.83,51.8,28.05,12.5,8.64,14.48,14.11,11.37,9.11,7.28,5.333
116,1509,12.3,,28,445.6,400.1,281.2,146.6,122.7,64.34,103.6,69.3,59.83,49.67,60.26,186.6,194.7,153.7,137.5,83.6,83.2,60.99,64.3,44.17,55.05,42.64,33.54,33.62,34.46,32.25,29.67,28.54,27.88,26.59,26.07,25.83,25.44,60.7,66.05,82.6,79.4,85,105.2,138.1,164.3,229.3,337.7,410.4,658.5,63.8,61.2,44.06,27.33,15.32,8.95,15.74,19.37,13.35,8.81,7.22,5.754
116,1509,16.3,,32,458.3,418.1,300.1,161.9,129.8,65.44,98.9,71.5,61.84,52.1,62.49,193.1,210.5,172.5,155.1,97,96,67.71,68.87,46.13,58.6,44.88,33.56,33.8,34.48,32.19,29.65,28.64,27.84,26.61,26.07,25.8,25.52,63.04,71.1,84.9,85.3,96,114.5,153.3,180.3,268.8,401.4,468.7,713,67.61,60.17,47.68,34.48,23.31,16.2,15.43,20.12,25.25,15.95,16.25,7.17
116,1509,20.3,,36,470.8,449.8,349.2,201.3,154.5,75.1,110.5,77.3,64.78,55.27,66.06,197.5,247.1,205.5,184,110,111,81.3,86.2,51.67,66.7,47.72,33.8,34.02,34.52,32.19,29.69,28.7,27.84,26.59,26.07,25.83,25.5,68.04,72.8,86.3,89.6,107.1,143,189.4,222.1,304.8,427.4,496.2,739,66.64,65.45,60.11,36.55,21.63,12.51,12.47,12.55,9.2,7.96,8.61,7.34
