Unit,Min,Sec,skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1530,40.3,,0,29.7,31.38,31.54,29.9,28.65,28.57,27.99,26.9,26.06,25.65,25.37,28.19,29.54,29.96,28.61,28.43,27.91,27.63,26.7,26.26,25.79,25.73,30.16,31.1,32.26,30.94,28.89,28.21,27.53,26.32,25.79,25.53,25.25,22.93,22.97,23.01,23.05,23.13,23.21,23.25,23.38,23.64,23.7,23.78,23.66,-0.233,-0.265,-0.124,-0.176,-0.063,-0.074,0.633,0.832,0.452,0.23,0.095,0.042
116,1530,44.3,,4,54.59,49,39.44,32.83,30.18,28.72,28.51,27.17,26.28,25.8,25.52,52.47,53.8,45.29,40.08,30.34,31.04,28.68,27.19,26.3,26,25.78,30.28,31.02,32.23,30.88,28.88,28.27,27.63,26.32,25.78,25.54,25.17,23.2,24.27,24.65,25.96,26.66,29.18,33.03,32.49,36.47,56.94,80.8,185.9,46.36,23.3,14.94,5.483,3.083,1.748,31.06,18.98,5.033,1.82,1.302,1.368
116,1530,48.3,,8,259.1,186.2,107.4,53.16,49.58,33.59,45.35,38.01,34.07,30.98,34.81,103.4,97.4,61.81,53.81,34.95,39.58,34.23,34.87,29.22,32.71,29.3,30.84,31.12,32.23,30.9,28.79,28.25,27.51,26.32,25.78,25.51,25.13,32.21,37.13,37.55,38.98,43.11,50.57,55.44,60.82,76.6,139.5,161.1,311.3,60.47,34.27,15.81,8.05,4.322,2.603,16.26,13,6.835,6.604,3.91,2.137
116,1530,52.3,,12,287.9,229.6,141.3,71.7,60.07,36.73,51.9,41.85,36.89,34.43,39.96,151.1,161.8,101.7,88.1,46.01,50.98,41.97,47.1,33.17,40.28,32.39,30.8,31.2,32.21,30.88,28.79,28.23,27.59,26.34,25.76,25.53,25.17,36.83,42.87,45.89,46.23,52.69,61.4,71.6,83,107.9,201.3,224.5,412.2,72.6,58.79,32.12,19.74,11.22,7.29,14.79,28.14,23.74,9.11,4.7,3.059
116,1530,56.3,,16,325.2,262.4,175.9,89,71.5,42.31,65.24,49.42,43.5,38.54,45.45,166.3,193.3,129.2,103.4,54.92,59.27,45.21,49.06,35.83,43.11,35.17,30.96,31.18,32.15,30.74,28.75,28.11,27.47,26.34,25.78,25.53,25.23,38.98,44.18,47.08,47.75,54.17,62.66,74.8,79.8,107.6,194.8,244.7,438.3,68.49,46.71,21.6,13.96,9.49,5.526,31.97,32.45,39.56,24.14,13.14,7.08
116,1531,0.3,,20,314.2,257.8,171.6,97,78.1,43.38,58.63,45.75,40.88,37.39,41.51,215.7,257.6,187.8,145.9,75.8,76.3,53.99,56.92,38.2,47.02,36.89,30.8,30.92,32.09,30.66,28.73,28.03,27.49,26.3,25.74,25.49,25.17,40.84,45.05,48.67,50.17,53.81,58.32,71.6,80.9,110.4,182.6,228.2,444.5,46.44,27.04,20.06,11.04,4.75,3.908,40.85,60.63,49.71,34.7,16.45,9.37
116,1531,4.3,,24,309.1,237.4,163.1,94.3,76.5,44.68,64.25,47.79,41.38,36.99,41.51,258.2,323.5,239.3,185.4,93.4,92.7,62.34,63.09,40.56,50.19,38.86,30.22,30.78,31.97,30.62,28.72,27.99,27.41,26.26,25.74,25.48,25.21,41.57,46.25,52.21,53.2,56.11,64.29,74.4,84.8,119.2,193.1,247,478.4,57.08,29.45,22.6,15.29,7.61,6.082,26.33,31.98,30.52,14.55,9.61,6.065
116,1531,8.3,,28,333.2,273,187.1,105.7,83.2,48.65,74.4,53.48,45.37,39.78,44.76,267.9,320.1,240.3,193,96.4,86.2,61.53,60.21,40.82,48.73,39.26,30.38,30.58,31.97,30.56,28.71,28.15,27.31,26.14,25.66,25.41,25.05,45.57,52.61,57.12,59.19,65.53,76.3,91.7,104,146.7,234.1,302.2,528,73.8,44.8,38.47,26.53,12.12,7.47,16.05,18.52,15.85,17.2,12.99,9.49
116,1531,12.3,,32,373.1,315.1,228,132,109.5,57.43,87,61.61,51.84,43.96,50.15,255.5,310.6,240.9,198.2,102.8,92.5,66.79,67.68,44.74,53,41.33,30.1,30.6,31.94,29.84,28.67,27.91,27.08,26.02,25.53,25.29,24.99,47.1,56.05,66.18,66.6,69.57,83,101.3,117.9,171.2,277.2,339.7,581.5,72.8,56.75,34.11,19.66,11.13,6.284,20.78,24.49,27.18,19.04,12.62,8.29
116,1531,16.3,,36,383,327.1,238.1,139.6,107.9,58.38,82.7,60.23,52.29,45.02,51.18,255.2,301.1,251.9,211.6,118.6,108.7,73.6,71.2,47.48,55.75,42.87,30.16,30.5,31.97,29.8,28.43,27.79,26.86,25.92,25.5,25.21,24.91,50.71,59.17,73.5,75.1,82.7,101.6,125.8,153.5,234.7,367.3,409.2,653.4,64.66,44.45,32.48,20.22,11.73,7.31,15.86,19.74,14.7,10.98,8.26,6.06
