Unit,Min,Sec,Skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1449,56.3,,0,32.03,31.13,29.36,26.55,25.32,24.96,24.92,24.55,24.27,24.09,23.95,29.68,29.44,28.66,26.75,26,25.44,25.56,25.06,24.86,24.59,24.53,33.13,31.43,29.95,27.31,25.58,25.12,24.84,24.45,24.23,24.17,23.95,22.78,22.8,22.84,22.84,22.88,22.92,22.92,22.98,23.12,23.24,23.38,23.46,-0.301,-0.387,-0.205,-0.242,-0.102,-0.105,-0.345,-0.207,-0.324,-0.217,-0.101,-0.1
116,1450,0.3,,4,32.19,31.19,29.44,26.63,25.4,24.99,24.95,24.59,24.29,24.11,23.97,30.42,30.32,29.38,27.27,26.18,25.72,25.74,25.28,24.89,24.73,24.61,33.13,31.31,29.86,27.19,25.56,25.12,24.81,24.45,24.25,24.17,24.01,22.84,22.9,22.92,23,23.08,24.71,28.28,30.2,29.48,38.61,47.26,79,27.02,11.82,6.107,2.142,1.019,0.533,15.12,10.87,4.893,4.815,3.134,2.674
116,1450,4.3,,8,165.4,97.1,64.24,38.35,34.75,27.15,38.75,33.49,31.09,28.72,33.03,97.5,90.5,58.54,58.32,34.07,41.18,32.37,34.63,27.51,31.29,27.43,32.95,31.23,29.82,27.01,25.54,25.09,24.83,24.45,24.29,24.19,24.02,32.49,37.05,36.47,37.53,38.83,48.21,61.4,71.7,91.3,167.1,186.4,279.6,68.06,50.39,17.73,7.6,4.387,3.039,20.98,15.15,10.52,4.768,3.335,2.328
116,1450,8.3,,12,297.5,211,125.5,62.9,57.81,32.79,54.07,41.79,36.85,34.99,39.34,121.4,125.6,85.9,75.6,40.48,47.14,36.07,38.51,29.26,35.27,29.42,32.99,31.11,29.74,27.09,25.52,25.11,24.89,24.45,24.27,24.21,24,37.79,41.1,45.81,47.3,52.79,69.1,87.2,96.3,162.2,288.2,294.6,412.8,65.89,47.04,37.32,25.89,10,3.859,18.88,31.2,13.24,7.4,7.4,4.262
116,1450,12.3,,16,355.2,264.6,182.5,90,77.1,39.64,66.76,48.37,43.25,37.97,46.23,145.2,162.2,106,97,55.28,60.16,42.73,44.6,31.39,38.19,31.31,33.07,31.13,29.72,27.09,25.52,25.11,24.95,24.45,24.29,24.17,24.04,51.92,57.95,66.09,69.75,76.6,91.4,118.4,134.7,205.3,308.1,322.2,456.1,68.51,44.27,28.28,15.49,9.91,6.727,19.4,15.95,12.23,8.1,6.684,4.77
116,1450,16.3,,20,373.6,295.8,199.5,107.2,87.7,45.22,80.5,58.28,49.17,43.79,53.82,161.5,173.2,121.2,99.4,58.09,66.74,48.06,55.84,35.65,47.62,35.75,32.91,30.97,29.68,27.11,25.56,25.12,24.91,24.45,24.29,24.17,24.05,57.02,66.13,75.9,76.9,91.4,109.4,142.1,171,249.3,343.9,380.1,530.5,65.52,60.27,28.91,16.75,12.3,10.71,17.08,23.33,27.17,17.94,10.12,7.21
116,1450,20.3,,24,394.3,335.3,247.6,131.5,112.3,53.82,94.7,67.6,56.6,49.8,63.73,174.4,190.4,145,124.9,71.5,78.9,54.69,60,38.63,52.81,39.56,32.79,30.95,29.62,27.09,25.54,25.11,24.93,24.43,24.23,24.17,23.97,60.95,67.96,81.1,78.3,94.9,113.4,151.7,174.6,261.5,373.4,436,577.6,52.02,51.81,38.97,20.28,12.04,7.18,16.69,15.22,12.58,12.49,9.89,5.843
116,1450,24.3,,28,401.4,357.5,270.3,138.8,107.4,53.6,87.3,64.65,58.21,49.07,58.88,182,198.5,154.6,135.3,79.5,87,61.72,68.51,41.8,57.1,41.24,32.91,30.93,29.62,27.11,25.56,25.06,25.02,24.39,24.21,24.13,23.93,65.84,70.9,85.9,82.8,97.2,120.1,155.8,179.8,298.3,391.7,456.7,616.2,59.73,47.53,34.21,22.28,10.61,5.461,16.34,23.61,18.24,13.44,10.1,7.69
116,1450,28.3,,32,423.8,376.8,281,153.3,116.1,55.28,91.8,67.11,57.89,50.61,62.96,190.6,222.7,169.8,152.4,88.7,94.1,63.82,69.28,44.74,58.95,43.25,33.03,31.15,29.64,27.15,25.56,25.05,25.07,24.43,24.25,24.09,23.95,64.12,68.27,87.2,85,93.7,118.2,157.1,190.9,302,400,487.6,640.5,68.2,68.07,43.21,28.12,13.52,6.132,15.71,15.61,11.54,8.42,7.11,5.617
116,1450,32.3,,36,485.9,426.1,319.4,161.6,124.1,58.68,89.8,65.22,57.41,50.1,59.41,192.5,214.5,166.7,144.8,90.6,87.6,61.68,65.64,44.3,57.14,43.47,32.99,31.27,29.7,27.21,25.56,25.08,25.16,24.45,24.29,24.13,23.97,66.34,75.6,93.6,95.9,110.4,132.8,170.6,213.3,326.6,451.7,525.9,683.7,66.97,63.97,48.42,24.6,9.39,6.15,18.19,27.19,21.52,17.6,12.22,9.24
