Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,70.45845833,59.66958333,47.79208333,33.55541667,23.91833333,14.17383333
0.15,44.74083333,41.74333333,30.68541667,17.92375,11.21645833,7.152625
0.305,24.32083333,22.09666667,14.88541667,9.223,5.2885,3.610625
0.61,7.050666667,6.683541667,5.432625,3.797875,2.591416667,1.614916667
