Unit,Min,Sec,Skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.4m,HF Center 0.2m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.4m,HF Offset 0.2m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1012,34.3,,0,29.73,29.07,28.39,26.66,26.01,25.47,25.21,24.54,24.16,23.9,23.77,28.59,28.99,28.65,27.02,26.52,25.79,25.67,24.86,24.46,24.18,24.06,28.65,28.41,28.17,26.92,25.79,25.35,24.74,24.16,23.98,23.84,23.77,22.4,22.46,22.52,22.56,22.66,22.7,22.81,22.97,23.13,23.47,24.42,24.14,-0.008,0,0.025,0.005,0.019,0.017,0.053,0.05,0.06,0.037,0.024,0.014
116,1012,38.3,,4,30.48,29.61,29.05,27.02,26.33,25.61,25.49,24.68,24.3,24,23.85,29.45,29.89,29.35,27.72,26.78,26.15,25.91,25.15,24.54,24.38,24.14,28.37,28.29,28.09,26.76,25.79,25.35,24.74,24.18,23.98,23.85,23.75,22.5,22.62,23.49,25.35,26.76,31.2,33.84,34.04,50.13,70.7,94.2,148.7,3.038,2.629,1.834,1.25,0.877,0.633,2.575,2.106,1.749,1.357,0.992,0.634
116,1012,42.3,,8,36.34,34.89,33.66,29.59,28.55,26.68,27,25.47,24.91,24.5,24.52,33.14,33.72,32.3,30.62,28.29,27.81,26.8,26.07,24.91,24.95,24.42,28.45,28.19,28.03,26.76,25.73,25.35,24.78,24.22,24.02,23.86,23.78,29.17,31.58,34.19,33.7,36.24,45.59,53.63,55.93,91.3,165.2,196.2,266.5,2.985,2.489,1.846,1.389,1.232,0.935,2.81,2.431,2.111,1.889,1.415,0.916
116,1012,46.3,,12,40.57,38.42,37.12,31.62,30.48,27.68,28.16,26.13,25.43,24.82,24.82,36,36.56,34.42,32.76,29.79,29.19,27.62,26.88,25.23,25.45,24.74,28.53,28.23,27.98,26.84,25.71,25.33,24.74,24.22,24.04,23.85,23.75,33.8,37.56,41.55,43.18,48.32,67.34,84.3,88.8,160.1,249.3,275.6,372.9,3.126,3.146,2.304,1.626,1.342,0.954,2.814,2.549,2.209,1.855,1.464,0.996
116,1012,50.3,,16,43.76,41.67,39.8,33.21,31.88,28.49,28.87,26.6,25.75,25.09,24.99,38.14,38.82,36.31,34.43,31.06,30.22,28.25,27.44,25.55,25.77,24.91,28.57,28.25,27.97,26.92,25.69,25.27,24.79,24.22,24.02,23.86,23.78,38.2,42.97,45.71,47.42,53.99,70.2,85.2,91.4,161.5,240.6,314.8,443.1,3.072,3.007,2.83,2.194,1.508,1.047,3.236,2.897,2.345,1.736,1.45,1.115
116,1012,54.3,,20,46.09,44.4,42.21,34.83,33.27,29.29,29.58,27,26.04,25.37,25.07,40.1,40.86,37.88,35.95,32.26,31.18,28.89,27.97,25.77,26,25.09,28.57,28.25,27.97,26.92,25.69,25.21,24.83,24.22,24,23.86,23.78,38.44,42.47,47.58,50.55,58.24,74.1,95.6,99.6,167.8,267.7,369.8,476.5,2.897,2.716,2.435,1.879,1.32,0.934,3.244,3.129,2.583,1.913,1.373,0.988
116,1012,58.3,,24,47.81,46.03,43.58,35.65,33.97,29.76,29.98,27.26,26.2,25.45,25.27,41.73,42.53,39.1,36.91,33.11,31.78,29.33,28.33,26.04,26.16,25.19,28.59,28.25,27.97,26.68,25.67,25.19,24.66,24.18,23.98,23.86,23.74,40.7,45.71,50.01,51.1,55.99,70.2,89.2,107.5,171.1,244.7,365.6,506.5,3.038,2.668,2.316,1.829,1.329,0.931,3.211,2.876,2.473,1.953,1.393,1.008
116,1013,2.3,,28,49.74,47.61,45.29,36.89,34.91,30.3,30.52,27.59,26.54,25.65,25.43,43.32,44,40.38,37.96,33.99,32.58,29.86,28.75,26.28,26.44,25.59,28.51,28.21,27.97,26.36,25.59,25.21,24.66,24.14,23.96,23.86,23.74,43.42,47.42,52.81,54.31,60.65,75,98.8,120.4,197,279,392,545.5,3.065,2.642,2.316,1.805,1.49,0.987,3.284,3.114,2.786,2.085,1.481,1.056
116,1013,6.3,,32,51.46,49.72,46.37,37.61,35.49,30.8,30.88,27.77,26.62,26.02,27.08,44.7,45.29,41.37,38.62,34.59,32.95,30.14,28.87,26.44,26.56,25.82,28.45,28.13,27.91,26.4,25.63,25.23,24.69,24.16,23.96,23.82,23.74,43.94,48.33,53.82,55.16,61.67,77.3,97.1,117.7,184.7,297.6,408.3,575.1,2.813,2.629,2.328,1.839,1.342,0.898,3.037,2.729,2.243,1.709,1.282,0.908
116,1013,10.3,,36,52.61,50.73,46.64,38.04,35.79,31.04,30.82,27.89,26.72,25.9,25.92,45.81,46.35,42.05,39.42,35.11,33.23,30.44,29.13,26.56,26.62,25.69,28.45,28.07,27.89,26.42,25.61,25.19,24.69,24.14,23.98,23.84,23.72,43.26,47.54,54.98,55.67,61.67,76.4,96.4,120.2,190.5,296.7,424.9,583.1,3.389,3.112,2.506,1.934,1.519,1.024,3.289,2.967,2.616,2.149,1.744,1.247
