Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,33.62833333,42.67916667,37.88791667,33.83416667,21.525,12.28508333
0.15,30.34083333,37.06458333,32.55625,21.45291667,13.79375,8.558958333
0.305,17.30833333,15.87375,11.94816667,8.005958333,4.926375,3.23825
0.61,6.829791667,6.557833333,4.977458333,3.661125,2.533083333,1.66975
