Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,394.925,413.9791667,374.2083333,322.35,225.85,183.6875,128.3541667,113.3583333,77.53333333,81.04291667,64.8175
0.15,278.7666667,346.0416667,304.4625,247.5083333,151.7166667,127.0583333,90.89583333,89.49166667,65.17583333,72.99875,58.61291667
0.305,176.6333333,177.5625,140.8208333,114.4375,79.54166667,72.52416667,58.84333333,59.40833333,47.85541667,51.51458333,45.15708333
0.61,89.54583333,87.4125,73.66208333,63.15375,51.83875,45.45916667,40.0975,39.30583333,34.78791667,37.35416667,33.80625
