Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m,1.4 m,1.6 m,1.8 m,2.0 m,2.2 m
0,126.6333333,125.3208333,121.8166667,96.4875,72.20166667,56.47208333,49.55291667,42.63541667,40.5575,38.69333333,36.30375
0.15,81.81833333,81.12916667,79.3875,66.48416667,52.14208333,42.73583333,39.88583333,36.85541667,35.41708333,34.43083333,32.64791667
0.305,65.7325,66.20416667,62.52375,50.80125,41.67666667,36.12166667,33.86083333,32.1025,31.41125,30.8375,29.99958333
0.61,43.55833333,42.97791667,42.32583333,37.2625,32.97291667,29.98916667,28.46541667,27.11333333,26.65333333,26.30208333,25.965
