Unit,Min,Sec,Skip,Time,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Plume 2.4m,TC Plume 2.2m,TC Plume 2.0m,TC Plume 1.8m,TC Plume 1.6m,TC Plume 1.4m,TC Plume 1.2m,TC Plume 1.0m,TC Plume 0.8m,TC Plume 0.6m,TC Plume 0.4m,TC Plume 0.2m,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m
116,1032,14.3,,0,29.71,28.94,28.22,26.55,25.8,25.38,25.02,24.45,24.19,23.99,23.91,28.66,28.88,28.5,26.81,26.29,25.68,25.6,24.84,24.6,24.35,24.33,28.82,28.2,27.9,26.61,25.58,25.3,24.74,24.15,24.11,24.01,23.95,22.5,22.48,22.52,22.56,22.6,22.64,22.72,22.82,23,23.14,23.49,23.75,0.004,0.013,0.03,0.005,0.007,0.007,0.028,0.026,0.045,0.021,0.011,0.008
116,1032,18.3,,4,29.73,28.9,28.16,26.55,25.83,25.38,25.02,24.48,24.19,23.99,23.93,28.62,28.84,28.46,26.83,26.29,25.68,25.62,24.84,24.6,24.39,24.31,28.94,28.18,27.9,26.57,25.56,25.24,24.7,24.19,24.09,24.01,23.93,22.48,22.5,22.52,22.56,22.6,22.66,22.74,22.86,23.02,23.22,23.59,23.91,0.976,1.049,0.942,0.768,0.433,0.276,1.707,1.353,1.078,0.823,0.473,0.31
116,1032,22.3,,8,32.6,31.27,30.51,27.84,26.89,25.89,25.83,24.9,24.54,24.27,24.19,30.85,31.15,30.17,28.58,27.09,26.65,26.17,25.4,24.78,24.78,24.52,28.82,28.14,27.86,26.63,25.52,25.2,24.74,24.21,24.07,23.99,23.93,27.09,29.37,30.03,32.26,34,43.37,46.65,48.02,57.48,99.5,105.1,106.5,3.21,2.663,1.95,1.274,0.927,0.634,2.761,2.117,1.636,1.246,0.923,0.674
116,1032,26.3,,12,38.71,36.72,35.38,30.33,28.96,26.83,27.9,26.31,25.24,25.12,25.83,34.64,35.12,33.04,31.35,28.46,28.02,27.01,27.6,25.64,27.18,25.4,28.82,28.1,27.86,26.73,25.58,25.28,24.68,24.19,24.03,23.97,23.91,30.27,33.96,35.44,37.54,41.25,55.56,69.68,79.4,113.6,192.9,200.2,226.5,4.292,3.795,2.884,2.126,1.398,0.998,3.917,3.524,3.148,2.294,1.375,0.891
116,1032,30.3,,16,46.97,44.55,42.9,34.66,33.08,29.21,32.18,29.07,27.96,28.04,30.35,40.13,40.99,37.38,35.7,31.31,34.44,29.99,31.19,27.72,31.27,27.74,28.66,28.1,27.82,26.77,25.57,25.32,24.76,24.19,24.07,23.95,23.87,28.58,31.03,34.02,34.24,36.92,44.13,53.51,65.8,93.2,147.7,179.1,229.4,5.436,4.613,3.611,2.697,2.709,1.646,3.876,3.451,2.899,2.101,1.642,1.29
116,1032,34.3,,20,52.38,49.55,46.5,36.42,36.46,30.71,37,32.58,30.05,29.63,32.94,42.38,42.78,38.34,36.58,32.14,33.14,30.55,31.92,28.2,31.58,27.82,28.46,28.1,27.78,26.73,25.55,25.32,24.7,24.19,24.07,23.95,23.87,28.48,30.77,32.8,33.66,36.4,43.28,50.09,65.21,88.4,135.9,167.7,228.7,4.582,4.334,3.794,2.594,1.582,1.065,4.132,3.739,3.061,2.072,1.469,0.957
116,1032,38.3,,24,55.11,52.2,48.6,37.46,35.66,30.63,34.9,30.97,29.41,28.64,30.77,44.57,44.87,40.03,37.68,32.86,32.12,29.93,30.65,28.08,30.49,27.84,28.54,28.06,27.74,26.69,25.55,25.32,24.68,24.23,24.07,23.99,23.85,30.01,33.18,35.14,35.88,39.41,48.7,56.97,69.94,95.5,139,178.8,256.6,4.467,4.134,3.302,2.287,1.624,1.114,4.245,3.718,3.25,2.231,1.538,0.993
116,1032,42.3,,28,58.03,55.35,50.96,38.99,36.54,31.21,32.94,30.19,29.09,28.7,31.17,47.11,47.53,42.24,39.39,33.98,32.96,30.27,30.21,28.06,29.97,28.14,28.38,27.98,27.74,26.67,25.54,25.28,24.66,24.21,24.07,23.95,23.87,32.28,35.98,38.89,40.81,46.85,60.66,71.4,86.6,119,165.5,221.5,282.1,4.372,4.143,3.769,2.915,1.986,1.27,3.88,3.734,3.623,2.622,1.716,1.152
116,1032,46.3,,32,60.15,57.48,53.1,40.61,37.78,31.88,32.5,29.57,28.43,27.98,30.01,48.7,48.94,43.38,40.15,34.96,33.64,30.67,30.11,27.8,29.35,27.74,28.43,28.02,27.74,26.63,25.57,25.29,24.68,24.24,24.08,23.95,23.87,35.84,40.97,44.25,45.54,51.55,68.95,88.9,106.6,144.3,239.4,260.4,289.4,4.01,4.313,3.735,2.618,1.749,1.2,3.629,3.462,2.801,2.469,1.859,1.295
116,1032,50.3,,36,61.02,58.87,53.77,41.61,38.36,32.36,32.4,29.53,28.17,28.25,29.03,49.79,50.05,44.51,41.23,35.76,34.12,31.04,30.62,27.86,29.03,27.94,28.45,27.88,27.74,26.6,25.59,25.31,24.64,24.2,24.06,23.96,23.87,41.09,47.93,52.11,54.25,61.31,83.8,110.1,146.6,190.8,296.8,294.9,325.7,4.193,4.374,3.962,2.765,1.906,1.331,3.832,3.417,2.941,2.254,1.674,1.115
116,1032,54.3,,40,62.18,60.31,55.21,42.6,39.14,32.88,32.66,29.41,28.45,27.9,28.81,51,51.32,45.61,42.34,36.62,34.72,31.4,30.6,27.94,29.03,28.1,27.58,27.62,27.66,26.64,25.57,25.29,24.7,24.2,24.04,23.95,23.87,39.73,47.51,54.62,58.41,65.33,93.6,133.4,165.1,207.6,288.4,315.8,348.9,4.471,4.687,4.165,2.994,2.122,1.488,4.886,4.304,3.348,2.455,1.863,1.272
116,1032,58.3,,44,65.51,63.03,57.72,44.47,40.57,33.74,33.42,30.72,29.37,28.77,31.66,53.3,53.63,47.35,44.12,37.64,35.6,31.96,31.6,28.63,30.16,28.51,27.42,27.46,27.62,26.64,25.55,25.17,24.72,24.2,24.06,23.96,23.88,38.74,43.98,52.23,54.19,60.47,77.9,105.8,140.1,190.2,261.5,321.9,384.7,5.39,4.987,4.387,3.121,1.985,1.31,4.517,4.343,3.895,2.881,1.813,1.197
116,1033,2.3,,48,69.7,66.95,60.72,46.08,41.91,34.44,36.72,33.28,31.92,32.68,37.76,56.14,56.4,49.18,45.79,38.56,36.56,33.48,34.1,29.91,33.98,30.86,27.95,27.46,27.58,26.58,25.51,25.13,24.74,24.16,24.04,23.96,23.88,36.9,41.57,48.64,51.1,57.76,72.5,101.7,138.4,189.5,271.7,329.8,422,6.461,6.053,5.186,3.55,2.493,1.602,5.482,5.005,3.974,3.085,1.994,1.335
116,1033,6.3,,52,74.5,71.6,64.82,48.4,43.92,35.52,37.5,33.42,32.04,32.5,36.74,59.42,59.89,51.71,48.27,40.03,37.98,33.72,33.34,29.83,33.3,30.8,28.06,27.62,27.54,26.29,25.45,25.04,24.78,24.16,24.04,23.92,23.87,37.34,44.23,52.37,56.14,61.79,78,108.2,146.7,201.8,295.3,364.7,449.3,6.404,5.779,4.899,3.081,2.322,1.735,6.342,5.178,3.895,2.807,1.991,1.512
116,1033,10.3,,56,79.7,76.4,69.02,50.53,45.41,36.72,39.66,34.73,33.86,33.36,37.92,62.76,62.62,54.17,49.91,41.39,39.8,35.81,36.03,31.74,37.18,32.3,28.25,27.81,27.54,26.42,25.45,25.01,24.74,24.16,24,23.96,23.86,37.84,41.83,49.16,51.46,60.41,73.8,105.2,143,208.9,292.3,360.4,459.3,5.851,5.427,4.867,3.526,2.597,1.675,5.312,5.204,4.728,3.53,2.287,1.535
116,1033,14.3,,60,80.9,77.9,71,52.25,46.74,37.56,37.7,33.26,32.42,32.16,37,63.23,63.5,55.16,50.45,42.07,39.64,35.37,35.19,31.28,34.45,31.64,28.39,27.91,27.54,26.56,25.47,25.09,24.77,24.2,24.04,23.96,23.86,41.45,46.72,53.91,56.19,62.2,82.5,107,145.6,196.1,254.8,330.2,449.1,4.952,4.63,4.212,3.276,2.47,1.696,4.262,4.286,3.981,2.866,2.082,1.498
116,1033,18.3,,64,80.2,78.2,70.7,52.74,47.37,37.94,37.42,32.92,32.02,31.52,33.26,63.84,64,55.99,51.18,42.78,39.96,35.28,34.26,30.78,33.36,31.2,28.31,27.96,27.66,26.68,25.57,25.13,24.84,24.22,24.08,24,23.92,43.8,49.79,58.83,62.38,70.9,92.4,129.7,160.8,210,260.5,333.5,461.2,6.823,6.719,6.1,4.318,2.902,1.857,5.425,5.327,4.468,3.297,2.324,1.559
116,1033,22.3,,68,83.3,81.3,73.2,54.47,48.47,38.58,37.76,33.37,32.56,32.4,34.39,65.69,66.11,57.29,52.47,43.66,40.44,35.77,35.21,31.1,34.41,32,27.67,27.87,27.79,26.76,25.57,25.13,24.93,24.2,24.12,24,23.92,42.97,49.32,57.92,58.46,69.25,94.7,134.4,169.7,212.3,273.1,344.3,480.6,7.03,6.719,5.581,3.726,2.702,2.089,6.666,5.641,4.253,2.903,2.211,1.483
116,1033,26.3,,72,88.4,85.4,76.5,56.23,49.4,39.04,39.34,34.25,34.93,33.63,36.37,69.23,69.59,59.54,54.29,44.58,41.43,36.49,35.43,32.08,36.37,32.68,27.59,27.81,27.85,26.68,25.57,25.13,24.93,24.22,24.12,24.04,23.92,43.52,48.25,57.61,58.44,69.23,91.8,129.8,168,231.3,332.6,413.7,539.2,7.89,6.963,5.322,3.386,2.527,1.634,5.997,4.997,3.616,2.643,1.897,1.298
116,1033,30.3,,76,89.9,86.7,76.6,56.3,49.06,39.04,39.46,34.71,33.83,32.82,35.19,70.7,70.9,60.45,54.35,45.13,41.51,36.65,36.67,32.28,34.67,32.2,28.07,27.95,28.07,26.9,25.65,25.25,24.97,24.3,24.16,24.04,23.98,44.79,50.39,61.93,63.9,75.6,96.9,138.1,182.9,251.9,349.3,446.8,584.9,6.419,5.892,4.741,3.521,2.467,1.731,6.151,5.764,4.984,3.204,2.353,1.435
