Time,Test_16_West_063014_custom,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX
1065,,,,,,,,,,,
1080,,,,,,,,,,Fixed wide fog at Room A,
1110,,,,,,,,,,Wide fog rotated left at Room A,
1135,,,,,,,,,,,
1140,,,,,,,,,,Water flow stopped,
1146,,,,,,,,,,,
1150,,,,,,,,,,,
1160,,,,,,,,,,,
1170,,,,,,,,,,,
1175,,,,,,,,,,,
1192,,,,,,,,,,,
1200,,,,,,,,,Fixed narrow fog stream at Room C ceiling,,
1203,,,,,,,,,,,
1211,,,,,,,,,,,
1224,,,,,,,,,,,
1230,,,,,,,,,Hose rotated right,,
1241,,,,,,,,,,,
1243,,,,,,,,,,,
1260,,,,,,,,,Hose fixed,,
1275,,,,,,,,,,,
1290,,,,,,,,Fixed straight stream at Room C ceiling,Hose rotated left,,
1294,,,,,,,,,,,
1305,,,,,,,,,,,
1320,,,,,,,,Hose rotated right,Hose fixed,,
1323,,,,,,,,,,,
1350,,,,,,,,Hose fixed,Rear door opened,,
1380,,,,,,,,Hose rotated left,Hose rotated right,,
1395,,,,,,,,,,,
1399,,,,,,,,,,,
1400,,,,,,,,,,,
1410,,,,,,,,Hose fixed,Hose fixed,,
1415,,,,,,,,,,,
1420,,,,,,,,,,,
1428,,,,,,,,,,,
1429,,,,,,,,,,,
1437,,,,,,,,,,,
1440,,,,,,,,Rear door opened,Hose rotated left,,
1470,,,,,,,,Hose rotated right,Hose fixed,,
1485,,,,,,,,,,,
1500,,,,,,,,Hose fixed,Rear door closed,,
1515,,,,,,,,,,,
1530,,,,,,,,Hose rotated left,Water flow stopped,,
1540,,,,,,,,,,,
1560,,,,,,,,Hose fixed,,,
1565,,,,,,,,,,,
1575,,,,,,,,,,,
1590,,,,,,,,Rear door closed,Fixed narrow fog stream at Door BC,,
1600,,,,,,,,,,,
1620,,,,,,,,,Hose rotated right,,
1635,,,,,,,,,,,
