Panel,Channel,Device Name,Type,Array,X,Y,Z,Serial Number,Calibration,Common Name
SC1Mod3,26,TC_A8_3p40_BC,TC,8,,,3.40 m BC,,1,TC 8 3.40 m BC
SC1Mod3,27,TC_Ignition,TC,,,,,,,TC Ignition
SC1Mod3,28,TC_Sprinkler,TC,,,,,,,TC Sprinkler
SC1Mod3,29,,,,,,,,,
SC1Mod3,30,,,,,,,,,
SC1Mod3,31,,,,,,,,,
SC1Mod4,0,HF_A2_VERT,Voltage,2,,,0.30 m AF,,,HF 2 V 0.30 m AF
SC1Mod4,1,HF_A2_HORZ,Voltage,2,,,0.30 m AF,,,HF 2 H 0.30 m AF
SC1Mod4,2,,,,,,,,,
SC1Mod4,3,,,,,,,,,
SC1Mod4,4,HOSE_1,Voltage,,,,,,,Hose Sensor 1
SC1Mod4,5,HOSE_2,Voltage,,,,,,,Hose Sensor 2
SC1Mod4,6,,,,,,,,,
SC1Mod4,7,,,,,,,,,
SC1Mod4,8,,,,,,,,,
SC1Mod4,9,,,,,,,,,
SC1Mod4,10,,,,,,,,,
SC1Mod4,11,,,,,,,,,
SC1Mod4,12,,,,,,,,,
SC1Mod4,13,,,,,,,,,
SC1Mod4,14,,,,,,,,,
SC1Mod4,15,,,,,,,,,
SC1Mod4,16,P_A1_A_0p03_BC,Voltage,,,,0.03 m BC,,,P A1 AD 0p03 BC
SC1Mod4,17,P_A1_A_1p20_BC,Voltage,,,,1.20 m BC,,,P A1 AD 1p20 BC
SC1Mod4,18,P_A1_A_2p10_BC,Voltage,,,,2.10 m BC,,,P A1 AD 2p10 BC
SC1Mod4,19,P_A4_AB_0p03_BC,Voltage,4,,,0.03 m BC,,,P A4 AB 0p03 BC
SC1Mod4,20,P_A4_AB_1p20_BC,Voltage,4,,,1.20 m BC,,,P A4 AB 1p20 BC
SC1Mod4,21,P_A4_AB_2p10_BC,Voltage,4,,,2.10 m BC,,,P A4 AB 2p10 BC
SC1Mod4,22,P_A4_AD_0p03_BC,Voltage,4,,,0.03 m BC,,,P A4 AD 0p03 BC
SC1Mod4,23,P_A4_AD_1p20_BC,Voltage,4,,,1.20 m BC,,,P A4 AD 1p20 BC
SC1Mod4,24,P_A4_AD_2p10_BC,Voltage,4,,,2.10 m BC,,,P A4 AD 2p10 BC
SC1Mod4,25,O2_A,Voltage,,,,,,,O2 A
SC1Mod4,26,CO_A,Voltage,,,,,,,CO A
SC1Mod4,27,CO2_A,Voltage,,,,,,,CO2 A
SC1Mod4,28,O2_B,Voltage,,,,,,,O2 B
SC1Mod4,29,CO_B,Voltage,,,,,,,CO B
SC1Mod4,30,CO2_B,Voltage,,,,,,,CO2 B
SC1Mod4,31,Event_Marker,Voltage,,,,,,1,Event Marker
