Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014,Test_30_West_51415,Test_31_West_51615,Test_32_West_51815,Test_33_West_52015,Test_34_West_52115,Test_35_West_52115,Test_36_West_60915,Test_37_West_61015,Test_38_West_61315,Test_39_West_61315,Test_40_West_61415,Test_41_West_61415,Test_42_West_61615,Test_43_West_61715,Test_44_West_61815,Test_45_West_70915,Test_46_West_71015,Test_47_West_71515,Test_48_West_71515,Test_49_East_71515,Test_50_West_71615,Test_51_East_71615,Test_52_East_80215,Test_53_East_80215,Test_54_East_80315,Test_55_East_80315,Test_56_West_80615,Test_57_West_80615,Test_58_East_80615
215,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,Gas on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Electric PPV fan 1800 rpm,,Water flow stopped,Hose rotated right,Hose rotated right,,Straight stream rotated right at Room A,,,,CD door open,,Left burner ignited,Left burner ignited,,,Fan at 1800 rpm,,,,,,,,,1st floor A door closed,1st floor BC door opened,1st floor BC door opened,1st floor BC and stairwell doors closed,1st floor BC and stairwell doors closed,,,,,,Stairwell door opened,,,,,,,,,,,,,,,,,,,,,,Ignition,,,Ignition,,,Close BC door,A door opened,A door opened,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior fog on,,,,,,,,,,,,,,
270,,Fixed straight stream at Door BC,,Hose fixed,Hose fixed,,Fixed narrow fog at Room B Ceiling,,,,,,,,,,,,,,,,,Stairwell door opened,Stairewell door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,Center burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,All burners ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Side A front door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,Second couch has ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,Rear door opened,Narrow fog at Door BC,Hose rotated left,Hose rotated left,,Narrow fog rotated right at Room B Ceiling,,,,,,,,,,Fan at 2000 rpm,,,,,,,,,1st floor BC door opened,1st floor BC and stairwell doors closed,1st floor BC and stairwell doors closed,"Hose on, wide fog, sweeping","Hose on, straight stream, sweeping",,,,,Stairwell door opened,,,,,,,Ignition,,,,,,,,,,,,Ignition,,,,,,,,,,"Open CD, Close BC door",A door closed,A door closed,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,,,,,,
315,,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,Rear door closed,Rear door opened,Rear door opened,Hose fixed,,Fixed narrow fog at Room A,,,,BC door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open A side door,,,,,,,Ignition,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,Right burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on exterior,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water  on fire,,,,,,,,,,,,,,,,,,,
360,Electric PPV fan 2000 rpm,,Rear door closed,Hose rotated right,Rear door opened,,Narrow fog rotated right at Room A,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,1st floor BC and stairwell doors closed,"Monitor on, straight stream, far target","Monitor on, wide fog, far target",Stairwell door opened,Stairwell door opened,,,,1st floor BC door opened,,,,,,,,,,,Ignition,,,,,,,,,,,,,,,,,,,Close CD door,Fan off,Fan off,,Ignition,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open A side door,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,,,,,,,,,,,,,,,,,,
390,,,Water flow stopped,Hose fixed,Hose rotated right,,Fixed wide fog at Room B ceiling,"Fire is in decay stage, steady state",,,CD door closed,,,,,,,,,,,,,1st floor A door opened,1st floor A door opened,,,,,,,,,,,,,,Ignition,Ignition,Side A window opened,,,Pull fan blockage,,,,,,,,,Ignition,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off exterior,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open A side door,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water on interior,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignition,,,,,,,,,,,,,,,,,,,,,
420,,Fixed straight stream at Room C ceiling,,Hose rotated left,Hose fixed,,Wide fog rotated right at Room B ceiling,,,,,,Center burner ignited,Center burnger ignited,,,Fan at 1200 rpm,,,,,,,,,,Stairwell door opened,Stairwell door opened,1st floor BC door opened,1st floor BC door opened,,,,,Basement BC door opened,,,,,,,,,,,Ignition,,,,,,,,,,,Open single C side basement door,,,,,,Fan on at 50%,Open BC and CD doors,,,,,
