Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,HRR Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC,Y Scale TC_Helmet,Y Scale GAS,Y Scale HOSE,Y Scale TC_Gear,Y Scale PRESSURE,Y Scale TC_Manikin,Ambient Temp
76,FIRE,Test_42_West_61615,Test_42_West_61615,390,1320,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC Manikin|TC Gear|Heat Flux 2,Heat Flux Mask|Carbon Monoxide D|Carbon Dioxide D|Oxygen D,None,20,50,1200,300,25,None,600,125,600,33
77,FIRE,Test_43_West_61715,Test_43_West_61715,300,1620,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC Manikin|TC Gear|Heat Flux 2,Heat Flux Mask|Carbon Monoxide D|Carbon Dioxide D|Oxygen D|Carbon Monoxide B|Carbon Dioxide B|Oxygen B|TC Gear 3| TC Gear 4|TC Gear 5|TC Gear 6TC Gear 3| TC Gear 4|TC Gear 5|TC Gear 6|TC 13 0.34 m BS West,None,20,50,1200,300,25,None,600,100,600,30
78,FIRE,Test_44_West_61815,Test_44_West_61815,150,600,Fire Test,BDP A15|TC A15|BDP A12|TC A12|Gas|TC Gear|TC A1|Heat Flux 2,Heat Flux Mask|Carbon Monoxide D|Carbon Dioxide D|Oxygen D,None,20,50,1200,300,25,None,600,100,600,23
79,FIRE,Test_45_West_70915,Test_45_West_70915,150,1620,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC A1|TC Gear,TC Gear 3|TC Gear 4|Carbon Monoxide C|Carbon Dioxide C|Oxygen C,None,20,75,1200,300,25,None,600,100,600,29
80,FIRE,Test_46_West_71015,Test_46_West_71015,150,640,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC Gear|TC Manikin|Heat Flux 2,Carbon Monoxide C|Carbon Dioxide C|Oxygen C,BDP_A5_2|BDP_A6_2,20,75,1200,300,25,None,600,125,600,30
81,FIRE,Test_47_West_71515,Test_47_West_71515,240,720,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC Manikin|Heat Flux 2,Carbon Monoxide C|Carbon Dioxide C|Oxygen C|Carbon Monoxide D|Carbon Dioxide D|Oxygen D|TC Gear 1|TC Gear 2|TC Gear 3|TC Gear 4|TC Gear 5|TC Gear 6,None,20,10,1000,300,25,None,200,100,600,28
82,FIRE,Test_48_West_71515,Test_48_West_71515,210,660,Fire Test,BDP A15|TC A15|BDP A12|TC A12|Heat Flux 2,Carbon Monoxide C|Carbon Dioxide C|Oxygen C|Carbon Monoxide D|Carbon Dioxide D|Oxygen D,None,20,50,1200,300,25,None,600,150,600,28
83,FIRE,Test_49_East_71515,Test_49_East_71515,210,1080,Fire Test,BDP A7|BDP A10|TC A7|TC A10|TC Gear,Carbon Monoxide A|Carbon Dioxide A|Oxygen A|Carbon Monoxide B|Carbon Dioxide B|Oxygen B|Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF East,None,5,2,200,300,25,None,600,100,600,28
84,FIRE,Test_50_West_71615,Test_50_West_71615,240,780,Fire Test,BDP A15|TC A15|BDP A12|TC A12|TC Gear|TC Manikin|Heat Flux 2|Pressure,Carbon Monoxide C|Carbon Dioxide C|Oxygen C|Carbon Monoxide D|Carbon Dioxide D|Oxygen D,None,20,100,1200,300,25,None,600,100,600,28
85,FIRE,Test_51_East_71615,Test_51_East_71615,120,480,Fire Test,BDP A7|BDP A10|TC A7|TC A10|TC Gear,Carbon Monoxide A|Carbon Dioxide A|Oxygen A|Carbon Monoxide B|Carbon Dioxide B|Oxygen B|Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF East,None,5,2,200,300,25,None,600,100,600,28
86,PPV,Test_52_East_80215,Test_52_East_80215,420,1080,PPV Test,TC A1|TC A2|TC A3|TC A4|TC A5|BDP A10|TC A7|TC A8|TC A9|TC A10|TC Gear|Heat Flux|Gas,None,None,5,2,200,300,25,None,600,100,600,28
87,PPV,Test_53_East_80215,Test_53_East_80215,120,720,PPV Test,TC A1|TC A2|TC A3|TC A4|TC A5|BDP A10|TC A7|TC A8|TC A9|TC A10|TC Gear|Heat Flux|Gas,None,None,5,2,200,300,25,None,600,100,600,28
88,PPV,Test_54_East_80315,Test_54_East_80315,120,360,PPV Test,TC A1|TC A2|TC A3|TC A4|TC A5|BDP A10|TC A7|TC A8|TC A9|TC A10|TC Gear|Heat Flux|Gas,None,None,5,2,200,300,25,None,600,100,600,28
89,PPV,Test_55_East_80315,Test_55_East_80315,120,360,PPV Test,TC A1|TC A2|TC A3|TC A4|TC A5|BDP A10|TC A7|TC A8|TC A9|TC A10|TC Gear|Heat Flux|Gas,None,None,5,2,200,300,25,None,600,100,600,28
90,FIRE,Test_56_West_80615,Test_56_West_80615,210,780,Fire Test,BDP A15|TC A15|BDP A12|TC A12,Carbon Monoxide D|Carbon Dioxide D|Oxygen D| TC Manikin 3|TC Manikin 4,None,10,10,800,300,25,None,200,50,600,27
91,FIRE,Test_57_West_80615,Test_57_West_80615,360,1200,Fire Test,BDP A15|TC A15|BDP A12|TC A12,Carbon Monoxide D|Carbon Dioxide D|Oxygen D| TC Manikin 3|TC Manikin 4,None,10,60,1200,300,25,None,650,50,600,27
92,FIRE,Test_58_East_80615,Test_58_East_80615,810,1320,Fire Test,BDP A7|BDP A10|TC A7|TC A10|TC Gear,Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 2 0.15 m AF East|Radiometer 2 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF East,None,10,25,800,300,25,None,600,100,600,28
93,FIRE,Test_59_East_80815,Test_59_East_80815,180,720,Fire Test,BDP A7|BDP A10|TC A7|TC A10|TC Gear,Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 2 0.15 m AF East|Radiometer 2 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF East,None,10,25,800,300,25,None,600,100,600,28
94,FIRE,Test_60_West_80915,Test_60_West_80915,150,600,Fire Test,TC A1|TC A7|TC A8|TC A9|TC A10|TC A11|TC A12|TC A13|TC A14|TC A15|TC A16|TC A17|TC A18|Gas|BDP A15|TC Manikin|BDP A10|BDP A11|BDP A12|BDP A13|BDP A14|BDP A18,TC Gear 1|TC Gear 2|TC Gear 3|TC Gear 4|TC Gear 5|TC Gear 6|TC G 4|TC G 5|TC G 6|TC G 7|TC G 8,None,20,150,1200,300,25,None,600,100,600,28
95,FIRE,Test_61_East_80915,Test_61_East_80915,270,1200,Fire Test,BDP A10|TC A7|TC A10|TC Gear,BDP 7 0.61 m BS East|BDP 7 0.88 m BS East|BDP 7 1.15 m BS East|BDP 7 1.42 m BS East|BDP 7 1.68 m BS East|Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 4 0.15 m AF East|Radiometer 4 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF Eas,None,10,10,1000,300,25,None,600,100,600,28
96,FIRE,Test_62_West_81015,Test_62_West_81015,120,540,Fire Test,TC A1|TC A7|TC A8|TC A9|TC A10|TC A11|TC A12|TC A13|TC A14|TC A15|TC A16|TC A17|TC A18|Gas|BDP A15|TC Manikin|BDP A10|BDP A11|BDP A12|BDP A13|BDP A14|BDP A18,TC Gear 1|TC Gear 2|TC Gear 3|TC Gear 4|TC Gear 5|TC Gear 6|TC G 6|TC G 7|TC G 8,None,20,150,1200,300,25,None,800,100,600,28
97,FIRE,Test_63_East_81015,Test_63_East_81015,120,1200,Fire Test,BDP A10|TC A7|TC A10|TC Gear,BDP 7 0.61 m BS East|BDP 7 0.88 m BS East|BDP 7 1.15 m BS East|BDP 7 1.42 m BS East|BDP 7 1.68 m BS East|Heat Flux 1 0.15 m AF East|Radiometer 1 0.15 m AF East|Heat Flux 4 0.15 m AF East|Radiometer 4 0.15 m AF East|Heat Flux 5 0.15 m AF East|Radiometer 5 0.15 m AF Eas,None,10,50,1000,300,25,None,600,100,600,28
