Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 00:43:00,72.8,83,0.2,1.0,WSW,0.00,72.5,83,0.0,0.0,,0.00,80.3,58,29.94
Tue, 07-01-2014 00:44:00,72.8,83,0.0,0.0,,0.00,72.5,83,0.0,0.0,,0.00,80.3,58,29.94
Tue, 07-01-2014 00:45:00,72.8,83,0.0,0.0,,0.00,72.5,83,0.0,0.0,,0.00,80.3,58,29.94
Tue, 07-01-2014 00:46:00,72.8,83,0.4,1.0,WSW,0.00,72.5,83,0.1,1.0,WSW,0.00,80.3,58,29.94
Tue, 07-01-2014 00:47:00,72.7,83,0.3,1.0,WSW,0.00,72.4,83,0.0,0.0,,0.00,80.3,58,29.94
Tue, 07-01-2014 00:48:00,72.8,83,0.2,1.0,WSW,0.00,72.4,83,0.0,0.0,,0.00,80.2,58,29.94
Tue, 07-01-2014 00:49:00,72.7,83,0.0,0.0,,0.00,72.4,84,0.0,0.0,,0.00,80.2,58,29.94
Tue, 07-01-2014 00:50:00,72.7,83,0.1,1.0,WSW,0.00,72.4,84,0.1,1.0,WSW,0.00,80.2,58,29.94
Tue, 07-01-2014 00:51:00,72.7,83,0.4,1.0,WSW,0.00,72.4,84,0.1,1.0,WSW,0.00,80.2,58,29.94
Tue, 07-01-2014 00:52:00,72.7,83,0.3,1.0,WSW,0.00,72.4,84,0.1,1.0,WSW,0.00,80.2,58,29.94
Tue, 07-01-2014 00:53:00,72.7,83,0.4,1.0,WSW,0.00,72.4,84,0.0,0.0,,0.00,80.2,58,29.94
Tue, 07-01-2014 00:54:00,72.7,84,0.3,1.0,WSW,0.00,72.4,84,0.1,1.0,WSW,0.00,80.1,58,29.94
