Raw,Time,Mass,Skip,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,HF Extra,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Center 2.4m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,Skip,Skip,Skip,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Surface Offset 2.4m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Back Center 2.4m,TC Back Outside Center 0.2m,TC Back Outside Center 0.4m,TC Back Outside Center 0.6m,TC Back Outside Center 0.8m,TC Water In,TC Water Out,TC Ambient,Event,Event,CO2,CO,78 T1m,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip
51.3109999,-215.5,-0.0365153,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0210567,1553.378886,24.7059956,24.8924541,25.0427647,24.745079,24.6836586,24.8945198,24.8964424,24.9616814,25.2356949,25.0623093,24.9688606,25.0372982,-3.86108E+12,-3.87916E+12,3325.654053,3326.637451,3326.993652,3325.833252,3325.922852,3325.833252,3325.385742,3326.012207,3325.833252,3325.564697,3326.101563,3325.385498,3326.458984,3325.475098,3326.993408,0.1000626,0.1000657,0.1000313,3325.475098,3325.295654,3324.936768,27.1776543,27.3365498,27.2178955,27.0060425,27.1150341,27.1692963,27.1629562,27.1122532,26.9923992,27.0482597,27.117382,27.1755409,27.2001133,3327.88208,3327.260986,-3.89025E+12,3327.883057,3327.260742,3327.705078,-3.8852E+12,-3.88722E+12,3327.260498,25.4553947,0,10,0,-33199.04759,NaN,-0.0365153,-0.0365153,-0.0365153,0,0,0,0,0
52.3129997,-214.4980002,-0.0378532,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0181306,1553.378886,24.690115,24.8890495,25.0336895,24.7469692,24.6889534,24.8884697,24.8975773,24.9563904,25.23456,25.0536137,24.979826,25.0614815,-3.86108E+12,-3.87916E+12,3325.654053,3326.637451,3326.993652,3325.833252,3325.922852,3325.833252,3325.385742,3326.012207,3325.833252,3325.564697,3326.101563,3325.385498,3326.458984,3325.475098,3326.993408,0.1000626,0.1000657,0.1000313,3325.475098,3325.295654,3324.936768,27.180294,27.338438,27.2156296,27.0026512,27.1206913,27.1538296,27.1633339,27.1205559,26.9908905,27.0448627,27.1132336,27.1755409,27.2020016,3327.88208,3327.260986,-3.89025E+12,3327.883057,3327.260742,3327.705078,-3.8852E+12,-3.88722E+12,3327.260498,25.4372597,0,10,0,-33199.04759,NaN,-0.0378532,-0.0378532,-0.0378532,0,0,0,0,0
53.316,-213.4949999,-0.0357772,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0186351,1553.378886,24.7062435,24.8885422,25.032423,24.738142,24.6975212,24.889473,24.8959312,24.9362278,25.2211914,25.0663338,24.978941,25.0609741,-3.86108E+12,-3.87915E+12,3325.654785,3326.638184,3326.994385,3325.83374,3325.923584,3325.83374,3325.386231,3326.012695,3325.83374,3325.565186,3326.102295,3325.385986,3326.459717,3325.475586,3326.994141,0.1000626,0.1000657,0.1000313,3325.47583,3325.296387,3324.937256,27.1846886,27.3337803,27.2147446,26.9983711,27.1122589,27.1676579,27.1632023,27.1140118,27.0073586,27.0496387,27.1078243,27.193512,27.209795,3327.882568,3327.261719,-3.89024E+12,3327.883789,3327.261475,3327.705811,-3.88519E+12,-3.88721E+12,3327.261231,25.3955669,0,10,0,-33199.04759,NaN,-0.0357772,-0.0357772,-0.0357772,0,0,0,0,0
54.3179998,-212.4930001,-0.0366537,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0223684,1553.378886,24.7115402,24.8949738,25.0513344,24.7517586,24.688446,24.8981724,24.898962,24.9407654,25.220438,25.0723839,24.9819679,25.0640011,-3.86105E+12,-3.87912E+12,3325.657715,3326.641113,3326.99707,3325.83667,3325.92627,3325.83667,3325.38916,3326.015625,3325.83667,3325.567871,3326.104981,3325.388916,3326.462647,3325.478272,3326.996826,0.1000626,0.1000657,0.1000313,3325.478516,3325.299072,3324.939941,27.1895981,27.3450985,27.2207851,27.0153484,27.1201878,27.1653976,27.1598167,27.1151466,27.0051003,27.0522861,27.1123524,27.1855984,27.2116833,3327.885254,3327.264404,-3.89021E+12,3327.886475,3327.264404,3327.708496,-3.88516E+12,-3.88718E+12,3327.26416,25.4152184,0,10,0,-33199.04759,NaN,-0.0366537,-0.0366537,-0.0366537,0,0,0,0,0
55.3199997,-211.4910002,-0.0369305,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0183324,1553.378886,24.6881924,24.8905277,25.0442448,24.7458,24.687027,24.8899498,24.8903599,24.9295216,25.213726,25.075882,24.9839554,25.0739193,-3.86106E+12,-3.87914E+12,3325.656006,3326.63916,3326.995117,3325.834961,3325.924561,3325.834961,3325.387451,3326.013916,3325.834961,3325.566162,3326.103516,3325.387207,3326.460693,3325.476807,3326.994873,0.1000626,0.1000657,0.1000313,3325.477051,3325.297363,3324.938232,27.1802635,27.3327446,27.2159767,27.006012,27.1153755,27.1658649,27.1606617,27.123167,26.9923668,27.0561543,27.118103,27.1902161,27.2064934,3327.883789,3327.262695,-3.89023E+12,3327.88501,3327.262451,3327.706787,-3.88518E+12,-3.8872E+12,3327.262207,25.3779049,0,10,0,-33199.04759,NaN,-0.0369305,-0.0369305,-0.0369305,0,0,0,0,0
56.323,-210.4879999,-0.0354081,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0104622,1553.378886,24.6880398,24.9013443,25.0429554,24.7513218,24.6948166,24.8950901,24.8985233,24.9425964,25.2105465,25.0621204,24.9890957,25.0718765,-3.86106E+12,-3.87913E+12,3325.65625,3326.639404,3326.995361,3325.835205,3325.924805,3325.835205,3325.387451,3326.01416,3325.835205,3325.566406,3326.10376,3325.387451,3326.460938,3325.477051,3326.995117,0.1000626,0.1000657,0.1000313,3325.477295,3325.297607,3324.938477,27.1868973,27.3378735,27.2139359,27.0081234,27.1223907,27.1600571,27.1593781,27.1222553,26.9952297,27.043169,27.1224785,27.1859169,27.2127533,3327.884033,3327.26294,-3.89022E+12,3327.88501,3327.262695,3327.707031,-3.88518E+12,-3.8872E+12,3327.262451,25.3792648,0,10,0,-33199.04759,NaN,-0.0354081,-0.0354081,-0.0354081,0,0,0,0,0
57.3249998,-209.4860001,-0.0355926,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0098568,1553.378886,24.6990147,24.8862286,25.0437241,24.7502022,24.6827278,24.8920765,24.8958931,24.9403419,25.2120743,25.0458813,24.966795,25.0484619,-3.86109E+12,-3.87916E+12,3325.654053,3326.637207,3326.993408,3325.833008,3325.922607,3325.833008,3325.385498,3326.011963,3325.833008,3325.564453,3326.101318,3325.385254,3326.45874,3325.474854,3326.993164,0.1000626,0.1000657,0.1000313,3325.475098,3325.29541,3324.936523,27.1861591,27.3390179,27.2173462,27.0058708,27.1178799,27.1634636,27.1635399,27.1188755,26.9956226,27.0465794,27.1217384,27.1859264,27.2146568,3327.881836,3327.260742,-3.89025E+12,3327.882813,3327.260498,3327.704834,-3.8852E+12,-3.88722E+12,3327.260254,25.3569832,0,10,0,-33199.04759,NaN,-0.0355926,-0.0355926,-0.0355926,0,0,0,0,0
58.3279996,-208.4830003,-0.0358694,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0109667,1553.378886,24.7031059,24.8789711,25.0470581,24.7421875,24.6879539,24.8957882,24.8886375,24.9304428,25.1995201,25.0356064,24.9512215,25.0415878,-3.86106E+12,-3.87913E+12,3325.65625,3326.639404,3326.995361,3325.835205,3325.924805,3325.835205,3325.387451,3326.01416,3325.835205,3325.566406,3326.10376,3325.387451,3326.460938,3325.477051,3326.995117,0.1000626,0.1000657,0.1000313,3325.477295,3325.297607,3324.938477,27.1860867,27.3446045,27.2055798,27.0076866,27.1238461,27.1649036,27.1691246,27.1225777,27.0049801,27.0544319,27.1141205,27.1813316,27.2040195,3327.884033,3327.26294,-3.89022E+12,3327.88501,3327.262695,3327.707031,-3.88518E+12,-3.8872E+12,3327.262451,25.3667374,0,10,0,-33199.04759,NaN,-0.0358694,-0.0358694,-0.0358694,0,0,0,0,0
59.3299999,-207.481,-0.0350852,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0089487,1553.378886,24.6955833,24.8911133,25.0588207,24.7501698,24.6913967,24.8924236,24.887167,24.9350185,25.1980438,25.0307331,24.9255428,25.0253792,-3.86105E+12,-3.87913E+12,3325.656982,3326.640381,3326.996338,3325.836182,3325.925537,3325.836182,3325.388428,3326.014893,3325.836182,3325.567383,3326.104248,3325.388184,3326.461914,3325.477783,3326.996094,0.1000626,0.1000657,0.1000313,3325.477783,3325.29834,3324.939453,27.1966877,27.3344612,27.2214603,27.0016899,27.1114349,27.1702232,27.1653957,27.1233711,27.0012474,27.0522079,27.1198196,27.1813736,27.2089653,3327.88501,3327.263916,-3.89022E+12,3327.885742,3327.263672,3327.707764,-3.88517E+12,-3.88719E+12,3327.263428,25.3550625,0,10,0,-33199.04759,NaN,-0.0350852,-0.0350852,-0.0350852,0,0,0,0,0
60.3319998,-206.4790001,-0.0354081,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.011673,1553.378886,24.7057114,24.8902798,25.054203,24.7455521,24.6875343,24.8938599,24.8991814,24.9296474,25.1858635,25.0219574,24.9194145,25.0181198,-3.86112E+12,-3.87919E+12,3325.651367,3326.634522,3326.990479,3325.830322,3325.919922,3325.830322,3325.382568,3326.009033,3325.830322,3325.561523,3326.098633,3325.382324,3326.456055,3325.472168,3326.990234,0.1000626,0.1000657,0.1000313,3325.472168,3325.292725,3324.933594,27.1830273,27.3407936,27.2111969,27.0057621,27.120409,27.1607132,27.1690845,27.131216,26.9981518,27.0513744,27.1118183,27.1775208,27.2085094,3327.87915,3327.258057,-3.89028E+12,3327.880127,3327.257813,3327.702148,-3.88523E+12,-3.88726E+12,3327.257568,25.3349571,0,10,0,-33199.04759,NaN,-0.0354081,-0.0354081,-0.0354081,0,0,0,0,0
61.3349996,-205.4760003,-0.0352236,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0117739,1553.378886,24.7011585,24.9065266,25.0375462,24.7478027,24.6780605,24.8893032,24.8851795,24.9243393,25.1960564,25.0151386,24.9141006,25.0063877,-3.86108E+12,-3.87915E+12,3325.654785,3326.638184,3326.994385,3325.83374,3325.923584,3325.83374,3325.386231,3326.012695,3325.83374,3325.565186,3326.102295,3325.385986,3326.459717,3325.475586,3326.994141,0.1000626,0.1000657,0.1000313,3325.47583,3325.296387,3324.937256,27.1935711,27.3441696,27.2304192,27.0166855,27.1279392,27.1701298,27.1702023,27.1168594,26.9943619,27.0494671,27.1231213,27.1914558,27.2164135,3327.882568,3327.261719,-3.89024E+12,3327.883789,3327.261475,3327.705811,-3.88519E+12,-3.88721E+12,3327.261231,25.3553467,0,10,0,-33199.04759,NaN,-0.0352236,-0.0352236,-0.0352236,0,0,0,0,0
62.3369999,-204.474,-0.036423,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0159108,1553.378886,24.7177544,24.8936272,25.0530148,24.7481422,24.6950455,24.8764114,24.8753128,24.9227905,25.1827793,25.0003605,24.9144421,25.0112629,-3.86107E+12,-3.87915E+12,3325.655029,3326.638428,3326.994629,3325.833984,3325.923828,3325.833984,3325.386475,3326.01294,3325.833984,3325.56543,3326.102539,3325.386231,3326.459961,3325.47583,3326.994385,0.1000626,0.1000657,0.1000313,3325.476074,3325.296631,3324.9375,27.1829758,27.3479042,27.2183113,27.0019321,27.1226196,27.1723518,27.1746845,27.1224842,27.0090351,27.0566006,27.1211967,27.1880264,27.222414,3327.882813,3327.261963,-3.89024E+12,3327.884033,3327.261719,3327.706055,-3.88519E+12,-3.88721E+12,3327.261475,25.3405724,0,10,0,-33199.04759,NaN,-0.036423,-0.036423,-0.036423,0,0,0,0,0
63.3399997,-203.4710002,-0.0348545,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0145991,1553.378886,24.7128029,24.8966179,25.0665932,24.7556725,24.6881981,24.891119,24.887373,24.9235115,25.1853905,25.0014572,24.9197006,25.0112286,-3.86105E+12,-3.87913E+12,3325.656738,3326.640137,3326.996094,3325.835938,3325.925293,3325.835938,3325.388184,3326.014648,3325.835938,3325.567139,3326.104248,3325.38794,3326.46167,3325.477783,3326.99585,0.1000626,0.1000657,0.1000313,3325.477783,3325.298096,3324.939209,27.1916142,27.3595638,27.2288342,27.010952,27.1286182,27.1768456,27.1746521,27.1318798,27.0078716,27.0539246,27.1317196,27.1925163,27.21521,3327.884766,3327.263672,-3.89022E+12,3327.885498,3327.263428,3327.70752,-3.88517E+12,-3.88719E+12,3327.263184,25.384367,0,10,0,-33199.04759,NaN,-0.0348545,-0.0348545,-0.0348545,0,0,0,0,0
64.342,-202.4689999,-0.0353158,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0166171,1553.378886,24.6986942,24.8938522,25.049078,24.7442055,24.6880798,24.877388,24.8740234,24.9256592,25.1875458,24.9945335,24.9010506,24.9888134,-3.86109E+12,-3.87916E+12,3325.654053,3326.637207,3326.993408,3325.833008,3325.922607,3325.833008,3325.385498,3326.011963,3325.833008,3325.564453,3326.101318,3325.385254,3326.45874,3325.474854,3326.993164,0.1000626,0.1000657,0.1000313,3325.475098,3325.29541,3324.936523,27.1831951,27.3375683,27.2124996,27.0025349,27.1213322,27.1771011,27.1654835,27.1268559,27.0118999,27.0579586,27.1251888,27.1852322,27.2150917,3327.881836,3327.260742,-3.89025E+12,3327.882813,3327.260498,3327.704834,-3.8852E+12,-3.88722E+12,3327.260254,25.345705,0,10,0,-33199.04759,NaN,-0.0353158,-0.0353158,-0.0353158,0,0,0,0,0
65.3439999,-201.467,-0.0349929,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0099577,1553.378886,24.70541,24.8820343,25.0421772,24.738821,24.6739941,24.8708687,24.865612,24.9108257,25.1787529,24.9842377,24.8937721,24.9815426,-3.86108E+12,-3.87915E+12,3325.654297,3326.637695,3326.993897,3325.833496,3325.923096,3325.833496,3325.385742,3326.012207,3325.833496,3325.564697,3326.101807,3325.385742,3326.459229,3325.475098,3326.993652,0.1000626,0.1000657,0.1000313,3325.475342,3325.295898,3324.937012,27.1785793,27.3480358,27.2199516,27.0043278,27.1133156,27.1668243,27.1680298,27.1199703,27.0027523,27.0480518,27.1051044,27.1813679,27.2100925,3327.882324,3327.261231,-3.89024E+12,3327.883301,3327.260986,3327.705322,-3.8852E+12,-3.88722E+12,3327.260742,25.3331451,0,10,0,-33199.04759,NaN,-0.0349929,-0.0349929,-0.0349929,0,0,0,0,0
66.3469996,-200.4640003,-0.0358233,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0171216,1553.378886,24.7033539,24.8848934,25.0518436,24.7413025,24.6760979,24.8801556,24.8703613,24.9189758,25.1797199,24.9867153,24.8943615,24.9825096,-3.86105E+12,-3.87913E+12,3325.656738,3326.640137,3326.996094,3325.835938,3325.925293,3325.835938,3325.388184,3326.014648,3325.835938,3325.567139,3326.104248,3325.38794,3326.46167,3325.477783,3326.99585,0.1000626,0.1000657,0.1000313,3325.477783,3325.298096,3324.939209,27.1867104,27.3463631,27.2197838,27.014349,27.1131496,27.1655273,27.179554,27.1179161,27.0161667,27.0482635,27.1177654,27.1981735,27.2227554,3327.884766,3327.263672,-3.89022E+12,3327.885498,3327.263428,3327.70752,-3.88517E+12,-3.88719E+12,3327.263184,25.3443165,0,10,0,-33199.04759,NaN,-0.0358233,-0.0358233,-0.0358233,0,0,0,0,0
67.349,-199.4619999,-0.035731,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0208549,1553.378886,24.6999683,24.8943672,25.0620689,24.7428322,24.6923752,24.8831959,24.8745365,24.9114323,25.1797352,24.988245,24.9170666,24.9825268,-3.86105E+12,-3.87912E+12,3325.657471,3326.640869,3326.996826,3325.836426,3325.926025,3325.836426,3325.388916,3326.015381,3325.836426,3325.567627,3326.104736,3325.388672,3326.462402,3325.478027,3326.996582,0.1000626,0.1000657,0.1000313,3325.478272,3325.298828,3324.939941,27.1935177,27.3426075,27.2247047,27.0151196,27.1297684,27.1723347,27.1697674,27.1334076,26.998455,27.0588455,27.1306076,27.1929111,27.2201328,3327.88501,3327.264404,-3.89021E+12,3327.886231,3327.26416,3327.708252,-3.88516E+12,-3.88719E+12,3327.263916,25.3382874,0,10,0,-33199.04759,NaN,-0.035731,-0.035731,-0.035731,0,0,0,0,0
68.3519998,-198.4590001,-0.035362,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.015709,1553.378886,24.7100983,24.8889942,25.0381718,24.7408638,24.6790638,24.8763161,24.8718147,24.9030437,25.1630192,24.9817429,24.8977051,24.9956741,-3.86108E+12,-3.87916E+12,3325.654053,3326.637451,3326.993652,3325.833252,3325.922852,3325.833252,3325.385742,3326.012207,3325.833252,3325.564697,3326.101563,3325.385498,3326.458984,3325.475098,3326.993408,0.1000626,0.1000657,0.1000313,3325.475098,3325.295654,3324.936768,27.1779728,27.348568,27.2280254,27.0108948,27.1251659,27.1560383,27.159132,27.1299362,27.0047894,27.049715,27.1131802,27.1867981,27.2177925,3327.88208,3327.260986,-3.89025E+12,3327.883057,3327.260742,3327.705078,-3.8852E+12,-3.88722E+12,3327.260498,25.3234749,0,10,0,-33199.04759,NaN,-0.035362,-0.035362,-0.035362,0,0,0,0,0
