Raw,Time,Mass,Skip,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,HF Extra,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m,TC Surface Center 2.4m,TC Surface Offset 0.2m,TC Surface Offset 0.4m,TC Surface Offset 0.6m,TC Surface Offset 0.8m,TC Surface Offset 1.0m,Skip,Skip,Skip,TC Surface Offset 1.2m,TC Surface Offset 1.4m,TC Surface Offset 1.6m,TC Surface Offset 1.8m,TC Surface Offset 2.0m,TC Surface Offset 2.2m,TC Surface Offset 2.4m,TC Back Center 0.2m,TC Back Center 0.4m,TC Back Center 0.6m,TC Back Center 0.8m,TC Back Center 1.0m,TC Back Center 1.2m,TC Back Center 1.4m,TC Back Center 1.6m,TC Back Center 1.8m,TC Back Center 2.0m,TC Back Center 2.2m,TC Back Center 2.4m,TC Back Outside Center 0.2m,TC Back Outside Center 0.4m,TC Back Outside Center 0.6m,TC Back Outside Center 0.8m,TC Water In,TC Water Out,TC Ambient,Event,Event,CO2,CO,78 T1m,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip
12.9130001,-119,-0.0421436,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0678741,1553.378886,26.3026257,26.2958832,26.376543,26.0597973,25.9660225,26.0957317,26.058321,26.0754929,26.2864285,26.0333252,25.9619522,26.0362339,-3.85063E+12,-3.86866E+12,3326.587647,3327.566406,3327.920654,3326.765869,3326.854981,3326.765869,3326.320557,3326.944092,3326.765869,3326.498535,3327.032959,3326.320313,3327.388672,3326.40918,3327.92041,0.1000626,0.1000657,0.1000313,3326.409424,3326.230713,3325.873535,27.9907131,28.1532593,27.9875774,27.8052902,27.9292736,27.9665318,27.9662304,27.924612,27.7995701,27.8497334,27.9108887,27.9840775,28.0184345,3328.804932,3328.186768,-3.87972E+12,3328.806152,3328.186523,3328.628906,-3.87469E+12,-3.8767E+12,3328.186279,26.2414513,0,10,0,-33199.04759,NaN,-0.0421436,-0.0421436,-0.0421436,0,0,0,0,0
13.9130001,-118,-0.0421436,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0656543,1553.378886,26.3021336,26.2870846,26.3779335,26.0521259,25.9795094,26.104681,26.0710411,26.0712261,26.2927399,26.0422707,25.9584351,26.0364952,-3.85063E+12,-3.86866E+12,3326.587647,3327.566406,3327.920654,3326.765869,3326.854981,3326.765869,3326.320557,3326.944092,3326.765869,3326.498535,3327.032959,3326.320313,3327.388672,3326.40918,3327.92041,0.1000626,0.1000657,0.1000313,3326.409424,3326.230713,3325.873535,27.9962521,28.1452293,27.9927387,27.8168583,27.9216175,27.9664173,27.9774189,27.9301567,27.7915382,27.8567829,27.9152966,27.9926319,28.0179424,3328.804932,3328.186768,-3.87972E+12,3328.806152,3328.186523,3328.628906,-3.87469E+12,-3.8767E+12,3328.186279,26.2405815,0,10,0,-33199.04759,NaN,-0.0421436,-0.0421436,-0.0421436,0,0,0,0,0
14.914,-116.9990001,-0.0416823,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0682777,1553.378886,26.2776241,26.2784233,26.3654995,26.0514011,25.9700947,26.1013107,26.0669155,26.0652122,26.2939053,26.0438118,25.9671555,26.0251961,-3.85067E+12,-3.8687E+12,3326.583496,3327.562256,3327.916748,3326.761719,3326.851074,3326.761719,3326.316162,3326.939697,3326.761719,3326.494385,3327.029053,3326.315918,3327.384522,3326.405273,3327.916504,0.1000626,0.1000657,0.1000313,3326.405518,3326.226807,3325.869385,27.9921341,28.1365891,27.9965382,27.8138695,27.9261703,27.9675751,27.9627514,27.9233971,27.7821426,27.8519058,27.8964767,27.9813519,28.025135,3328.801025,3328.182861,-3.87977E+12,3328.802002,3328.182617,3328.624756,-3.87473E+12,-3.87675E+12,3328.182373,26.2474022,0,10,0,-33199.04759,NaN,-0.0416823,-0.0416823,-0.0416823,0,0,0,0,0
15.914,-115.9990001,-0.0431125,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0682777,1553.378886,26.2913723,26.272913,26.3562126,26.0508022,25.9793129,26.1014633,26.0572548,26.0755634,26.2880116,26.0481205,25.9707088,26.0306396,-3.85061E+12,-3.86864E+12,3326.589111,3327.567871,3327.922119,3326.767334,3326.85669,3326.767334,3326.321777,3326.945313,3326.767334,3326.499756,3327.034424,3326.321533,3327.390137,3326.410889,3327.921875,0.1000626,0.1000657,0.1000313,3326.411133,3326.232178,3325.874756,28.0077438,28.1491833,27.9981995,27.8117638,27.9255714,27.9677277,27.9696884,27.9246807,27.7936096,27.8448963,27.9154797,27.9943218,28.0113411,3328.806397,3328.188477,-3.87971E+12,3328.807617,3328.188232,3328.630371,-3.87467E+12,-3.87669E+12,3328.187988,26.3053226,0,10,0,-33199.04759,NaN,-0.0431125,-0.0431125,-0.0431125,0,0,0,0,0
16.915,-114.9980001,-0.0432508,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0697912,1553.378886,26.2738571,26.2595482,26.3349133,26.0400772,25.9712334,26.1047173,26.0627728,26.0637112,26.2844658,26.0377769,25.9531822,26.0338898,-3.85066E+12,-3.86869E+12,3326.584961,3327.563721,3327.917969,3326.763184,3326.852295,3326.763184,3326.317627,3326.941162,3326.763184,3326.495606,3327.030273,3326.317383,3327.385986,3326.406494,3327.917725,0.1000626,0.1000657,0.1000313,3326.406738,3326.228027,3325.870606,28.0042038,28.1448917,27.9950371,27.8101101,27.9167557,27.9630623,27.9733124,27.9185047,27.7938347,27.8473892,27.917593,27.9915371,28.0115719,3328.802246,3328.184082,-3.87975E+12,3328.803467,3328.183838,3328.626221,-3.87472E+12,-3.87674E+12,3328.183838,26.2885628,0,10,0,-33199.04759,NaN,-0.0432508,-0.0432508,-0.0432508,0,0,0,0,0
17.915,-113.9980001,-0.0411287,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0693876,1553.378886,26.2675285,26.2547245,26.3270721,26.0329895,25.9686775,26.1051826,26.0587044,26.0607796,26.2811508,26.0559883,25.9604511,26.01548,-3.85064E+12,-3.86867E+12,3326.58667,3327.565674,3327.919922,3326.765137,3326.854248,3326.765137,3326.31958,3326.943115,3326.765137,3326.497559,3327.031982,3326.319336,3327.387695,3326.408447,3327.919678,0.1000626,0.1000657,0.1000313,3326.408447,3326.229736,3325.872559,27.9941139,28.1381931,27.9936161,27.8169842,27.9285278,27.9605103,27.9669895,27.9200993,27.7894001,27.8478565,27.913538,27.9874783,28.0146751,3328.803955,3328.186035,-3.87973E+12,3328.805176,3328.185791,3328.62793,-3.8747E+12,-3.87671E+12,3328.185791,26.2984676,0,10,0,-33199.04759,NaN,-0.0411287,-0.0411287,-0.0411287,0,0,0,0,0
18.9159999,-112.9970002,-0.0431586,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0668651,1553.378886,26.269558,26.2446632,26.329855,26.0467281,25.9635277,26.1026783,26.0599785,26.0684681,26.2846889,26.0361176,25.9590797,26.0352516,-3.85063E+12,-3.86866E+12,3326.587402,3327.566162,3327.92041,3326.765625,3326.854736,3326.765625,3326.320313,3326.943848,3326.765625,3326.498291,3327.032715,3326.320068,3327.388428,3326.408936,3327.92041,0.1000626,0.1000657,0.1000313,3326.40918,3326.230469,3325.873291,27.988224,28.1409721,27.9941349,27.8167458,27.9181118,27.9606495,27.9660015,27.9157143,27.7929363,27.8378162,27.9087772,27.9853592,28.0114212,3328.804688,3328.186523,-3.87973E+12,3328.805908,3328.186279,3328.628662,-3.87469E+12,-3.87671E+12,3328.186279,26.315218,0,10,0,-33199.04759,NaN,-0.0431586,-0.0431586,-0.0431586,0,0,0,0,0
19.9159999,-111.9970002,-0.043297,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0674705,1553.378886,26.2757988,26.2399578,26.3308125,26.0457993,25.9796009,26.1066589,26.0628262,26.0766048,26.2856503,26.0363178,25.9683495,26.0331879,-3.85061E+12,-3.86864E+12,3326.589356,3327.568115,3327.922363,3326.767578,3326.85669,3326.767578,3326.322022,3326.945557,3326.767578,3326.5,3327.034668,3326.321777,3327.390381,3326.411133,3327.922119,0.1000626,0.1000657,0.1000313,3326.411133,3326.232422,3325.875,27.995966,28.1438122,27.9943409,27.8165741,27.9386768,27.973671,27.9782658,27.9234581,27.7923813,27.8459358,27.916893,27.9919701,28.0146446,3328.806641,3328.188477,-3.8797E+12,3328.807861,3328.188477,3328.630615,-3.87467E+12,-3.87669E+12,3328.188232,26.32901,0,10,0,-33199.04759,NaN,-0.043297,-0.043297,-0.043297,0,0,0,0,0
20.9169998,-110.9960003,-0.0421898,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0680759,1553.378886,26.2437038,26.2429695,26.3202267,26.0404968,25.9826126,26.1024933,26.0707455,26.0735703,26.2894173,26.0438633,25.9740067,26.0252514,-3.85062E+12,-3.86865E+12,3326.588135,3327.56665,3327.921143,3326.766113,3326.855469,3326.766113,3326.320557,3326.944336,3326.766113,3326.498779,3327.033447,3326.320557,3327.38916,3326.409668,3327.920898,0.1000626,0.1000657,0.1000313,3326.409912,3326.231201,3325.873779,28.006134,28.1430454,27.9882965,27.8124161,27.9269753,27.9544353,27.9767456,27.9283504,27.7844582,27.8402672,27.9085903,27.9870605,28.0082226,3328.80542,3328.187256,-3.87972E+12,3328.806397,3328.187012,3328.62915,-3.87468E+12,-3.8767E+12,3328.186768,26.3108807,0,10,0,-33199.04759,NaN,-0.0421898,-0.0421898,-0.0421898,0,0,0,0,0
21.9169998,-109.9960003,-0.0432047,-10.0025396,-1553.192978,1773.544679,1007.645871,1072.276651,-482.3423755,496.2925306,1652.507333,1537.249366,-1066.969983,-1077.660632,-554.0579721,519.9600278,0.0693876,1553.378886,26.2588348,26.2358284,26.3123302,26.0503559,25.9679146,26.1059284,26.0647392,26.0754929,26.2913418,26.0472965,25.9657307,26.0335903,-3.85063E+12,-3.86866E+12,3326.587647,3327.566406,3327.920654,3326.765869,3326.854981,3326.765869,3326.320557,3326.944092,3326.765869,3326.498535,3327.032959,3326.320313,3327.388672,3326.40918,3327.92041,0.1000626,0.1000657,0.1000313,3326.409424,3326.230713,3325.873535,27.9974995,28.1479836,27.9909706,27.8101902,27.922863,27.9601212,27.9598236,27.9163189,27.7848682,27.8433228,27.9180508,27.9923687,28.011652,3328.804932,3328.186768,-3.87972E+12,3328.806152,3328.186523,3328.628906,-3.87469E+12,-3.8767E+12,3328.186279,26.2818451,0,10,0,-33199.04759,NaN,-0.0432047,-0.0432047,-0.0432047,0,0,0,0,0
