Time,PUF 1,PUF 2,PUF 3,PUF 4
124,0.4441603,0.2314638,0.2420583,0.1173463
125,0.4332631,0.2329773,0.2490203,0.1202724
126,0.4457747,0.2405448,0.2581013,0.1137139
127,0.4501134,0.2411502,0.2717228,0.1045321
128,0.446481,0.2498276,0.2714201,0.1011015
129,0.4558647,0.246397,0.2642562,0.118658
130,0.4661564,0.2457916,0.2607247,0.1238039
131,0.4669636,0.251442,0.2613301,0.1263264
132,0.5021776,0.2527537,0.2734381,0.144791
133,0.5056082,0.2495249,0.2741444,0.1481207
134,0.4881525,0.2539644,0.275456,0.1399478
135,0.4721095,0.2589085,0.2864541,0.1352056
136,0.4426468,0.252451,0.3065331,0.1365173
137,0.4184309,0.2545698,0.3015891,0.1227949
138,0.4236777,0.2541662,0.2849406,0.1169427
139,0.4229714,0.2490204,0.271521,0.1072564
140,0.4007734,0.2473051,0.2760614,0.0963592
141,0.398251,0.2481123,0.2866559,0.0926259
142,0.3926006,0.2617337,0.2982594,0.1012024
143,0.3618262,0.2868577,0.3044143,0.1049357
144,0.352947,0.2679895,0.3176321,0.1122004
145,0.3359959,0.2773732,0.3204573,0.1140166
146,0.3238879,0.2748507,0.3249978,0.1083663
147,0.3132934,0.2869586,0.3385183,0.1045321
148,0.3043134,0.2893802,0.3467921,0.1053393
149,0.2894811,0.2975531,0.3190447,0.1061465
150,0.2746489,0.3135962,0.3255023,0.1043303
151,0.2632472,0.3161186,0.3340787,0.0963592
152,0.2520473,0.3095602,0.3114772,0.0921214
153,0.234289,0.3024972,0.3070376,0.0917178
154,0.2153199,0.2908937,0.3011855,0.082435
155,0.2055326,0.2784831,0.2921045,0.080417
156,0.1833347,0.2808038,0.2800974,0.0818296
157,0.1757672,0.2629445,0.2586058,0.0849575
158,0.1707222,0.2505339,0.2440763,0.0741613
159,0.157908,0.2421592,0.232271,0.0707307
160,0.1433784,0.2306566,0.2350962,0.0691163
161,0.1364163,0.2240982,0.2268224,0.0693181
162,0.1282435,0.2074497,0.2169342,0.0732532
163,0.1255192,0.1966534,0.1859581,0.0708316
