TimeStamp(s),Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A5_7,TC_A5_8,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A6_6,TC_A6_7,TC_A6_8,TC_A7_1,TC_A7_2,TC_A7_3,TC_A7_4,TC_A7_5,TC_A7_6,TC_A7_7,TC_A7_8,TC_A8_1,TC_A8_2,TC_A8_3,TC_A8_4,TC_A8_5,TC_A8_6,TC_A8_7,TC_A8_8,TC_S_1,TC_S_2,TC_S_3,TC_S_4,TC_S_5,TC_S_6,TC_S_7,TC_S_8,TC_Ignition,HF_1_V,HF_1_H,HF_2_V,HF_2_H,HF_3_V,HF_3_H,Voltage_1,Voltage_2,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_9,O2_A,CO_A,CO2_A,O2_B,CO_B,CO2_B
5/21/2014 10:24:53.450 AM,10.000000,27.161280,27.241645,26.826010,26.725872,27.062513,26.996802,26.723350,26.608476,26.684086,26.484076,26.163871,49.900524,25.793493,25.543062,25.806634,24.792387,27.064073,26.255814,26.284671,26.067176,25.745770,25.659261,25.504116,25.369707,27.684473,27.778017,27.508388,22.925965,27.257769,27.302849,27.344740,27.164629,26.099216,25.455986,24.895240,25.042993,24.692051,22.852714,24.738306,24.401122,26.568618,19.057403,27.043245,26.859720,26.088349,25.457269,24.620038,23.862446,25.612924,25.624337,25.444422,25.632131,25.347067,24.637902,23.405183,21.765655,3049.652960,3044.919226,3044.291136,3048.998364,3041.306311,3036.295457,3033.154675,3025.474586,24.401619,24.217768,24.540697,24.376970,24.541676,3028.586590,3028.711945,23.688530,31.657270,-0.002991,-0.003050,4.162924,4.159939,4.161695,4.999051,5.000293,4.998863,2.521919,2.452393,2.426499,2.580104,2.502296,-4.099687,5.000129,4.998558,-5.000117,1.032222,-0.003054,-0.008300,1.031376,-0.505794,-0.417030
5/21/2014 10:24:54.450 AM,11.000000,27.131159,27.265671,26.882516,26.725009,27.146292,27.012232,26.700378,26.592673,26.658172,26.480950,26.172672,48.614491,25.793535,25.536837,25.812642,24.814418,27.074075,26.264391,26.260780,26.069861,25.765522,25.646159,25.515715,25.373302,27.678935,27.779492,27.549819,22.911836,27.245059,27.331167,27.339803,27.171232,26.085225,25.455511,24.896879,25.044935,24.693615,22.748567,24.746145,24.404502,26.648660,17.548832,26.916177,26.845354,26.362397,25.646593,24.693492,24.039464,25.684268,25.796342,25.437069,25.617304,25.374533,24.633569,23.333449,21.833758,3050.013436,3045.288522,3044.657143,3049.356341,3041.643372,3036.637286,3033.514482,3025.833683,24.396517,24.214106,24.534535,24.370814,24.544441,3028.926045,3029.049186,23.691147,31.978464,-0.002979,-0.003049,4.163162,4.160201,4.162013,4.999051,5.000293,4.998863,2.519893,2.451652,2.427596,2.581108,2.504363,-4.101622,5.000129,4.998558,-5.000117,1.032684,-0.003132,-0.009382,1.030834,-0.504027,-0.417503
5/21/2014 10:24:55.450 AM,12.000000,27.051961,27.296654,26.904468,26.717901,27.211529,27.055890,26.729189,26.568359,26.639216,26.415421,26.168203,46.173333,25.796087,25.539618,25.815724,24.811155,27.057384,26.264830,26.256686,26.077851,25.757731,25.638742,25.524990,25.368905,27.672058,27.788375,27.534123,22.892797,27.215463,27.300466,27.317383,27.184266,26.088686,25.448849,24.894298,25.045376,24.694737,22.971764,24.754599,24.413262,26.819855,17.977244,26.703773,26.831757,26.566573,25.792831,24.877381,24.244162,25.718315,25.840371,25.434260,25.611702,25.379505,24.648978,23.439674,21.876943,3050.223384,3045.485595,3044.850974,3049.534869,3041.831493,3036.830787,3033.699784,3026.021566,24.395694,24.216081,24.532575,24.366361,24.543769,3029.106759,3029.241492,23.695925,32.444294,-0.002979,-0.003037,4.163075,4.160116,4.161933,4.999051,5.000293,4.998863,2.521888,2.450949,2.426148,2.581414,2.504186,-4.103386,5.000129,4.998558,-5.000117,1.032519,-0.005082,-0.008378,1.031420,-0.498159,-0.417520
5/21/2014 10:24:56.450 AM,13.000000,26.986856,27.323028,26.931619,26.747087,27.243792,27.058056,26.807637,26.612709,26.590524,26.341806,26.158817,46.227992,25.787005,25.536273,25.814645,24.803351,27.041061,26.251135,26.245792,26.072242,25.740642,25.622404,25.515605,25.370695,27.667739,27.797852,27.510806,22.840784,27.182310,27.282268,27.299104,27.174968,26.113626,25.454769,24.885250,25.040867,24.690529,23.409899,24.754853,24.423422,26.956131,18.654775,26.691500,26.861748,26.636112,26.059326,25.038229,24.135290,25.692514,25.822267,25.432097,25.598736,25.359897,24.650969,23.578105,21.909478,3049.518118,3044.747196,3044.127080,3048.816835,3041.097351,3036.106561,3032.976946,3025.303472,24.393342,24.211534,24.529541,24.358718,24.531745,3028.378779,3028.514465,23.690091,32.765800,-0.002983,-0.003043,4.162828,4.159910,4.161729,4.999051,5.000293,4.998863,2.518903,2.449652,2.426720,2.580396,2.503143,-4.104785,5.000129,4.998558,-5.000117,1.032674,-0.007516,-0.009738,1.031074,-0.495942,-0.417568
5/21/2014 10:24:57.450 AM,14.000000,26.980219,27.318877,26.958491,26.750181,27.185707,27.049530,26.845963,26.611953,26.566073,26.271827,26.161460,45.091486,25.787001,25.543220,25.810037,24.800402,27.028609,26.253702,26.236956,26.063105,25.737318,25.606612,25.520133,25.368275,27.681536,27.794684,27.471976,22.804023,27.145707,27.258891,27.283561,27.175267,26.123086,25.457738,24.881643,25.043155,24.696297,23.259136,24.759335,24.396445,26.962566,16.326622,26.788483,26.888414,26.786313,26.319183,25.272557,24.305419,25.647224,25.839059,25.465891,25.622854,25.301614,24.661270,23.679119,21.930112,3049.396419,3044.640993,3044.009966,3048.701241,3040.983934,3035.994150,3032.864880,3025.192873,24.388422,24.207672,24.532036,24.357581,24.531060,3028.252189,3028.384517,23.688574,33.133486,-0.002995,-0.003052,4.162730,4.159780,4.161603,4.999051,5.000293,4.998863,2.518715,2.450375,2.426281,2.581433,2.503328,-4.106484,5.000129,4.998558,-5.000117,1.032680,-0.007611,-0.009746,1.030798,-0.496741,-0.417497
5/21/2014 10:24:58.450 AM,15.000000,27.027495,27.323543,26.946854,26.741264,27.099396,27.021010,26.904194,26.623714,26.546064,26.228487,26.166883,45.493974,25.784875,25.548722,25.809197,24.800016,27.017352,26.256788,26.230754,26.059167,25.732023,25.607131,25.516801,25.359423,27.694420,27.779668,27.453344,22.798782,27.137242,27.253601,27.286946,27.202937,26.132925,25.460934,24.877660,25.055122,24.699947,23.507179,24.770922,24.409628,26.962891,14.726760,26.823667,26.904664,26.915144,26.499566,25.592954,24.684466,25.612281,25.838781,25.481404,25.635491,25.252015,24.709590,23.754237,21.892095,3050.023562,3045.289690,3044.654307,3049.353008,3041.644155,3036.652290,3033.523833,3025.844120,24.396966,24.217429,24.539447,24.372247,24.532267,3028.917296,3029.049400,23.690160,33.445261,-0.002966,-0.003047,4.163156,4.160234,4.162010,4.999051,5.000293,4.998863,2.516234,2.449042,2.425485,2.579949,2.505330,-4.108389,5.000129,4.998558,-5.000117,1.032380,-0.009597,-0.009756,1.031367,-0.495379,-0.417558
5/21/2014 10:24:59.450 AM,16.000000,27.017941,27.326809,26.923551,26.701661,27.040801,26.961745,26.837599,26.591064,26.528427,26.192876,26.166001,48.102876,25.778631,25.548065,25.813448,24.799887,26.995942,26.272371,26.230248,26.062210,25.726835,25.596503,25.513122,25.364131,27.697155,27.740708,27.462188,22.832305,27.163830,27.285372,27.326726,27.265101,26.164260,25.477487,24.873355,25.058223,24.699349,23.476209,24.758682,24.464081,26.856670,15.274507,26.912623,26.840510,26.911073,26.619065,25.858186,24.880592,25.590910,25.805922,25.510494,25.618501,25.223317,24.759025,23.788606,21.823440,3050.035662,3045.286618,3044.666249,3049.376052,3041.655560,3036.664138,3033.537435,3025.866970,24.404487,24.218216,24.535392,24.367969,24.537817,3028.948828,3029.073392,23.691780,33.740192,-0.002986,-0.003049,4.163104,4.160150,4.161947,4.999051,5.000293,4.998863,2.513694,2.442504,2.419467,2.577877,2.505802,-4.110119,5.000129,4.998558,-5.000117,1.032681,-0.010559,-0.009421,1.030488,-0.490177,-0.417522
5/21/2014 10:25:00.450 AM,17.000000,26.998724,27.308573,26.898808,26.751490,27.039683,26.951955,26.758093,26.547234,26.502935,26.173262,26.169792,47.338540,25.782797,25.553066,25.810292,24.805871,26.951505,26.321105,26.223770,26.060564,25.723903,25.603997,25.511175,25.378656,27.629156,27.736953,27.462204,22.867486,27.167467,27.298735,27.351258,27.304482,26.178794,25.483570,24.871501,25.058640,24.700898,23.640705,24.766656,24.451112,26.715544,16.506222,26.938235,26.798805,26.907488,26.687864,25.949968,24.807874,25.498652,25.758671,25.569610,25.619747,25.223281,24.779394,23.824826,21.744437,3050.104735,3045.360281,3044.744760,3049.444085,3041.713297,3036.729288,3033.594188,3025.912623,24.403728,24.226310,24.541368,24.370690,24.541144,3029.021403,3029.145991,23.692762,34.009838,-0.002967,-0.003042,4.163316,4.160419,4.162233,4.999051,5.000293,4.998863,2.503859,2.434500,2.420435,2.576053,2.506627,-4.111650,5.000129,4.998558,-5.000117,1.032673,-0.009254,-0.008232,1.031047,-0.493842,-0.416390
5/21/2014 10:25:01.450 AM,18.000000,26.985816,27.302227,26.953371,26.810801,27.105081,26.968464,26.755742,26.608499,26.497038,26.166080,26.174764,48.638525,25.781731,25.558264,25.820474,24.808582,26.941078,26.349949,26.225797,26.072408,25.730992,25.610104,25.513806,25.392700,27.645810,27.731361,27.485867,22.896046,27.193416,27.331599,27.396132,27.336824,26.253254,25.485409,24.881733,25.071967,24.716266,23.614383,24.771215,24.467697,26.812750,15.666010,26.825770,26.801398,26.945617,26.757323,26.122654,24.965730,25.384016,25.725001,25.592373,25.621888,25.259409,24.825672,23.848088,21.696184,3051.274172,3046.543660,3045.918058,3050.614060,3042.890656,3037.902831,3034.772462,3027.097680,24.409971,24.229152,24.545949,24.378669,24.552900,3030.194374,3030.321157,23.696208,33.949775,-0.002951,-0.003026,4.164176,4.161244,4.163005,4.999051,5.000293,4.998863,2.505235,2.436699,2.420197,2.578069,2.505449,-4.112843,5.000129,4.998558,-5.000117,1.032706,-0.009001,-0.008496,1.030969,-0.496985,-0.417516
5/21/2014 10:25:02.450 AM,19.000000,26.994335,27.353655,27.044921,26.860604,27.187452,27.053692,26.819342,26.660184,26.496731,26.170227,26.195450,50.611464,25.799853,25.577363,25.841918,24.833285,26.956697,26.365731,26.245501,26.092263,25.758173,25.626645,25.535478,25.409472,27.666088,27.783990,27.561026,22.914230,27.237408,27.423209,27.473523,27.373692,26.313195,25.505737,24.894588,25.085649,24.723903,23.211194,24.790340,24.546798,26.905702,15.314608,26.824641,26.780414,26.993680,26.844945,26.337639,25.289112,25.411966,25.715483,25.628031,25.624155,25.305861,24.905703,23.870266,21.690955,3053.634469,3048.901361,3048.288093,3052.963636,3045.262990,3040.288962,3037.158166,3029.502069,24.411908,24.237748,24.565820,24.391194,24.567007,3032.573881,3032.702256,23.717296,33.562331,-0.002914,-0.002991,4.166708,4.163932,4.165691,4.999051,5.000293,4.998863,2.510477,2.438102,2.416511,2.577004,2.505629,-4.114433,5.000129,4.998558,-5.000117,1.032721,-0.006690,-0.009669,1.031075,-0.494266,-0.417466
