Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,61.08640273,47.79414046,41.5151542,25.94982472,16.05893892,9.64009902
0.076,59.74041086,44.6043923,32.45208484,17.41587666,10.70919529,8.823505837
0.15,56.78754845,40.52897268,35.90623422,15.58207311,8.336175477,5.70547593
0.305,17.67923779,14.91219526,12.89765063,8.815671337,6.369270933,3.799852897
0.61,6.40038361,6.237407103,4.693621683,3.638566317,2.732264457,1.932356297
