Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface 0.2m,TC Surface 0.4m,TC Surface 0.6m,TC Surface 0.8m,TC Surface 1.0m,TC Surface 1.2m,TC Surface 1.4m,TC Surface 1.6m,TC Surface 1.8m,TC Surface 2.0m,TC Surface 2.2m
145,53.0089428,28.3282124,17.8649756,6.8020912,4.5558134,3.4762451,14.386019,12.932485,6.8484105,2.9229731,2.1711355,1.8470934,0,549.2645874,327.0282898,245.290451,141.0326843,131.9194489,107.466835,84.1948547,79.5779724,77.3326721,69.2865524,67.2986221,58.716301,382.3589478,342.7817383,280.9494019,169.0042725,139.3855591,103.0200958,76.4192581,64.2550354,56.9395447,50.149498,44.2042885
146,66.3048694,36.2607771,21.3508878,8.7377813,5.9359312,4.0705603,39.7657057,39.4819671,16.74343,9.3247812,4.0572659,2.8971556,0,535.3892212,323.286377,245.282608,142.1374664,130.8213196,106.7259674,83.1460724,78.7591934,77.0053482,69.5177155,67.9360123,59.21632,394.241333,340.571228,274.4733276,166.6548309,137.8921814,101.8167725,75.7710495,64.0017166,56.7643509,50.0419502,44.1894875
147,70.4594166,32.6841418,18.0888218,6.3519954,4.1332398,3.2794024,32.6277239,34.7842224,14.2553114,6.5208044,3.6423713,2.5793997,0,524.5585327,319.0330505,242.3228149,140.7647705,129.6082764,106.0487518,82.4328842,77.7077026,75.1422195,68.2664261,66.1240997,58.057003,407.7521973,345.90979,272.5948486,166.6663971,137.8116302,101.3090744,75.7550201,64.1993713,56.7390518,49.9943466,44.1479912
148,65.4808795,43.0750005,22.9367211,7.1425672,3.9527572,3.2338839,15.5544604,16.5965289,12.0165419,6.150021,3.2483567,2.0731325,0,518.5501099,314.7948303,238.2494659,138.8921356,127.775116,105.519516,82.4873352,77.7166595,74.8777771,67.6824265,65.9623032,58.0148392,411.367981,349.7866516,271.1386719,165.9014587,136.2551727,100.2485886,75.3745804,64.1503296,56.8746948,49.9678879,44.0597496
149,47.5908024,21.5989537,12.4974334,5.8580518,4.1023987,3.2872034,12.2329502,10.4034714,5.3114638,2.5857329,1.567053,1.2412548,0,510.8141174,311.6104736,233.3641663,136.9051666,126.6852264,104.1982727,81.8215637,77.0403137,74.6973343,66.7617798,65.254631,57.8169327,407.2174683,346.2617187,267.4103088,163.4505768,133.6788177,98.5726166,74.3154221,63.3770103,56.4480705,49.9047661,44.0227203
150,42.1143643,18.6043538,9.9576402,4.5131636,3.4886696,3.1238368,12.446013,11.6485098,4.9310927,2.2187314,1.5268992,1.4580905,0,508.6966248,306.434967,228.8641968,134.9439392,125.3858795,103.7197418,80.5677948,75.9012451,73.5075684,65.5089874,64.5669632,57.4230881,400.609314,335.9933167,259.3990173,159.6218719,131.1135254,97.3382797,73.8718033,63.1122246,56.0028725,49.6851387,43.9525604
151,42.1693444,18.0418009,11.0084566,5.1101827,3.5034644,2.8026325,12.3728908,12.143429,4.4255588,2.558438,1.9018091,1.3488396,0,509.0384216,302.5968628,224.9337921,133.49823,123.0104446,101.5873184,78.6960831,75.4934006,74.0307541,65.9636917,64.7325058,57.2660866,395.8166809,324.6868286,250.7846222,156.0612793,128.7362213,96.3169861,73.6366043,63.1025276,56.012291,49.535553,43.8402138
152,53.3146509,31.2070005,18.2079706,7.8043765,4.8985978,3.857964,23.4645112,23.6166407,9.2305719,4.3793047,2.3890651,1.7903655,0,510.9979553,299.497406,224.790329,132.5652466,121.7125778,99.8339844,77.3336868,74.0147018,72.3093643,64.8232346,63.0872078,56.461338,399.0283813,317.7688599,244.1177673,154.2419128,128.3254089,95.95327,73.7355194,63.1281395,55.9223251,49.4289131,43.7435188
153,52.4866324,29.00793,13.4374028,4.8430048,3.4517192,3.1173234,21.640744,13.4548476,7.5280979,3.7386963,2.0731602,1.5022034,0,507.5193787,295.9622498,220.6889343,131.3266602,120.3302994,98.2046356,76.245369,73.6051636,71.4534073,63.989193,61.9408798,55.2000885,407.3027649,318.178009,240.7891998,153.1421509,127.8724442,95.5414581,73.7839127,62.9367523,55.6335182,49.3822975,43.6677132
154,48.6340014,28.9297299,14.4986736,5.0687889,3.2452536,2.6254816,13.5007368,11.1531215,5.8132542,2.9703281,2.1273467,1.5410799,0,508.553833,295.2416992,218.5148773,130.422226,119.2187881,97.4566879,77.1440048,73.8342285,71.2719879,64.3758469,62.1636238,55.2103119,407.1128845,314.9867249,237.1733246,151.914856,126.4489746,94.714653,73.1329727,62.2275925,54.9978371,49.2749252,43.6386375
155,39.1542108,20.552048,11.4323192,3.8268125,2.8235632,2.3569151,12.0287125,10.8596884,4.84662,1.9133901,1.5634181,1.1988874,0,504.6069031,293.5906677,216.306427,128.8640747,119.1759796,97.0888367,77.1147614,73.588295,71.3759613,64.0865326,62.3552704,55.1385345,402.2752075,309.3447266,232.7059784,150.0837708,124.8857498,94.0697556,72.8444824,61.9583321,54.6824455,49.069664,43.5573463
156,42.5582334,23.7939656,14.4960599,6.1802032,3.6962393,2.933659,28.1236523,18.4816783,8.1010146,3.9129892,2.0786549,1.7138819,0,493.3657227,290.6599731,214.0930176,127.6594849,118.0618744,95.5899887,75.5904312,73.1475372,71.1927338,63.9450607,62.0926895,54.947155,400.4561768,303.7779846,228.5583191,148.4990997,123.6869125,93.2165985,72.333252,61.6062012,54.4870224,49.0111389,43.5071182
157,42.909205,22.1858595,11.2624358,4.4773326,2.9720271,2.3226816,22.8641531,12.8564879,6.1574925,3.5594707,2.4565235,1.6584234,0,484.2854309,287.3376465,210.147934,126.7232056,118.3078766,95.0513382,75.8891754,73.2889709,71.1999817,64.0779266,62.0289841,54.5765495,408.8800049,303.809845,226.913208,148.3061218,123.3532257,92.6576157,72.1424713,61.3944168,54.2627945,48.8859673,43.4025993
158,36.0021012,21.75833,10.7409481,4.7389477,2.980271,2.0317724,11.6285579,8.7908793,4.4524143,2.4704695,1.6182809,1.2120578,0,478.1852112,286.0454712,208.7070923,125.6411972,116.7782974,93.9695129,74.7368317,72.4164276,70.572731,64.0835342,61.6973877,54.3439713,408.1540527,300.9484558,224.3702698,147.1863556,122.8609085,91.9922714,71.5099869,60.7170181,53.8311157,48.6669693,43.2670364
159,27.0782725,14.027083,6.1883842,2.5319895,1.7986694,1.2697736,9.8070601,7.1051048,2.9439508,1.35368,1.0172416,0.7383199,0,479.3390198,281.8036194,205.4003143,124.3126984,115.0284119,92.7863693,73.3000565,70.8490829,69.2762756,63.4380341,60.9035416,53.824192,400.7128906,293.249115,220.2888336,144.9398804,121.1479721,90.7198257,70.5368881,59.7648735,53.0353813,48.2985229,43.0773354
160,25.2708038,13.2529299,6.4163815,2.1383398,1.6363676,1.4818396,8.6835006,5.3440369,2.8402724,1.3061605,0.8647416,0.5986818,0,471.1732788,277.6608582,202.3135529,122.9883194,113.24543,91.0848618,71.9986191,69.6347733,68.0428238,62.4169655,59.6366539,53.3726311,393.0050354,284.1686401,215.0458374,142.2052612,119.2118759,89.6303177,69.6973038,59.0843544,52.2929001,47.8415909,42.8129883
161,22.6564082,13.8154829,5.7934248,2.091874,1.5222778,1.0136281,8.7359468,5.6212854,2.9786187,1.3130665,0.9682962,0.4653117,0,463.4849548,274.1806335,199.4090576,121.570755,111.8029785,89.6132889,70.9173965,68.621582,67.308197,61.2520828,58.383007,52.202137,384.4230347,275.2215576,209.8993378,139.8323364,117.3282166,88.5282593,69.0329056,58.6854401,51.8328514,47.4281464,42.5209885
162,22.5992954,12.6803651,5.6347647,2.186278,1.9198253,1.6638378,9.1565252,6.6749239,2.9332086,1.2934996,0.9445421,0.5558384,0,459.7564697,270.9244995,196.8723602,120.3656921,110.4917145,88.5213242,69.9153442,67.5198441,66.3288727,60.4471931,57.5524216,51.3896179,375.7646484,266.9463501,205.3226013,137.8785553,115.8286591,87.5948486,68.3028336,58.0274162,51.4170609,47.1065521,42.2494507
163,21.8985369,12.1050948,4.4701804,1.987817,1.4571363,1.4501055,8.9827971,7.3588975,3.3716851,1.1749476,0.8064129,0.5506813,0,455.140564,267.6923218,194.6504059,119.2406387,109.3491211,87.4455566,68.9205322,66.6193924,65.5327225,59.7557602,56.8822365,50.7253075,365.8137817,259.1197815,200.9576721,135.9136353,114.4245529,86.6217117,67.6325226,57.5212975,51.1231155,46.8983421,42.0686951
164,20.7508287,11.6093773,4.9180265,1.663375,1.268925,0.9952995,8.345878,5.9316069,2.7235731,0.9715512,0.8066666,0.6069332,0,454.2660217,265.0113831,192.6343689,118.0403137,108.3044662,86.6467285,68.2404327,65.8274689,64.7372131,59.2084351,56.2373314,50.3203011,356.2458496,251.8500519,196.9604492,134.1103363,113.1837158,85.8188553,66.9702682,56.9886093,50.5609283,46.6367874,41.8820229
165,21.2245575,9.4097657,4.8366977,1.42532,1.0274964,0.7792194,7.3720928,6.0341091,2.6830458,1.0207149,0.8031161,0.5832899,0,446.9587708,263.13974,190.7306061,116.9100037,107.4044037,86.2926483,67.8731079,65.1450043,64.1112061,58.8021393,55.6536407,49.7371712,346.7229004,245.1764374,193.4041748,132.5537872,111.7630844,84.8823929,66.4090576,56.5676079,50.0682487,46.3457413,41.6572075
166,16.7408408,9.3532127,4.5103066,1.7620329,1.1435735,0.9692457,7.5851556,5.4545142,2.1019911,0.9250183,0.8203611,0.584956,0,441.4309998,260.4823303,188.7763062,116.0821228,106.6108551,85.7955017,67.6100998,64.5855484,63.7422028,58.1345482,55.0337448,49.5149765,336.8686523,238.671524,190.2228088,131.1903076,110.8693466,84.0600128,65.9025955,56.1388931,49.5954857,46.0058022,41.4205551
167,16.0751558,8.986295,4.5135352,2.0470444,1.1955396,0.8570022,7.8138514,5.0109634,2.4083062,1.2326616,0.7797001,0.5671839,0,435.079071,260.3746338,188.2565918,115.5176315,106.0222702,85.3511429,66.8720322,63.8980637,63.1722412,57.9898109,55.3003654,49.222683,327.7766113,232.4539032,187.3502655,129.852478,109.7873993,83.2343369,65.4179535,55.7456894,49.2973709,45.6930809,41.1684456
168,17.3650538,9.3331892,4.1245717,1.7867382,1.2133523,1.0006012,7.9754766,5.5509179,2.6501682,1.1368005,0.885199,0.6777836,0,428.0359802,257.3774414,186.2446289,114.96521,105.0362549,84.7008209,66.3037491,63.3356247,62.8558846,57.1483078,54.4646683,48.4872704,319.7662659,227.4918671,184.7854309,128.6844177,108.5925827,82.5947266,64.8858337,55.3317108,49.0046921,45.3906174,40.9300079
169,17.1368393,8.4678479,3.8479925,1.6447233,1.3163275,1.2077443,7.8446131,6.5904827,2.4693414,1.2592988,0.9220559,0.6632644,0,423.5033264,254.7198334,184.5081024,114.2097702,104.1031952,84.2637711,65.7121735,62.7957726,62.2561913,56.8099785,54.3541336,48.1531601,312.0556946,222.8380432,182.396286,127.5305557,108.0006943,82.1491623,64.5367889,55.1932945,48.8232307,45.1603584,40.7417183
170,17.5778644,8.7124597,4.0693788,1.7828115,1.151891,0.7993656,7.9517749,5.3219883,3.1859755,1.1185491,0.8560346,0.5421126,0,423.5040588,252.047821,182.9528961,113.6437302,103.7868958,83.5123978,65.6075287,62.456646,61.7775917,56.2790756,53.6502533,47.7280426,304.9076843,218.5330811,180.2084656,126.2052917,107.2176361,81.613205,64.2528992,54.9761505,48.8591003,45.0093002,40.6325607
171,17.8269335,9.6654716,4.6174638,1.8278048,0.9365927,0.7190078,8.0902027,4.9258185,2.7471734,1.1489681,0.902613,0.6500147,0,426.9413452,251.4577332,181.7043152,112.5772934,103.5961151,83.6137695,65.787117,62.2347755,61.4362335,55.8535194,53.1123466,47.2406425,298.4098816,214.8546448,178.5159454,125.3000641,106.4097977,81.0036545,63.8364677,54.6189575,48.5217361,44.8115349,40.4824944
172,17.4553442,10.9107185,5.1083572,1.8498923,1.1435735,0.7546803,8.2240919,5.5253509,2.225038,1.2441715,0.8499481,0.6318459,0,424.3529358,254.0929718,181.1193542,111.7384033,102.4790955,83.0137024,65.4339371,62.014286,61.1510696,55.8413544,53.3331642,47.5055122,292.7077942,212.2749481,176.9427338,124.7141418,105.7188492,80.3218384,63.3460884,54.2461357,48.2178993,44.5821152,40.3349495
173,18.8099386,10.0518717,5.0262598,1.937261,1.1440888,0.8175427,8.5329698,5.2459913,2.3624078,1.0998044,0.7965224,0.5279901,0,420.4515686,250.4346008,179.2905121,110.7346878,102.9837341,82.6518478,65.1883163,61.8643417,61.0196991,55.4373817,52.6709824,47.4295769,287.6097717,209.8157501,175.3659668,123.9544449,105.0055847,79.6162415,62.9959679,53.9794693,47.949913,44.3314819,40.185894
174,17.1209614,8.7722597,4.5856395,1.8610179,1.1136158,0.7611938,8.4535441,5.4969693,2.4725966,1.0705364,0.8441153,0.6401766,0,416.1557922,247.0423737,176.9570465,109.5961838,102.2023163,82.754303,64.8971939,61.7038002,60.6789703,55.1377182,52.433876,46.9465065,283.2305603,207.3540344,174.0716095,123.0601196,104.2489929,78.9683228,62.5587883,53.6873665,47.6893349,44.0816078,39.9943886
175,20.3223635,10.0954364,4.9108007,2.4290777,1.1776532,0.7917919,8.5730609,5.2720273,2.318788,1.3319756,0.7440266,0.5448101,0,411.6425171,244.5588837,175.6438293,108.8196411,100.6773605,81.3094864,65.3868027,62.2228661,60.8020554,55.4619331,52.6161652,46.6972542,279.1703491,204.7386017,172.7959442,122.0067825,103.4702301,78.4441147,62.1900063,53.4558296,47.4543648,43.8674469,39.833149
176,20.5766461,9.3264245,4.3851618,2.4336589,1.4039925,1.3090058,8.269478,4.7752317,2.604758,1.1489681,0.7221322,0.6189135,0,405.4284058,241.8188934,173.4191437,107.8377914,99.270195,80.2989807,64.4635162,61.9713554,60.2089386,54.9065437,51.8589172,46.4632072,275.87323,202.8537445,171.4053345,121.0833664,102.6208725,77.9617844,61.9553757,53.3745003,47.4675407,43.7365227,39.6782837
177,19.8057408,8.8918597,4.1151935,2.2289806,1.4782613,1.5050154,8.1401274,4.7799229,2.2138075,0.9223875,0.7556078,0.6549338,0,400.4815674,239.2758789,171.6010895,106.6380997,97.9002838,79.3676605,63.3983727,60.8561745,59.1971703,54.2659683,51.816452,46.3842812,272.602478,200.8067169,169.9473724,120.2857285,101.9660339,77.6112976,61.9318848,53.5147438,47.5053482,43.6845474,39.5851059
178,20.301983,9.8326952,4.3610246,1.766614,1.2783466,1.2447801,8.8511772,5.3123715,2.5499078,1.1118076,0.7630468,0.6658826,0,400.4530334,237.7418365,171.1408386,105.752327,97.2427368,78.9517212,62.6521721,60.2781601,58.655014,53.7583351,51.1477356,46.0112839,269.8598938,198.7567139,168.8920898,119.4152756,101.1887512,77.1258469,61.6790199,53.2911453,47.2649994,43.5909233,39.484066
179,19.6782439,9.5147539,4.5358275,1.9843812,1.3713849,1.1911577,8.9248037,4.6509156,2.3248101,1.2145746,0.9133489,0.7301479,0,402.7901306,237.6616364,169.1935425,104.8523483,96.8222198,78.4259262,62.5182152,59.9594841,58.1265182,53.4902382,51.2070656,46.0885887,267.1278076,196.8517151,168.1220093,118.8423538,100.5636826,76.750206,61.4079056,53.0296707,47.264061,43.4688454,39.3828049
180,21.3172179,9.323448,4.1276465,1.8192969,1.2489777,1.098303,8.9172393,4.8570928,2.6029677,1.5756567,0.7983822,0.6047117,0,400.4974365,235.9095764,166.9220734,103.7922211,95.64254,77.0390091,61.6484261,59.6580315,58.4413033,53.6095772,51.6271706,46.1450996,264.9068604,195.1654205,167.2151642,118.3035431,99.8955917,76.2315521,61.2198334,52.9346008,47.2056885,43.3612251,39.3027763
181,16.7183273,8.5698597,4.1776122,1.8700166,1.4741393,1.1635891,8.8158769,4.1048625,2.0904351,1.1404179,0.9057408,0.6266888,0,396.1610413,234.2912598,166.338501,103.2694931,95.1162033,76.7028809,61.425457,58.5871849,57.7259216,52.9417114,50.7599411,45.6438637,262.5666809,193.6170654,166.3336945,117.8115158,99.6609955,75.8463821,60.9843369,52.7963524,47.1036301,43.246563,39.2208939
182,16.1704229,8.4597303,3.9279376,1.5071258,1.2317538,1.1300372,9.007003,5.2534972,2.2160862,1.1874441,0.9293259,0.7848923,0,396.7445374,233.5869293,165.7825012,103.0696945,95.5331192,76.9176254,61.1973648,58.0312653,57.433876,52.3958473,50.584095,45.233757,259.757782,191.5423126,165.2127533,117.3118515,99.244545,75.6321106,60.7595177,52.6972618,47.0745735,43.1694603,39.1468811
183,16.321618,7.8998831,3.920558,2.1358856,1.3348026,1.2169843,8.3814304,4.6828156,2.3176487,1.3724247,1.0710055,0.7998082,0,393.9642334,231.771698,165.1771545,102.8988495,95.5474396,76.836525,61.3741531,58.5593758,57.6151543,52.1417122,50.0975761,44.7338028,256.8128662,190.0284424,164.2998505,117.0952606,99.0636749,75.5968628,60.6910782,52.6484833,47.1549072,43.1385574,39.1050529
184,15.5229855,7.740236,3.8609068,1.923354,1.341648,1.1932026,7.3488954,5.0020501,1.9576226,1.3801528,1.1158932,0.9994271,0,389.0071411,230.7201538,165.6036224,102.3033371,95.1557236,76.9571304,61.3722572,58.1887016,57.0437737,51.444191,49.3647346,44.2080231,253.7450714,188.0935974,163.4412384,116.7698975,99.0311432,75.53302,60.696537,52.6428986,47.1026268,43.1362724,39.1374474
185,17.707968,9.0571891,4.2263479,1.7230933,1.2570008,1.1930511,8.2240918,5.9538899,3.1669325,1.2464735,0.9680426,0.9173898,0,389.9528809,229.8511963,164.8440857,101.2534027,94.2025528,76.7137222,61.9825478,58.3400803,56.7555771,50.9734764,49.134922,44.1487045,251.246994,186.8997803,162.6694183,116.2957687,98.7489929,75.459053,60.6543541,52.5274429,46.9078712,43.0044136,39.0868225
186,17.0759346,9.8814011,4.7934966,2.2425604,1.4834873,1.0804289,8.5849118,5.9653834,3.3396213,1.8661995,1.3131964,0.801633,0,387.0733643,228.098053,163.5810547,100.4813461,92.886116,76.0908203,61.9279594,58.3903084,56.6757393,50.9474106,49.0951157,44.1927032,249.9877014,187.8780975,162.4967194,115.983429,98.2039413,75.2300873,60.5350151,52.358532,46.8098679,42.9544067,39.0321617
187,19.1208602,9.4498127,4.946161,2.5390248,1.6365148,1.5437932,16.650284,11.663287,4.6906955,2.2170872,1.6569976,1.157472,0,382.7724609,226.6966553,163.6140289,100.0691452,92.3824463,75.7074127,61.669754,58.0507736,56.2057724,50.6958694,49.041256,44.1995811,251.613205,190.3168488,162.72995,116.3695221,98.3125839,75.2163467,60.5366783,52.4159508,46.9249153,42.9285812,38.9756546
188,15.5983462,7.1384477,3.5357456,1.7423995,1.5007848,1.224861,14.9145156,8.6789947,3.6304742,1.9462756,1.5771972,1.1900013,0,378.859375,224.143631,160.7865448,98.9689026,91.5839233,75.0259781,61.1965904,57.4020424,55.8852158,50.3974648,48.5549545,43.7854118,254.1012115,191.5403595,163.0718689,116.5751038,98.5464172,75.3988953,60.8286057,52.7260094,47.1360207,42.9541931,38.9595718
189,14.0354438,7.2580477,3.3249673,1.7487803,1.3719002,1.2446286,10.4742366,6.9275438,2.7955132,1.8458106,1.4235137,1.0767834,0,374.7380676,220.9571228,158.7354126,97.8141022,90.4798126,74.2318115,60.6591873,56.9882965,55.466301,50.2578545,48.7314224,43.8152962,254.4266968,190.2108002,162.4547882,116.5890656,98.3850098,75.3590851,60.9023056,52.8051643,47.148037,42.9205246,38.9705544
190,13.8579436,6.5225889,3.5432788,1.6203451,1.2718693,1.1813875,7.7356863,3.9873486,2.2504286,1.6721755,1.178026,0.9225469,0,374.4977417,221.3093414,157.0947571,97.2018356,90.0707169,73.8711548,60.7888374,57.1822166,55.1646881,50.0476456,48.6401558,43.8314819,252.5855713,188.1933594,161.5504303,116.4346695,98.1797638,75.2958755,60.8256721,52.7289734,47.1927032,42.8921127,38.9551048
191,13.5932337,6.3532007,3.2021287,1.4492073,1.2970426,1.2369791,6.6544872,3.8046273,1.9613661,1.0111782,0.9522347,0.8801794,0,371.551239,222.6990051,156.4471588,96.2912598,90.5799637,74.3382797,61.4700165,57.8503838,55.4992523,50.0941467,48.7507935,43.9469032,249.3395691,185.9852905,160.3598328,115.7220764,97.6836243,74.928772,60.5468521,52.5247307,47.0181351,42.8994522,38.9699249
192,13.7809242,5.7741421,2.7269168,1.3426961,1.0167499,1.0654328,6.8889824,3.1445786,1.4711317,0.864838,0.7395463,0.6905573,0,366.9851685,217.657486,154.2761536,95.4191513,89.896019,73.7475281,61.3539124,57.7274971,55.2676086,50.0657349,48.415287,43.6691055,245.816864,183.6146698,159.032486,114.7724915,96.8640594,74.4804306,60.3056641,52.453907,46.9092865,42.812149,38.9490967
193,13.2372853,6.0079303,2.8259257,1.6070926,1.0145417,1.0575561,9.3458863,4.5908685,2.4493219,1.148146,0.7711621,0.7293545,0,361.4815369,215.6038208,153.3430634,94.7550888,88.6814346,72.908493,60.8403702,57.7283096,55.4030991,50.012928,47.9366837,43.2745781,243.4806366,181.1235657,157.8391876,114.0399399,96.0750427,73.9822464,59.968853,52.1671028,46.6466789,42.7017975,38.9182205
194,11.1947297,5.5327774,2.8718941,1.6540491,1.0464868,1.1073916,10.0864371,5.3853193,2.7240614,1.3661764,1.0183406,0.8014743,0,355.6282654,211.5662842,151.7357635,94.1390076,87.5998764,72.6440964,59.9864502,56.899456,54.7001228,49.7111244,47.6683922,42.9649963,242.3103333,179.403656,157.1001434,113.8584366,95.768486,73.6332245,59.7481804,51.9307823,46.3591347,42.5534554,38.8342972
195,8.7078309,4.8741656,2.7247644,1.4938733,0.9622812,0.9736385,6.1489359,4.6040038,2.2763075,1.4049813,1.2630675,0.9426198,0,350.2158813,207.802536,149.390152,92.8219986,86.3802795,71.7126312,59.3067436,56.0895309,53.9981003,49.4996605,47.3864594,42.9093781,239.2007446,177.8437042,156.5476379,113.7120361,95.5836716,73.4548264,59.5250206,51.7488441,46.1283569,42.3546295,38.700119
196,8.7102008,5.0327303,2.7581261,1.3795087,1.0702617,0.9553857,7.5291794,4.0774192,2.408469,1.7902342,1.2158128,0.9833211,0,344.3252869,204.6602478,147.2467194,92.3440094,85.856163,70.7149506,58.4254074,55.4317589,53.3994751,48.8909416,46.4716301,42.5119514,235.0747375,175.9971771,156.0969543,113.555481,95.3888092,73.2524643,59.4157906,51.7111969,46.0427589,42.228569,38.5870819
197,6.9392274,4.2510008,2.4701701,1.5552277,0.8952259,0.8604104,5.2765131,2.9252661,2.1983453,1.2037224,0.8623747,0.6879391,0,338.0166931,201.6304932,145.2997589,91.8119354,85.3944778,70.2343445,57.6953468,54.9488106,52.8112831,48.3844681,45.9807167,42.0611229,230.8394928,174.0895386,155.6455078,113.2419739,95.0299759,72.9436951,59.3362846,51.6095886,46.0249252,42.1649208,38.4918785
198,5.961199,4.6723067,2.6172998,1.6483227,1.0598096,0.9533407,4.0770579,3.684064,2.2242242,1.2119437,0.7210333,0.5793229,0,332.0969238,198.6652222,143.4100952,91.019928,84.6034622,70.0222626,57.5340195,54.607338,52.4797554,48.0411491,45.6206551,41.6462212,226.5501251,171.855072,154.9240417,112.5731201,94.4598007,72.5476532,59.1018715,51.3598137,45.8751068,42.0915947,38.4227867
199,4.9559175,3.3047538,1.958983,0.924341,0.8360465,0.645542,3.5475527,3.2642036,1.5412815,1.0840194,0.7485069,0.5769427,0,326.9060669,195.5857544,141.3695526,90.1009445,83.7263489,69.0727615,56.8530464,53.9888344,51.9267578,47.5195808,45.6232529,41.5248985,221.6137238,169.5223389,154.0493927,112.0097122,93.7690277,72.1138763,58.7776794,50.9433823,45.5317345,41.9751472,38.3473892
200,4.2757765,3.4730597,2.1782169,1.0593206,0.7704633,0.7351399,3.1539538,2.6534123,1.5072646,0.9937489,0.7426741,0.6132804,0,321.3466492,193.1293182,139.4595947,89.1956787,83.3620453,68.5820312,56.2343254,53.5315742,51.6533699,47.0706749,45.175724,41.0706024,216.7155609,166.9431152,152.8473206,111.3727951,93.1677322,71.6997299,58.4212685,50.5950775,45.1933136,41.7975121,38.2520485
201,3.5032122,2.8014597,1.9073261,1.1021869,0.6632189,0.7056022,2.9716528,2.2405888,1.2857476,1.100791,0.6971946,0.7163428,0,317.0007324,190.8803253,137.2277222,88.5877075,82.7372513,68.2575912,55.8388519,52.9661446,51.200264,46.7644501,44.7493019,40.701519,211.9937134,164.4283447,151.6451263,110.8097305,92.7617187,71.4092484,58.2471161,50.4815407,45.1216583,41.6314812,38.1168518
202,3.7999148,2.1187655,1.1884355,0.8585691,0.5402228,0.5087594,2.8917227,1.9211196,0.9377659,0.6410526,0.5103737,0.5593293,0,313.0375061,188.4536133,136.1647491,88.1715088,82.2312698,67.7182846,55.2415047,52.4450531,50.7931404,46.2989197,44.4381409,40.3835754,207.430481,161.6325989,150.2905273,109.9226379,92.2268219,71.0089569,58.0849342,50.3963089,45.0357552,41.5170097,38.0195732
203,3.2392132,1.9412597,1.1343189,0.7757815,0.4767006,0.4354451,2.4325661,2.3243262,1.0627659,0.6017545,0.4358144,0.428022,0,309.6995239,185.7902985,134.6355896,87.5672989,81.3973312,67.1525421,54.9250107,52.0069466,50.345253,45.9141579,43.8917007,40.0100822,203.0231171,158.8733978,148.9072113,108.8772888,91.3831024,70.5206909,57.7534447,50.1329193,44.8385925,41.382122,37.9253273
204,2.7055277,1.8197655,1.0163999,0.6828501,0.5130621,0.401666,2.3523839,1.8667019,0.9973362,0.5744595,0.4283753,0.3570922,0,304.7019653,183.247406,133.1385803,87.0315781,80.7947235,66.5214615,54.3698921,51.5318451,49.819912,45.4477043,43.5685501,39.6946793,198.6650085,156.1523743,147.4834442,107.9998093,90.6694794,70.0760956,57.4035606,49.7641449,44.5490379,41.2394562,37.8303909
205,2.951516,1.8928244,1.1051082,0.6069343,0.4528522,0.3637214,2.5432579,1.5118144,0.967551,0.4631423,0.4302351,0.4164383,0,299.5664062,180.5000763,132.4233246,86.3190308,79.8433533,65.7196732,53.9575157,51.0696487,49.363018,44.9704437,43.0245018,39.2074127,194.6325226,153.5737305,146.0194702,107.1688156,90.0127869,69.6323318,57.0780411,49.4960251,44.3107834,41.0723267,37.7071877
206,3.0181082,2.0511185,1.1709091,0.6746695,0.4926732,0.3937136,2.97367,1.4979754,1.0469781,0.7625642,0.4938049,0.4300054,0,294.3841553,179.1020203,131.8959656,85.4447174,78.8136444,64.570694,53.2018547,50.5925865,48.9015961,44.6092796,42.6134911,38.7684784,190.9569092,151.2164459,144.5720062,106.3978806,89.4875107,69.2359161,56.7727852,49.2808113,44.0933189,40.9249573,37.5862656
207,3.0602911,1.519142,0.8053142,0.5069675,0.4114119,0.3466046,2.8307036,1.6222916,0.8912164,0.5484801,0.4257548,0.4353212,0,290.6008911,177.6240082,131.4252167,84.8423462,78.0892944,63.8494377,52.6346283,49.9993286,48.4412155,44.2299042,42.3929863,38.5071068,187.3599854,148.9990387,143.4779053,105.8062134,89.0881195,68.9727097,56.5906143,49.0996895,43.9104424,40.759037,37.4553261
208,2.8602775,1.8408714,0.5611743,0.4680279,0.3630525,0.2183046,2.2792618,1.6394144,0.8904026,0.5131282,0.3301464,0.363598,0,286.5763245,176.32547,129.4758911,84.1671829,77.3875504,63.6040039,52.4274635,49.8436127,48.2140121,43.9858246,42.050148,38.1480484,183.8852081,146.9511719,142.4842834,104.8436127,88.4011841,68.5453186,56.2777939,48.8806038,43.7043114,40.5995979,37.3137131
