Time,HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface 0.2m,TC Surface 0.4m,TC Surface 0.6m,TC Surface 0.8m,TC Surface 1.0m,TC Surface 1.2m,TC Surface 1.4m,TC Surface 1.6m,TC Surface 1.8m,TC Surface 2.0m,TC Surface 2.2m
11,37.2690118,31.9438124,17.6025406,10.004463,4.8857168,3.2443358,24.0696599,20.8310198,11.8433649,6.8855039,3.7766119,2.0310031,0,213.9707184,109.571228,103.9723892,39.398159,41.3928375,35.9598274,32.6795349,27.8836975,27.8761368,26.0412865,26.3370152,23.9704437,118.160881,102.802124,73.9535751,50.4226875,41.4558105,35.844799,30.930748,28.5817013,28.1287766,23.6431923,21.0984898
12,37.890144,42.0556945,21.0856854,10.1630027,5.8407582,3.4472376,17.0648109,23.0243798,12.5940159,6.6382054,3.3299324,2.5730525,0,221.3751984,113.1760712,105.5020447,41.2520218,43.6103859,38.1049767,34.8971481,29.9745483,29.1757679,27.5109787,29.3040619,26.6140709,124.6923294,110.6481171,79.4278564,52.5746765,42.0453758,36.2808037,31.2045937,28.8482037,28.181385,24.0478554,21.5185165
13,32.6758088,40.491424,24.0977694,11.6541598,5.8880871,4.181289,25.0389063,29.434404,16.3272516,9.8111568,4.1487321,2.9108813,0,223.9009705,112.4491501,105.8681564,41.8253059,42.2976303,37.1749496,32.9475479,29.2662125,28.7451973,26.9141006,28.5439701,26.3029766,130.4481201,119.752243,88.4876404,56.8185616,44.2859688,37.5237923,32.3593369,29.8669147,29.1160927,24.6546364,21.9827251
14,34.5264083,39.6231066,22.3783357,11.6629948,6.8795636,5.1823923,38.7152683,40.678921,28.0123103,15.6389496,6.2076507,4.1377919,0,217.6577301,110.2846909,105.4026566,43.8304596,43.4976006,37.5415382,33.8265724,29.8310719,29.7486458,27.3399982,28.5379353,26.2169094,142.2382355,132.4078827,100.5389709,64.4340744,48.863369,40.6247826,34.4720268,31.7371826,30.6045456,25.3651009,22.5351353
15,41.3531752,34.9887417,20.8120273,10.5440544,6.8310571,4.2059038,24.7022924,29.4372188,21.348736,15.6535836,6.6012426,4.0378237,0,218.3079681,114.4795837,106.4695816,44.944767,43.1100121,37.307869,34.1540222,30.1751423,29.5417309,27.3591042,28.1521587,26.156765,153.4132843,145.8849792,112.7814789,72.2764511,54.7949142,44.5776176,37.1833687,34.0949936,32.585289,26.3713074,23.1356182
16,51.0436437,44.3713886,28.8826352,13.8555552,7.0456194,4.6639665,31.2810158,36.5150322,23.5728571,14.2229027,5.4425303,3.660563,0,221.0589752,122.9183655,112.8523941,48.4876518,44.9408455,39.6689148,35.8650475,31.1613979,31.0371418,28.0952492,29.1909866,26.2490578,163.6450195,156.5541077,122.2009354,77.4667206,57.16782,46.0083694,37.6554184,34.2308121,32.684124,26.9752197,23.6884136
17,41.0740093,42.2486241,28.0327577,14.5569586,7.7826391,4.8584614,22.9314758,28.0995296,20.7155979,16.7332126,6.8515489,4.1936471,0,231.7684784,130.0205688,114.6310959,49.8208313,46.6593513,41.7969933,36.2057381,30.3786793,30.5207977,28.3966141,29.3524666,26.9421062,174.4154053,166.8683014,133.2637024,85.3726196,63.2735596,48.1124992,39.0417252,35.3667831,33.3083115,27.4816017,24.1313286
18,33.3085531,39.7448712,29.0334546,16.0566234,8.0008081,4.7859045,18.8600855,22.497326,17.0743219,10.6112595,5.9707855,4.0019621,0,242.7481689,133.2062378,116.9404144,51.0996284,47.9808006,43.474968,38.5248604,31.9579258,31.3141994,28.984951,29.230011,26.9488583,175.0042419,171.6453094,142.4038391,89.7302551,66.8800735,49.6336021,39.7704124,36.1086235,34.2573242,28.2252026,24.6070232
19,36.0888367,50.3527416,35.7526834,22.3031545,10.930706,7.1121177,20.7120929,23.8075717,16.5710667,10.44749,6.2062136,4.2931392,0,253.9714966,138.3516235,119.8215714,52.6495056,48.6918793,44.9196548,40.3968887,32.1410294,32.9258499,30.384407,31.0168018,28.3122311,172.8529205,172.0591125,149.4132843,92.5997543,68.7015076,51.771534,41.4222183,37.9727859,36.2701836,29.1632309,25.2116833
20,34.1545822,38.1080828,26.1237619,14.4666449,10.0068,6.7493332,27.6433154,25.9376006,15.2946995,8.2339712,5.9293636,3.6817468,0,262.9502869,136.5694885,120.1096802,54.0698776,50.2451591,45.6904945,41.7196198,34.0710144,35.300045,32.6533775,33.6748962,29.9052181,174.6340637,173.5520325,156.5383148,98.1933517,74.2453461,54.9425507,44.6915894,40.3563004,38.3159027,30.3309593,25.9538498
21,35.8136996,37.8418241,28.1714315,15.846546,10.0427199,6.6923783,17.1820585,17.5141231,13.9823622,7.8789729,6.2785751,3.4963297,0,268.1133423,135.2119141,117.5145569,53.8455086,51.0380516,46.8833046,41.5256767,34.8377914,36.1221313,34.6666718,36.393074,31.5158043,175.5639343,173.2723083,159.6822662,99.9881744,76.0996399,56.6930199,45.4795914,40.4673119,38.4759521,31.1195641,26.6544724
