Position,0.2 m,0.4 m,0.6 m,0.8 m,1.0 m,1.2 m
0,49.82772417,52.84796728,44.48926356,24.81857417,16.47035757,10.40732259
0.076,60.61983779,59.4387583,46.97488096,28.72693172,12.27875845,12.25898106
0.15,21.26549299,28.36465152,12.77648122,8.91227172,5.404075647,3.519618533
0.305,17.6454427,15.06980873,9.0862251,7.59107736,4.967847403,3.247758103
0.61,6.36906716,5.27541288,5.10089521,4.169150273,2.704786783,1.96040388
