Time (s),HF Center 0.2m,HF Center 0.4m,HF Center 0.6m,HF Center 0.8m,HF Center 1.0m,HF Center 1.2m,HF Offset 0.2m,HF Offset 0.4m,HF Offset 0.6m,HF Offset 0.8m,HF Offset 1.0m,HF Offset 1.2m,HF Ring Stand,TC Plume 0.2m,TC Plume 0.4m,TC Plume 0.6m,TC Plume 0.8m,TC Plume 1.0m,TC Plume 1.2m,TC Plume 1.4m,TC Plume 1.6m,TC Plume 1.8m,TC Plume 2.0m,TC Plume 2.2m,TC Plume 2.4m,TC Surface Center 0.2m,TC Surface Center 0.4m,TC Surface Center 0.6m,TC Surface Center 0.8m,TC Surface Center 1.0m,TC Surface Center 1.2m,TC Surface Center 1.4m,TC Surface Center 1.6m,TC Surface Center 1.8m,TC Surface Center 2.0m,TC Surface Center 2.2m
0,0.2432752,0.4070244,0.3471675,0.3152146,0.2980582,0.3025252,0.3299263,0.3713892,0.3015354,0.3209128,0.2751991,0.2697391,0,19.2009335,19.3463287,20.0393143,20.201561,21.1416626,20.7836895,20.0988503,19.2826881,18.8142643,18.1223259,17.480423,17.2085629,24.0904961,24.4562931,24.8110027,25.2547321,25.5447483,25.9263573,25.5544205,23.9640388,23.0559483,22.2137585,21.4373894
1,7.8082438,3.2795891,1.5046798,0.6300035,0.4453444,0.347059,5.069754,3.0770256,1.3446669,0.8025201,0.4214435,0.3297993,0,21.2691193,24.4547195,22.9495239,20.3872242,21.2433567,20.874773,20.1987038,19.3476562,18.8675289,18.1341286,17.4933777,17.232542,24.7364311,24.4604683,24.9414654,25.3054047,25.5428734,25.9252396,25.5631256,23.9685917,23.0601273,22.2152882,21.4248924
2,41.3401412,21.3581301,10.3416839,4.6838106,2.0540832,1.1974439,9.2059457,7.4811027,4.0949924,2.7670961,1.2059223,0.899459,0,40.3278313,57.8263092,60.2236176,28.0801411,26.6265697,24.3157597,21.9770336,20.4927731,19.3429966,18.3696003,17.65411,17.3087482,37.67659,25.1588974,28.6653481,26.5017509,25.7738552,26.0654545,25.7796917,23.9675827,23.085228,22.2722397,21.4322205
3,37.9062588,22.1444596,8.9471039,3.4740657,1.9086372,1.2838608,7.3511648,5.0442708,3.2945367,1.9817918,1.1183447,0.9913345,0,43.7741661,66.015213,66.9232941,31.6202984,32.226799,29.0876102,26.9206963,25.006382,22.9783916,22.1639996,22.2383404,20.0808506,52.5975723,28.2048569,37.0198936,28.8041,26.5826149,26.784317,26.7373161,24.0555382,23.3730068,22.6818981,21.4396248
4,44.6579021,31.7495301,18.1120366,9.6229205,4.3128391,2.4024335,18.538348,19.7468888,14.111594,12.6126672,5.715999,2.3766072,0,62.8519173,83.9551926,88.5596924,35.8919144,37.4540787,35.9675293,32.8718681,29.4484921,27.0286045,25.2213764,25.8230743,22.956871,71.0082703,33.6000252,48.3520737,33.3022461,27.601038,27.6717911,27.6116867,24.3028793,23.7713356,23.2411137,21.527586
5,41.4024676,22.6066243,11.029519,5.5689499,4.2533652,2.8843536,29.0598677,30.6749859,19.5653701,14.29114,7.5774454,2.8315416,0,78.6512909,86.3131332,93.5815506,36.1194801,38.0680161,35.6895447,35.3348618,30.8792763,28.8987961,27.7104816,28.9458542,25.4226036,98.3354034,42.8971634,64.4942093,40.6230087,30.1901016,29.9021511,30.0466022,24.7131653,24.4859791,24.4283352,21.7039299
6,40.0753634,25.2573066,14.7766363,7.4951504,5.219742,3.5475145,31.3763268,37.4598353,23.2182022,13.5245804,8.3086675,5.0332207,0,85.6292191,105.1785583,105.2445831,39.7339592,42.8929329,35.8057671,35.5675049,30.6569576,29.2419624,28.3088684,28.3615341,25.0196857,119.8283691,53.1625404,78.3052979,48.494297,33.2292557,32.3070221,32.0383492,25.5205116,25.3797035,25.382864,22.054348
7,31.772667,23.7777301,8.7859838,4.2031194,3.9947127,2.7015981,50.772353,46.2656438,19.7579156,10.2814185,4.3893168,2.5531382,0,90.6833191,121.5741272,119.6213226,42.1122818,43.3064957,34.9005089,34.0563393,31.0215511,29.8605137,28.8453217,28.9505863,25.3476391,143.4820404,62.8531647,89.7480392,53.3489952,35.7615242,34.5174637,33.1668053,26.3783779,26.012085,25.8141975,22.402935
8,31.6679206,16.4063655,8.6646826,3.6047914,2.7858032,1.9788316,51.8999468,42.6156735,20.5606501,13.9797149,6.3713937,3.3087704,0,100.8239822,122.0445404,115.8183212,42.3239441,43.7919464,36.7113113,33.2498093,30.5937138,30.032896,29.2376118,29.0827389,26.2145653,166.2068939,70.5492172,96.0236053,56.2258072,37.3568916,35.7935677,34.1313667,27.0868778,26.5319767,26.2917137,22.6755829
9,33.200489,27.0862124,14.9600487,6.0138101,4.1074776,2.7768816,43.9482922,40.8295078,24.5360733,15.8762181,5.9264049,3.7429177,0,105.4992218,119.9610138,111.5440445,43.9444923,44.0640144,38.7883377,33.8257599,31.9065056,31.1054802,30.5571365,31.3353863,27.2554989,185.42453,80.4344711,103.8692932,61.9368591,39.1399803,37.0346413,35.6839256,27.7950001,27.2681236,27.0890083,22.9414444
10,42.1757429,26.7282241,15.1577591,4.727004,4.3043744,2.2644391,37.3879755,40.3969812,25.382753,14.5588274,6.8418274,4.2806035,0,116.283905,132.1072235,126.1199646,48.7753181,47.7941551,43.6118546,38.5245781,33.5304565,34.3100281,32.7208595,34.5469322,28.9146461,201.4436646,91.1770172,115.7239151,68.27491,41.3814507,38.8711128,37.379673,28.6481075,28.1703281,28.0821152,23.3208733
11,44.1822772,28.9697772,15.7003093,4.9626049,3.8946818,2.7258343,41.8834741,45.3339759,27.4735733,15.3821143,6.5320936,3.7322862,0,127.6663666,143.9904327,141.6228027,54.627964,52.4939995,46.9195404,43.3654022,35.8186951,35.5599365,33.9160538,34.160038,29.1378422,218.1333771,101.3708801,123.9382782,71.9823151,43.3895378,40.3479309,38.0392418,29.535017,28.7475548,28.4339676,23.8041
12,32.2383384,21.1838714,12.6567085,6.2548101,4.0156169,2.7003863,49.2133385,52.9721504,33.9110733,20.9586623,9.2989875,5.4634804,0,132.838028,155.8705139,149.1971588,58.2721672,55.9120903,52.5857811,48.6507111,40.8751984,40.0624466,38.2152824,37.8443413,31.716526,234.9633026,110.8486481,131.9234772,75.9680023,45.1737938,41.7294083,38.9588203,30.3293991,29.3375931,29.2336903,24.2337456
13,28.5494624,16.5127067,6.8586928,4.0455613,3.3343908,2.3785761,63.9287912,65.4593602,27.9781306,15.9230798,8.9835898,5.7267298,0,138.6088867,149.0708008,143.3562012,56.9523087,53.9886475,49.5344162,48.0106201,39.9602852,38.6447983,38.2773933,38.7345314,33.4980888,247.9353333,119.3321838,136.4377441,78.9326935,47.2119408,43.4841614,40.1865044,31.2485218,30.3403416,30.4433193,24.6838722
14,35.3639061,26.5339419,16.8158504,7.91416,4.679472,2.8660251,61.4582713,57.3241557,33.9909888,24.0382192,10.7589802,6.3121781,0,147.5302887,166.8575592,157.6920013,64.236824,59.3215103,53.145504,51.3657722,40.8293533,38.8885155,37.9759064,38.3997879,33.9375572,262.4062195,126.570282,140.8639221,81.0853195,48.8909798,45.0746574,41.1605034,32.0944633,31.2254009,31.1234646,25.190176
15,55.4064989,39.2496948,27.6491751,16.4870858,9.870702,5.8550961,38.3461275,52.0062373,34.4004939,24.2547697,14.6697083,8.5907376,0,173.903717,195.2979431,197.5171967,84.2609253,79.1811523,71.4743118,67.1877594,49.942482,48.6851692,45.5906029,45.4960785,36.9889069,278.4923401,133.7384186,157.2441101,89.5939255,51.728714,47.0727005,42.7656212,32.8507919,32.3430786,32.4412956,25.7275639
16,70.0207613,51.2992593,34.2025178,20.1768568,14.0892987,10.3613483,20.2020029,27.3226708,19.8373427,15.283458,12.7295605,7.6693646,0,196.3841095,215.0034943,222.6872559,92.6193695,100.3595963,92.5838394,77.2515945,58.1563721,52.5343018,49.6995735,49.8715096,40.4162102,291.1298218,141.6188965,174.5189514,101.2191849,56.2547531,50.6369705,44.8419342,33.7567711,33.4039879,33.5163422,26.3411903
17,63.3402129,47.365177,32.6947847,18.7061512,14.7565396,10.9166584,19.2983141,24.167385,19.1086644,18.4618356,11.8981651,9.9214245,0,215.6270752,235.78479,244.3780212,99.5418701,113.2500076,102.740036,79.2166672,68.6628342,62.2149696,54.8366737,53.4781799,42.79599,299.4013367,149.9028931,183.5058746,110.2170792,61.2201691,55.2926178,48.570858,34.6734047,34.103756,34.1878052,27.0078468
18,62.4254588,44.3792357,30.4025138,20.9543396,12.360508,8.8463636,28.6324814,51.8040474,35.5002661,27.0533206,15.7241898,9.0033045,0,219.5740356,254.4791107,264.7358704,107.8211823,123.3474503,114.6432571,92.159111,74.6634216,64.6849289,57.2252655,54.6299744,44.6964149,310.525116,158.9609833,192.8499603,121.0468369,66.3586426,60.2851715,53.1715851,35.83918,35.2319603,35.559185,27.6492176
19,64.4843665,43.9189653,27.7733974,18.3475144,11.7654012,7.0280486,27.0348887,43.9310794,39.297304,31.1899797,21.2553569,12.2795618,0,221.0175476,250.9274292,262.3540039,107.3752136,121.5242844,112.5650406,93.1361694,73.3323822,62.8108749,56.5602341,54.8832741,44.1248283,321.9083252,168.6771088,202.8583832,133.8760071,71.5057831,64.0014648,55.7737961,37.1695786,36.5439568,36.3628387,28.2679329
20,63.0328459,49.2720123,34.7978011,21.4643173,16.9613421,11.0053475,23.7928043,43.1396779,31.963645,28.4315492,18.1052688,9.8093968,0,231.4111786,251.2261353,270.9588928,118.0646286,122.5624237,110.4111023,90.5532837,74.781662,65.8110733,59.6683769,60.366188,48.4940948,331.1337891,176.2823486,213.4368286,148.1547089,77.8754196,68.1121216,58.6865044,38.4936523,37.8757973,37.731575,28.8065872
21,61.8434288,58.6784712,39.5688301,20.3605927,14.795919,9.5294435,20.3888425,31.8843713,27.449973,16.412744,11.5258758,7.5256009,0,260.4032288,305.7434692,330.7996521,137.7960358,140.0602875,116.580719,96.5988998,81.8925552,73.2589874,64.2647781,65.101738,50.9547386,339.4929504,183.0957184,223.7097931,159.7899475,84.5664291,72.4360504,61.6756821,39.8405647,39.2744331,38.9947319,29.4516621
22,61.5637891,58.161918,41.5276379,21.0318916,12.2588578,7.4755837,18.4614438,32.4137707,33.1098039,23.0524781,11.0516381,6.6880108,0,272.34729,332.7505493,366.1889343,148.7503662,157.1893463,126.8367996,107.1706924,86.3677368,74.2608032,66.5098038,65.7719955,51.170063,346.9822693,189.6445923,232.4594727,165.8308716,89.212471,74.8642807,62.7350845,41.10672,39.9511299,39.0188751,30.233757
23,63.2063177,59.6501533,39.5414643,24.0495457,13.1506715,7.8569997,18.5582676,31.5008676,29.1783259,26.6466921,13.0156246,9.8093174,0,280.8891296,335.6485291,367.3872986,149.0636749,158.500473,127.2178268,107.5996246,88.4992752,78.5165176,69.635582,68.5855179,53.0554047,353.2966309,196.0883179,240.8196716,169.3058014,93.2235489,76.4832916,63.2343178,42.0408363,40.3049583,39.4581299,30.8040695
24,62.2782927,56.3714358,33.8482998,17.1238625,9.5241637,7.1557427,28.0361578,47.6256159,43.9665745,37.0685806,18.2716324,12.1245319,0,277.1819458,322.3664551,348.7402649,146.3854218,156.5227814,127.1457748,106.0622101,89.7213058,80.5210266,71.9373474,72.9623871,56.8442268,358.440979,202.8657532,248.499527,172.6761932,97.5124207,79.3439636,66.2284546,43.0351715,41.4779091,41.3067207,31.3263493
25,69.1398958,57.3728827,29.7137563,17.9695713,11.9471351,8.3854986,33.6075607,54.3264935,43.2295957,33.9012196,22.3788184,13.6548377,0,275.7175598,320.0736389,338.1486206,144.4564056,150.9351196,126.6173706,105.0561752,90.3034058,80.5539703,70.5392151,71.9632721,55.3410149,365.9172058,209.3238525,254.3580017,175.8738556,102.8508301,83.2903214,70.1025696,44.5296402,43.0150299,42.850544,31.9790325
26,63.0089108,53.7540356,27.8948524,18.3910351,12.3320224,8.7428298,37.8188917,56.9537871,48.3101622,39.5249584,25.4143623,17.2424243,0,277.7168884,317.3793335,341.6601868,149.4672699,155.6730347,130.6220093,105.0463257,91.6782608,85.75914,73.0518188,73.8553619,57.9149055,373.6210632,215.7591095,261.5626526,178.9575958,108.653862,88.3179092,74.7309189,46.1694107,44.4105072,44.3138962,32.6765709
27,57.4537942,56.3286829,37.1950767,18.0373066,11.0109369,6.8493072,40.0428132,64.0850797,49.6849993,33.2007598,23.1825708,15.9629116,0,283.5629883,310.690979,330.4787903,147.907196,157.4944611,134.2372894,103.2880249,95.8745956,88.7610016,76.3459473,79.08741,57.3574715,381.3612671,222.1617737,269.6138306,182.8919525,114.7638626,92.7723618,77.897728,47.9383774,45.9969978,45.6265678,33.4757881
28,63.5449661,54.4922004,33.2716191,19.602907,11.4219543,8.0073394,40.387496,66.1189399,49.449485,31.6826036,21.2180772,11.9302287,0,290.0584717,319.2124634,344.5606079,150.6182098,157.513443,131.0488586,100.9648743,94.4347458,87.4016037,75.9898758,78.0736694,56.6257515,389.6626282,228.6804657,276.6467285,184.9417725,119.3069916,95.4716415,78.2137909,49.5897484,47.0449791,45.7359772,34.2763557
29,57.5009538,54.733565,37.1906183,19.6618072,15.173372,8.8697666,21.8512854,59.4591103,40.4397194,29.5582043,20.644258,12.822484,0,303.3994141,339.9667053,346.5906677,154.966507,166.1352844,139.1058502,107.6545868,94.3389511,87.9386673,75.4353943,76.3739243,57.7825584,395.151123,235.2602386,283.9124451,188.2810516,123.0647964,97.6447906,78.2049103,50.7388306,47.6370888,45.7622299,34.9564438
30,59.4449249,58.71473,38.5868895,21.4160517,14.3388976,10.0166652,28.373024,54.5662126,35.6252661,24.4953267,15.6016995,11.5213908,0,319.1767273,357.4646301,374.7790527,164.0646515,177.2855988,146.7814789,110.1221466,94.7734756,88.0917282,74.4660187,78.6119156,58.099575,400.7349243,240.9815674,290.4370117,192.1898499,126.8797531,101.0002594,80.6071472,51.9308128,48.7864189,46.7145157,35.4592934
31,60.9172995,57.0173297,32.6492775,12.6137424,10.7452182,7.2749541,44.5902541,65.3512287,45.0124731,28.7474137,18.578323,12.3692951,0,315.1227417,345.4969482,354.2590027,161.7418671,178.1155853,153.1555634,112.6232147,95.6960602,86.9039993,71.7126007,75.0171814,57.8479309,409.3428345,247.3451385,296.6741638,195.0870972,129.6342773,103.8201904,82.161499,53.2411003,49.5732422,46.9544182,36.0374718
32,63.9620561,51.2979064,29.2431566,12.0211408,9.3985177,7.2973725,58.828396,65.3282417,45.0072649,27.4431773,15.0887451,10.455064,0,307.4689941,328.414978,331.6592102,160.2458649,175.230072,151.7793884,116.1204834,97.0988464,88.196785,72.7204971,76.4726105,58.6341705,416.6929321,251.9203491,298.680542,195.1212463,131.1636658,105.9930038,83.9885941,54.3660355,50.0854263,47.5192299,36.543602
33,61.108545,54.6399417,36.4954038,17.1096283,10.6292147,7.0128253,56.3596409,64.8208913,45.6228248,34.5303181,17.6268889,11.6582519,0,306.9713135,337.5596008,333.8244324,162.8853455,177.0937653,153.2164001,119.0663147,101.2654037,92.0383072,75.7444458,79.7561646,61.8823814,424.4245605,256.5447083,302.0697937,196.3825226,131.4074097,107.3118973,84.984314,55.2611618,50.5525284,47.8210526,37.0089378
34,53.6938234,52.7293181,35.6366093,14.7169707,10.5573014,7.2087592,75.6399327,62.7769452,43.2509171,27.3558666,17.4633149,13.3797667,0,313.0575562,342.7252197,337.98172,164.048172,175.8386841,151.9034424,117.6941452,102.9170532,94.9761429,81.2425003,83.7822418,64.8845673,432.8684692,261.3627625,305.9272766,198.681427,132.2818909,109.5480423,87.8257675,56.0686417,51.3198891,48.8540077,37.4196434
35,56.7262567,43.0839299,30.8723448,12.4970873,8.2973678,5.4311912,78.67551,59.2484764,45.9048886,24.3501374,17.6557151,10.8302619,0,322.0692444,341.3334045,332.0347595,165.3258514,173.3357391,150.7835846,117.9231873,99.8327484,92.4785919,81.090477,83.1917191,63.8530617,440.0945435,265.5910339,307.7530518,198.0811615,132.6598816,111.2376022,89.2170105,57.1119919,52.3000221,49.8519859,37.9468613
36,54.0279694,44.6081534,39.2292175,13.3017296,8.8554506,5.3440169,70.721838,63.2355078,44.6483781,20.85458,15.2835122,8.3425627,0,323.3484497,338.5758667,325.0922852,162.6877441,170.9804993,149.27565,117.321167,97.8552094,92.2673645,80.3199539,81.5231705,64.3529358,444.9992676,269.6621094,308.269928,197.3688507,132.7490997,111.6435165,88.1457138,57.8650322,52.3245049,49.1511307,38.4226074
37,52.1531975,47.2661416,52.6075623,25.2205146,18.2333322,9.2171004,69.2785585,58.5598116,53.6960671,28.9636355,18.8222892,8.3917534,0,325.1330566,342.1062927,344.0839539,171.5344849,177.5804291,153.9223022,118.8796463,102.7327576,94.0597382,81.7326965,81.619812,64.1602859,448.8497009,275.4707947,314.0579529,202.8736725,133.6317749,112.4458389,88.2255478,58.2718697,52.3873711,49.0709572,38.694416
38,45.0377856,38.7353063,43.9169193,16.8647016,14.925098,7.6075948,77.169698,47.2132614,50.2702855,35.5325019,19.4012649,9.6046208,0,330.1851501,342.9883728,349.7744751,177.7571106,177.6495972,151.6065521,118.0203857,102.1778717,94.564621,82.5457535,82.6299973,65.3406372,452.2274475,280.5053406,319.6670837,210.5567322,135.8127899,113.6111984,88.5882263,58.7039566,52.6505623,49.0255013,38.932518
